,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
498,Greg Smith,1.000,.844,.156,.000,.000,.000,.778,,.219,
555,Greivis Vásquez,.471,.174,.130,.072,.094,.529,.444,.667,.000,.137
38,Harrison Barnes,.662,.227,.147,.104,.183,.338,.634,.988,.093,.444
576,Hassan Whiteside,1.000,.503,.317,.104,.075,.000,.659,,.224,
494,Henry Sims,1.000,.416,.195,.195,.182,.000,.879,,.039,
533,Hollis Thompson,.424,.146,.103,.062,.112,.576,.645,.973,.004,.306
98,Ian Clark,.584,.238,.139,.114,.094,.416,.492,.933,.005,.333
350,Ian Mahinmi,1.000,.627,.248,.040,.085,.000,.758,,.123,
492,Iman Shumpert,.521,.197,.069,.072,.184,.479,.507,.977,.056,.404
85,Isaiah Canaan,.328,.130,.096,.047,.057,.672,.417,.744,.000,.198
531,Isaiah Thomas,.664,.340,.135,.104,.084,.336,.337,.647,.000,.142
500,Ish Smith,.824,.333,.188,.104,.199,.176,.188,.589,.009,.118
36,J.J. Barea,.634,.193,.243,.113,.086,.366,.189,.570,.000,.146
234,J.J. Hickson,.994,.561,.213,.135,.084,.006,.713,,.187,.000
423,J.J. O'Brien,1.000,.000,1.000,.000,.000,.000,,,.000,
503,J.R. Smith,.400,.081,.109,.073,.135,.600,.430,.926,.013,.241
462,JJ Redick,.522,.074,.060,.050,.339,.478,.833,.940,.000,.159
483,JaKarr Sampson,.801,.451,.256,.057,.041,.199,.563,.857,.107,.444
202,JaMychal Green,.909,.481,.137,.067,.224,.091,.665,1.000,.133,.644
372,JaVale McGee,.993,.664,.179,.067,.082,.007,.701,,.388,.000
433,Jabari Parker,.961,.461,.150,.140,.210,.039,.719,.778,.154,.514
115,Jae Crowder,.554,.274,.075,.064,.139,.446,.756,.943,.023,.226
426,Jahlil Okafor,.992,.394,.327,.192,.079,.008,.412,1.000,.058,.167
113,Jamal Crawford,.634,.099,.134,.160,.241,.366,.260,.735,.001,.230
412,Jameer Nelson,.531,.150,.107,.052,.221,.469,.200,.512,.000,.076
16,James Anderson,.517,.253,.152,.051,.062,.483,.523,.870,.039,.198
148,James Ennis III,.487,.372,.044,.009,.062,.513,.714,.885,.097,.276
214,James Harden,.594,.246,.124,.105,.120,.406,.181,.521,.011,.094
289,James Johnson,.725,.475,.167,.029,.054,.275,.340,1.000,.067,.515
301,James Jones,.268,.035,.021,.106,.113,.732,.765,.927,.007,.212
362,James Michael McAdoo,.976,.643,.226,.060,.048,.024,.773,1.000,.190,.000
595,James Young,.278,.139,.056,.083,.000,.722,.600,1.000,.000,.423
117,Jared Cunningham,.629,.362,.124,.029,.114,.371,.667,1.000,.086,.487
139,Jared Dudley,.511,.127,.027,.057,.298,.489,.872,1.000,.000,.244
524,Jared Sullinger,.872,.292,.202,.092,.287,.128,.609,1.000,.009,.019
145,Jarell Eddie,.277,.046,.077,.031,.123,.723,.800,.933,.000,.213
354,Jarell Martin,.983,.466,.172,.129,.216,.017,.574,,.052,.000
519,Jarnell Stokes,1.000,.400,.200,.000,.400,.000,.667,,.000,
273,Jarrett Jack,.715,.109,.201,.098,.307,.285,.174,.548,.000,.235
504,Jason Smith,.968,.137,.058,.121,.652,.032,.888,1.000,.008,.438
529,Jason Terry,.306,.072,.093,.072,.069,.694,.397,.903,.000,.418
534,Jason Thompson,.861,.398,.269,.111,.083,.139,.660,1.000,.074,.133
32,Jeff Ayres,.957,.478,.217,.130,.130,.043,.750,,.087,.000
203,Jeff Green,.742,.308,.218,.090,.125,.258,.401,.896,.063,.343
526,Jeff Teague,.722,.372,.156,.098,.094,.278,.167,.636,.005,.105
589,Jeff Withey,.988,.586,.259,.086,.056,.012,.805,,.198,.000
194,Jerami Grant,.756,.491,.184,.047,.035,.244,.685,1.000,.137,.500
153,Jeremy Evans,.667,.521,.063,.021,.063,.333,.864,1.000,.271,.438
319,Jeremy Lamb,.645,.292,.118,.096,.137,.355,.466,.786,.027,.138
339,Jeremy Lin,.690,.305,.130,.088,.166,.310,.348,.816,.001,.102
195,Jerian Grant,.744,.368,.138,.107,.130,.256,.333,.727,.015,.110
43,Jerryd Bayless,.471,.149,.101,.069,.156,.529,.393,.901,.011,.286
169,Jimmer Fredette,.600,.200,.400,.000,.000,.400,1.000,1.000,.000,.000
80,Jimmy Butler,.802,.313,.120,.131,.236,.198,.441,.719,.071,.176
415,Joakim Noah,.992,.737,.195,.015,.045,.008,.588,,.075,.000
378,Jodie Meeks,.550,.150,.150,.150,.100,.450,1.000,.500,.000,.222
221,Joe Harris,.000,.000,.000,.000,.000,1.000,,1.000,.000,.250
270,Joe Ingles,.278,.120,.031,.017,.110,.722,.372,.901,.007,.367
290,Joe Johnson,.636,.075,.246,.156,.159,.364,.206,.892,.000,.339
596,Joe Young,.728,.207,.136,.071,.320,.272,.173,.700,.030,.196
24,Joel Anthony,1.000,.500,.200,.300,.000,.000,.667,,.200,
322,Joffrey Lauvergne,.861,.405,.247,.053,.155,.139,.714,.923,.116,.377
231,John Henson,.997,.536,.405,.041,.014,.003,.756,,.120,.000
280,John Jenkins,.681,.169,.119,.056,.338,.319,.600,.875,.000,.294
565,John Wall,.757,.290,.064,.094,.310,.243,.188,.670,.032,.116
424,Johnny O'Bryant,.995,.344,.177,.096,.378,.005,.729,1.000,.053,1.000
337,Jon Leuer,.764,.305,.180,.137,.142,.236,.604,1.000,.088,.145
286,Jonas Jerebko,.622,.343,.136,.035,.108,.378,.693,1.000,.035,.343
551,Jonas Valančiūnas,1.000,.543,.312,.084,.062,.000,.611,,.112,
493,Jonathon Simmons,.806,.479,.194,.054,.074,.194,.558,1.000,.124,.447
1,Jordan Adams,.833,.333,.000,.500,.000,.167,.500,,.000,.000
100,Jordan Clarkson,.709,.261,.195,.106,.149,.291,.305,.757,.026,.191
157,Jordan Farmar,.550,.200,.100,.090,.160,.450,.192,.438,.000,.244
211,Jordan Hamilton,.612,.293,.121,.086,.112,.388,.389,.769,.017,.156
239,Jordan Hill,.998,.332,.281,.148,.237,.002,.561,,.067,1.000
374,Jordan McRae,.718,.295,.141,.179,.103,.282,.208,.500,.026,.227
380,Jordan Mickey,1.000,.682,.136,.091,.091,.000,.500,,.136,
207,Jorge Gutiérrez,.818,.273,.091,.091,.364,.182,.167,,.000,.500
259,Josh Huestis,.500,.083,.167,.083,.167,.500,1.000,1.000,.083,.333
377,Josh McRoberts,.669,.264,.176,.088,.142,.331,.581,1.000,.061,.082
464,Josh Richardson,.577,.228,.107,.110,.132,.423,.414,.962,.055,.348
505,Josh Smith,.590,.238,.229,.040,.083,.410,.605,.951,.049,.133
83,José Calderón,.554,.099,.029,.114,.312,.446,.304,.869,.000,.133
246,Jrue Holiday,.723,.290,.164,.149,.121,.277,.207,.517,.011,.127
460,Julius Randle,.957,.474,.248,.079,.156,.043,.451,.700,.077,.111
17,Justin Anderson,.526,.251,.097,.063,.114,.474,.449,.909,.097,.410
216,Justin Harper,.100,.000,.000,.000,.100,.900,,1.000,.000,.000
247,Justin Holiday,.539,.263,.088,.061,.127,.461,.692,.972,.053,.362
588,Justise Winslow,.749,.392,.175,.039,.145,.251,.589,.969,.045,.716
422,Jusuf Nurkić,.988,.483,.397,.041,.066,.012,.743,,.045,.000
369,K.J. McDaniels,.653,.403,.139,.056,.056,.347,.545,.857,.153,.360
544,Karl-Anthony Towns,.924,.342,.211,.091,.279,.076,.667,.900,.069,.102
335,Kawhi Leonard,.733,.207,.148,.201,.178,.267,.450,.860,.061,.220
25,Keith Appling,.625,.250,.000,.125,.250,.375,.000,,.000,.667
428,Kelly Olynyk,.622,.356,.113,.056,.097,.378,.619,.953,.018,.110
429,Kelly Oubre Jr.,.626,.417,.142,.024,.043,.374,.523,1.000,.109,.291
564,Kemba Walker,.632,.250,.092,.091,.200,.368,.189,.599,.000,.106
353,Kendall Marshall,.585,.169,.127,.119,.169,.415,.296,.875,.000,.224
443,Kendrick Perkins,1.000,.347,.453,.067,.133,.000,.850,,.027,
156,Kenneth Faried,.997,.645,.251,.045,.056,.003,.684,1.000,.166,.500
46,Kent Bazemore,.579,.390,.080,.026,.083,.421,.536,.927,.029,.384
84,Kentavious Caldwell-Pope,.616,.228,.116,.107,.166,.384,.481,.842,.027,.266
143,Kevin Durant,.652,.212,.098,.182,.161,.348,.518,.640,.081,.037
178,Kevin Garnett,.991,.157,.122,.139,.574,.009,.944,,.017,1.000
344,Kevin Love,.551,.173,.190,.084,.104,.449,.602,.987,.023,.303
356,Kevin Martin,.675,.160,.126,.158,.234,.325,.542,.939,.033,.162
490,Kevin Séraphin,.990,.200,.337,.283,.171,.010,.607,,.044,.000
341,Kevon Looney,.714,.286,.143,.286,.000,.286,.333,1.000,.143,.000
381,Khris Middleton,.684,.146,.123,.189,.226,.316,.415,.888,.020,.224
243,Kirk Hinrich,.519,.194,.109,.070,.147,.481,.440,.708,.000,.258
537,Klay Thompson,.531,.182,.082,.131,.138,.469,.725,.920,.013,.246
72,Kobe Bryant,.580,.093,.102,.173,.213,.420,.328,.692,.004,.126
318,Kosta Koufos,1.000,.376,.541,.077,.005,.000,.742,,.063,
432,Kostas Papanikolaou,.515,.288,.061,.076,.091,.485,.571,.900,.015,.250
260,Kris Humphries,.634,.224,.125,.085,.200,.366,.782,.941,.064,.167
450,Kristaps Porziņģis,.726,.216,.184,.167,.159,.274,.586,.988,.064,.099
18,Kyle Anderson,.875,.217,.200,.251,.210,.125,.484,1.000,.034,.865
317,Kyle Korver,.356,.058,.021,.054,.222,.644,.864,.975,.002,.224
345,Kyle Lowry,.543,.216,.141,.070,.117,.457,.170,.684,.000,.101
425,Kyle O'Quinn,.919,.299,.166,.151,.303,.081,.637,.600,.026,.136
495,Kyle Singler,.561,.213,.204,.068,.077,.439,.732,1.000,.018,.598
272,Kyrie Irving,.702,.243,.164,.131,.166,.298,.206,.595,.001,.218
6,LaMarcus Aldridge,.985,.279,.191,.211,.303,.015,.660,,.047,.500
436,Lamar Patterson,.388,.250,.025,.050,.063,.613,.750,.917,.000,.265
513,Lance Stephenson,.835,.386,.154,.101,.194,.165,.253,.733,.027,.321
532,Lance Thomas,.715,.217,.183,.105,.209,.285,.592,.909,.026,.541
177,Langston Galloway,.619,.235,.097,.060,.228,.381,.468,.844,.003,.263
409,Larry Nance Jr.,.967,.463,.150,.097,.257,.033,.739,1.000,.197,.500
8,Lavoy Allen,1.000,.381,.273,.103,.243,.000,.691,,.081,
276,LeBron James,.801,.459,.119,.093,.129,.199,.378,.598,.083,.117
35,Leandro Barbosa,.703,.368,.127,.073,.132,.297,.682,.974,.003,.309
70,Lorenzo Brown,.680,.200,.080,.160,.240,.320,.286,1.000,.000,.000
11,Lou Amundson,1.000,.566,.226,.113,.094,.000,.632,,.038,
585,Lou Williams,.538,.153,.126,.121,.140,.462,.295,.655,.009,.259
361,Luc Mbah a Moute,.807,.536,.116,.029,.126,.193,.901,1.000,.063,.900
417,Lucas Nogueira,.932,.818,.068,.023,.023,.068,.963,1.000,.409,.000
394,Luis Montero,.526,.211,.105,.000,.211,.474,.250,.000,.000,.111
487,Luis Scola,.731,.268,.249,.074,.140,.269,.603,.985,.002,.497
33,Luke Babbitt,.623,.218,.263,.104,.038,.377,.538,.955,.010,.220
130,Luol Deng,.656,.305,.136,.059,.160,.344,.622,1.000,.035,.539
185,Manu Ginóbili,.589,.278,.138,.087,.085,.411,.543,.914,.005,.128
179,Marc Gasol,.996,.164,.328,.240,.263,.004,.690,1.000,.031,.333
258,Marcelo Huertas,.735,.187,.283,.157,.109,.265,.284,.813,.000,.131
192,Marcin Gortat,.999,.452,.313,.195,.039,.001,.794,,.067,.000
49,Marco Belinelli,.532,.068,.052,.066,.346,.468,.805,.912,.008,.152
397,Marcus Morris,.685,.158,.106,.213,.211,.315,.348,.926,.016,.285
497,Marcus Smart,.544,.291,.146,.053,.055,.456,.390,.738,.013,.245
539,Marcus Thornton,.502,.192,.116,.079,.113,.498,.424,.857,.000,.211
93,Mario Chalmers,.664,.320,.203,.056,.086,.336,.213,.739,.002,.255
232,Mario Hezonja,.541,.203,.081,.050,.206,.459,.526,.836,.053,.182
71,Markel Brown,.624,.255,.109,.040,.220,.376,.528,.842,.056,.322
398,Markieff Morris,.784,.258,.142,.182,.202,.216,.605,.979,.075,.142
510,Marreese Speights,.864,.252,.147,.079,.386,.136,.803,.917,.050,.097
586,Marvin Williams,.494,.214,.124,.048,.106,.506,.591,.993,.020,.270
446,Mason Plumlee,.992,.619,.282,.058,.033,.008,.689,,.184,.000
39,Matt Barnes,.466,.270,.107,.029,.061,.534,.634,.941,.013,.284
60,Matt Bonner,.404,.123,.105,.070,.105,.596,.714,1.000,.000,.147
129,Matthew Dellavedova,.532,.092,.241,.135,.065,.468,.321,.806,.000,.172
215,Maurice Harkless,.659,.501,.117,.012,.029,.341,.558,.949,.170,.486
591,Metta World Peace,.525,.254,.107,.062,.102,.475,.414,.923,.006,.381
336,Meyers Leonard,.476,.103,.097,.124,.149,.524,.752,1.000,.025,.127
48,Michael Beasley,.956,.361,.205,.161,.229,.044,.567,1.000,.049,.667
90,Michael Carter-Williams,.901,.351,.270,.135,.144,.099,.360,.733,.050,.255
312,Michael Kidd-Gilchrist,.885,.574,.131,.082,.098,.115,.533,1.000,.082,.429
104,Mike Conley,.691,.261,.139,.115,.175,.309,.273,.782,.001,.177
142,Mike Dunleavy,.473,.277,.053,.048,.096,.527,.763,1.000,.005,.222
387,Mike Miller,.161,.032,.065,.032,.032,.839,.667,.842,.000,.192
408,Mike Muscala,.743,.342,.125,.092,.184,.257,.797,1.000,.046,.308
488,Mike Scott,.580,.263,.157,.093,.066,.420,.851,.968,.064,.222
447,Miles Plumlee,1.000,.687,.258,.043,.013,.000,.750,,.305,
