,Player,G,MP,FTr,USG%
321,Aaron McKie,10,131,.000,8.6
515,Aaron Williams,38,374,.415,10.0
341,Adam Morrison,78,2326,.179,22.4
153,Adonal Foyle,48,475,.294,10.7
181,Adrian Griffin,54,585,.147,13.3
187,Al Harrington,78,2563,.223,23.1
251,Al Jefferson,69,2319,.334,22.4
11,Alan Anderson,17,256,.284,20.1
203,Alan Henderson,38,418,.701,11.0
254,Alexander Johnson,59,753,.698,16.1
407,Allan Ray,47,710,.212,20.8
229,Allen Iverson,65,2761,.465,29.3
342,Alonzo Mourning,77,1572,.725,20.8
516,Alvin Williams,2,10,2.000,31.2
462,Amar'e Stoudemire,82,2689,.555,25.8
255,Amir Johnson,8,124,.424,18.5
486,Anderson Varejão,81,1932,.668,13.7
48,Andray Blatche,56,682,.249,17.2
30,Andre Barrett,6,29,.000,18.4
65,Andre Brown,38,271,.203,18.4
224,Andre Iguodala,76,3062,.556,22.6
329,Andre Miller,80,2966,.311,19.2
28,Andrea Bargnani,65,1629,.227,22.6
170,Andreas Glyniadakis,13,81,.118,15.1
281,Andrei Kirilenko,70,2049,.572,14.4
51,Andrew Bogut,66,2258,.308,17.3
78,Andrew Bynum,82,1793,.483,16.3
41,Andris Biedriņš,82,2382,.287,13.8
354,Andrés Nocioni,53,1406,.248,23.8
246,Antawn Jamison,70,2662,.270,22.8
84,Anthony Carter,2,37,.000,16.2
256,Anthony Johnson,67,1301,.178,15.8
375,Anthony Parker,73,2437,.230,15.7
418,Anthony Roberson,20,227,.029,22.2
496,Antoine Walker,78,1818,.157,22.3
534,Antoine Wright,63,1137,.291,13.4
106,Antonio Daniels,80,1761,.643,14.2
317,Antonio McDyess,82,1729,.257,18.6
102,Austin Croshere,61,727,.234,17.8
108,Baron Davis,63,2221,.358,26.5
173,Ben Gordon,82,2704,.329,29.3
497,Ben Wallace,77,2697,.630,10.6
485,Beno Udrih,73,948,.174,21.3
420,Bernard Robinson,31,278,.435,14.7
368,Bo Outlaw,41,460,.431,8.2
235,Bobby Jackson,56,1330,.324,23.0
263,Bobby Jones,44,336,.441,17.7
507,Bonzi Wells,28,590,.396,23.7
115,Boris Diaw,73,2268,.211,15.4
348,Boštjan Nachbar,76,1532,.331,19.3
535,Bracey Wright,19,190,.300,18.1
332,Brad Miller,63,1783,.302,16.8
33,Brandon Bass,21,162,.364,17.2
431,Brandon Roy,57,2015,.315,23.0
201,Brendan Haywood,77,1740,.592,13.6
32,Brent Barry,75,1631,.275,15.6
283,Brevin Knight,45,1273,.353,18.4
81,Brian Cardinal,28,313,.318,17.3
100,Brian Cook,65,1018,.115,21.2
435,Brian Scalabrine,54,1027,.120,10.8
442,Brian Skinner,67,1523,.312,10.8
57,Bruce Bowen,82,2464,.156,10.9
327,C.J. Miles,37,373,.198,18.5
54,Calvin Booth,44,380,.152,9.2
19,Carlos Arroyo,72,1304,.347,22.8
55,Carlos Boozer,74,2557,.322,26.5
113,Carlos Delfino,82,1372,.237,16.5
13,Carmelo Anthony,65,2486,.391,33.4
75,Caron Butler,63,2474,.336,23.1
61,Cedric Bozeman,23,199,.154,11.7
440,Cedric Simmons,43,534,.250,14.4
156,Channing Frye,72,1896,.157,20.0
38,Charlie Bell,82,2848,.172,18.3
488,Charlie Villanueva,39,984,.232,21.8
42,Chauncey Billups,70,2533,.536,21.5
56,Chris Bosh,69,2658,.539,26.7
129,Chris Duhon,78,1906,.209,14.8
276,Chris Kaman,75,2176,.344,19.0
316,Chris McCray,5,12,.000,18.8
380,Chris Paul,64,2353,.410,23.1
401,Chris Quinn,42,408,.282,19.6
503,Chris Webber,61,1821,.250,21.1
512,Chris Wilcox,82,2586,.429,19.3
199,Chuck Hayes,78,1714,.266,11.9
20,Chucky Atkins,75,2064,.435,21.4
423,Clifford Robinson,50,955,.165,12.9
298,Corey Maggette,75,2291,.783,26.0
531,Corliss Williamson,68,1337,.447,21.9
444,Craig Smith,82,1537,.402,18.7
337,Cuttino Mobley,78,2841,.271,18.4
227,D.J. Mbenga,21,79,.500,14.5
264,Dahntay Jones,78,1671,.377,17.0
495,Dajuan Wagner,1,7,2.000,17.5
109,Dale Davis,46,464,.351,10.3
513,Damien Wilkins,82,2037,.282,17.7
303,Damir Markota,30,170,.212,19.1
265,Damon Jones,60,1173,.124,15.9
460,Damon Stoudamire,62,1501,.190,17.3
117,Dan Dickau,50,444,.351,21.3
157,Dan Gadzuric,54,840,.395,17.0
143,Daniel Ewing,61,712,.280,15.0
167,Daniel Gibson,60,988,.169,13.4
150,Danny Fortson,14,158,.433,14.6
176,Danny Granger,82,2785,.339,18.2
454,Darius Songaila,37,700,.240,18.3
328,Darko Miličić,80,1913,.420,18.7
17,Darrell Armstrong,81,1275,.247,17.4
307,Darrick Martin,31,220,.223,24.3
193,David Harrison,24,190,.379,22.1
290,David Lee,58,1731,.433,14.9
355,David Noel,68,792,.243,13.4
508,David Wesley,35,352,.373,13.4
509,David West,52,1900,.287,23.8
122,DeSagana Diop,81,1480,.570,7.9
458,DeShawn Stevenson,82,2419,.287,17.6
66,Dee Brown,49,450,.378,14.5
510,Delonte West,69,2219,.275,19.3
259,DerMarr Johnson,39,419,.136,19.5
12,Derek Anderson,50,1190,.361,15.1
148,Derek Fisher,82,2287,.455,18.2
518,Deron Williams,80,2950,.273,22.2
145,Desmon Farmer,8,32,.067,23.3
311,Desmond Mason,75,2575,.359,21.9
166,Devean George,60,1283,.130,16.1
67,Devin Brown,58,1662,.279,19.6
192,Devin Harris,80,2081,.440,19.1
476,Dijon Thompson,6,50,.400,17.1
347,Dikembe Mutombo,75,1289,.569,8.3
358,Dirk Nowitzki,78,2820,.411,28.9
466,Donell Taylor,47,369,.150,20.8
305,Donyell Marshall,81,1360,.162,19.8
536,Dorell Wright,66,1292,.236,17.1
91,Doug Christie,7,82,.176,13.1
172,Drew Gooden,80,2238,.254,20.0
266,Dwayne Jones,4,18,6.000,14.2
216,Dwight Howard,82,3023,.763,22.7
492,Dwyane Wade,51,1931,.556,34.7
31,Earl Barron,28,203,.217,23.8
58,Earl Boykins,66,2031,.319,21.6
502,Earl Watson,77,2152,.214,19.4
182,Eddie Griffin,13,92,.185,17.8
215,Eddie House,56,946,.086,22.8
267,Eddie Jones,64,1594,.178,14.7
103,Eddy Curry,81,2849,.649,25.5
349,Eduardo Nájera,75,1658,.347,12.0
62,Elton Brand,80,3077,.381,24.3
364,Emeka Okafor,67,2329,.399,19.1
386,Eric Piatkowski,11,73,.080,19.0
452,Eric Snow,82,1929,.349,11.4
519,Eric Williams,21,121,.298,23.3
105,Erick Dampier,76,1915,.572,12.8
228,Ersan İlyasova,66,973,.245,21.0
35,Esteban Batista,13,81,.438,13.1
470,Etan Thomas,65,1246,.498,14.4
362,Fabricio Oberto,79,1365,.181,12.9
136,Francisco Elson,70,1332,.284,14.4
159,Francisco García,79,1410,.300,15.9
270,Fred Jones,63,1319,.316,16.9
