,Player,G,MP,FTr,USG%
487,A.J. Price,26,324,.175,22.5
77,Aaron Brooks,82,1885,.213,25.0
231,Aaron Gordon,47,797,.293,15.5
466,Adreian Payne,32,739,.209,17.0
288,Al Horford,76,2318,.146,22.2
304,Al Jefferson,65,1992,.163,26.3
13,Al-Farouq Aminu,74,1366,.331,15.2
18,Alan Anderson,74,1744,.230,14.2
88,Alec Burks,27,899,.430,20.8
340,Alex Kirk,5,14,.500,15.7
359,Alex Len,69,1518,.295,13.7
548,Alexey Shved,42,767,.448,26.3
7,Alexis Ajinça,68,957,.301,21.1
132,Allen Crabbe,51,683,.105,11.5
222,Alonzo Gee,54,662,.414,16.7
581,Amar'e Stoudemire,59,1245,.380,23.8
316,Amir Johnson,75,1979,.249,15.7
618,Anderson Varejão,26,636,.225,18.1
155,Andre Dawkins,4,22,.000,15.0
177,Andre Drummond,82,2502,.380,22.0
294,Andre Iguodala,77,2069,.230,13.3
404,Andre Miller,81,1253,.266,15.3
513,Andre Roberson,67,1286,.239,9.0
37,Andrea Bargnani,29,785,.296,26.4
339,Andrei Kirilenko,7,36,.800,9.8
66,Andrew Bogut,67,1583,.118,13.2
443,Andrew Nicholson,40,492,.132,20.8
641,Andrew Wiggins,82,2969,.410,22.6
54,Anthony Bennett,57,894,.215,17.8
152,Anthony Davis,68,2455,.384,27.8
424,Anthony Morrow,74,1806,.145,16.5
608,Anthony Tolliver,76,1432,.176,14.7
230,Archie Goodwin,41,535,.413,23.4
456,Arinze Onuaku,6,68,.571,12.7
47,Aron Baynes,70,1122,.318,17.8
4,Arron Afflalo,78,2502,.224,19.0
157,Austin Daye,34,344,.043,22.1
510,Austin Rivers,76,1563,.254,17.9
71,Avery Bradley,77,2428,.099,21.0
232,Ben Gordon,56,790,.227,21.8
397,Ben McLemore,82,2670,.193,17.2
616,Beno Udrih,79,1494,.202,19.6
302,Bernard James,16,158,.852,12.2
57,Bismack Biyombo,64,1243,.941,11.6
250,Blake Griffin,67,2356,.373,28.4
65,Bojan Bogdanović,78,1854,.184,17.2
164,Boris Diaw,81,1984,.147,18.3
50,Bradley Beal,63,2107,.195,22.5
662,Brandan Wright,75,1449,.309,13.6
44,Brandon Bass,82,1929,.313,19.5
149,Brandon Davies,27,423,.270,18.9
309,Brandon Jennings,41,1173,.263,26.3
