,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
447,Henry Ellenson,0,2.1,5.0,0.3,3.2,0.8,0.4,0.1,0.5,1.4
397,Ian Clark,6,2.5,6.4,0.2,1.3,1.6,0.4,0.1,1.0,1.6
559,Ian Mahinmi,6,1.4,3.1,1.4,2.4,0.7,0.7,0.5,0.6,2.5
732,Ike Anigbogu,0,0.0,1.0,0.3,0.7,0.3,0.0,0.3,0.3,0.0
338,Iman Shumpert,41,2.7,7.2,0.4,2.5,1.8,1.0,0.4,0.8,2.0
724,Isaac Bonga,0,0.2,1.5,0.4,0.7,0.7,0.4,0.2,0.3,0.4
644,Isaac Humphries,1,1.2,4.2,0.8,1.4,0.0,0.2,0.0,0.0,1.4
602,Isaiah Briscoe,0,1.4,3.5,0.1,1.8,2.2,0.3,0.1,0.8,1.7
438,Isaiah Canaan,16,2.1,5.5,0.2,1.7,2.8,0.5,0.1,1.2,1.7
693,Isaiah Hartenstein,0,0.7,1.5,0.8,0.9,0.5,0.3,0.4,0.5,2.0
568,Isaiah Hicks,0,1.3,2.7,0.7,1.7,0.7,0.3,1.0,0.3,1.7
313,Isaiah Thomas,0,2.8,8.3,0.4,0.7,1.9,0.4,0.1,1.5,1.4
280,Ish Smith,0,3.7,8.7,0.4,2.2,3.6,0.5,0.2,1.1,1.9
469,Ivan Rabb,13,2.4,4.3,1.4,2.8,1.1,0.3,0.3,0.7,1.8
271,Ivica Zubac,37,3.6,6.4,1.9,4.2,1.1,0.2,0.9,1.2,2.3
202,J.J. Barea,0,4.2,10.1,0.3,2.2,5.6,0.6,0.0,1.9,1.3
645,J.P. Macura,0,1.5,4.5,0.0,1.5,1.0,0.0,0.0,0.0,0.0
401,J.R. Smith,4,2.5,7.2,0.0,1.6,1.9,1.0,0.3,1.0,1.7
54,JJ Redick,63,5.9,13.5,0.3,2.2,2.7,0.4,0.2,1.3,1.7
36,JaKarr Sampson,0,7.3,13.5,1.3,6.8,1.0,1.0,0.8,1.0,2.0
255,JaMychal Green,6,3.5,7.3,1.6,4.7,0.8,0.7,0.5,1.3,3.0
165,JaVale McGee,62,5.3,8.5,2.6,4.9,0.7,0.6,2.0,1.4,2.8
105,Jabari Parker,17,5.8,11.7,1.2,5.3,2.4,0.7,0.5,2.4,2.3
712,Jacob Evans,1,0.6,1.8,0.2,0.6,0.8,0.2,0.1,0.4,0.9
169,Jae Crowder,11,4.0,10.0,0.8,4.1,1.7,0.8,0.4,1.1,2.1
308,Jahlil Okafor,24,3.6,6.1,1.4,3.3,0.7,0.3,0.7,0.9,1.6
336,Jake Layman,33,3.0,6.0,0.8,2.3,0.7,0.4,0.4,0.6,1.6
480,Jakob Poeltl,24,2.4,3.8,2.3,3.0,1.2,0.4,0.9,0.6,1.6
263,Jalen Brunson,38,3.6,7.7,0.3,2.0,3.2,0.5,0.1,1.2,1.7
497,Jalen Jones,0,1.6,3.9,0.7,1.4,0.4,0.6,0.1,0.5,1.7
317,Jamal Crawford,0,2.7,6.8,0.1,1.2,3.6,0.5,0.2,1.5,1.2
50,Jamal Murray,74,6.8,15.6,0.9,3.4,4.8,0.9,0.4,2.1,2.0
393,James Ennis III,27,2.4,5.1,1.0,2.1,0.7,0.7,0.4,0.6,2.6
0,James Harden,78,10.8,24.5,0.8,5.8,7.5,2.0,0.7,5.0,3.1
323,James Johnson,33,3.0,6.9,0.4,2.8,2.5,0.6,0.5,1.3,2.1
668,James Nunnally,0,0.8,2.3,0.0,0.3,0.5,0.1,0.0,0.1,0.7
518,Jared Dudley,25,1.7,4.1,0.6,2.1,1.4,0.6,0.3,0.7,2.2
679,Jared Terrell,0,0.9,2.8,0.1,0.4,0.9,0.2,0.1,0.7,1.1
