,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
589,A.J. Price,0,0.7,1.6,0.0,0.3,0.5,0.0,0.0,0.3,0.2
220,Aaron Brooks,12,3.2,8.1,0.6,1.3,3.2,0.7,0.2,1.6,2.0
576,Aaron Gray,6,0.7,1.6,1.1,1.9,0.6,0.3,0.2,0.8,1.7
534,Adonis Thomas,1,1.0,2.3,0.0,0.5,0.5,0.0,0.0,0.2,1.0
304,Al Harrington,0,2.4,6.1,0.4,1.9,0.8,0.4,0.0,1.0,2.1
31,Al Horford,29,8.2,14.5,2.3,6.1,2.6,0.9,1.5,2.2,1.9
10,Al Jefferson,73,9.6,18.8,2.1,8.7,2.1,0.9,1.1,1.7,2.4
276,Al-Farouq Aminu,65,2.9,6.2,1.6,4.6,1.4,1.0,0.5,1.1,1.8
277,Alan Anderson,26,2.5,6.2,0.5,1.7,1.0,0.6,0.1,0.8,1.9
88,Alec Burks,12,4.9,10.7,0.8,2.5,2.7,0.9,0.2,1.9,2.4
568,Alex Len,3,0.8,1.9,0.9,1.4,0.1,0.1,0.4,0.6,1.6
435,Alexey Shved,0,1.2,3.8,0.3,1.0,1.1,0.4,0.3,0.8,0.6
332,Alexis Ajinça,30,2.4,4.4,1.7,3.3,0.7,0.4,0.8,1.1,3.3
553,Allen Crabbe,0,0.8,2.2,0.1,0.5,0.4,0.1,0.1,0.2,0.7
433,Alonzo Gee,24,1.5,3.6,0.5,1.8,0.7,0.6,0.2,0.7,1.5
134,Amar'e Stoudemire,21,4.8,8.6,1.7,3.2,0.5,0.4,0.6,1.4,2.4
163,Amir Johnson,72,4.5,7.9,2.2,4.3,1.5,0.7,1.1,1.6,3.5
243,Anderson Varejão,29,3.5,7.1,2.9,6.8,2.2,1.1,0.6,1.1,2.5
144,Andray Blatche,7,4.4,9.2,1.6,3.7,1.5,1.0,0.5,1.5,2.3
99,Andre Drummond,81,5.9,9.5,5.4,7.8,0.4,1.2,1.6,1.4,3.4
213,Andre Iguodala,63,3.5,7.3,0.8,3.8,4.2,1.5,0.3,1.6,1.6
368,Andre Miller,2,1.8,4.0,0.5,1.8,3.4,0.6,0.2,1.1,1.3
575,Andre Roberson,16,0.8,1.7,0.9,1.5,0.4,0.5,0.3,0.5,1.9
101,Andrea Bargnani,39,5.3,12.0,1.6,3.6,1.1,0.3,1.2,1.4,2.4
366,Andrei Kirilenko,4,1.8,3.6,1.2,2.0,1.6,0.9,0.4,1.2,1.4
275,Andrew Bogut,67,3.5,5.6,2.7,7.3,1.7,0.7,1.8,1.4,3.1
225,Andrew Bynum,19,3.6,8.7,2.0,3.5,1.1,0.2,1.1,1.3,1.2
340,Andrew Nicholson,5,2.4,5.5,0.7,2.7,0.3,0.2,0.3,0.7,2.0
623,Andris Biedriņš,0,0.2,0.2,0.3,2.5,0.0,0.0,0.0,0.3,1.0
444,Antawn Jamison,0,1.3,4.2,0.4,2.1,0.3,0.4,0.1,0.3,1.3
411,Anthony Bennett,0,1.5,4.3,0.9,2.0,0.3,0.4,0.2,0.9,1.8
14,Anthony Davis,66,7.8,15.0,3.1,7.0,1.6,1.3,2.8,1.6,3.0
242,Anthony Morrow,9,3.1,6.8,0.4,1.5,0.8,0.5,0.2,0.7,1.3
383,Anthony Randolph,5,1.6,4.1,0.5,2.4,0.7,0.6,0.4,0.9,1.5
323,Anthony Tolliver,9,2.0,4.8,0.5,2.1,0.7,0.3,0.2,0.4,1.3
450,Archie Goodwin,0,1.5,3.2,0.5,1.2,0.4,0.4,0.2,0.8,0.9
620,Arinze Onuaku,0,0.2,1.0,0.4,1.2,0.6,0.0,0.0,0.2,0.6
501,Arnett Moultrie,2,1.3,3.2,0.9,2.0,0.2,0.7,0.3,0.6,1.8
497,Aron Baynes,4,1.3,3.1,1.1,1.7,0.6,0.0,0.1,0.7,1.5
34,Arron Afflalo,73,6.4,13.8,0.4,3.2,3.4,0.5,0.0,2.0,1.9
494,Austin Daye,1,1.1,3.1,0.2,1.0,0.4,0.2,0.2,0.2,0.8
263,Austin Rivers,4,2.8,6.9,0.4,1.5,2.3,0.7,0.1,1.1,1.9
74,Avery Bradley,58,6.0,13.8,0.8,3.0,1.4,1.1,0.2,1.6,2.4
359,Ben Gordon,0,1.9,5.7,0.2,1.3,1.1,0.5,0.1,1.1,0.9
224,Ben McLemore,55,3.1,8.3,0.6,2.2,1.0,0.5,0.2,1.2,2.5
371,Beno Udrih,12,1.9,4.3,0.2,1.2,2.8,0.6,0.1,1.1,1.2
614,Bernard James,0,0.4,0.8,0.5,0.9,0.1,0.1,0.3,0.3,0.8
506,Bismack Biyombo,9,1.1,1.9,1.4,3.4,0.1,0.1,1.1,0.5,1.6
5,Blake Griffin,80,9.0,17.0,2.4,7.1,3.9,1.2,0.6,2.8,3.3
214,Boris Diaw,24,3.8,7.3,0.9,3.2,2.8,0.6,0.4,1.5,1.8
49,Bradley Beal,73,6.6,15.7,0.7,3.0,3.3,1.0,0.2,1.8,2.1
219,Brandan Wright,0,3.9,5.7,1.8,2.4,0.5,0.6,0.9,0.6,1.6
147,Brandon Bass,73,4.3,8.8,2.0,3.8,1.1,0.4,0.9,1.2,2.3
511,Brandon Davies,0,1.1,2.5,0.7,1.4,0.5,0.5,0.2,0.7,1.8
68,Brandon Jennings,79,5.3,14.2,0.7,2.3,7.6,1.3,0.1,2.7,2.0
36,Brandon Knight,69,6.4,15.2,0.6,2.9,4.9,1.0,0.2,2.6,2.0
558,Brandon Rush,0,0.8,2.4,0.1,1.0,0.6,0.1,0.2,0.5,0.8
207,Brian Roberts,42,3.4,8.1,0.2,1.7,3.3,0.6,0.1,1.3,1.8
17,Brook Lopez,17,7.6,13.5,2.3,3.7,0.9,0.5,1.8,1.6,3.1
408,Byron Mullens,0,1.6,3.7,0.5,1.5,0.3,0.3,0.2,0.6,1.4
179,C.J. Miles,34,3.5,8.0,0.4,1.7,1.0,0.9,0.3,0.9,2.0
305,C.J. Watson,5,2.3,5.3,0.3,1.3,1.7,1.0,0.1,1.0,1.0
352,CJ McCollum,0,1.9,4.7,0.2,1.1,0.7,0.4,0.1,0.9,1.4
415,Carl Landry,1,1.7,3.3,0.8,2.3,0.3,0.2,0.1,0.5,1.9
96,Carlos Boozer,76,5.9,12.9,1.8,6.5,1.6,0.7,0.3,2.0,2.8
1,Carmelo Anthony,77,9.6,21.3,1.9,6.2,3.1,1.2,0.7,2.6,2.9
160,Caron Butler,13,3.8,9.6,0.4,3.7,1.5,0.8,0.3,1.1,2.1
522,Carrick Felix,0,1.0,2.0,0.1,0.7,0.6,0.0,0.0,0.6,0.6
345,Cartier Martin,6,1.9,4.5,0.2,1.6,0.6,0.5,0.1,0.6,1.2
353,Casper Ware,0,2.0,4.7,0.0,1.0,1.1,0.9,0.0,0.6,1.2
53,Chandler Parsons,74,6.3,13.3,0.9,4.6,4.0,1.2,0.4,1.9,2.3
149,Channing Frye,82,4.1,9.5,0.9,4.2,1.2,0.7,0.8,1.1,3.0
395,Charlie Villanueva,0,1.8,4.6,0.3,1.4,0.3,0.2,0.3,0.4,0.8
300,Chase Budinger,8,2.4,6.2,0.5,2.0,0.8,0.5,0.0,0.6,1.4
442,Chauncey Billups,7,1.3,4.2,0.2,1.3,2.2,0.4,0.1,1.3,1.3
302,Chris Andersen,0,2.5,3.8,1.8,3.5,0.3,0.4,1.3,0.7,2.3
586,Chris Babb,0,0.6,2.1,0.3,0.9,0.2,0.4,0.0,0.2,0.9
57,Chris Bosh,79,6.2,12.1,1.2,5.4,1.1,1.0,1.0,1.6,2.4
449,Chris Copeland,0,1.3,2.9,0.2,0.6,0.4,0.1,0.2,0.3,0.9
288,Chris Douglas-Roberts,8,2.3,5.1,0.3,2.1,1.0,0.6,0.3,0.7,1.2
313,Chris Johnson,0,2.1,5.4,0.8,1.7,0.8,0.7,0.1,0.6,1.6
165,Chris Kaman,13,4.5,8.9,1.4,4.5,1.5,0.3,1.0,1.9,2.4
27,Chris Paul,62,6.5,14.0,0.6,3.7,10.7,2.5,0.1,2.3,2.5
504,Chris Singleton,0,1.0,2.7,0.7,1.5,0.2,0.4,0.1,0.7,1.0
638,Chris Smith,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
330,Chris Wright,0,2.6,4.4,1.3,1.3,0.6,0.9,0.6,0.6,2.1
554,Chuck Hayes,1,0.9,2.1,1.1,2.3,0.6,0.6,0.2,0.5,1.6
331,Cody Zeller,3,2.1,4.9,1.4,2.9,1.1,0.5,0.5,1.1,2.1
565,Cole Aldrich,2,0.7,1.3,0.8,2.0,0.3,0.2,0.7,0.4,0.9
126,Corey Brewer,81,4.8,10.0,0.8,1.8,1.7,1.9,0.4,1.3,2.6
365,Cory Joseph,19,1.9,3.9,0.5,1.1,1.7,0.5,0.2,0.6,1.2
191,Courtney Lee,47,3.7,7.8,0.4,2.0,1.5,0.8,0.4,0.9,1.6
110,D.J. Augustin,9,4.2,10.1,0.2,1.6,4.4,0.7,0.0,1.8,2.1
544,D.J. Stephens,0,1.0,2.3,0.3,1.3,0.0,0.0,0.0,0.0,0.0
639,D.J. White,0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.5
16,Damian Lillard,82,6.7,15.9,0.4,3.1,5.6,0.8,0.3,2.4,2.4
599,Damion James,1,0.4,1.8,0.2,2.2,0.6,0.0,0.2,0.2,0.6
502,Daniel Orton,4,1.0,2.1,0.7,2.0,0.7,0.3,0.7,0.8,1.7
246,Danny Granger,2,2.8,7.5,0.8,2.5,1.0,0.3,0.4,1.1,1.5
215,Danny Green,59,3.2,7.4,0.4,3.0,1.5,1.0,0.9,1.1,1.6
312,Dante Cunningham,7,2.9,6.3,1.4,2.7,1.0,0.8,0.7,0.5,1.8
636,Darius Johnson-Odom,0,0.0,2.3,0.0,0.7,0.3,0.3,0.0,0.7,1.0
405,Darius Miller,7,1.6,3.7,0.2,1.0,1.0,0.5,0.2,0.5,2.0
422,Darius Morris,0,1.4,3.6,0.3,0.7,1.6,0.5,0.0,1.0,1.2
333,Darrell Arthur,1,2.4,6.0,0.8,2.3,0.9,0.6,0.7,0.9,2.7
141,Darren Collison,35,4.1,8.7,0.6,1.8,3.7,1.2,0.2,1.7,1.9
35,David Lee,67,7.4,14.2,2.6,6.7,2.1,0.7,0.4,2.2,3.0
90,David West,80,5.7,11.7,1.5,5.3,2.8,0.8,0.9,1.7,2.3
164,DeAndre Jordan,82,4.2,6.3,4.0,9.5,0.9,1.0,2.5,1.5,3.2
569,DeAndre Liggins,0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
307,DeJuan Blair,13,2.7,5.0,1.8,2.9,0.9,0.8,0.3,1.0,2.5
9,DeMar DeRozan,79,7.6,17.8,0.6,3.7,4.0,1.1,0.4,2.2,2.5
8,DeMarcus Cousins,71,8.3,16.8,3.1,8.6,2.9,1.5,1.3,3.5,3.8
148,DeMarre Carroll,73,4.1,8.8,1.5,4.1,1.8,1.5,0.3,1.1,2.6
451,Dennis Schröder,0,1.5,3.8,0.1,1.1,1.9,0.3,0.0,1.2,1.1
358,Derek Fisher,0,1.7,4.5,0.1,1.4,1.4,0.9,0.0,0.6,1.9
81,Deron Williams,58,5.0,11.2,0.2,2.4,6.1,1.5,0.2,2.2,2.3
102,Derrick Favors,73,5.3,10.2,2.7,6.0,1.2,1.0,1.5,1.8,3.2
63,Derrick Rose,10,5.8,16.4,0.9,2.3,4.3,0.5,0.1,3.4,1.5
253,Derrick Williams,15,2.6,6.2,0.9,3.2,0.7,0.6,0.3,1.0,1.5
260,Devin Harris,0,2.4,6.4,0.2,1.9,4.5,0.7,0.1,1.5,1.8
488,Dewayne Dedmon,6,1.2,2.7,1.2,2.9,0.2,0.2,0.7,0.6,2.1
637,Dexter Pittman,0,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0
466,Diante Garrett,0,1.4,3.7,0.2,1.2,1.7,0.6,0.1,1.1,1.1
64,Dion Waiters,24,6.1,14.2,0.5,2.3,3.0,0.9,0.2,2.2,2.2
537,Dionte Christmas,0,0.7,2.0,0.4,0.8,0.3,0.1,0.1,0.2,0.6
13,Dirk Nowitzki,80,7.9,15.9,0.5,5.7,2.7,0.9,0.6,1.5,2.1
