,Player,G,MP,FTr,USG%
451,A.J. Price,56,865,.212,22.7
77,Aaron Brooks,82,2919,.224,25.7
206,Aaron Gray,32,311,.341,16.4
338,Acie Law,26,234,.653,21.7
405,Adam Morrison,31,241,.094,18.3
220,Al Harrington,72,2195,.308,26.8
250,Al Horford,81,2845,.319,17.6
303,Al Jefferson,76,2463,.236,24.3
536,Al Thornton,75,2079,.312,19.0
544,Alando Tucker,15,96,.538,24.4
1,Alexis Ajinça,6,30,.100,19.3
278,Allen Iverson,28,865,.415,23.0
186,Alonzo Gee,11,182,.492,20.4
513,Amar'e Stoudemire,82,2838,.500,27.3
311,Amir Johnson,82,1453,.446,14.5
553,Anderson Varejão,76,2166,.375,13.1
58,Andray Blatche,81,2256,.234,25.8
274,Andre Iguodala,82,3193,.384,21.8
396,Andre Miller,82,2500,.432,23.8
34,Andrea Bargnani,80,2799,.205,22.3
327,Andrei Kirilenko,58,1681,.485,17.7
60,Andrew Bogut,69,2229,.260,23.3
93,Andrew Bynum,65,1977,.379,20.8
52,Andris Biedriņš,33,763,.182,10.1
420,Andrés Nocioni,75,1477,.169,20.9
298,Antawn Jamison,66,2406,.290,23.9
103,Anthony Carter,54,859,.072,12.6
312,Anthony Johnson,31,406,.180,16.7
406,Anthony Morrow,69,2018,.162,17.8
438,Anthony Parker,81,2289,.200,12.0
460,Anthony Randolph,33,749,.440,23.9
541,Anthony Tolliver,46,1427,.298,16.6
593,Antoine Wright,67,1392,.193,16.1
13,Antonio Anderson,1,15,.000,12.0
376,Antonio McDyess,77,1617,.133,15.1
0,Arron Afflalo,82,2221,.168,14.0
133,Austin Daye,69,915,.190,18.5
129,Baron Davis,75,2523,.287,24.3
199,Ben Gordon,62,1730,.329,24.5
560,Ben Wallace,69,1975,.548,10.0
550,Beno Udrih,79,2477,.168,18.6
78,Bobby Brown,45,519,.063,25.4
496,Bobby Simmons,23,395,.171,16.8
137,Boris Diaw,82,2906,.190,16.2
397,Brad Miller,82,1950,.379,18.1
37,Brandon Bass,50,648,.270,20.9
308,Brandon Jennings,82,2671,.225,26.1
485,Brandon Roy,65,2419,.424,26.7
486,Brandon Rush,82,2491,.127,14.8
234,Brendan Haywood,77,2355,.499,13.5
99,Brian Cardinal,29,267,.500,8.3
118,Brian Cook,15,44,.304,32.2
491,Brian Scalabrine,52,472,.071,10.4
500,Brian Skinner,16,123,.320,13.1
349,Brook Lopez,82,3027,.451,23.6
407,Byron Mullens,13,54,.000,19.1
392,C.J. Miles,63,1497,.169,20.5
567,C.J. Watson,65,1788,.314,16.0
332,Carl Landry,80,2469,.459,22.5
23,Carlos Arroyo,72,1585,.240,13.9
63,Carlos Boozer,78,2673,.350,24.8
134,Carlos Delfino,75,2279,.163,18.0
15,Carmelo Anthony,69,2634,.407,33.4
89,Caron Butler,74,2783,.300,22.1
359,Cartier Martin,18,390,.221,18.8
285,Cedric Jackson,12,74,.600,22.4
177,Channing Frye,81,2190,.172,16.7
45,Charlie Bell,71,1611,.151,14.8
554,Charlie Villanueva,78,1848,.157,23.9
88,Chase Budinger,74,1488,.154,19.4
53,Chauncey Billups,73,2490,.532,24.3
11,Chris Andersen,76,1695,.940,10.8
64,Chris Bosh,70,2526,.509,28.7
148,Chris Douglas-Roberts,67,1730,.274,19.6
152,Chris Duhon,67,2072,.211,13.1
269,Chris Hunter,60,783,.318,15.2
321,Chris Kaman,76,2608,.255,27.1
440,Chris Paul,45,1712,.298,22.2
455,Chris Quinn,25,223,.107,14.1
470,Chris Richard,18,224,.379,9.6
578,Chris Wilcox,34,441,.433,18.9
232,Chuck Hayes,82,1773,.201,10.8
26,Chucky Atkins,40,644,.172,14.4
323,Coby Karl,7,113,.188,17.0
68,Corey Brewer,82,2482,.270,21.5
354,Corey Maggette,70,2081,.622,26.7
343,Courtney Lee,71,2375,.197,17.7
501,Craig Smith,75,1232,.524,21.2
27,D.J. Augustin,80,1472,.301,17.9
276,D.J. Mbenga,49,355,.184,16.0
577,D.J. White,12,102,.244,21.3
515,DaJuan Summers,44,405,.292,18.5
119,Daequan Cook,45,691,.099,19.6
315,Dahntay Jones,76,1892,.413,20.1
579,Damien Wilkins,80,1585,.339,14.1
178,Dan Gadzuric,32,314,.281,16.6
188,Daniel Gibson,56,1068,.183,14.2
180,Danilo Gallinari,81,2747,.331,19.3
205,Danny Granger,62,2278,.376,28.7
