,Player,G,MP,FTr,USG%
350,Aaron McKie,68,1118,.113,7.1
586,Aaron Williams,42,315,.270,12.9
186,Adonal Foyle,78,1700,.232,10.4
214,Adrian Griffin,69,667,.273,14.1
226,Al Harrington,66,2550,.356,23.6
284,Al Jefferson,71,1051,.366,21.2
239,Alan Henderson,78,1203,.345,11.3
443,Aleksandar Radojević,12,128,.526,13.8
196,Alex Garcia,8,146,.077,19.7
249,Allan Houston,20,532,.210,21.0
264,Allen Iverson,75,3174,.432,35.0
375,Alonzo Mourning,37,702,.665,22.1
506,Amar'e Stoudemire,80,2889,.595,28.3
546,Anderson Varejão,54,863,.658,14.4
38,Andre Barrett,38,483,.153,15.0
174,Andre Emmett,8,28,.833,15.5
261,Andre Iguodala,82,2686,.385,12.8
358,Andre Miller,82,2852,.337,19.5
308,Andrei Kirilenko,41,1349,.617,21.3
147,Andrew DeClercq,8,49,.333,10.1
52,Andris Biedriņš,30,384,.513,12.4
395,Andrés Nocioni,81,1892,.369,19.7
224,Anfernee Hardaway,37,894,.177,16.9
477,Ansu Sesay,16,128,.571,20.9
282,Antawn Jamison,68,2605,.249,24.1
103,Anthony Carter,66,742,.288,16.4
206,Anthony Goldwire,33,537,.228,14.0
290,Anthony Johnson,63,1747,.248,16.5
359,Anthony Miller,2,9,.000,19.9
422,Anthony Peeler,40,529,.120,15.4
555,Antoine Walker,77,2955,.271,27.2
89,Antonio Burks,24,219,.317,17.3
134,Antonio Daniels,75,2026,.488,19.0
138,Antonio Davis,72,1843,.363,14.1
347,Antonio McDyess,77,1797,.321,20.3
129,Austin Croshere,73,1827,.515,18.7
504,Awvee Storey,9,32,.200,16.0
139,Baron Davis,46,1581,.323,28.2
210,Ben Gordon,82,2002,.256,30.4
223,Ben Handlogten,21,297,.205,16.8
559,Ben Wallace,74,2671,.467,15.2
540,Beno Udrih,80,1149,.228,20.5
454,Bernard Robinson,31,328,.321,15.2
522,Billy Thomas,25,356,.096,14.1
408,Bo Outlaw,39,214,.265,9.4
510,Bob Sura,61,1922,.373,18.0
266,Bobby Jackson,25,536,.227,25.6
480,Bobby Simmons,75,2799,.268,21.0
569,Bonzi Wells,69,1489,.305,25.0
151,Boris Diaw,66,1201,.262,15.5
383,Boštjan Nachbar,71,1341,.285,18.6
360,Brad Miller,56,2089,.471,17.4
310,Brandin Knight,1,3,.000,15.7
257,Brandon Hunter,31,224,.534,21.9
238,Brendan Haywood,68,1865,.611,14.9
41,Brent Barry,81,1742,.294,15.6
311,Brevin Knight,66,1944,.334,18.7
100,Brian Cardinal,58,1433,.419,19.6
126,Brian Cook,72,1087,.088,19.4
211,Brian Grant,69,1136,.378,11.4
476,Brian Scalabrine,54,1167,.208,17.2
481,Brian Skinner,49,941,.341,13.0
289,Britton Johnsen,6,87,.000,13.8
66,Bruce Bowen,82,2627,.187,12.5
509,Bruno Šundov,21,73,.054,27.4
472,Bryon Russell,70,1026,.306,14.0
111,Calbert Cheaney,55,951,.140,14.7
60,Calvin Booth,51,451,.296,13.8
23,Carlos Arroyo,70,1448,.347,19.3
63,Carlos Boozer,51,1772,.387,24.6
148,Carlos Delfino,30,459,.342,16.1
16,Carmelo Anthony,75,2608,.466,29.2
90,Caron Butler,77,2746,.322,20.7
274,Casey Jacobsen,84,1798,.471,14.2
563,Charlie Ward,14,360,.169,13.2
53,Chauncey Billups,80,2866,.418,20.7
8,Chris Andersen,67,1430,.531,16.4
65,Chris Bosh,81,3017,.539,21.7
162,Chris Duhon,82,2177,.137,13.1
302,Chris Kaman,63,1632,.244,18.8
354,Chris Mihm,75,1870,.467,18.8
566,Chris Webber,67,2370,.178,29.3
583,Chris Wilcox,54,1005,.438,21.6
316,Christian Laettner,49,739,.321,15.1
26,Chucky Atkins,82,2903,.223,17.9
565,Clarence Weatherspoon,40,525,.307,13.0
455,Clifford Robinson,71,1689,.185,16.9
331,Corey Maggette,66,2436,.666,27.9
597,Corliss Williamson,72,1527,.418,22.6
168,Corsley Edwards,10,110,.387,16.2
1,Cory Alexander,16,201,.245,16.2
64,Curtis Borchardt,67,859,.413,13.7
364,Cuttino Mobley,66,2388,.220,21.4
263,D.J. Mbenga,15,58,.286,16.0
295,Dahntay Jones,52,649,.337,18.0
554,Dajuan Wagner,11,102,.073,29.1
142,Dale Davis,61,1307,.423,11.3
584,Damien Wilkins,29,520,.202,17.7
296,Damon Jones,82,2576,.118,15.6
505,Damon Stoudamire,81,2762,.171,23.6
78,Damone Brown,14,152,.145,23.3
152,Dan Dickau,71,2090,.302,22.3
192,Dan Gadzuric,81,1783,.441,15.8
475,Daniel Santiago,11,105,.524,12.9
183,Danny Fortson,62,1047,1.142,19.0
356,Darius Miles,63,1699,.308,25.7
497,Darius Songaila,81,1668,.227,16.2
357,Darko Miličić,37,254,.316,19.0
20,Darrell Armstrong,66,988,.245,17.3
338,Darrick Martin,11,190,.160,14.5
220,Darvin Ham,47,275,.838,10.0
231,David Harrison,43,760,.495,17.5
574,David Wesley,80,2774,.225,17.5
577,David West,30,552,.291,19.4
156,DeSagana Diop,39,306,.072,12.3
501,DeShawn Stevenson,55,1089,.237,21.1
578,Delonte West,39,507,.174,17.0
291,DerMarr Johnson,71,1232,.272,17.4
9,Derek Anderson,47,1239,.223,18.5
178,Derek Fisher,74,2222,.269,19.4
121,Derrick Coleman,5,50,.214,16.3
341,Desmond Mason,80,2893,.486,23.2
200,Devean George,15,306,.192,18.4
79,Devin Brown,67,1238,.318,19.5
229,Devin Harris,76,1173,.281,18.8
381,Dikembe Mutombo,80,1212,.659,12.9
205,Dion Glover,7,68,.455,19.4
399,Dirk Nowitzki,78,3020,.490,28.7
233,Donnell Harvey,3,16,2.000,14.0
485,Donta Smith,38,433,.425,16.5
337,Donyell Marshall,65,1645,.154,18.7
605,Dorell Wright,3,27,.091,24.9
114,Doug Christie,52,1525,.235,13.6
209,Drew Gooden,82,2523,.329,21.7
250,Dwight Howard,82,2670,.610,16.7
553,Dwyane Wade,77,2974,.578,30.9
68,Earl Boykins,82,2162,.368,22.2
564,Earl Watson,80,1808,.249,20.4
201,Eddie Gill,73,1021,.335,15.8
215,Eddie Griffin,70,1492,.149,19.0
245,Eddie House,68,891,.074,20.6
297,Eddie Jones,80,2839,.263,16.6
130,Eddy Curry,63,1808,.430,25.5
388,Eduardo Nájera,68,1185,.283,15.8
97,Elden Campbell,40,390,.447,21.2
75,Elton Brand,81,3001,.387,25.4
403,Emeka Okafor,73,2600,.342,21.8
429,Eric Piatkowski,68,841,.217,17.0
495,Eric Snow,81,1844,.245,11.1
589,Eric Williams,55,1322,.488,16.2
133,Erick Dampier,59,1609,.621,15.8
507,Erick Strickland,62,1014,.211,17.8
135,Erik Daniels,21,72,.000,14.8
292,Ervin Johnson,46,410,.463,9.4
523,Etan Thomas,47,976,.565,16.5
172,Francisco Elson,67,939,.366,13.8
592,Frank Williams,9,71,.000,14.5
243,Fred Hoiberg,76,1272,.359,12.7
298,Fred Jones,77,2268,.320,18.0
421,Gary Payton,77,2541,.277,17.0
101,Geno Carlisle,6,16,2.000,19.1
329,George Lynch,44,933,.122,12.8
560,Gerald Wallace,70,2147,.454,19.1
18,Gilbert Arenas,80,3274,.420,27.3
458,Glenn Robinson,9,157,.299,27.9
204,Gordan Giriček,81,1660,.217,21.7
241,Grant Hill,67,2338,.336,24.8
87,Greg Buckner,70,1522,.267,11.4
407,Greg Ostertag,56,556,.452,10.0
478,Ha Seung-Jin,19,104,.478,17.6
539,Hedo Türkoğlu,67,1757,.288,24.8
288,Horace Jenkins,15,104,.289,26.1
170,Howard Eisley,74,1428,.205,17.8
315,Ibo Kutluay,5,12,.000,11.6
394,Ira Newble,74,1832,.163,12.7
486,J.R. Smith,76,1859,.215,23.2
487,Jabari Smith,45,648,.372,15.3
91,Jackie Butler,3,5,.500,53.7
549,Jackson Vroman,46,705,.377,19.4
547,Jacque Vaughn,71,1410,.280,14.2
579,Jahidi White,17,135,1.290,19.6
535,Jake Tsakalidis,31,278,.281,14.2
548,Jake Voskuhl,38,360,.644,11.6
463,Jalen Rose,81,2710,.336,25.5
333,Jamaal Magloire,23,703,.542,22.5
533,Jamaal Tinsley,40,1301,.314,26.8
128,Jamal Crawford,70,2688,.197,22.8
474,Jamal Sampson,23,329,.629,13.0
392,Jameer Nelson,79,1612,.170,21.4
299,James Jones,75,1330,.195,14.0
436,James Posey,50,1382,.312,16.2
524,James Thomas,11,117,.300,11.6
76,Jamison Brewer,18,185,.351,13.7
414,Jannero Pargo,32,453,.108,26.5
287,Jared Jeffries,77,2007,.399,13.6
450,Jared Reiner,19,132,.133,13.8
123,Jarron Collins,50,961,.758,11.7
237,Jarvis Hayes,54,1560,.223,18.0
122,Jason Collier,70,942,.189,22.4
124,Jason Collins,80,2542,.463,11.7
232,Jason Hart,74,1887,.349,17.9
303,Jason Kapono,81,1491,.127,22.4
306,Jason Kidd,66,2435,.225,21.3
451,Jason Richardson,72,2724,.226,27.1
521,Jason Terry,80,2401,.233,18.0
593,Jason Williams,71,1952,.157,19.8
184,Jeff Foster,61,1594,.438,13.3
349,Jeff McInnis,76,2651,.175,18.8
346,Jelani McCoy,10,88,.385,10.8
267,Jermaine Jackson,21,230,.394,9.7
400,Jermaine O'Neal,44,1530,.458,36.2
277,Jerome James,80,1330,.190,15.9
594,Jerome Williams,79,1211,.708,14.5
500,Jerry Stackhouse,56,1617,.450,24.9
268,Jim Jackson,64,1987,.100,16.5
571,Jiří Welsch,71,1317,.456,17.7
293,Joe Johnson,82,3240,.153,19.0
488,Joe Smith,74,2265,.367,16.1
441,Joel Przybilla,76,1858,.523,12.6
169,John Edwards,25,139,.467,15.2
473,John Salmons,58,993,.229,12.6
527,John Thomas,44,521,.535,11.1
42,Jon Barry,69,1505,.193,14.4
49,Jonathan Bender,7,93,.150,27.1
113,Josh Childress,80,2376,.360,16.0
145,Josh Davis,42,328,.153,18.0
251,Josh Howard,76,2446,.293,18.6
490,Josh Smith,74,2050,.394,18.4
158,Juan Dixon,63,1054,.217,23.1
300,Jumaine Jones,76,1830,.154,14.0
227,Junior Harrington,29,550,.197,19.8
449,Justin Reed,23,121,.517,15.1
252,Juwan Howard,61,1624,.213,19.5
370,Jérôme Moïso,20,120,.722,11.7
155,Kaniel Dickens,11,61,.143,13.0
469,Kareem Rush,48,968,.118,21.7
80,Kedrick Brown,8,55,1.667,12.4
57,Keith Bogans,74,1791,.266,22.0
351,Keith McLeod,53,1382,.358,19.0
543,Keith Van Horn,62,1502,.278,21.5
108,Kelvin Cato,62,1525,.481,12.1
202,Kendall Gill,14,284,.250,15.7
424,Kendrick Perkins,60,548,.487,15.4
10,Kenny Anderson,43,743,.184,16.1
528,Kenny Thomas,73,2167,.291,20.7
339,Kenyon Martin,70,2272,.340,23.4
309,Kerry Kittles,11,243,.137,16.1
197,Kevin Garnett,82,3121,.404,27.1
340,Kevin Martin,45,455,.470,16.1
405,Kevin Ollie,26,158,.290,11.5
600,Kevin Willis,29,344,.256,15.0
160,Keyon Dooling,74,1184,.316,18.0
242,Kirk Hinrich,77,2800,.193,22.3
423,Kirk Penney,4,12,.000,19.3
496,Kirk Snyder,68,906,.293,21.8
86,Kobe Bryant,66,2689,.502,31.7
256,Kris Humphries,67,873,.352,20.2
531,Kurt Thomas,80,2855,.093,16.6
81,Kwame Brown,42,908,.544,17.4
312,Kyle Korver,82,2667,.126,15.1
402,Lamar Odom,64,2320,.385,20.8
379,Lamond Murray,62,918,.258,19.9
440,Laron Profit,42,428,.195,16.9
254,Larry Hughes,61,2358,.417,26.6
499,Latrell Sprewell,80,2450,.196,22.2
191,Lawrence Funderburke,2,21,.833,17.5
278,LeBron James,80,3388,.378,29.7
36,Leandro Barbosa,63,1087,.195,18.9
386,Lee Nailon,68,2017,.190,24.2
258,Lindsey Hunter,76,1144,.192,16.2
294,Linton Johnson,2,15,.000,9.3
109,Lionel Chalmers,36,433,.192,17.0
47,Lonny Baxter,4,36,.182,20.5
601,Loren Woods,45,712,.360,14.6
606,Lorenzen Wright,80,2287,.290,17.9
230,Lucious Harris,73,1128,.231,14.4
180,Luis Flores,16,77,.069,23.5
271,Luke Jackson,10,43,.222,33.3
453,Luke Ridnour,82,2571,.244,17.4
562,Luke Walton,61,768,.267,15.3
150,Luol Deng,61,1663,.251,22.4
318,Maciej Lampe,37,380,.167,18.9
2,Malik Allen,36,519,.158,18.1
464,Malik Rose,76,1475,.422,19.6
382,Mamadou N'Diaye,11,72,.350,14.8
203,Manu Ginóbili,74,2193,.567,24.3
272,Marc Jackson,81,1976,.477,22.7
35,Marcus Banks,81,1145,.570,17.2
96,Marcus Camby,66,2015,.288,17.2
179,Marcus Fizer,54,903,.353,20.2
219,Marcus Haislip,9,106,.289,22.1
304,Mario Kasun,45,356,.439,17.5
55,Mark Blount,82,2130,.265,17.9
301,Mark Jones,10,116,.323,14.5
330,Mark Madsen,41,601,.606,8.3
435,Mark Pope,9,27,.000,11.6
283,Marko Jarić,50,1656,.179,16.5
136,Marquis Daniels,60,1412,.264,20.6
120,Mateen Cleaves,14,65,.286,12.6
37,Matt Barnes,43,715,.384,13.8
58,Matt Bonner,82,1553,.153,15.7
102,Matt Carroll,25,430,.461,24.9
190,Matt Freije,23,441,.063,15.5
225,Matt Harpring,78,2584,.368,20.1
28,Maurice Baker,5,19,.000,4.8
175,Maurice Evans,65,1233,.209,15.9
517,Maurice Taylor,65,1336,.231,20.4
404,Mehmet Okur,82,2304,.512,21.3
173,Melvin Ely,79,1649,.403,19.7
604,Metta World Peace,7,291,.429,26.1
69,Michael Bradley,18,119,.333,12.1
131,Michael Curry,18,249,.276,7.2
159,Michael Doleac,80,1175,.124,15.3
177,Michael Finley,64,2358,.150,19.5
406,Michael Olowokandi,62,1215,.195,17.2
448,Michael Redd,75,2848,.305,27.8
468,Michael Ruffin,79,1262,.677,6.0
502,Michael Stewart,12,145,.333,9.3
431,Mickaël Piétrus,67,1340,.403,22.5
51,Mike Bibby,80,3084,.327,23.8
165,Mike Dunleavy,79,2570,.190,19.1
279,Mike James,74,1859,.193,22.8
361,Mike Miller,76,2278,.196,19.8
511,Mike Sweetney,77,1509,.527,19.9
585,Mike Wilks,48,278,.208,16.4
374,Mikki Moore,74,1178,.474,16.1
413,Milt Palacio,80,1533,.395,16.8
595,Mo Williams,80,2254,.217,20.3
396,Moochie Norris,38,360,.220,18.7
428,Morris Peterson,82,2510,.267,18.9
367,Nazr Mohammed,77,1933,.377,19.2
167,Ndudi Ebi,2,54,.429,24.0
313,Nenad Krstić,75,1965,.447,19.0
240,Nenê,55,1317,.549,19.4
125,Nick Collison,82,1396,.333,15.5
542,Nick Van Exel,53,1619,.132,19.5
536,Nikoloz Tskitishvili,35,220,.095,19.4
171,Obinna Ekezie,42,732,.511,16.4
127,Omar Cook,5,74,.250,20.2
228,Othella Harrington,70,1271,.417,20.6
82,P.J. Brown,82,2817,.321,15.9
498,Pape Sow,27,255,.466,14.3
198,Pat Garrity,71,955,.108,16.0
199,Pau Gasol,56,1790,.528,26.2
430,Paul Pierce,82,2960,.546,26.6
479,Paul Shirley,9,30,.364,20.0
433,Pavel Podkolzin,5,10,,12.9
503,Peja Stojaković,66,2534,.271,21.7
444,Peter John Ramos,6,20,.200,30.3
34,Player,G,MP,FTr,USG%
161,Predrag Drobnjak,71,1435,.221,21.0
77,Primož Brezec,72,2276,.291,18.7
452,Quentin Richardson,79,2839,.176,18.9
467,Quinton Ross,78,1659,.295,13.3
602,Qyntel Woods,3,40,.000,16.3
317,Raef LaFrentz,80,2196,.215,16.9
17,Rafael Araújo,59,736,.314,15.6
7,Rafer Alston,80,2717,.265,21.2
48,Raja Bell,63,1790,.225,20.9
323,Randy Livingston,17,227,.327,14.9
322,Rashard Lewis,71,2697,.246,24.0
561,Rasheed Wallace,79,2687,.184,22.3
393,Rasho Nesterović,70,1785,.070,13.5
92,Rasual Butler,65,1203,.117,18.1
5,Ray Allen,78,3064,.286,28.0
325,Raül López,31,518,.244,17.5
193,Reece Gaines,21,187,.080,14.6
176,Reggie Evans,79,1881,.851,11.8
362,Reggie Miller,66,2105,.373,20.8
221,Richard Hamilton,76,2926,.370,25.1
285,Richard Jefferson,33,1355,.477,28.2
188,Richie Frahm,43,499,.179,15.2
84,Rick Brunson,80,1945,.167,14.3
146,Ricky Davis,82,2696,.337,23.4
244,Robert Horry,75,1396,.291,16.4
513,Robert Swift,16,72,.818,12.2
534,Robert Traylor,74,1327,.256,17.6
508,Rod Strickland,16,196,.233,15.2
88,Rodney Buford,64,1313,.092,19.4
459,Rodney Rogers,58,1367,.156,19.0
580,Rodney White,58,677,.152,22.7
353,Ron Mercer,18,390,.063,21.2
166,Ronald Dupree,47,472,.370,16.9
380,Ronald Murray,49,883,.220,23.8
265,Royal Ivey,62,809,.338,15.8
419,Ruben Patterson,70,1957,.469,20.4
67,Ryan Bowen,66,604,.189,9.9
255,Ryan Humphrey,35,317,.359,21.2
107,Sam Cassell,59,1522,.226,26.4
558,Samaki Walker,14,134,.097,13.1
132,Samuel Dalembert,72,1785,.310,16.3
420,Sasha Pavlović,65,862,.232,18.4
552,Sasha Vujačić,35,403,.162,15.8
434,Scot Pollard,49,865,.293,12.2
411,Scott Padgett,66,942,.172,14.0
596,Scott Williams,19,152,.268,15.1
336,Sean Marks,23,244,.350,20.3
520,Sebastian Telfair,68,1330,.309,21.2
13,Shandon Anderson,66,1171,.304,11.8
46,Shane Battier,80,2516,.372,14.8
401,Shaquille O'Neal,73,2492,.699,30.5
0,Shareef Abdur-Rahim,54,1867,.379,22.1
324,Shaun Livingston,30,814,.274,18.0
73,Shawn Bradley,77,885,.339,12.5
335,Shawn Marion,81,3146,.213,21.3
415,Smush Parker,16,144,.302,21.5
117,Speedy Claxton,62,1866,.416,20.1
27,Stacey Augmon,55,663,.461,15.3
352,Stanislav Medvedenko,43,423,.179,19.4
273,Stephen Jackson,51,1806,.280,27.7
334,Stephon Marbury,82,3281,.420,24.8
54,Steve Blake,44,648,.220,16.4
189,Steve Francis,78,2978,.456,28.0
391,Steve Nash,75,2573,.278,20.5
491,Steve Smith,50,750,.323,18.4
260,Steven Hunter,76,1046,.741,14.0
514,Stromile Swift,60,1279,.449,24.9
484,Tamar Slay,8,78,.051,27.2
439,Tayshaun Prince,82,3039,.285,18.8
446,Theo Ratliff,63,1731,.416,9.6
494,Theron Smith,33,510,.118,14.8
83,Tierre Brown,76,1066,.216,19.3
163,Tim Duncan,66,2203,.437,28.9
532,Tim Thomas,71,1940,.241,21.3
216,Tom Gugliotta,47,966,.178,14.7
314,Toni Kukoč,53,1099,.238,14.4
6,Tony Allen,77,1262,.393,18.9
45,Tony Battie,81,1894,.266,11.0
56,Tony Bobbitt,2,12,.000,18.8
149,Tony Delk,56,1340,.230,23.6
342,Tony Massenburg,61,699,.346,16.6
418,Tony Parker,80,2735,.289,25.1
74,Torraye Braggs,7,24,.000,17.7
348,Tracy McGrady,78,3182,.336,31.2
50,Travis Best,76,1461,.270,18.4
409,Travis Outlaw,59,793,.281,19.6
185,Tremaine Fowlkes,8,56,.118,19.6
