,Player,G,MP,FTr,USG%
553,Sebastian Telfair,37,711,.249,19.9
195,Semih Erden,41,595,.541,13.7
309,Serge Ibaka,82,2216,.298,15.7
53,Shane Battier,82,2375,.183,11.7
101,Shannon Brown,82,1568,.157,22.2
445,Shaquille O'Neal,37,752,.652,20.1
381,Shaun Livingston,73,1261,.315,20.1
390,Shawn Marion,80,2253,.197,21.5
630,Shawne Williams,64,1323,.127,15.2
631,Shelden Williams,59,911,.341,14.5
142,Sherron Collins,20,66,.040,20.9
6,Solomon Alabi,12,59,.133,14.3
352,Solomon Jones,39,528,.512,15.4
605,Sonny Weems,59,1413,.183,20.3
282,Spencer Hawes,81,1718,.155,18.9
158,Stephen Curry,74,2489,.216,24.4
256,Stephen Graham,59,959,.190,12.3
320,Stephen Jackson,67,2405,.288,27.4
75,Steve Blake,79,1581,.098,11.3
435,Steve Nash,75,2497,.307,21.4
440,Steve Novak,30,215,.119,16.0
227,Sundiata Gaines,24,301,.343,22.1
220,T.J. Ford,41,773,.203,18.3
246,Taj Gibson,80,1742,.295,16.8
484,Tayshaun Prince,78,2562,.168,21.0
634,Terrence Williams,21,290,.183,24.7
517,Thabo Sefolosha,79,2049,.237,9.4
646,Thaddeus Young,82,2135,.205,22.1
494,Theo Ratliff,10,71,.333,6.3
536,Tiago Splitter,60,738,.733,17.7
186,Tim Duncan,76,2156,.307,22.9
426,Timofey Mozgov,45,524,.391,16.2
177,Toney Douglas,81,1971,.142,20.1
11,Tony Allen,72,1494,.370,19.9
52,Tony Battie,38,377,.146,13.9
457,Tony Parker,78,2528,.283,25.5
404,Tracy McGrady,72,1686,.251,18.6
450,Travis Outlaw,82,2358,.234,17.3
27,Trevor Ariza,75,2600,.259,17.7
81,Trevor Booker,65,1063,.399,13.9
344,Trey Johnson,8,94,.303,20.2
430,Troy Murphy,35,466,.263,14.8
373,Ty Lawson,80,2103,.327,19.6
270,Tyler Hansbrough,70,1535,.413,23.1
203,Tyreke Evans,57,2107,.285,25.3
564,Tyrus Thomas,41,861,.411,24.9
130,Tyson Chandler,74,2059,.725,14.2
281,Udonis Haslem,13,345,.233,14.8
125,Vince Carter,73,2051,.194,23.5
489,Vladimir Radmanović,74,1169,.107,14.7
590,Von Wafer,58,553,.239,17.0
191,Wayne Ellington,62,1181,.134,17.1
348,Wesley Johnson,79,2069,.135,16.8
396,Wesley Matthews,82,2758,.322,21.3
109,Will Bynum,61,1125,.300,22.5
263,Willie Green,77,1674,.164,20.5
598,Willie Warren,19,134,.229,15.5
131,Wilson Chandler,72,2401,.169,20.9
289,Xavier Henry,38,527,.325,16.8
416,Yao Ming,5,91,.432,24.8
334,Yi Jianlian,63,1112,.262,17.4
180,Zabian Dowdell,24,292,.136,25.0
493,Zach Randolph,75,2724,.333,25.0
455,Zaza Pachulia,79,1244,.772,14.5
311,Zydrunas Ilgauskas,72,1145,.144,16.0
36,Ömer Aşık,82,989,1.028,12.5
