,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
186,A.J. Guyton,.496,.107,.049,.066,.275,.504,.357,.783,.000,.195
311,Aaron McKie,.739,.188,.100,.198,.253,.261,.485,.961,.004,.359
504,Aaron Williams,.995,.465,.330,.146,.055,.005,.727,,.153,.000
165,Adonal Foyle,1.000,.395,.491,.101,.013,.000,.538,,.052,
183,Adrian Griffin,.850,.320,.150,.153,.226,.150,.503,1.000,.008,.519
197,Al Harrington,.994,.308,.233,.271,.182,.006,.541,1.000,.079,.333
208,Alan Henderson,.991,.586,.250,.121,.034,.009,.672,1.000,.095,.000
216,Allan Houston,.734,.094,.072,.212,.356,.266,.544,.765,.002,.202
225,Allen Iverson,.839,.239,.107,.192,.301,.161,.375,.782,.005,.086
334,Alonzo Mourning,.997,.371,.263,.208,.155,.003,.635,1.000,.166,.333
156,Alton Ford,1.000,.542,.246,.169,.042,.000,.721,,.085,
251,Alvin Jones,1.000,.600,.000,.200,.200,.000,.500,,.150,
505,Alvin Williams,.801,.189,.078,.133,.401,.199,.493,.742,.000,.181
303,Amal McCaskill,1.000,.408,.265,.204,.122,.000,.600,,.163,
318,Andre Miller,.917,.248,.198,.282,.189,.083,.252,.727,.001,.092
260,Andrei Kirilenko,.842,.586,.076,.071,.109,.158,.677,.880,.174,.250
127,Andrew DeClercq,1.000,.611,.228,.107,.054,.000,.657,,.094,
192,Anfernee Hardaway,.911,.279,.188,.187,.257,.089,.451,.913,.020,.181
432,Ansu Sesay,1.000,.341,.091,.182,.386,.000,.818,,.000,
239,Antawn Jamison,.847,.270,.298,.091,.188,.153,.690,.985,.022,.205
89,Anthony Carter,.927,.188,.108,.131,.500,.073,.443,1.000,.000,.105
242,Anthony Johnson,.867,.278,.100,.178,.311,.133,.455,.750,.078,.417
299,Anthony Mason,.998,.383,.337,.236,.042,.002,.530,1.000,.005,.000
375,Anthony Peeler,.586,.105,.041,.086,.354,.414,.661,.874,.010,.265
488,Antoine Walker,.618,.294,.167,.076,.081,.382,.345,.910,.017,.118
120,Antonio Daniels,.680,.275,.109,.132,.163,.320,.528,.825,.057,.316
121,Antonio Davis,.999,.330,.154,.353,.162,.001,.637,,.087,.000
201,Antonio Harvey,1.000,.333,.333,.083,.250,.000,.500,,.000,
307,Antonio McDyess,1.000,.440,.093,.173,.293,.000,.884,,.093,
161,Antonis Fotsis,.779,.375,.077,.048,.279,.221,.429,1.000,.048,.217
