,Player,G,MP,FTr,USG%
419,A.J. Price,44,568,.201,17.7
209,Aaron Gray,49,813,.292,13.5
224,Al Harrington,64,1761,.228,24.4
258,Al Horford,11,348,.291,17.9
283,Al Jefferson,61,2075,.169,25.7
10,Al-Farouq Aminu,66,1477,.312,16.2
13,Alan Anderson,17,461,.239,18.6
74,Alec Burks,59,939,.401,22.5
194,Alonzo Gee,63,1827,.385,18.7
479,Amar'e Stoudemire,47,1543,.372,25.4
293,Amir Johnson,64,1553,.247,14.3
516,Anderson Varejão,25,785,.288,16.9
52,Andray Blatche,26,626,.200,21.7
151,Andre Emmett,6,45,1.143,12.7
270,Andre Iguodala,62,2209,.310,17.7
368,Andre Miller,66,1809,.306,19.8
32,Andrea Bargnani,31,1032,.357,28.7
55,Andrew Bogut,12,364,.169,20.6
79,Andrew Bynum,60,2112,.425,23.8
207,Andrew Goudelock,40,419,.069,21.9
47,Andris Biedriņš,47,739,.141,5.1
392,Andrés Nocioni,11,56,.550,25.0
282,Antawn Jamison,65,2151,.260,26.2
91,Anthony Carter,24,209,.189,16.8
382,Anthony Morrow,62,1636,.158,21.6
406,Anthony Parker,51,1280,.172,14.1
425,Anthony Randolph,34,517,.420,23.8
501,Anthony Tolliver,51,882,.302,12.2
294,Armon Johnson,9,124,.140,19.1
1,Arron Afflalo,62,2086,.353,19.1
123,Austin Daye,41,603,.189,21.9
62,Avery Bradley,64,1368,.194,17.9
118,Baron Davis,29,595,.130,20.4
204,Ben Gordon,52,1398,.257,23.3
513,Ben Uzoh,18,370,.192,16.1
527,Ben Wallace,62,980,.547,6.6
512,Beno Udrih,59,1080,.166,17.7
49,Bismack Biyombo,63,1455,.514,13.1
2,Blake Ahearn,4,30,.000,28.4
215,Blake Griffin,66,2392,.458,26.6
453,Bobby Simmons,28,418,.078,11.4
130,Boris Diaw,57,1424,.100,15.5
369,Brad Miller,15,146,.444,13.5
564,Brandan Wright,49,791,.352,17.0
35,Brandon Bass,59,1868,.258,19.8
290,Brandon Jennings,66,2331,.213,25.9
322,Brandon Knight,66,2129,.178,21.7
437,Brandon Rush,65,1717,.175,15.4
235,Brendan Haywood,54,1146,.421,12.8
85,Brian Cardinal,44,277,.109,11.0
104,Brian Cook,32,276,.102,18.7
442,Brian Scalabrine,28,122,.200,15.5
456,Brian Skinner,1,4,.000,11.3
338,Brook Lopez,5,136,.416,32.7
384,Byron Mullens,65,1465,.190,22.5
366,C.J. Miles,56,1145,.292,22.7
536,C.J. Watson,49,1159,.238,22.8
325,Carl Landry,41,999,.508,24.0
297,Carldell Johnson,15,119,.086,17.2
58,Carlos Boozer,66,1948,.163,23.8
124,Carlos Delfino,54,1537,.106,15.5
16,Carmelo Anthony,55,1876,.358,31.8
75,Caron Butler,63,1871,.152,20.4
349,Cartier Martin,17,391,.142,17.8
408,Chandler Parsons,63,1804,.142,16.7
184,Channing Frye,64,1669,.134,19.3
288,Charles Jenkins,51,893,.134,19.0
519,Charlie Villanueva,13,180,.077,26.0
73,Chase Budinger,58,1298,.149,19.5
48,Chauncey Billups,20,607,.417,23.4
12,Chris Andersen,32,486,.759,14.8
59,Chris Bosh,57,2007,.346,24.2
140,Chris Duhon,63,1226,.103,11.2
298,Chris Johnson,27,175,.463,17.1
317,Chris Kaman,47,1372,.179,26.6
410,Chris Paul,60,2181,.339,24.3
454,Chris Singleton,66,1431,.141,11.5
544,Chris Wilcox,28,481,.364,15.4
565,Chris Wright,24,186,.689,16.5
157,Christian Eyenga,7,102,.320,14.0
231,Chuck Hayes,54,1039,.229,9.9
4,Cole Aldrich,26,173,.333,14.9
65,Corey Brewer,59,1287,.281,20.0
345,Corey Maggette,32,881,.558,27.4
242,Cory Higgins,38,423,.375,24.6
315,Cory Joseph,29,266,.243,15.4
177,Courtney Fortson,10,95,.469,23.4
327,Courtney Lee,58,1757,.148,17.6
61,Craig Brackins,14,88,.061,20.2
461,Craig Smith,47,464,.453,16.2
22,D.J. Augustin,48,1408,.246,21.3
319,D.J. Kennedy,2,59,.167,12.1
542,D.J. White,58,1098,.173,17.8
481,DaJuan Summers,15,209,.138,17.4
107,Daequan Cook,57,989,.074,14.7
307,Dahntay Jones,65,1052,.352,16.0
545,Damien Wilkins,60,922,.280,12.4
279,Damion James,7,170,.343,14.1
185,Dan Gadzuric,2,13,1.000,13.4
196,Daniel Gibson,35,916,.173,15.3
399,Daniel Orton,16,187,.833,12.0
187,Danilo Gallinari,43,1351,.448,20.7
208,Danny Granger,62,2062,.309,25.9
210,Danny Green,66,1522,.210,17.6
111,Dante Cunningham,64,1124,.247,13.6
252,Darington Hobson,5,39,.000,16.9
378,Darius Morris,19,169,.214,17.6
367,Darko Miličić,29,472,.285,16.8
101,Darren Collison,60,1878,.293,17.0
535,Darryl Watkins,5,98,1.286,14.4
328,David Lee,57,2121,.304,26.0
539,David West,66,1925,.246,20.9
313,DeAndre Jordan,66,1798,.433,11.9
334,DeAndre Liggins,17,115,.760,17.7
50,DeJuan Blair,64,1363,.236,21.7
129,DeMar DeRozan,63,2206,.367,25.0
108,DeMarcus Cousins,64,1950,.373,29.7
86,DeMarre Carroll,24,348,.152,15.9
134,DeSagana Diop,27,325,.143,9.0
476,DeShawn Stevenson,51,960,.093,9.4
540,Delonte West,44,1060,.194,20.4
259,Dennis Horner,8,22,1.000,14.1
168,Derek Fisher,63,1508,.193,13.6
546,Deron Williams,55,1999,.317,30.1
69,Derrick Brown,65,1443,.345,16.8
78,Derrick Byars,2,37,.364,15.7
163,Derrick Favors,65,1376,.436,20.7
435,Derrick Rose,39,1375,.344,30.5
548,Derrick Williams,66,1418,.392,20.7
145,Devin Ebanks,24,396,.393,14.2
225,Devin Harris,63,1741,.386,19.5
417,Dexter Pittman,35,301,.298,19.0
394,Dirk Nowitzki,62,2079,.343,29.2
363,Dominic McGuire,64,1127,.252,11.8
308,Dominique Jones,33,268,.507,20.3
457,Donald Sloan,33,669,.152,17.6
214,Donté Greene,53,777,.207,18.0
566,Dorell Wright,61,1650,.186,17.3
203,Drew Gooden,56,1469,.317,25.7
260,Dwight Howard,54,2070,.788,26.1
521,Dwyane Wade,49,1625,.355,31.3
376,E'Twaun Moore,38,331,.062,19.9
34,Earl Barron,2,9,.000,20.5
60,Earl Boykins,8,111,.417,20.3
98,Earl Clark,45,559,.209,14.8
537,Earl Watson,50,1033,.288,11.5
119,Ed Davis,66,1534,.316,13.8
113,Eddy Curry,14,83,.308,22.1
387,Eduardo Nájera,22,270,.063,12.4
508,Edwin Ubiles,4,52,.167,17.5
509,Ekpe Udoh,61,1290,.386,14.0
549,Elliot Williams,24,149,.243,26.7
63,Elton Brand,60,1732,.200,18.9
397,Emeka Okafor,27,781,.346,17.2
183,Enes Freedom,66,874,.445,17.3
53,Eric Bledsoe,40,464,.349,19.1
122,Eric Dawson,4,39,.167,18.6
205,Eric Gordon,9,310,.464,29.4
355,Eric Maynor,9,137,.103,17.1
116,Erick Dampier,15,83,.000,6.2
271,Ersan İlyasova,60,1655,.307,20.1
506,Evan Turner,65,1713,.183,20.3
150,Francisco Elson,5,16,.000,11.7
188,Francisco García,49,798,.131,14.4
175,Gary Forbes,48,713,.336,24.1
389,Gary Neal,56,1206,.132,21.7
246,George Hill,50,1274,.308,17.2
211,Gerald Green,31,781,.203,23.6
236,Gerald Henderson,55,1831,.282,23.0
528,Gerald Wallace,58,2076,.356,18.6
18,Gilbert Arenas,17,211,.156,17.3
120,Glen Davis,61,1427,.313,22.4
138,Goran Dragić,66,1752,.317,21.8
232,Gordon Hayward,66,2015,.396,17.8
247,Grant Hill,49,1378,.242,18.6
374,Greg Monroe,66,2082,.348,23.6
462,Greg Smith,8,69,.000,7.9
477,Greg Stiemsma,55,766,.339,10.8
517,Greivis Vásquez,66,1706,.224,20.0
23,Gustavo Ayón,54,1088,.241,14.5
534,Hakim Warrick,35,503,.550,23.4
386,Hamady N'Diaye,3,3,.000,14.9
216,Hamed Haddadi,35,206,.542,17.7
485,Hasheem Thabeet,20,139,.952,12.4
543,Hassan Whiteside,18,109,.444,14.8
505,Hedo Türkoğlu,53,1653,.188,19.5
524,Henry Walker,32,620,.117,15.5
347,Ian Mahinmi,61,1139,.618,14.4
133,Ike Diogu,2,14,1.000,12.6
451,Iman Shumpert,59,1705,.204,18.2
488,Isaiah Thomas,65,1656,.324,19.8
463,Ish Smith,26,234,.123,19.6
301,Ivan Johnson,56,934,.364,19.5
31,J.J. Barea,41,1032,.234,24.3
239,J.J. Hickson,54,1244,.342,18.7
466,J.R. Smith,35,967,.136,22.0
428,JJ Redick,65,1765,.269,19.2
302,JaJuan Johnson,36,298,.074,22.4
359,JaVale McGee,61,1535,.303,20.7
346,Jamaal Magloire,34,374,.600,9.9
500,Jamaal Tinsley,37,507,.121,17.8
109,Jamal Crawford,60,1613,.280,26.6
375,Jamario Moon,8,123,.083,12.3
390,Jameer Nelson,57,1706,.145,21.4
14,James Anderson,51,603,.299,17.2
221,James Harden,62,1946,.587,21.6
303,James Johnson,62,1561,.222,20.2
309,James Jones,51,666,.200,12.1
455,James Singleton,12,262,.200,15.6
518,Jan Veselý,57,1078,.284,12.7
404,Jannero Pargo,50,671,.079,21.8
139,Jared Dudley,65,2020,.255,17.7
287,Jared Jeffries,39,729,.500,12.6
274,Jarrett Jack,45,1530,.254,23.3
100,Jason Collins,30,308,.375,8.6
318,Jason Kapono,27,269,.073,10.7
320,Jason Kidd,48,1379,.103,12.7
354,Jason Maxiell,65,1466,.277,15.8
430,Jason Richardson,54,1591,.116,20.2
467,Jason Smith,40,947,.135,20.4
484,Jason Terry,63,2000,.134,23.3
494,Jason Thompson,64,1657,.409,15.5
0,Jeff Adrien,8,63,.750,16.8
24,Jeff Ayres,20,106,.194,17.6
174,Jeff Foote,4,39,.000,9.7
180,Jeff Foster,11,141,.500,9.3
482,Jeff Teague,66,2183,.275,19.1
153,Jeremy Evans,29,217,.381,11.2
335,Jeremy Lin,35,940,.478,28.1
405,Jeremy Pargo,44,424,.180,22.2
507,Jeremy Tyler,42,568,.249,21.8
395,Jermaine O'Neal,25,570,.258,13.0
144,Jerome Dyson,9,180,.750,22.0
314,Jerome Jordan,21,108,.303,16.4
468,Jerry Smith,5,46,.000,13.9
474,Jerry Stackhouse,30,273,.230,21.2
39,Jerryd Bayless,31,705,.319,24.6
182,Jimmer Fredette,61,1135,.108,20.4
76,Jimmy Butler,42,359,.709,14.9
391,Joakim Noah,64,1945,.420,15.8
365,Jodie Meeks,66,1644,.182,15.2
304,Joe Johnson,60,2127,.200,24.9
17,Joel Anthony,64,1349,.467,7.8
422,Joel Przybilla,27,449,.375,7.9
414,Johan Petro,59,920,.142,15.6
342,John Lucas III,49,726,.089,26.0
439,John Salmons,46,1250,.130,14.2
526,John Wall,66,2386,.450,24.9
67,Jon Brockman,35,239,.333,11.4
332,Jon Leuer,46,555,.147,17.6
291,Jonas Jerebko,64,1468,.274,18.1
171,Jonny Flynn,29,416,.298,20.2
110,Jordan Crawford,64,1753,.233,28.1
161,Jordan Farmar,39,831,.200,22.6
217,Jordan Hamilton,26,258,.045,22.3
248,Jordan Hill,39,551,.285,17.9
550,Jordan Williams,43,635,.434,14.7
97,Josh Childress,34,491,.020,10.1
121,Josh Davis,15,130,.296,11.7
223,Josh Harrellson,37,540,.174,15.0
261,Josh Howard,43,991,.269,20.7
364,Josh McRoberts,50,718,.305,10.5
446,Josh Selby,28,237,.194,20.5
469,Josh Smith,66,2329,.292,28.4
81,José Calderón,53,1799,.143,16.0
253,Jrue Holiday,65,2196,.144,21.8
478,Julyan Stone,22,179,.355,11.7
126,Justin Dentmon,6,91,.214,19.4
222,Justin Harper,14,84,.032,20.9
263,Juwan Howard,28,190,.182,19.4
330,Kawhi Leonard,64,1534,.218,14.5
45,Keith Benson,3,9,.000,5.1
54,Keith Bogans,5,94,.238,12.8
25,Kelenna Azubuike,3,18,.000,30.9
525,Kemba Walker,66,1792,.278,25.2
413,Kendrick Perkins,65,1744,.427,11.1
160,Kenneth Faried,46,1037,.531,18.7
350,Kenyon Martin,42,940,.245,13.5
143,Kevin Durant,66,2546,.386,31.3
190,Kevin Garnett,60,1864,.243,24.9
340,Kevin Love,55,2145,.434,28.8
351,Kevin Martin,40,1264,.333,24.7
447,Kevin Séraphin,57,1176,.183,18.2
135,Keyon Dooling,46,662,.190,15.3
251,Kirk Hinrich,48,1237,.108,13.9
496,Klay Thompson,66,1608,.127,24.7
72,Kobe Bryant,58,2232,.338,35.7
324,Kosta Koufos,48,792,.286,14.0
268,Kris Humphries,62,2162,.414,19.3
489,Kurt Thomas,53,803,.127,11.2
70,Kwame Brown,9,187,.850,17.0
323,Kyle Korver,65,1469,.160,15.3
341,Kyle Lowry,47,1510,.386,22.0
272,Kyrie Irving,51,1558,.262,28.7
166,Kyrylo Fesenko,3,17,1.200,20.4
5,LaMarcus Aldridge,55,1994,.291,27.0
396,Lamar Odom,50,1027,.281,20.1
475,Lance Stephenson,42,442,.136,17.3
490,Lance Thomas,42,630,.492,13.3
167,Landry Fields,66,1894,.267,16.0
267,Larry Hughes,9,114,.091,14.3
401,Larry Owens,7,75,.364,9.0
441,Larry Sanders,52,643,.207,16.7
6,Lavoy Allen,41,624,.084,14.5
234,Lazar Hayward,26,141,.316,16.8
280,LeBron James,62,2326,.429,32.0
28,Leandro Barbosa,64,1382,.195,26.5
264,Lester Hudson,16,334,.253,28.6
321,Linas Kleiza,49,1057,.244,23.1
11,Lou Amundson,60,753,.396,17.3
551,Lou Williams,64,1682,.373,27.4
357,Luc Mbah a Moute,43,1009,.395,15.1
443,Luis Scola,66,2067,.223,24.8
26,Luke Babbitt,40,537,.116,17.8
220,Luke Harangody,21,231,.185,14.5
432,Luke Ridnour,53,1750,.216,17.8
531,Luke Walton,30,364,.000,11.4
125,Luol Deng,54,2129,.219,19.8
329,Malcolm Lee,19,243,.288,15.3
491,Malcolm Thomas,3,15,.667,11.8
226,Manny Harris,26,456,.393,20.0
198,Manu Ginóbili,34,792,.354,22.7
68,MarShon Brooks,56,1648,.231,22.9
191,Marc Gasol,65,2370,.428,19.1
206,Marcin Gortat,66,2114,.326,20.8
42,Marco Belinelli,66,1966,.188,19.5
82,Marcus Camby,59,1352,.223,12.6
379,Marcus Morris,17,126,.148,22.2
499,Marcus Thornton,51,1780,.203,23.4
94,Mario Chalmers,64,1825,.203,17.4
380,Markieff Morris,63,1227,.243,20.4
117,Marquis Daniels,38,484,.161,18.0
471,Marreese Speights,60,1345,.223,20.5
538,Martell Webster,47,1140,.265,13.6
552,Marvin Williams,57,1500,.311,18.0
33,Matt Barnes,63,1440,.331,16.4
56,Matt Bonner,65,1326,.060,12.8
90,Matt Carroll,53,596,.242,15.3
154,Maurice Evans,24,343,.116,16.7
398,Mehmet Okur,17,454,.036,16.8
563,Metta World Peace,64,1720,.247,15.6
40,Michael Beasley,47,1087,.191,25.3
427,Michael Redd,51,770,.308,26.3
416,Mickaël Piétrus,42,921,.115,16.5
199,Mickell Gladness,26,252,.203,13.1
46,Mike Bibby,39,557,.065,11.9
103,Mike Conley,62,2174,.231,18.3
142,Mike Dunleavy,55,1445,.284,19.0
281,Mike James,11,120,.163,25.3
370,Mike Miller,39,752,.024,14.9
377,Mikki Moore,7,118,.350,11.8
553,Mo Williams,52,1472,.131,22.9
147,Monta Ellis,58,2120,.264,28.7
9,Morris Almond,4,67,.176,12.9
497,Mychel Thompson,5,95,.000,13.7
433,Nate Robinson,51,1192,.233,23.6
373,Nazr Mohammed,63,692,.136,13.4
243,Nenê,39,1110,.427,22.6
102,Nick Collison,63,1307,.308,10.0
567,Nick Young,62,1729,.216,24.5
38,Nicolas Batum,59,1791,.248,20.5
