,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
79,Aaron Brooks,.605,.269,.135,.095,.106,.395,.202,.664,.001,.146
219,Aaron Gray,.994,.641,.263,.078,.012,.006,.407,,.060,.000
322,Acie Law,.791,.331,.108,.086,.266,.209,.140,.778,.007,.414
389,Adam Morrison,.570,.072,.081,.121,.296,.430,.521,.938,.004,.302
189,Adonal Foyle,1.000,.545,.273,.091,.091,.000,.429,,.000,
228,Al Harrington,.612,.314,.077,.087,.134,.388,.313,.906,.023,.196
256,Al Horford,.998,.337,.281,.195,.185,.002,.663,,.131,.000
289,Al Jefferson,.996,.381,.281,.210,.124,.004,.522,,.042,.000
544,Al Thornton,.925,.352,.111,.140,.322,.075,.572,.900,.076,.089
546,Alando Tucker,.810,.413,.157,.091,.149,.190,.614,.875,.041,.348
0,Alex Acker,.737,.224,.066,.118,.329,.263,.478,.714,.013,.450
7,Alexis Ajinça,.971,.174,.159,.159,.478,.029,.720,,.058,.000
273,Allen Iverson,.881,.290,.076,.167,.349,.119,.256,.929,.000,.232
524,Amar'e Stoudemire,.991,.426,.214,.092,.259,.009,.571,.667,.159,.000
294,Amir Johnson,1.000,.681,.160,.018,.141,.000,.577,,.209,
553,Anderson Varejão,.996,.530,.149,.125,.192,.004,.785,,.083,.000
60,Andray Blatche,.967,.421,.165,.160,.221,.033,.500,.600,.078,.143
80,Andre Brown,1.000,.714,.143,.000,.143,.000,.000,,.143,
269,Andre Iguodala,.772,.354,.053,.075,.290,.228,.491,.650,.137,.172
372,Andre Miller,.949,.416,.104,.207,.223,.051,.291,.600,.000,.132
38,Andrea Bargnani,.696,.214,.108,.115,.260,.304,.692,.975,.047,.010
313,Andrei Kirilenko,.872,.461,.079,.039,.293,.128,.750,1.000,.111,.178
65,Andrew Bogut,1.000,.599,.309,.066,.025,.000,.574,,.132,
96,Andrew Bynum,1.000,.522,.343,.102,.034,.000,.637,,.209,
55,Andris Biedriņš,.998,.749,.244,.004,.002,.002,.636,,.133,.000
406,Andrés Nocioni,.556,.225,.103,.057,.171,.444,.577,.984,.016,.248
286,Antawn Jamison,.779,.288,.213,.095,.183,.221,.639,1.000,.008,.144
105,Anthony Carter,.772,.272,.085,.057,.358,.228,.610,.952,.003,.216
295,Anthony Johnson,.651,.150,.097,.199,.205,.349,.206,.712,.021,.308
392,Anthony Morrow,.655,.142,.066,.110,.337,.345,.521,.930,.002,.304
426,Anthony Parker,.680,.162,.033,.111,.374,.320,.502,.926,.021,.564
450,Anthony Randolph,.991,.404,.223,.118,.246,.009,.477,,.128,.500
465,Anthony Roberson,.325,.083,.042,.050,.150,.675,.500,.808,.000,.395
545,Anthony Tolliver,.369,.169,.000,.000,.200,.631,.500,.889,.031,.220
595,Antoine Wright,.654,.348,.093,.044,.169,.346,.478,.933,.016,.537
136,Antonio Daniels,.746,.284,.089,.161,.212,.254,.247,.864,.017,.183
360,Antonio McDyess,1.000,.248,.017,.116,.619,.000,.866,,.017,
4,Arron Afflalo,.643,.240,.023,.070,.310,.357,.534,.930,.003,.654
130,Austin Croshere,.615,.385,.077,.026,.128,.385,.556,1.000,.077,.133
142,Baron Davis,.658,.290,.083,.108,.176,.342,.145,.505,.003,.098
212,Ben Gordon,.679,.202,.060,.105,.313,.321,.358,.671,.007,.246
561,Ben Wallace,1.000,.703,.142,.071,.084,.000,.638,,.206,
550,Beno Udrih,.838,.283,.109,.203,.243,.162,.304,.829,.000,.354
6,Blake Ahearn,.333,.167,.167,.000,.000,.667,,1.000,.000,.250
81,Bobby Brown,.639,.197,.075,.058,.308,.361,.240,.667,.019,.185
278,Bobby Jackson,.594,.165,.111,.080,.237,.406,.376,.750,.000,.345
498,Bobby Simmons,.406,.152,.041,.052,.161,.594,.605,.932,.016,.561
147,Boris Diaw,.795,.374,.208,.051,.162,.205,.566,.987,.017,.105
373,Brad Miller,.909,.363,.132,.085,.329,.091,.651,.957,.016,.357
596,Brandan Wright,.984,.484,.325,.138,.037,.016,.731,,.126,.000
41,Brandon Bass,.988,.404,.104,.211,.270,.012,.698,,.157,.000
476,Brandon Roy,.833,.333,.113,.140,.247,.167,.256,.819,.024,.318
478,Brandon Rush,.637,.210,.082,.106,.238,.363,.479,.949,.030,.325
240,Brendan Haywood,1.000,.580,.240,.140,.040,.000,.625,,.240,
40,Brent Barry,.238,.116,.041,.041,.041,.762,.714,.959,.012,.198
315,Brevin Knight,.968,.153,.053,.090,.672,.032,.561,,.000,.000
100,Brian Cardinal,.456,.136,.059,.071,.189,.544,.743,1.000,.000,.250
119,Brian Cook,.605,.171,.053,.092,.289,.395,.400,1.000,.026,.000
487,Brian Scalabrine,.465,.140,.035,.035,.254,.535,.958,.958,.044,.590
509,Brian Skinner,.990,.371,.288,.171,.161,.010,.630,,.063,.000
329,Brook Lopez,.998,.520,.238,.118,.121,.002,.645,,.164,.000
73,Bruce Bowen,.476,.144,.048,.080,.203,.524,.784,1.000,.005,.898
369,C.J. Miles,.681,.283,.100,.069,.230,.319,.672,.968,.087,.229
566,C.J. Watson,.786,.210,.114,.103,.359,.214,.330,.917,.004,.442
68,Calvin Booth,1.000,.400,.000,.100,.500,.000,.600,,.000,
