,Player,GS,FG,FGA,ORB,DRB,AST,STL,BLK,TOV,PF
442,A.J. Price,0,2.0,5.3,0.2,1.0,1.8,0.3,0.0,0.5,0.6
156,Aaron Brooks,21,4.2,10.0,0.4,1.6,3.2,0.7,0.2,1.9,2.3
438,Aaron Gordon,8,2.0,4.4,1.0,2.6,0.7,0.4,0.5,0.8,1.8
340,Adreian Payne,22,2.8,6.9,1.5,3.6,0.9,0.6,0.3,1.4,2.8
73,Al Horford,76,6.8,12.7,1.7,5.4,3.2,0.9,1.3,1.3,1.6
44,Al Jefferson,61,7.5,15.5,1.5,6.9,1.7,0.7,1.3,1.0,2.1
406,Al-Farouq Aminu,3,2.0,4.8,1.5,3.1,0.8,0.9,0.8,0.7,1.9
299,Alan Anderson,19,2.6,5.9,0.4,2.3,1.1,0.8,0.1,0.8,2.0
98,Alec Burks,27,4.5,11.1,0.7,3.5,3.0,0.6,0.2,1.9,2.4
668,Alex Kirk,0,0.2,0.8,0.2,0.0,0.2,0.0,0.0,0.0,0.2
360,Alex Len,44,2.6,5.1,2.1,4.5,0.5,0.5,1.5,1.1,3.1
179,Alexey Shved,9,3.2,8.0,0.5,1.8,2.5,0.7,0.1,1.1,1.1
347,Alexis Ajinça,8,2.7,4.8,1.5,3.1,0.7,0.3,0.8,1.0,2.2
551,Allen Crabbe,9,1.2,3.0,0.1,1.3,0.8,0.4,0.3,0.3,1.5
475,Alonzo Gee,2,1.6,3.4,0.7,1.1,0.5,0.6,0.1,0.6,1.1
157,Amar'e Stoudemire,15,4.6,8.3,1.9,3.7,0.8,0.5,0.6,1.3,2.7
221,Amir Johnson,72,4.0,6.9,2.1,4.0,1.6,0.6,0.8,1.5,3.0
206,Anderson Varejão,26,4.3,7.7,2.2,4.3,1.3,0.7,0.6,1.3,2.2
667,Andre Dawkins,0,0.3,1.5,0.0,0.5,0.3,0.0,0.0,0.3,0.8
101,Andre Drummond,82,6.0,11.7,5.3,8.1,0.7,0.9,1.9,1.5,3.5
279,Andre Iguodala,0,3.0,6.4,0.6,2.8,3.0,1.2,0.3,1.1,1.3
480,Andre Miller,0,1.8,3.6,0.5,1.4,3.5,0.4,0.1,1.3,1.3
549,Andre Roberson,65,1.4,3.0,0.9,2.9,1.0,0.8,0.4,0.7,2.1
78,Andrea Bargnani,22,5.7,12.4,1.1,3.3,1.6,0.1,0.9,1.4,1.8
675,Andrei Kirilenko,0,0.0,0.7,0.3,0.9,0.1,0.1,0.0,0.1,0.1
355,Andrew Bogut,65,3.0,5.3,2.1,6.0,2.7,0.6,1.7,1.6,2.8
458,Andrew Nicholson,3,2.1,4.8,0.4,1.6,0.6,0.2,0.3,0.6,1.3
39,Andrew Wiggins,82,6.1,13.9,1.6,2.9,2.1,1.0,0.6,2.2,2.3
436,Anthony Bennett,3,2.2,5.2,0.9,2.9,0.8,0.5,0.3,0.6,1.5
4,Anthony Davis,68,9.4,17.6,2.5,7.7,2.2,1.5,2.9,1.4,2.1
173,Anthony Morrow,0,3.9,8.3,0.5,2.1,0.8,0.7,0.1,0.5,1.8
349,Anthony Tolliver,11,2.1,5.2,0.7,2.4,0.8,0.3,0.2,0.7,1.8
407,Archie Goodwin,2,1.9,4.9,0.7,1.1,1.1,0.4,0.2,1.2,1.3
479,Arinze Onuaku,1,2.0,2.3,1.2,2.3,0.7,0.2,0.5,0.3,1.0
345,Aron Baynes,17,2.6,4.7,1.6,3.0,0.5,0.2,0.3,0.9,2.3
110,Arron Afflalo,72,4.8,11.3,0.3,2.8,1.7,0.5,0.1,1.5,2.1
518,Austin Daye,4,1.5,4.1,0.3,1.9,0.5,0.4,0.1,0.7,1.1
323,Austin Rivers,5,2.7,6.5,0.4,1.6,2.0,0.6,0.2,0.9,1.9
97,Avery Bradley,77,5.6,13.1,0.6,2.5,1.8,1.1,0.2,1.4,2.3
364,Ben Gordon,0,2.3,5.3,0.1,1.0,0.9,0.3,0.0,1.0,1.1
135,Ben McLemore,82,4.4,10.1,0.4,2.6,1.7,0.9,0.2,1.7,2.7
287,Beno Udrih,12,3.1,6.4,0.3,1.6,2.8,0.6,0.1,1.1,1.1
574,Bernard James,2,0.8,1.7,1.1,1.3,0.3,0.1,0.9,0.4,1.1
459,Bismack Biyombo,21,1.6,2.9,2.5,3.9,0.3,0.3,1.5,0.8,2.2
10,Blake Griffin,67,8.6,17.1,1.9,5.7,5.3,0.9,0.5,2.3,2.9
229,Bojan Bogdanović,28,3.3,7.4,0.6,2.1,0.9,0.4,0.1,1.0,1.3
242,Boris Diaw,15,3.6,7.8,1.0,3.3,2.9,0.4,0.3,1.6,1.8
71,Bradley Beal,59,5.8,13.5,0.9,2.9,3.1,1.2,0.3,2.0,2.2
303,Brandan Wright,7,3.1,4.8,1.7,2.6,0.5,0.7,1.3,0.5,1.4
174,Brandon Bass,43,4.2,8.3,1.7,3.2,1.3,0.5,0.4,1.0,1.7
425,Brandon Davies,6,2.0,5.1,1.4,1.7,1.1,0.7,0.3,1.1,2.2
70,Brandon Jennings,41,5.3,13.2,0.5,2.0,6.6,1.1,0.1,2.2,1.6
35,Brandon Knight,61,6.0,14.1,0.4,3.4,5.2,1.4,0.2,3.0,1.8
665,Brandon Rush,0,0.3,1.6,0.1,1.1,0.4,0.2,0.4,0.3,0.8
646,Brendan Haywood,1,0.6,1.4,0.3,1.0,0.1,0.1,0.5,0.5,0.8
343,Brian Roberts,10,2.4,6.3,0.2,1.3,2.3,0.5,0.1,0.8,1.0
33,Brook Lopez,44,7.0,13.7,3.0,4.5,0.7,0.6,1.8,1.4,2.9
653,Bruno Caboclo,0,0.5,1.5,0.1,0.1,0.0,0.0,0.1,0.5,0.4
429,Bryce Cotton,0,1.9,4.6,0.2,1.0,1.0,0.3,0.0,0.8,0.4
105,C.J. Miles,40,4.7,11.8,0.3,2.8,1.1,0.9,0.4,1.0,1.9
