,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,Aaron Gordon,ORL,76,38,38,33.8,16.2,54.5,32.7,2.4,2.62,1.76,0.297,2.6,2.9,4.3,0.424,0.511,0.905,6.1,1.2,2.7,42.9,0.8,1.1,70.7,52.1,2.1,34.3,0.6,10.3,0.6,10.3,0.5,8.6,3.2,42.9,3.9,35.5,2.9,36.2,3.9,64.5,1.5,40.4,1.1,50.7,51.0,1.7,1.0,58.6,3.5,47.6,0.1,49.6,7.2,5.8,1.3,23.0,8.2,70.8,0.6,76.0,6.3,0.7,0.7,1.9,3.0,64.2
1,Abdel Nader,OKC,60,37,23,11.4,4.0,10.3,6.5,0.4,2.18,1.53,0.387,0.1,0.0,0.3,1.125,0.0,1.2,2.2,0.6,1.2,50.7,0.2,0.2,64.3,63.8,0.7,32.3,0.2,8.5,0.2,6.9,0.1,3.8,1.4,50.7,1.5,30.5,0.2,30.8,0.3,57.1,0.0,0.0,0.2,42.9,49.5,0.3,0.0,14.3,1.0,31.8,0.0,31.8,16.8,2.2,0.4,20.0,3.5,63.3,0.2,67.1,7.3,0.3,0.2,1.0,1.3,73.4
2,Al Horford,BOS,68,41,27,29.0,13.6,57.0,37.4,1.7,1.78,0.76,0.239,4.1,3.7,5.2,0.366,0.528,0.803,1.6,0.4,0.7,56.0,0.2,0.3,88.2,65.5,0.6,38.2,0.2,11.8,0.1,8.2,0.1,6.4,1.1,56.0,5.8,44.4,0.6,45.8,4.1,70.6,2.0,51.4,1.5,60.3,58.6,1.8,0.9,48.3,3.9,45.5,0.1,46.2,8.2,5.0,1.6,32.8,8.9,55.7,0.8,61.2,5.8,0.9,1.3,3.3,5.5,59.7
3,Al-Farouq Aminu,POR,81,52,29,28.3,9.4,36.0,16.9,1.1,1.91,0.92,0.261,1.1,0.3,2.4,0.398,0.286,0.822,2.7,0.7,1.4,46.5,0.4,0.5,85.4,64.9,0.7,25.2,0.3,11.7,0.2,9.0,0.2,9.0,1.8,46.5,3.6,35.1,0.2,17.1,2.0,61.9,0.1,42.9,0.4,45.0,51.4,1.4,0.8,58.0,3.6,38.5,0.1,40.0,7.0,6.1,1.5,24.5,9.4,65.2,0.7,70.2,5.2,0.8,0.4,2.1,3.2,66.1
4,Alan Williams,BKN,5,1,4,5.1,3.6,12.6,6.6,0.3,1.3,0.28,0.286,1.6,0.6,2.2,0.5,0.667,1.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,25.0,0.0,0.0,2.8,77.8,0.4,50.0,0.8,40.0,61.5,1.0,0.5,50.0,2.5,40.0,0.0,40.0,10.4,3.8,1.8,46.7,5.3,71.4,0.0,71.4,4.9,0.2,0.0,0.2,0.6,33.3
5,Alex Poythress,ATL,21,7,14,14.5,5.1,27.1,15.7,0.6,1.32,0.4,0.188,1.3,0.1,2.7,0.321,0.0,0.786,0.8,0.2,0.4,44.4,0.0,0.1,50.0,56.3,0.2,25.0,0.0,0.0,0.0,6.3,0.0,6.3,0.4,44.4,1.3,37.5,0.0,0.0,2.1,59.4,0.0,0.0,0.4,40.0,54.9,1.5,0.8,55.2,3.4,45.3,0.1,46.0,6.5,2.5,0.4,17.0,3.8,65.3,0.2,69.1,4.7,0.2,0.5,0.6,1.3,48.1
6,Alfonzo McKinnie,GSW,72,53,19,13.9,4.7,17.9,10.4,0.5,1.62,0.64,0.261,0.3,0.1,1.8,0.955,0.5,0.921,0.5,0.1,0.3,39.1,0.0,0.0,0.0,54.3,0.1,22.9,0.0,8.6,0.0,5.7,0.0,2.9,0.3,39.1,1.8,36.1,0.2,36.8,1.6,67.9,0.0,50.0,0.3,75.0,56.4,1.3,0.9,69.1,2.9,45.8,0.1,46.8,5.6,2.7,0.6,22.3,4.1,65.6,0.3,71.2,4.8,0.3,0.2,1.0,1.6,64.3
7,Alize Johnson,IND,14,9,5,4.6,0.9,6.1,2.4,0.2,2.29,1.07,0.153,0.0,0.1,0.6,0.0,0.0,0.75,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,33.3,0.1,33.3,0.4,66.7,0.0,0.0,0.0,0.0,28.1,0.8,0.4,50.0,2.8,28.6,0.0,28.6,2.8,3.0,0.8,26.7,4.8,62.5,0.6,71.4,3.5,0.1,0.2,0.6,0.9,61.5
8,Allen Crabbe,BKN,43,19,24,26.4,9.6,31.8,25.6,0.7,1.41,0.55,0.302,0.4,0.0,0.6,0.588,0.0,0.385,2.1,0.3,1.0,29.3,0.1,0.2,75.0,33.0,0.8,38.5,0.1,6.6,0.3,12.1,0.1,4.4,0.7,29.3,6.4,38.3,1.2,27.8,0.2,40.0,0.0,0.0,0.2,71.4,49.9,0.4,0.1,31.3,1.2,33.3,0.1,34.8,11.6,3.3,0.7,21.2,5.2,63.8,0.4,69.1,7.1,0.5,0.3,0.6,1.0,64.3
9,Amile Jefferson,ORL,12,9,3,5.7,2.3,7.3,4.0,0.2,1.66,0.62,0.307,0.7,0.3,1.7,0.5,0.0,0.75,0.3,0.1,0.3,33.3,0.0,0.0,0.0,50.0,0.1,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,33.3,0.0,0.0,0.0,0.0,1.3,66.7,0.0,0.0,0.3,50.0,62.5,0.6,0.5,83.3,1.6,37.5,0.0,37.5,5.9,1.5,0.7,46.7,2.2,68.2,0.2,75.0,5.6,0.3,0.3,0.8,1.1,76.9
