,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
25,Bruno Fernando,ATL,39,13,26,10.4,3.9,18.4,10.8,0.4,1.41,0.49,0.213,1.3,0.2,3.4,0.34,0.667,0.863,0.5,0.1,0.3,40.0,0.1,0.2,62.5,78.9,0.1,15.8,0.1,10.5,0.0,5.3,0.1,21.1,0.4,40.0,0.0,0.0,0.1,50.0,2.9,61.0,0.1,66.7,0.4,41.2,52.7,1.6,1.0,61.1,4.0,40.0,0.1,41.2,5.2,2.4,0.6,25.3,4.4,55.7,0.5,62.4,4.7,0.2,0.9,1.4,2.4,57.6
26,Buddy Boeheim,DET,10,2,8,9.0,1.6,8.7,5.2,0.2,1.33,0.41,0.184,0.0,0.0,0.1,0.0,0.0,2.0,0.1,0.1,0.1,100.0,0.0,0.0,0.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,100.0,1.2,16.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,25.9,0.4,0.2,50.0,0.4,100.0,0.0,100.0,10.5,0.8,0.2,25.0,1.2,66.7,0.2,80.0,11.9,0.2,0.0,1.3,1.3,100.0
27,Caleb Martin,MIA,71,38,33,29.3,9.6,38.9,21.7,1.6,2.5,1.62,0.247,0.7,0.1,2.3,0.809,0.0,0.652,3.4,0.6,1.3,44.6,0.4,0.5,83.3,48.3,1.4,41.2,0.3,8.4,0.3,9.2,0.3,7.6,1.6,44.6,3.3,35.7,1.5,46.5,1.5,61.3,0.0,0.0,0.5,70.8,54.0,1.3,0.4,33.0,2.8,46.3,0.1,47.6,11.6,3.8,0.7,19.1,6.7,56.0,0.8,64.0,6.8,1.0,0.4,2.4,3.5,68.4
28,Cam Reddish,POR,40,14,26,24.7,9.7,28.5,17.8,1.5,3.1,2.17,0.34,0.6,0.0,0.7,0.783,0.0,1.138,4.7,1.3,2.5,54.1,0.6,0.6,91.7,72.0,1.5,31.2,0.2,3.8,0.3,7.0,0.3,6.5,3.4,54.1,2.7,31.9,1.2,32.7,0.8,76.2,0.0,0.0,0.5,61.5,51.8,0.6,0.2,38.9,1.4,42.9,0.1,45.0,13.4,2.3,0.5,22.9,3.5,63.6,0.3,69.3,9.3,1.0,0.4,1.7,2.5,66.0
29,Cameron Johnson,BKN,42,25,17,28.6,15.5,39.5,25.6,1.5,2.25,1.67,0.392,0.6,0.0,1.2,0.4,0.0,1.0,4.6,1.0,2.1,50.6,0.4,0.5,78.3,59.1,1.7,37.8,0.3,7.3,0.3,7.3,0.3,6.2,2.7,50.6,6.8,41.3,2.4,43.4,1.2,66.7,0.0,0.0,0.2,38.5,57.9,0.8,0.3,38.2,2.0,42.5,0.0,43.0,8.6,3.7,0.7,17.9,6.1,59.9,0.6,66.2,7.0,1.2,0.3,1.8,2.5,70.5
30,Cedi Osman,CLE,77,48,29,20.1,8.7,28.2,19.3,1.1,2.36,1.55,0.309,0.4,0.0,0.8,0.815,0.0,0.831,2.5,0.5,1.1,42.4,0.2,0.3,69.2,47.4,1.0,39.8,0.3,10.7,0.2,6.6,0.2,6.6,1.2,42.4,3.8,37.4,0.9,31.9,0.6,64.9,0.0,0.0,0.3,84.6,56.0,0.4,0.1,24.0,1.0,39.1,0.0,41.0,14.4,2.4,0.5,19.9,3.9,63.2,0.3,68.9,7.3,0.5,0.1,0.8,1.1,69.9
31,Charles Bassey,SAS,35,9,26,14.5,5.7,24.9,14.2,0.6,1.49,0.42,0.228,1.9,0.4,4.7,0.424,0.769,0.976,0.1,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.1,100.0,0.5,38.1,0.4,60.0,4.6,68.3,0.3,50.0,0.8,47.8,65.6,2.3,1.2,53.3,4.3,52.8,0.1,54.3,5.6,3.6,0.8,23.7,6.0,59.6,0.7,67.0,4.5,0.5,0.9,2.1,3.4,61.9
32,Chima Moneke,SAC,2,1,1,4.0,1.0,6.5,5.0,0.1,1.12,0.54,0.154,0.5,0.0,1.5,0.0,0.0,0.667,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,50.0,0.0,0.0,0.0,0.0,50.0,2.0,0.0,0.0,4.0,50.0,0.0,50.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,100.0
33,Chimezie Metu,SAC,66,41,25,10.4,4.9,15.6,9.2,0.5,1.78,0.8,0.311,1.3,0.4,2.7,0.482,0.625,1.079,0.7,0.2,0.3,52.2,0.0,0.1,75.0,64.4,0.2,26.7,0.0,2.2,0.1,11.1,0.0,4.4,0.4,52.2,0.5,30.8,0.1,14.3,2.9,69.2,0.2,45.5,0.6,56.0,61.0,0.9,0.6,68.1,2.0,42.3,0.1,43.9,5.2,2.7,0.7,23.8,4.0,68.9,0.2,72.2,4.3,0.3,0.3,1.3,2.3,57.0
34,Chris Boucher,TOR,76,39,37,20.0,9.4,23.4,12.3,0.7,1.68,0.6,0.4,0.5,0.1,3.9,0.811,0.0,1.074,0.6,0.1,0.3,41.7,0.2,0.2,87.5,76.1,0.2,26.1,0.0,6.5,0.0,4.3,0.1,17.4,0.5,41.7,2.5,34.2,0.3,36.7,4.2,61.5,0.0,0.0,0.4,52.4,55.2,2.1,1.6,77.1,4.8,43.3,0.2,45.2,3.8,3.5,0.9,25.8,5.3,65.5,0.5,72.3,5.1,0.6,0.8,1.4,2.3,62.9
