,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,Aaron Gordon,ORL,47,14,33,17.0,5.2,22.4,12.6,0.7,1.94,1.17,0.231,0.6,0.2,1.8,0.643,0.4,1.157,2.0,0.5,1.0,44.9,0.2,0.3,68.8,59.8,0.4,21.7,0.0,2.2,0.2,12.0,0.2,8.7,1.2,44.9,0.9,24.6,0.3,28.6,2.0,69.5,0.1,33.3,0.4,66.7,47.8,1.0,0.8,73.9,2.4,43.0,0.0,43.8,5.5,2.7,0.8,29.3,4.6,59.7,0.4,65.4,5.8,0.4,0.5,0.9,1.5,57.7
1,Adreian Payne,MIN,32,7,25,23.1,6.7,39.3,19.4,1.1,1.73,0.44,0.169,3.3,1.9,3.3,0.327,0.344,0.648,1.8,0.4,1.1,36.1,0.2,0.3,70.0,58.9,0.2,12.5,0.0,1.8,0.2,10.7,0.2,8.9,1.0,36.1,2.0,36.9,0.6,41.7,2.1,50.0,0.7,32.3,1.1,33.3,41.6,1.5,0.8,54.2,3.7,41.4,0.2,43.2,8.0,3.7,1.1,30.7,6.0,61.0,0.5,66.7,4.5,0.6,0.3,2.8,3.9,72.0
2,Al Horford,ATL,76,56,20,30.5,15.2,58.2,39.6,1.7,1.7,0.59,0.261,5.7,4.6,6.3,0.405,0.457,0.775,1.9,0.5,0.9,56.7,0.3,0.3,84.6,68.5,0.6,31.5,0.2,8.4,0.1,2.8,0.2,9.1,1.3,56.7,5.7,47.1,0.4,40.0,4.8,66.9,2.1,45.6,2.3,47.6,54.4,1.7,1.0,60.3,3.5,49.4,0.1,51.4,7.3,5.4,2.3,42.9,9.3,58.4,0.7,63.2,5.7,0.9,1.3,2.4,4.3,55.3
3,Al-Farouq Aminu,DAL,74,45,29,18.5,5.6,25.6,14.8,0.7,1.66,0.69,0.218,0.9,0.2,2.7,0.524,0.462,0.609,1.6,0.2,0.6,39.5,0.3,0.4,76.7,49.2,0.6,35.2,0.1,4.1,0.2,11.5,0.2,12.3,0.8,39.5,1.5,26.8,0.2,36.4,1.6,52.6,0.1,42.9,0.4,64.7,45.9,1.7,1.0,57.9,3.6,46.5,0.3,50.2,6.7,3.3,1.1,33.3,5.6,59.2,0.7,67.3,5.6,0.9,0.8,1.0,1.7,56.7
4,Alan Anderson,BKN,74,35,39,23.6,7.4,25.4,17.4,1.0,2.44,1.37,0.29,0.4,0.3,1.0,0.267,0.273,0.797,3.1,0.7,1.4,53.0,0.3,0.4,80.8,54.9,1.0,32.6,0.2,7.7,0.2,7.7,0.2,5.6,1.7,53.0,2.6,37.2,1.1,32.1,0.8,74.3,0.1,42.9,0.1,33.3,52.6,0.5,0.2,48.4,1.8,26.1,0.1,27.7,10.4,2.6,0.6,21.4,4.6,57.5,0.5,64.8,8.2,0.8,0.1,1.1,1.4,73.6
5,Allen Crabbe,POR,51,36,15,13.4,3.3,15.7,10.9,0.4,1.59,0.61,0.209,0.1,0.0,0.3,0.833,0.0,1.063,0.5,0.1,0.2,54.5,0.1,0.1,75.0,59.3,0.2,44.4,0.0,7.4,0.0,0.0,0.0,7.4,0.3,54.5,1.9,35.8,0.1,8.3,0.3,77.8,0.0,0.0,0.1,66.7,51.0,0.2,0.1,28.6,0.9,21.9,0.0,21.9,14.3,1.8,0.3,16.7,3.2,55.9,0.2,59.5,5.9,0.4,0.3,0.5,0.8,62.5
6,Alonzo Gee,POR,54,21,33,12.2,4.5,14.0,10.6,0.5,2.11,1.31,0.32,0.4,0.1,1.3,0.429,0.571,0.886,1.9,0.3,0.8,40.0,0.3,0.4,63.6,51.5,0.6,33.7,0.1,5.9,0.1,5.0,0.2,10.9,1.0,40.0,0.8,38.9,0.1,18.2,1.1,71.8,0.1,0.0,0.2,50.0,50.3,1.0,0.5,54.1,2.9,34.6,0.2,37.0,8.0,1.5,0.5,33.3,2.6,59.4,0.2,64.8,7.5,0.6,0.1,0.4,0.6,60.6
7,Amar'e Stoudemire,DAL,58,19,39,21.3,11.7,35.3,20.2,1.2,2.03,0.47,0.333,4.9,7.0,5.4,0.332,0.67,0.863,0.4,0.1,0.2,35.7,0.1,0.1,100.0,68.0,0.1,20.0,0.0,0.0,0.0,8.0,0.1,12.0,0.3,35.7,1.1,37.2,0.2,33.3,4.7,63.7,4.7,52.3,1.6,54.7,55.8,1.9,1.4,76.1,4.9,38.5,0.1,39.6,5.0,3.8,1.6,43.6,6.9,54.5,0.6,59.4,3.9,0.5,0.6,2.3,4.1,54.8
8,Amir Johnson,TOR,75,44,31,26.4,9.3,43.1,24.8,1.0,1.38,0.42,0.214,3.0,1.2,6.1,0.556,0.319,0.836,1.1,0.3,0.6,58.1,0.3,0.4,67.9,83.5,0.2,18.8,0.1,5.9,0.1,8.2,0.2,15.3,0.9,58.1,1.2,43.8,0.1,40.0,5.1,63.2,0.4,39.4,1.7,57.8,59.2,2.1,1.5,70.4,5.1,41.7,0.1,43.0,5.4,4.0,1.9,47.8,8.5,47.1,0.9,52.8,4.3,0.6,0.8,2.6,4.4,57.8
9,Andre Iguodala,GSW,77,64,13,26.9,7.8,44.4,27.5,2.2,3.0,2.03,0.177,0.6,0.6,1.1,0.592,0.205,0.761,2.2,0.3,0.7,43.4,0.1,0.3,52.4,34.3,0.8,36.1,0.3,13.6,0.2,10.7,0.1,6.5,0.8,43.4,2.7,34.3,1.2,38.1,0.9,75.6,0.1,25.0,0.4,70.6,54.0,0.6,0.2,31.8,2.0,29.9,0.0,30.6,13.0,2.9,0.6,20.2,4.9,59.5,0.2,62.3,9.1,1.2,0.3,1.0,1.4,70.4
