,PLAYER,TEAM,GP,W,L,MIN,PTS,TOUCHES,FRONT CT TOUCHES,TIME OF POSS,AVG SEC PER TOUCH,AVG DRIB PER TOUCH,PTS PER TOUCH,ELBOW TOUCHES,POST UPS,PAINT TOUCHES,PTS PER ELBOW TOUCH,PTS PER POST TOUCH,PTS PER PAINT TOUCH,DRIVES,FGM,FGA,FG%,FTM,FTA,FT%,PTS%,PASS,PASS%,AST,AST%,TO,TOV%,PF,PF%,Drive PTS,Drive FG%,C&S PTS,C&S FG%,Pull Up PTS,Pull Up FG%,Paint Touch PTS,Paint Touch FG%,Post Touch PTS,Post Touch FG%,Elbow Touch PTS,Elbow Touch FG%,eFG%,OREB,Contested OREB,Contested OREB%,OREB Chances,OREB Chance%,Deferred OREB Chances,Adjusted OREB Chance%,AVG OREB Distance,DREB,Contested DREB,Contested DREB%,DREB Chances,DREB Chance%,Deferred DREB Chances,Adjusted DREB Chance%,AVG DREB Distance,STL,BLK,DFGM,DFGA,DFG%
0,Aaron Gordon,DEN,75,46,29,31.7,15.0,42.3,27.5,2.0,2.77,1.89,0.355,1.7,2.1,5.1,0.653,0.66,1.075,3.5,0.8,1.6,53.0,0.4,0.5,80.0,64.1,1.1,32.8,0.2,6.9,0.3,8.9,0.3,7.7,2.2,53.0,3.2,35.0,1.7,37.0,5.5,70.6,1.4,52.9,1.1,78.0,57.3,1.7,1.1,64.0,2.9,59.2,0.1,61.3,7.3,4.2,1.1,25.2,5.9,71.9,0.3,75.3,6.2,0.6,0.6,1.7,2.8,59.7
1,Aaron Henry,PHI,6,6,0,2.8,0.3,2.8,1.8,0.1,1.96,1.0,0.118,0.3,0.0,0.2,1.0,0.0,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,100.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,100.0,0.0,100.0,9.3,0.0,0.3,0.0,0.3,0.0
2,Aaron Nesmith,BOS,52,32,20,11.0,3.8,15.4,8.2,0.5,1.88,0.99,0.244,0.2,0.0,0.3,0.625,0.0,1.0,1.3,0.3,0.6,55.2,0.1,0.1,100.0,60.0,0.5,34.3,0.0,1.4,0.2,12.9,0.1,4.3,0.8,55.2,1.6,28.7,0.4,32.3,0.3,72.7,0.0,0.0,0.1,66.7,48.1,0.5,0.1,26.7,1.3,37.5,0.1,39.5,10.1,2.3,0.5,20.3,4.1,56.9,0.5,64.9,5.3,0.4,0.1,0.7,1.1,58.6
3,Abdel Nader,PHX,14,11,3,10.4,2.4,9.9,5.8,0.3,1.86,1.14,0.246,0.1,0.0,0.5,0.0,0.0,0.857,2.1,0.2,1.0,21.4,0.1,0.1,50.0,24.1,0.6,31.0,0.1,6.9,0.2,10.3,0.1,3.4,0.5,21.4,0.9,36.4,0.0,0.0,0.4,100.0,0.0,0.0,0.0,0.0,40.0,0.4,0.4,100.0,1.6,22.2,0.1,23.5,2.9,2.1,0.5,26.1,3.1,67.6,0.4,76.7,5.8,0.6,0.3,1.0,1.6,63.6
4,Admiral Schofield,ORL,38,10,28,12.3,3.8,19.4,8.9,0.5,1.59,0.63,0.198,0.2,0.1,0.8,0.667,0.0,0.516,1.2,0.4,0.6,60.9,0.2,0.3,90.0,84.1,0.3,29.5,0.1,9.1,0.1,4.5,0.1,11.4,1.0,60.9,1.9,33.8,0.2,33.3,0.4,50.0,0.0,0.0,0.1,40.0,51.9,0.7,0.4,64.7,1.8,36.2,0.1,38.6,6.5,2.8,0.4,15.3,4.0,69.9,0.5,79.1,5.2,0.1,0.1,0.8,1.2,65.2
5,Al Horford,BOS,68,46,22,29.0,10.2,49.4,29.4,1.4,1.73,0.64,0.207,2.2,1.9,3.9,0.318,0.55,0.791,1.2,0.3,0.5,62.5,0.3,0.3,89.5,69.9,0.5,44.6,0.1,9.6,0.0,3.6,0.1,10.8,0.9,62.5,4.4,36.4,0.4,52.4,3.1,66.7,1.1,46.8,0.7,46.5,54.7,1.6,1.0,65.1,3.2,49.3,0.2,52.5,7.7,6.2,2.0,32.4,9.1,68.2,0.7,73.7,5.7,0.7,1.4,2.4,4.3,56.1
6,Aleem Ford,ORL,5,2,3,14.7,2.8,18.4,9.4,0.4,1.44,0.6,0.152,0.0,0.0,0.2,0.0,0.0,2.0,1.2,0.4,0.6,66.7,0.0,0.0,0.0,66.7,0.2,16.7,0.2,16.7,0.4,33.3,0.0,0.0,0.8,66.7,1.2,13.3,0.0,0.0,0.4,100.0,0.0,0.0,0.0,0.0,35.0,0.5,0.3,50.0,0.8,66.7,0.0,66.7,9.2,3.3,0.3,7.7,5.5,59.1,0.8,68.4,8.1,0.2,0.0,0.8,1.0,80.0
7,Aleksej Pokusevski,OKC,61,19,42,20.2,7.6,38.0,21.1,1.4,2.23,1.41,0.2,0.6,0.0,1.8,0.632,0.667,0.847,3.9,0.5,1.2,38.7,0.2,0.3,83.3,30.8,2.0,51.3,0.4,10.8,0.4,10.0,0.1,3.8,1.2,38.7,2.6,29.8,0.8,28.0,1.5,59.7,0.0,50.0,0.4,52.4,47.0,1.3,0.7,58.9,2.5,50.0,0.1,52.5,6.3,4.2,0.8,19.3,6.4,65.8,0.7,73.7,5.0,0.6,0.6,1.6,2.7,59.3
8,Alfonzo McKinnie,CHI,17,8,9,12.1,3.5,13.6,7.6,0.4,1.6,0.74,0.255,0.2,0.0,1.1,0.0,0.0,0.842,0.9,0.2,0.5,33.3,0.1,0.1,50.0,43.8,0.1,12.5,0.0,0.0,0.2,25.0,0.1,6.3,0.4,33.3,1.6,34.6,0.2,20.0,0.9,72.7,0.0,0.0,0.0,0.0,46.7,1.0,0.5,46.2,1.9,52.0,0.1,54.2,8.8,1.5,0.3,20.0,2.5,62.5,0.1,64.5,6.7,0.1,0.2,0.8,1.2,66.7
9,Alize Johnson,NOP,23,14,9,7.3,1.8,10.7,5.6,0.4,2.07,0.87,0.166,0.6,0.0,1.7,0.286,0.0,0.725,0.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.1,25.0,0.0,12.5,0.0,12.5,0.0,0.0,0.0,0.0,0.1,25.0,0.0,0.0,1.3,65.0,0.0,0.0,0.2,100.0,43.6,1.8,1.3,71.4,4.4,40.0,0.1,40.6,5.6,2.1,0.5,24.2,3.4,60.0,0.2,63.5,4.0,0.2,0.0,0.8,1.3,63.3
