,Player,Fouls Drawn - Shoot
217,A.J. Hammons,8
71,Aaron Brooks,16
201,Aaron Gordon,111
229,Aaron Harrison,1
444,Adreian Payne,10
258,Al Horford,64
282,Al Jefferson,44
11,Al-Farouq Aminu,69
13,Alan Anderson,7
587,Alan Williams,50
81,Alec Burks,37
329,Alex Len,98
465,Alex Poythress,6
6,Alexis Ajinça,22
118,Allen Crabbe,55
189,Alonzo Gee,4
289,Amir Johnson,46
564,Anderson Varejão,5
142,Andre Drummond,158
268,Andre Iguodala,35
479,Andre Roberson,41
60,Andrew Bogut,3
230,Andrew Harrison,88
410,Andrew Nicholson,7
585,Andrew Wiggins,258
49,Anthony Bennett,13
72,Anthony Brown,0
126,Anthony Davis,284
392,Anthony Morrow,13
547,Anthony Tolliver,34
198,Archie Goodwin,21
433,Arinze Onuaku,0
40,Aron Baynes,41
5,Arron Afflalo,32
478,Austin Rivers,89
66,Avery Bradley,34
548,Axel Toupane,0
50,Ben Bentil,0
374,Ben McLemore,48
557,Beno Udrih,14
53,Bismack Biyombo,104
215,Blake Griffin,186
355,Boban Marjanović,24
75,Bobby Brown,1
461,Bobby Portis,28
57,Bojan Bogdanović,98
137,Boris Diaw,17
42,Bradley Beal,124
607,Brandan Wright,17
37,Brandon Bass,49
274,Brandon Ingram,93
285,Brandon Jennings,61
312,Brandon Knight,61
493,Brandon Rush,8
480,Brian Roberts,14
576,Briante Weber,5
290,Brice Johnson,0
343,Brook Lopez,185
83,Bruno Caboclo,0
173,Bryn Forbes,2
244,Buddy Hield,29
382,C.J. Miles,44
575,C.J. Watson,25
586,C.J. Wilcox,1
361,CJ McCollum,120
445,Cameron Payne,4
334,Caris LeVert,42
20,Carmelo Anthony,156
440,Chandler Parsons,17
179,Channing Frye,30
469,Chasson Randle,21
136,Cheick Diallo,10
434,Chinanu Onuaku,2
12,Chris Andersen,6
363,Chris McCullough,2
443,Chris Paul,39
605,Christian Wood,7
89,Clint Capela,91
614,Cody Zeller,85
7,Cole Aldrich,10
67,Corey Brewer,38
307,Cory Joseph,51
327,Courtney Lee,38
167,Cristiano Felício,47
494,D'Angelo Russell,75
26,D.J. Augustin,65
297,Dahntay Jones,3
298,Damian Jones,4
338,Damian Lillard,210
492,Damjan Rudež,0
428,Daniel Ochefu,1
180,Danilo Gallinari,154
210,Danny Green,13
122,Dante Cunningham,13
162,Dante Exum,37
259,Danuel House Jr.,0
497,Dario Šarić,100
23,Darrell Arthur,10
107,Darren Collison,59
251,Darrun Hilliard,13
328,David Lee,63
423,David Nwaba,20
579,David West,25
306,DeAndre Jordan,139
335,DeAndre Liggins,19
46,DeAndre' Bembry,8
135,DeMar DeRozan,286
114,DeMarcus Cousins,285
90,DeMarre Carroll,55
399,Dejounte Murray,13
608,Delon Wright,23
277,Demetrius Jackson,1
499,Dennis Schröder,100
562,Denzel Valentine,3
588,Deron Williams,49
165,Derrick Favors,52
299,Derrick Jones Jr.,18
486,Derrick Rose,128
591,Derrick Williams,44
64,Devin Booker,198
223,Devin Harris,63
130,Dewayne Dedmon,49
128,Deyonta Davis,10
526,Diamond Stone,2
571,Dion Waiters,58
419,Dirk Nowitzki,31
495,Domantas Sabonis,33
395,Donatas Motiejūnas,21
172,Dorian Finney-Smith,28
369,Doug McDermott,29
48,Dragan Bender,6
211,Draymond Green,84
260,Dwight Howard,194
463,Dwight Powell,66
570,Dwyane Wade,136
51,Dāvis Bertāns,15
389,E'Twaun Moore,31
129,Ed Davis,30
529,Edy Tavares,2
448,Elfrid Payton,95
385,Elijah Millsap,1
397,Emmanuel Mudiay,71
178,Enes Freedom,137
56,Eric Bledsoe,183
202,Eric Gordon,84
269,Ersan İlyasova,91
174,Evan Fournier,110
555,Evan Turner,45
308,Frank Kaminsky,76
563,Fred VanVleet,8
536,Garrett Temple,26
224,Gary Harris,61
406,Gary Neal,1
449,Gary Payton II,3
248,George Hill,77
409,Georges Niang,0
437,Georgios Papagiannis,4
212,Gerald Green,15
236,Gerald Henderson,61
19,Giannis Antetokounmpo,282
481,Glenn Robinson III,30
141,Goran Dragić,136
235,Gordon Hayward,172
138,Gorgui Dieng,71
388,Greg Monroe,125
565,Greivis Vásquez,1
32,Harrison Barnes,123
584,Hassan Whiteside,169
151,Henry Ellenson,5
540,Hollis Thompson,13
104,Ian Clark,21
352,Ian Mahinmi,33
509,Iman Shumpert,33
88,Isaiah Canaan,14
532,Isaiah Taylor,1
538,Isaiah Thomas,245
582,Isaiah Whitehead,51
514,Ish Smith,42
618,Ivica Zubac,22
31,J.J. Barea,18
515,J.R. Smith,4
474,JJ Redick,59
213,JaMychal Green,73
372,JaVale McGee,48
438,Jabari Parker,115
121,Jae Crowder,94
429,Jahlil Okafor,76
326,Jake Layman,7
458,Jakob Poeltl,26
119,Jamal Crawford,75
400,Jamal Murray,46
407,Jameer Nelson,18
155,James Ennis III,50
219,James Harden,312
291,James Johnson,109
300,James Jones,7
359,James Michael McAdoo,15
609,James Young,5
143,Jared Dudley,19
528,Jared Sullinger,4
149,Jarell Eddie,4
356,Jarell Martin,22
525,Jarnell Stokes,0
276,Jarrett Jack,1
559,Jarrod Uthoff,2
516,Jason Smith,24
537,Jason Terry,13
77,Jaylen Brown,66
214,Jeff Green,81
534,Jeff Teague,161
604,Jeff Withey,21
206,Jerami Grant,68
319,Jeremy Lamb,67
339,Jeremy Lin,53
209,Jerian Grant,32
39,Jerryd Bayless,5
82,Jimmy Butler,301
413,Joakim Noah,33
377,Jodie Meeks,33
225,Joe Harris,16
273,Joe Ingles,18
292,Joe Johnson,27
610,Joe Young,6
21,Joel Anthony,2
63,Joel Bolomboy,2
154,Joel Embiid,102
321,Joffrey Lauvergne,31
237,John Henson,39
284,John Jenkins,1
347,John Lucas III,0
573,John Wall,213
424,Johnny O'Bryant,3
333,Jon Leuer,50
288,Jonas Jerebko,15
561,Jonas Valančiūnas,99
192,Jonathan Gibson,10
511,Jonathon Simmons,55
105,Jordan Clarkson,80
120,Jordan Crawford,11
164,Jordan Farmar,0
249,Jordan Hill,1
375,Jordan McRae,20
379,Jordan Mickey,5
262,Josh Huestis,1
376,Josh McRoberts,5
476,Josh Richardson,26
84,José Calderón,3
252,Jrue Holiday,69
238,Juancho Hernangómez,26
472,Julius Randle,134
14,Justin Anderson,62
216,Justin Hamilton,20
221,Justin Harper,0
253,Justin Holiday,33
603,Justise Winslow,22
420,Jusuf Nurkić,96
366,K.J. McDaniels,19
551,Karl-Anthony Towns,205
331,Kawhi Leonard,222
166,Kay Felder,22
431,Kelly Olynyk,50
435,Kelly Oubre Jr.,49
572,Kemba Walker,145
163,Kenneth Faried,77
41,Kent Bazemore,68
87,Kentavious Caldwell-Pope,69
148,Kevin Durant,179
345,Kevin Love,114
506,Kevin Séraphin,10
342,Kevon Looney,15
381,Khris Middleton,30
543,Klay Thompson,93
316,Kosta Koufos,34
147,Kris Dunn,23
263,Kris Humphries,29
462,Kristaps Porziņģis,115
17,Kyle Anderson,25
313,Kyle Korver,10
346,Kyle Lowry,162
427,Kyle O'Quinn,38
512,Kyle Singler,8
602,Kyle Wiltjer,1
275,Kyrie Irving,130
8,LaMarcus Aldridge,112
441,Lamar Patterson,1
521,Lance Stephenson,8
539,Lance Thomas,23
181,Langston Galloway,23
402,Larry Nance Jr.,32
496,Larry Sanders,1
9,Lavoy Allen,11
281,LeBron James,263
30,Leandro Barbosa,18
594,Lou Williams,195
358,Luc Mbah a Moute,47
417,Lucas Nogueira,32
500,Luis Scola,19
27,Luke Babbitt,4
134,Luol Deng,33
477,Malachi Richardson,11
70,Malcolm Brogdon,48
132,Malcolm Delaney,27
