,Player,G,MP,USG%
349,Aaron McKie,75,2112,16.2
580,Aaron Williams,72,1337,17.5
183,Adonal Foyle,44,572,13.4
212,Adrian Griffin,19,133,8.2
227,Al Harrington,79,2441,22.9
239,Alan Henderson,6,68,17.8
190,Alex Garcia,2,13,31.6
247,Allan Houston,50,1799,24.7
257,Allen Iverson,48,2040,35.3
375,Alonzo Mourning,12,215,20.9
177,Alton Ford,9,41,19.4
581,Alvin Williams,56,1730,17.1
339,Amal McCaskill,59,636,11.4
504,Amar'e Stoudemire,55,2025,27.5
360,Andre Miller,82,2838,20.7
295,Andrei Kirilenko,78,2895,21.9
145,Andrew DeClercq,71,1211,10.2
223,Anfernee Hardaway,76,2095,18.6
480,Ansu Sesay,57,583,17.6
270,Antawn Jamison,82,2376,20.7
102,Anthony Carter,5,87,26.0
204,Anthony Goldwire,11,85,14.1
278,Anthony Johnson,73,1598,15.6
424,Anthony Peeler,75,1391,14.7
548,Antoine Walker,82,2840,21.8
130,Antonio Daniels,71,1512,16.5
132,Antonio Davis,80,2570,15.5
342,Antonio McDyess,42,927,17.6
125,Austin Croshere,77,1051,18.3
279,Avery Johnson,46,637,20.6
135,Baron Davis,67,2686,30.1
221,Ben Handlogten,17,172,18.6
550,Ben Wallace,81,3050,15.3
117,Bimbo Coles,22,170,12.6
406,Bo Outlaw,82,1606,12.1
513,Bob Sura,80,1663,19.0
258,Bobby Jackson,50,1185,26.8
482,Bobby Simmons,56,1376,16.8
566,Bonzi Wells,72,1872,26.5
148,Boris Diaw,76,1919,11.4
384,Boštjan Nachbar,45,516,15.5
361,Brad Miller,72,2621,17.6
16,Brandon Armstrong,56,434,21.7
253,Brandon Hunter,36,406,17.6
237,Brendan Haywood,77,1484,17.0
31,Brent Barry,59,1803,15.8
297,Brevin Knight,56,1037,14.9
98,Brian Cardinal,76,1634,18.9
121,Brian Cook,35,442,17.3
208,Brian Grant,76,2303,15.2
479,Brian Scalabrine,69,928,14.7
484,Brian Skinner,56,1577,18.7
277,Britton Johnsen,20,290,12.5
61,Bruce Bowen,82,2624,11.3
509,Bruno Šundov,5,33,21.3
160,Bryce Drew,15,78,16.0
475,Bryon Russell,72,945,14.7
110,Calbert Cheaney,79,2067,15.5
55,Calvin Booth,71,1206,14.4
18,Carlos Arroyo,71,2008,23.7
56,Carlos Boozer,75,2592,20.0
10,Carmelo Anthony,82,2995,28.5
92,Caron Butler,68,2030,18.5
264,Casey Jacobsen,78,1828,11.8
531,Cezary Trybański,7,15,21.0
399,Charles Oakley,7,25,18.4
558,Charlie Ward,71,1252,18.4
48,Chauncey Billups,78,2758,23.5
420,Cherokee Parks,12,64,10.5
6,Chris Andersen,71,1029,12.7
59,Chris Bosh,75,2510,18.3
123,Chris Crawford,56,1207,21.8
272,Chris Jefferies,21,195,23.0
292,Chris Kaman,82,1843,15.7
353,Chris Mihm,76,1330,18.5
565,Chris Webber,23,831,28.9
577,Chris Whitney,16,186,12.6
578,Chris Wilcox,65,1340,19.3
303,Christian Laettner,48,984,14.4
19,Chucky Atkins,64,1544,18.5
562,Clarence Weatherspoon,52,868,15.2
462,Clifford Robinson,82,2846,19.3
320,Corey Maggette,73,2628,25.2
50,Corie Blount,62,1050,13.3
597,Corliss Williamson,79,1574,23.8
58,Curtis Borchardt,16,258,14.8
366,Cuttino Mobley,80,3229,20.1
284,Dahntay Jones,20,154,20.4
547,Dajuan Wagner,44,708,23.3
137,Dale Davis,76,1682,10.3
285,Damon Jones,82,2016,14.8
503,Damon Stoudamire,82,3118,19.2
77,Damone Brown,3,17,32.8
149,Dan Dickau,43,294,20.6
187,Dan Gadzuric,75,1260,16.0
307,Dan Langhi,6,37,20.9
30,Dana Barros,1,11,16.0
478,Daniel Santiago,54,708,15.0
179,Danny Fortson,56,625,15.2
356,Darius Miles,79,2079,21.5
492,Darius Songaila,73,976,16.4
359,Darko Miličić,34,159,26.0
17,Darrell Armstrong,79,2247,19.4
330,Darrick Martin,16,172,21.4
218,Darvin Ham,54,484,11.7
570,David Wesley,61,2001,22.4
572,David West,71,930,15.3
153,DeSagana Diop,56,730,11.3
496,DeShawn Stevenson,80,2444,20.4
280,DerMarr Johnson,21,287,20.5
7,Derek Anderson,51,1810,20.5
175,Derek Fisher,82,1769,18.3
116,Derrick Coleman,34,843,19.2
147,Derrick Dial,9,86,17.1
173,Desmond Ferguson,7,32,20.5
333,Desmond Mason,82,2534,21.8
425,Desmond Penigar,10,89,18.2
194,Devean George,82,1951,16.1
78,Devin Brown,58,627,19.7
380,Dikembe Mutombo,65,1494,12.5
201,Dion Glover,69,1643,21.2
396,Dirk Nowitzki,77,2915,24.5
231,Donnell Harvey,60,783,16.3
327,Donyell Marshall,82,2988,19.5
111,Doug Christie,82,2780,14.9
408,Doug Overton,61,1033,13.6
207,Drew Gooden,79,2134,22.7
546,Dwyane Wade,61,2126,25.0
63,Earl Boykins,82,1849,22.2
561,Earl Watson,81,1669,18.1
195,Eddie Gill,22,157,17.1
246,Eddie House,60,1188,19.8
286,Eddie Jones,81,2998,22.5
463,Eddie Robinson,51,1024,17.0
126,Eddy Curry,73,2154,24.3
389,Eduardo Nájera,58,720,12.8
97,Elden Campbell,65,892,22.6
71,Elton Brand,69,2670,23.4
434,Eric Piatkowski,49,703,15.4
491,Eric Snow,82,2966,16.5
582,Eric Williams,71,1886,19.3
129,Erick Dampier,74,2403,17.8
505,Erick Strickland,43,571,21.6
281,Ervin Johnson,66,965,7.1
521,Etan Thomas,79,1901,17.9
170,Francisco Elson,62,875,12.7
585,Frank Williams,56,714,19.0
244,Fred Hoiberg,79,1804,12.5
287,Fred Jones,81,1508,14.1
423,Gary Payton,82,2825,20.4
529,Gary Trent,68,1025,19.4
318,George Lynch,78,1701,12.4
551,Gerald Wallace,37,337,14.4
15,Gilbert Arenas,55,2066,27.4
457,Glen Rice,18,262,16.3
464,Glenn Robinson,42,1336,27.4
198,Gordan Giriček,73,2041,20.1
90,Greg Buckner,53,703,14.8
405,Greg Ostertag,78,2153,13.4
536,Hedo Türkoğlu,80,2073,18.1
186,Hiram Fuller,4,43,15.5
209,Horace Grant,55,1106,11.2
167,Howard Eisley,67,1457,18.5
138,Hubert Davis,17,78,8.9
537,Ime Udoka,4,28,22.1
392,Ira Newble,64,1245,12.6
72,J.R. Bremer,36,443,19.4
486,Jabari Smith,31,168,23.1
543,Jacque Vaughn,71,1271,14.0
573,Jahidi White,62,865,16.3
534,Jake Tsakalidis,40,533,15.5
544,Jake Voskuhl,66,1606,12.8
469,Jalen Rose,66,2497,24.1
321,Jamaal Magloire,82,2777,20.0
527,Jamaal Tinsley,52,1378,17.5
124,Jamal Crawford,80,2811,25.7
332,Jamal Mashburn,19,730,29.4
477,Jamal Sampson,10,130,11.8
289,James Jones,6,26,17.9
442,James Posey,82,2451,18.9
75,Jamison Brewer,13,160,14.1
415,Jannero Pargo,31,479,24.3
276,Jared Jeffries,82,1913,15.1
119,Jarron Collins,81,1732,13.1
236,Jarvis Hayes,70,2044,18.4
118,Jason Collier,20,545,19.5
120,Jason Collins,78,2220,11.9
230,Jason Hart,53,660,14.5
293,Jason Kapono,41,427,16.8
294,Jason Kidd,67,2450,24.6
459,Jason Richardson,78,2936,25.8
520,Jason Terry,81,3018,23.2
586,Jason Williams,72,2115,19.0
180,Jeff Foster,82,1961,11.8
346,Jeff McInnis,70,2365,18.2
530,Jeff Trepagnier,11,96,21.3
340,Jelani McCoy,2,12,3.7
397,Jermaine O'Neal,78,2788,30.2
42,Jerome Beasley,2,5,28.2
265,Jerome James,65,990,18.0
587,Jerome Williams,68,1637,13.3
494,Jerry Stackhouse,26,774,26.0
259,Jim Jackson,80,3119,17.3
569,Jiří Welsch,81,2179,17.4
282,Joe Johnson,82,3331,21.6
487,Joe Smith,76,2254,18.0
445,Joel Przybilla,17,347,10.7
476,John Salmons,77,1603,15.6
552,John Wallace,37,368,23.9
32,Jon Barry,57,1101,15.2
45,Jonathan Bender,21,271,27.8
141,Josh Davis,4,23,14.7
248,Josh Howard,67,1589,18.2
155,Juan Dixon,71,1478,24.0
290,Jumaine Jones,42,373,15.2
249,Juwan Howard,81,2877,23.9
370,Jérôme Moïso,35,417,14.6
152,Kaniel Dickens,3,12,19.3
474,Kareem Rush,72,1244,18.2
322,Karl Malone,42,1373,19.7
79,Kedrick Brown,55,969,13.7
54,Keith Bogans,73,1787,14.5
350,Keith McLeod,33,391,15.7
540,Keith Van Horn,72,2340,23.6
108,Kelvin Cato,69,1743,13.9
196,Kendall Gill,56,1411,21.9
427,Kendrick Perkins,10,35,31.1
8,Kenny Anderson,44,905,17.1
522,Kenny Thomas,74,2699,19.6
331,Kenyon Martin,65,2252,25.0
112,Keon Clark,2,27,10.3
296,Kerry Kittles,82,2842,18.4
191,Kevin Garnett,82,3231,29.6
403,Kevin Ollie,82,1401,13.3
598,Kevin Willis,48,373,24.7
159,Keyon Dooling,58,1137,17.9
243,Kirk Hinrich,76,2706,18.2
426,Kirk Penney,2,18,23.5
89,Kobe Bryant,65,2447,29.1
523,Kurt Thomas,80,2548,18.5
82,Kwame Brown,74,2239,17.3
301,Kyle Korver,74,882,20.2
400,Lamar Odom,80,3003,24.5
377,Lamond Murray,33,518,25.1
251,Larry Hughes,61,2061,28.1
493,Latrell Sprewell,82,3100,23.6
266,LeBron James,79,3122,28.2
27,Leandro Barbosa,70,1500,18.6
385,Lee Nailon,57,780,23.0
488,Leon Smith,1,4,23.1
254,Lindsey Hunter,33,661,12.8
283,Linton Johnson,41,734,15.6
38,Lonny Baxter,62,766,17.2
599,Loren Woods,38,506,13.6
603,Lorenzen Wright,65,1674,19.4
229,Lucious Harris,69,1504,17.2
461,Luke Ridnour,69,1114,19.3
557,Luke Walton,72,730,13.3
305,Maciej Lampe,21,224,21.9
3,Malik Allen,45,616,18.3
472,Malik Rose,67,1256,22.6
381,Mamadou N'Diaye,28,366,14.0
197,Manu Ginóbili,77,2260,22.1
260,Marc Jackson,22,598,18.1
26,Marcus Banks,81,1385,20.5
96,Marcus Camby,72,2162,14.3
176,Marcus Fizer,46,738,27.5
216,Marcus Haislip,31,263,16.4
53,Mark Blount,82,2402,16.1
261,Mark Jackson,42,577,14.1
319,Mark Madsen,72,1246,11.5
441,Mark Pope,4,20,11.9
271,Marko Jarić,58,1760,16.0
131,Marquis Daniels,56,1039,20.6
115,Mateen Cleaves,4,92,14.1
28,Matt Barnes,38,724,12.8
99,Matt Carroll,16,70,16.5
226,Matt Harpring,31,1134,22.3
103,Maurice Carter,10,110,21.7
519,Maurice Taylor,75,2081,22.7
401,Mehmet Okur,71,1580,21.7
171,Melvin Ely,42,510,16.6
33,Mengke Bateer,7,40,10.9
601,Metta World Peace,73,2714,26.2
64,Michael Bradley,16,98,10.8
127,Michael Curry,70,1229,10.6
156,Michael Doleac,72,1029,17.4
174,Michael Finley,72,2778,20.9
404,Michael Olowokandi,43,925,18.6
456,Michael Redd,82,3021,26.3
473,Michael Ruffin,41,733,11.2
499,Michael Stewart,25,147,5.1
436,Mickaël Piétrus,53,748,18.7
47,Mike Bibby,82,2980,22.9
163,Mike Dunleavy,75,2336,18.6
267,Mike James,81,2196,17.4
362,Mike Miller,65,1770,20.0
516,Mike Sweetney,42,494,18.6
579,Mike Wilks,26,145,15.9
371,Mikki Moore,32,395,16.1
414,Milt Palacio,59,1211,16.6
93,Mitchell Butler,41,552,12.7
590,Mo Williams,57,772,22.8
393,Moochie Norris,66,847,17.3
433,Morris Peterson,82,2148,15.7
367,Nazr Mohammed,80,1611,18.3
166,Ndudi Ebi,17,32,27.6
240,Nenê,77,2504,17.0
538,Nick Van Exel,39,1255,22.1
535,Nikoloz Tskitishvili,39,307,21.7
440,Olden Polynice,2,12,14.8
363,Oliver Miller,48,506,13.3
122,Omar Cook,17,139,12.6
228,Othella Harrington,56,872,16.0
83,P.J. Brown,80,2753,14.8
192,Pat Garrity,2,22,6.2
193,Pau Gasol,78,2458,26.8
210,Paul Grant,10,98,15.9
435,Paul Pierce,80,3099,30.5
481,Paul Shirley,7,86,17.3
502,Peja Stojaković,81,3264,23.9
29,Player,G,MP,USG%
291,Popeye Jones,5,10,9.2
161,Predrag Drobnjak,61,949,21.7
76,Primož Brezec,18,72,22.7
460,Quentin Richardson,65,2338,24.6
312,Quincy Lewis,14,65,16.7
600,Qyntel Woods,62,673,22.2
304,Raef LaFrentz,17,328,19.5
5,Rafer Alston,82,2581,17.3
43,Raja Bell,82,2020,23.6
315,Randy Livingston,4,48,15.4
313,Rashard Lewis,80,2931,23.4
553,Rasheed Wallace,68,2390,23.4
391,Rasho Nesterović,82,2353,16.8
94,Rasual Butler,45,675,20.0
4,Ray Allen,56,2152,27.8
316,Raül López,82,1617,21.4
189,Reece Gaines,38,364,14.3
172,Reggie Evans,75,1280,10.7
364,Reggie Miller,80,2254,15.4
219,Richard Hamilton,78,2772,25.7
275,Richard Jefferson,82,3133,22.8
184,Richie Frahm,54,469,15.5
85,Rick Brunson,40,412,16.5
182,Rick Fox,38,846,13.1
142,Ricky Davis,79,2474,23.0
11,Robert Archibald,32,256,10.7
245,Robert Horry,81,1290,16.1
412,Robert Pack,26,220,15.1
528,Robert Traylor,71,942,19.6
506,Rod Strickland,61,1197,18.5
91,Rodney Buford,22,141,20.1
465,Rodney Rogers,69,1409,21.5
576,Rodney White,72,985,26.4
334,Roger Mason,26,328,18.7
352,Ron Mercer,39,516,21.9
164,Ronald Dupree,47,893,19.0
378,Ronald Murray,82,2021,26.7
60,Ruben Boumtje-Boumtje,9,26,10.7
421,Ruben Patterson,73,1651,16.7
310,Rusty LaRue,4,22,16.5
62,Ryan Bowen,52,392,7.2
252,Ryan Humphrey,2,11,24.6
107,Sam Cassell,81,2838,27.2
549,Samaki Walker,33,418,15.0
128,Samuel Dalembert,82,2197,14.1
422,Sasha Pavlović,79,1144,19.5
439,Scot Pollard,61,678,10.1
413,Scott Padgett,58,547,17.7
591,Scott Williams,43,527,18.1
437,Scottie Pippen,23,412,19.6
306,Sean Lampley,10,63,20.7
466,Sean Rooks,55,595,14.5
594,Shammond Williams,53,763,18.1
9,Shandon Anderson,80,1974,17.7
37,Shane Battier,79,1947,15.5
238,Shane Heal,6,72,20.0
398,Shaquille O'Neal,67,2464,26.3
0,Shareef Abdur-Rahim,85,2684,24.4
67,Shawn Bradley,66,773,12.8
326,Shawn Marion,79,3217,22.7
545,Slavko Vraneš,1,3,15.8
114,Speedy Claxton,60,1595,20.9
22,Stacey Augmon,69,1416,15.6
351,Stanislav Medvedenko,68,1442,20.1
262,Stephen Jackson,80,2940,25.0
323,Stephon Marbury,81,3254,25.8
49,Steve Blake,75,1392,17.9
185,Steve Francis,79,3194,24.0
390,Steve Nash,78,2612,19.5
489,Steve Smith,71,929,18.3
255,Steven Hunter,59,789,12.3
