,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
397,Brad Miller,.773,.312,.112,.074,.275,.227,.638,1.000,.012,.242
37,Brandon Bass,1.000,.369,.142,.249,.240,.000,.513,,.116,
308,Brandon Jennings,.681,.236,.104,.124,.216,.319,.190,.614,.002,.059
485,Brandon Roy,.787,.247,.099,.155,.286,.213,.263,.822,.013,.231
486,Brandon Rush,.570,.219,.071,.074,.205,.430,.526,.992,.036,.374
234,Brendan Haywood,.998,.705,.216,.043,.035,.002,.583,,.253,.000
99,Brian Cardinal,.750,.111,.111,.167,.361,.250,.727,1.000,.000,.444
118,Brian Cook,.609,.261,.000,.174,.174,.391,.600,1.000,.043,.000
491,Brian Scalabrine,.424,.118,.024,.012,.271,.576,.923,1.000,.000,.571
500,Brian Skinner,1.000,.440,.200,.120,.240,.000,.700,,.000,
349,Brook Lopez,.998,.476,.220,.124,.179,.002,.568,,.125,.000
407,Byron Mullens,1.000,.316,.105,.211,.368,.000,.714,,.105,
392,C.J. Miles,.614,.260,.075,.075,.205,.386,.593,.919,.057,.171
567,C.J. Watson,.725,.231,.078,.089,.328,.275,.455,.933,.004,.400
332,Carl Landry,.997,.438,.213,.139,.207,.003,.562,1.000,.090,.667
23,Carlos Arroyo,.933,.115,.032,.173,.613,.067,.368,.714,.000,.600
63,Carlos Boozer,1.000,.456,.204,.148,.192,.000,.742,,.069,
134,Carlos Delfino,.501,.216,.056,.038,.191,.499,.558,.933,.023,.395
15,Carmelo Anthony,.875,.362,.099,.125,.291,.125,.375,.847,.041,.107
89,Caron Butler,.862,.249,.104,.087,.422,.138,.488,.667,.034,.290
359,Cartier Martin,.640,.250,.140,.074,.176,.360,.333,.882,.000,.265
285,Cedric Jackson,.700,.350,.150,.000,.200,.300,.000,.000,.000,.167
177,Channing Frye,.442,.102,.077,.033,.230,.558,.690,.965,.034,.105
45,Charlie Bell,.549,.185,.032,.074,.257,.451,.615,.945,.002,.525
554,Charlie Villanueva,.659,.212,.162,.164,.121,.341,.519,.960,.042,.241
88,Chase Budinger,.559,.283,.057,.057,.163,.441,.764,.946,.051,.313
53,Chauncey Billups,.577,.213,.062,.103,.199,.423,.269,.529,.000,.135
11,Chris Andersen,.988,.769,.052,.036,.131,.012,.711,,.315,.000
64,Chris Bosh,.981,.351,.217,.189,.224,.019,.493,.875,.088,.091
148,Chris Douglas-Roberts,.906,.440,.119,.124,.223,.094,.539,.786,.042,.667
152,Chris Duhon,.428,.224,.062,.024,.118,.572,.256,.700,.000,.101
269,Chris Hunter,.982,.479,.175,.115,.212,.018,.697,,.134,.000
321,Chris Kaman,.995,.334,.227,.230,.204,.005,.705,,.039,.167
440,Chris Paul,.801,.192,.141,.173,.295,.199,.069,.404,.000,.047
455,Chris Quinn,.429,.089,.107,.089,.143,.571,.300,.800,.000,.313
470,Chris Richard,1.000,.655,.310,.034,.000,.000,.667,,.310,
578,Chris Wilcox,1.000,.575,.183,.167,.075,.000,.651,,.200,
232,Chuck Hayes,1.000,.796,.185,.018,.000,.000,.584,,.009,
26,Chucky Atkins,.535,.166,.025,.038,.306,.465,.314,.818,.000,.288
323,Coby Karl,.656,.438,.156,.000,.063,.344,.444,1.000,.000,.091
68,Corey Brewer,.750,.335,.083,.075,.257,.250,.584,.963,.060,.262
354,Corey Maggette,.944,.409,.113,.091,.331,.056,.577,1.000,.053,.320
343,Courtney Lee,.710,.275,.065,.133,.237,.290,.492,.974,.026,.511
501,Craig Smith,.987,.700,.181,.048,.058,.013,.658,1.000,.048,.400
27,D.J. Augustin,.591,.283,.060,.076,.172,.409,.286,.829,.000,.208
276,D.J. Mbenga,1.000,.330,.184,.194,.291,.000,.563,,.049,
577,D.J. White,1.000,.268,.049,.317,.366,.000,.640,,.073,
515,DaJuan Summers,.677,.292,.062,.054,.269,.323,.645,.933,.046,.452
119,Daequan Cook,.502,.051,.055,.095,.300,.498,.561,.825,.004,.246
315,Dahntay Jones,.949,.335,.152,.119,.342,.051,.491,1.000,.056,.594
579,Damien Wilkins,.840,.302,.123,.160,.255,.160,.537,.722,.052,.426
178,Dan Gadzuric,1.000,.584,.124,.191,.090,.000,.538,,.112,
188,Daniel Gibson,.444,.116,.063,.049,.216,.556,.556,.944,.000,.322
180,Danilo Gallinari,.474,.182,.040,.056,.195,.526,.447,.898,.032,.180
205,Danny Granger,.615,.237,.097,.097,.184,.385,.376,.905,.014,.100
209,Danny Green,.436,.231,.077,.051,.077,.564,.556,.833,.000,.455
121,Dante Cunningham,.991,.252,.056,.159,.523,.009,.868,,.037,.000
506,Darius Songaila,.988,.275,.117,.125,.471,.012,.808,1.000,.002,.167
393,Darko Miličić,.995,.186,.578,.206,.025,.005,.500,,.020,.000
289,Darnell Jackson,.867,.500,.133,.067,.167,.133,.500,1.000,.100,.000
24,Darrell Arthur,.993,.370,.219,.144,.260,.007,.667,,.068,.000
114,Darren Collison,.854,.335,.106,.161,.252,.146,.276,.674,.019,.226
12,David Andersen,.771,.165,.185,.176,.244,.229,.658,.963,.018,.026
344,David Lee,.994,.464,.134,.114,.282,.006,.638,,.056,.125
572,David West,.978,.351,.174,.219,.234,.022,.565,1.000,.019,.296
320,DeAndre Jordan,.992,.861,.088,.034,.008,.008,.660,,.437,.000
54,DeJuan Blair,.996,.707,.220,.059,.010,.004,.596,,.069,.000
136,DeMar DeRozan,.969,.449,.123,.084,.313,.031,.673,1.000,.107,.625
101,DeMarre Carroll,.973,.324,.095,.090,.464,.027,.659,,.018,.167
142,DeSagana Diop,1.000,.690,.069,.172,.069,.000,.600,,.103,
509,DeShawn Stevenson,.466,.123,.025,.025,.294,.534,.667,.947,.012,.425
573,Delonte West,.823,.321,.126,.211,.165,.177,.331,.800,.032,.351
171,Derek Fisher,.599,.133,.048,.052,.366,.401,.530,.910,.000,.321
581,Deron Williams,.754,.303,.111,.082,.258,.246,.455,.521,.017,.066
81,Derrick Brown,.952,.660,.048,.095,.150,.048,.667,1.000,.245,.571
481,Derrick Rose,.956,.313,.141,.146,.355,.044,.309,.563,.019,.233
366,Desmond Mason,1.000,.583,.000,.333,.083,.000,.800,,.167,
187,Devean George,.403,.121,.039,.029,.214,.597,.561,.938,.010,.358
82,Devin Brown,.546,.280,.080,.053,.133,.454,.551,.862,.014,.159
221,Devin Harris,.755,.337,.110,.124,.183,.245,.216,.817,.003,.078
422,Dirk Nowitzki,.919,.162,.082,.290,.384,.081,.587,.980,.018,.017
382,Dominic McGuire,1.000,.442,.173,.019,.365,.000,.474,,.096,
212,Donté Greene,.669,.288,.156,.089,.137,.331,.543,.986,.076,.186
594,Dorell Wright,.625,.248,.055,.064,.258,.375,.571,.984,.086,.618
196,Drew Gooden,.987,.467,.214,.115,.191,.013,.547,1.000,.061,.125
316,Dwayne Jones,,,,,,,,,,
255,Dwight Howard,.992,.553,.396,.040,.004,.008,.496,,.246,.000
556,Dwyane Wade,.839,.366,.106,.124,.244,.161,.279,.260,.081,.099
36,Earl Barron,1.000,.368,.118,.147,.368,.000,.833,,.015,
66,Earl Boykins,.851,.124,.146,.256,.323,.149,.170,.737,.000,.233
110,Earl Clark,.967,.205,.172,.139,.450,.033,.574,1.000,.046,.200
568,Earl Watson,.649,.309,.160,.063,.116,.351,.271,.868,.002,.217
251,Eddie House,.501,.075,.013,.033,.380,.499,.681,.873,.000,.225
122,Eddy Curry,1.000,.476,.524,.000,.000,.000,.375,,.000,
413,Eduardo Nájera,.562,.384,.048,.034,.096,.438,.767,.947,.021,.125
67,Elton Brand,.999,.261,.225,.372,.141,.001,.566,,.041,.000
429,Emeka Okafor,1.000,.570,.271,.137,.021,.000,.675,,.145,
201,Eric Gordon,.591,.353,.069,.032,.136,.409,.528,.899,.031,.097
371,Eric Maynor,.807,.223,.323,.106,.155,.193,.144,.818,.000,.070
127,Erick Dampier,.986,.808,.131,.038,.009,.014,.644,1.000,.169,.333
277,Ersan İlyasova,.669,.292,.073,.093,.211,.331,.690,.988,.015,.091
528,Etan Thomas,1.000,.485,.338,.162,.015,.000,.645,,.103,
426,Fabricio Oberto,1.000,.679,.232,.071,.018,.000,.943,,.000,
158,Francisco Elson,1.000,.200,.067,.200,.533,.000,.400,,.000,
181,Francisco García,.665,.159,.028,.097,.381,.335,.746,.913,.011,.305
522,Garrett Temple,.634,.287,.069,.040,.238,.366,.226,1.000,.020,.676
242,George Hill,.745,.325,.093,.100,.226,.255,.406,.960,.016,.787
238,Gerald Henderson,.817,.375,.077,.135,.231,.183,.636,1.000,.115,.368
561,Gerald Wallace,.852,.572,.077,.025,.177,.148,.567,.981,.074,.664
17,Gilbert Arenas,.706,.203,.110,.093,.300,.294,.163,.508,.003,.066
130,Glen Davis,.986,.495,.226,.104,.161,.014,.680,,.018,.500
149,Goran Dragić,.617,.283,.077,.108,.149,.383,.264,.662,.014,.160
243,Grant Hill,.886,.307,.110,.220,.249,.114,.555,1.000,.031,.788
427,Greg Oden,1.000,.717,.224,.053,.007,.000,.543,,.224,
564,Hakim Warrick,.987,.451,.102,.167,.267,.013,.621,1.000,.169,.286
214,Hamed Haddadi,.952,.565,.194,.145,.048,.048,.417,,.081,.000
527,Hasheem Thabeet,1.000,.771,.107,.099,.023,.000,.584,,.244,
548,Hedo Türkoğlu,.571,.231,.062,.091,.187,.429,.310,.787,.025,.104
557,Henry Walker,.500,.341,.073,.009,.078,.500,.671,.960,.138,.250
19,Hilton Armstrong,.987,.456,.241,.139,.152,.013,.714,,.177,.000
356,Ian Mahinmi,1.000,.564,.273,.091,.073,.000,.543,,.127,
549,Ime Udoka,.622,.245,.095,.091,.191,.378,.462,.962,.008,.659
33,J.J. Barea,.702,.324,.129,.095,.154,.298,.142,.554,.000,.134
240,J.J. Hickson,.998,.638,.149,.075,.136,.002,.775,,.257,.000
190,J.R. Giddens,.833,.483,.050,.083,.217,.167,.393,,.050,.400
502,J.R. Smith,.548,.183,.110,.071,.184,.452,.363,.778,.036,.113
469,JJ Redick,.505,.159,.036,.054,.255,.495,.470,.811,.000,.219
377,JaVale McGee,.997,.603,.254,.117,.023,.003,.641,,.218,.000
355,Jamaal Magloire,1.000,.661,.304,.018,.018,.000,.464,,.196,
540,Jamaal Tinsley,.721,.186,.214,.229,.093,.279,.289,1.000,.000,.128
120,Jamal Crawford,.614,.165,.100,.089,.260,.386,.282,.724,.005,.365
402,Jamario Moon,.595,.287,.016,.057,.235,.405,.744,.969,.154,.430
417,Jameer Nelson,.680,.275,.071,.096,.238,.320,.100,.686,.000,.128
219,James Harden,.571,.325,.045,.033,.168,.429,.379,.925,.048,.190
313,James Johnson,.781,.500,.062,.038,.181,.219,.575,.933,.124,.478
317,James Jones,.244,.025,.008,.034,.176,.756,.833,.946,.000,.378
448,James Posey,.299,.186,.041,.032,.041,.701,.489,.877,.006,.260
497,James Singleton,.854,.331,.126,.094,.303,.146,.611,.857,.063,.189
123,JamesOn Curry,,,,,,,,,,
437,Jannero Pargo,.638,.113,.042,.087,.396,.362,.415,.868,.000,.304
151,Jared Dudley,.465,.271,.065,.033,.096,.535,.676,.992,.010,.462
305,Jared Jeffries,.774,.573,.054,.022,.124,.226,.573,1.000,.041,.423
284,Jarrett Jack,.703,.274,.139,.112,.179,.297,.187,.683,.004,.296
111,Jarron Collins,1.000,.484,.355,.097,.065,.000,.417,,.000,
233,Jarvis Hayes,.454,.095,.034,.061,.265,.546,.859,.950,.003,.380
112,Jason Collins,.957,.174,.087,.087,.609,.043,1.000,,.000,.000
226,Jason Hart,1.000,.000,.000,.000,1.000,.000,1.000,,.000,
322,Jason Kapono,.432,.040,.007,.090,.296,.568,.714,.937,.000,.333
326,Jason Kidd,.383,.133,.037,.052,.161,.617,.306,.932,.000,.191
369,Jason Maxiell,.998,.414,.147,.214,.222,.002,.656,,.147,.000
471,Jason Richardson,.599,.315,.100,.057,.127,.401,.585,.930,.055,.315
503,Jason Smith,.833,.351,.109,.178,.195,.167,.615,1.000,.052,.483
526,Jason Terry,.642,.148,.100,.129,.265,.358,.503,.882,.008,.273
535,Jason Thompson,.987,.344,.270,.112,.260,.013,.661,1.000,.056,.100
582,Jason Williams,.481,.192,.026,.052,.211,.519,.124,.631,.000,.176
583,Jawad Williams,.549,.204,.068,.117,.160,.451,.588,.867,.019,.301
28,Jeff Ayres,1.000,.569,.215,.123,.092,.000,.791,,.308,
174,Jeff Foster,.978,.609,.174,.022,.174,.022,.500,,.065,.000
210,Jeff Green,.708,.310,.155,.077,.165,.292,.451,1.000,.058,.372
518,Jeff Teague,.859,.366,.256,.044,.194,.141,.277,.571,.040,.094
424,Jermaine O'Neal,.997,.281,.203,.323,.191,.003,.541,,.091,.000
516,Jermaine Taylor,.815,.487,.134,.067,.126,.185,.375,1.000,.050,.455
508,Jerry Stackhouse,.589,.130,.051,.184,.225,.411,.655,.978,.016,.492
41,Jerryd Bayless,.810,.360,.054,.070,.325,.190,.292,.931,.025,.543
419,Joakim Noah,1.000,.660,.165,.062,.113,.000,.557,,.158,
386,Jodie Meeks,.507,.228,.022,.071,.187,.493,.581,.905,.011,.220
3,Joe Alexander,.833,.500,.000,.167,.167,.167,.000,,.000,1.000
314,Joe Johnson,.747,.188,.220,.111,.229,.253,.291,.767,.008,.429
504,Joe Smith,.964,.254,.161,.078,.472,.036,.763,1.000,.052,1.000
16,Joel Anthony,1.000,.604,.352,.038,.006,.000,.632,,.214,
454,Joel Przybilla,1.000,.942,.047,.012,.000,.000,.689,,.128,
144,Joey Dorsey,1.000,.800,.200,.000,.000,.000,.444,,.150,
203,Joey Graham,.936,.426,.153,.119,.238,.064,.641,1.000,.104,.462
445,Johan Petro,.990,.356,.277,.149,.208,.010,.704,,.089,.000
488,John Salmons,.688,.260,.065,.158,.205,.312,.426,.831,.016,.272
76,Jon Brockman,1.000,.709,.146,.039,.107,.000,.527,,.049,
309,Jonas Jerebko,.809,.534,.146,.046,.083,.191,.646,1.000,.061,.243
50,Jonathan Bender,.610,.340,.050,.040,.180,.390,.385,.929,.080,.359
172,Jonny Flynn,.774,.296,.145,.106,.227,.226,.169,.597,.015,.191
164,Jordan Farmar,.555,.260,.047,.089,.159,.445,.486,.756,.021,.188
244,Jordan Hill,.990,.458,.194,.104,.234,.010,.576,,.129,.000
62,Josh Boone,1.000,.740,.108,.103,.049,.000,.667,,.161,
256,Josh Howard,.778,.188,.129,.170,.291,.222,.590,1.000,.005,.267
385,Josh McRoberts,.842,.500,.137,.048,.158,.158,.676,1.000,.185,.217
450,Josh Powell,.918,.314,.144,.160,.299,.082,.641,1.000,.072,.563
505,Josh Smith,.993,.550,.191,.026,.226,.007,.621,,.144,.286
95,José Calderón,.699,.257,.025,.069,.349,.301,.141,.926,.000,.222
248,Jrue Holiday,.694,.285,.123,.098,.188,.306,.292,.661,.017,.208
595,Julian Wright,.974,.526,.134,.116,.198,.026,.623,1.000,.138,.167
259,Juwan Howard,.997,.243,.208,.235,.312,.003,.717,,.027,1.000
487,Kareem Rush,.727,.182,.091,.273,.182,.273,.333,1.000,.000,.333
59,Keith Bogans,.342,.242,.050,.020,.030,.658,.540,.971,.000,.561
29,Kelenna Azubuike,.693,.420,.114,.045,.114,.307,.553,.900,.136,.296
443,Kendrick Perkins,.994,.594,.312,.073,.015,.006,.678,,.119,.000
529,Kenny Thomas,1.000,.629,.286,.057,.029,.000,.706,,.000,
362,Kenyon Martin,.953,.360,.224,.100,.269,.047,.676,.750,.127,.207
155,Kevin Durant,.790,.245,.107,.203,.235,.210,.471,.773,.082,.048
182,Kevin Garnett,.994,.278,.177,.141,.396,.006,.823,.000,.074,.200
352,Kevin Love,.836,.427,.176,.105,.127,.164,.527,.914,.026,.132
363,Kevin Martin,.697,.215,.094,.107,.281,.303,.543,.843,.022,.233
431,Kevin Ollie,.978,.289,.044,.133,.511,.022,.778,,.000,1.000
143,Keyon Dooling,.515,.148,.037,.111,.219,.485,.200,.814,.009,.382
247,Kirk Hinrich,.628,.143,.046,.058,.380,.372,.490,.885,.000,.239
87,Kobe Bryant,.808,.212,.132,.221,.243,.192,.368,.636,.025,.100
329,Kosta Koufos,1.000,.617,.255,.043,.085,.000,.682,,.191,
266,Kris Humphries,.998,.424,.118,.199,.257,.002,.639,,.098,.000
530,Kurt Thomas,1.000,.212,.115,.216,.457,.000,.879,,.000,
85,Kwame Brown,.992,.605,.250,.105,.032,.008,.645,,.137,.000
328,Kyle Korver,.607,.075,.014,.079,.439,.393,.924,.932,.004,.545
353,Kyle Lowry,.707,.397,.119,.067,.125,.293,.224,.892,.000,.206
569,Kyle Weaver,.424,.091,.030,.030,.273,.576,.600,.857,.000,.368
167,Kyrylo Fesenko,.989,.653,.316,.021,.000,.011,.692,,.211,.000
2,LaMarcus Aldridge,.986,.247,.215,.210,.314,.014,.570,1.000,.078,.375
428,Lamar Odom,.754,.442,.133,.058,.120,.246,.430,.845,.055,.187
263,Larry Hughes,.640,.207,.067,.096,.269,.360,.404,.977,.005,.309
296,LeBron James,.747,.342,.082,.061,.262,.253,.369,.341,.080,.111
32,Leandro Barbosa,.627,.323,.082,.058,.164,.373,.514,.750,.000,.434
449,Leon Powe,1.000,.714,.204,.061,.020,.000,.571,,.020,
260,Lester Hudson,.698,.189,.075,.094,.340,.302,.500,.800,.000,.125
270,Lindsey Hunter,.567,.133,.067,.100,.267,.433,.500,1.000,.000,.077
10,Lou Amundson,.996,.725,.159,.072,.040,.004,.697,,.149,.000
584,Lou Williams,.696,.362,.100,.081,.152,.304,.335,.886,.024,.257
375,Luc Mbah a Moute,.954,.537,.087,.095,.236,.046,.602,1.000,.041,1.000
493,Luis Scola,.995,.357,.260,.117,.261,.005,.626,1.000,.002,.000
473,Luke Ridnour,.736,.173,.074,.153,.335,.264,.247,.812,.000,.320
563,Luke Walton,.798,.179,.238,.226,.155,.202,.391,.857,.000,.471
135,Luol Deng,.918,.294,.114,.089,.421,.082,.583,.969,.035,.783
237,Luther Head,.662,.254,.064,.058,.286,.338,.404,.784,.003,.238
4,Malik Allen,.948,.198,.060,.112,.578,.052,.622,1.000,.017,.667
215,Malik Hairston,.855,.566,.039,.013,.237,.145,.658,1.000,.132,.727
194,Manu Ginóbili,.612,.301,.122,.068,.122,.388,.331,.727,.019,.177
183,Marc Gasol,.998,.516,.312,.114,.057,.002,.630,,.097,.000
202,Marcin Gortat,.987,.604,.238,.115,.031,.013,.793,,.141,.000
44,Marco Belinelli,.583,.227,.079,.029,.248,.417,.660,.717,.018,.342
31,Marcus Banks,.671,.288,.055,.027,.301,.329,.281,.857,.000,.375
96,Marcus Camby,.986,.511,.100,.122,.253,.014,.657,1.000,.046,.571
216,Marcus Haislip,.762,.286,.048,.048,.381,.238,.429,1.000,.000,.400
335,Marcus Landry,.349,.209,.047,.000,.093,.651,.286,1.000,.023,.464
539,Marcus Thornton,.646,.361,.061,.074,.149,.354,.548,.846,.022,.173
585,Marcus Williams,.701,.207,.125,.118,.251,.299,.238,.792,.004,.148
113,Mardy Collins,.867,.242,.281,.141,.203,.133,.279,.750,.023,.353
107,Mario Chalmers,.480,.200,.090,.070,.119,.520,.196,.760,.009,.165
574,Mario West,.952,.762,.095,.000,.095,.048,.500,,.286,.000
128,Marquis Daniels,.888,.470,.201,.145,.072,.112,.602,1.000,.004,.536
507,Marreese Speights,.989,.363,.185,.164,.277,.011,.618,,.090,.000
570,Martell Webster,.480,.236,.034,.033,.177,.520,.704,.976,.070,.416
586,Marvin Williams,.801,.336,.149,.059,.258,.199,.569,.975,.089,.576
35,Matt Barnes,.628,.452,.088,.023,.065,.372,.683,.924,.043,.483
61,Matt Bonner,.379,.081,.164,.062,.073,.621,.500,.989,.008,.121
102,Matt Carroll,.620,.120,.060,.160,.280,.380,.429,1.000,.000,.579
161,Maurice Evans,.570,.303,.033,.099,.135,.430,.576,.912,.102,.544
430,Mehmet Okur,.725,.321,.124,.098,.181,.275,.626,.963,.041,.141
592,Metta World Peace,.600,.335,.053,.043,.169,.400,.557,.857,.019,.331
42,Michael Beasley,.902,.285,.144,.154,.319,.098,.514,1.000,.072,.402
168,Michael Finley,.554,.054,.049,.114,.337,.446,.653,.938,.005,.354
468,Michael Redd,.718,.258,.146,.099,.216,.282,.439,1.000,.009,.300
447,Mickaël Piétrus,.432,.189,.020,.033,.189,.568,.564,.862,.046,.448
51,Mike Bibby,.497,.070,.033,.045,.349,.503,.655,.952,.000,.238
116,Mike Conley,.745,.337,.127,.090,.190,.255,.111,.927,.001,.283
154,Mike Dunleavy,.577,.206,.079,.057,.235,.423,.714,.987,.004,.191
222,Mike Harris,.967,.433,.267,.100,.167,.033,.636,,.000,.000
297,Mike James,.700,.050,.200,.050,.400,.300,.500,1.000,.000,.500
398,Mike Miller,.605,.293,.065,.021,.226,.395,.556,.890,.012,.246
580,Mike Wilks,.750,.083,.083,.250,.333,.250,.250,1.000,.000,.667
403,Mikki Moore,1.000,.389,.122,.078,.411,.000,.741,,.200,
587,Mo Williams,.566,.117,.071,.095,.283,.434,.260,.748,.001,.291
157,Monta Ellis,.838,.330,.129,.095,.284,.162,.314,.675,.017,.171
444,Morris Peterson,.432,.169,.050,.053,.159,.568,.815,.935,.007,.409
474,Nate Robinson,.548,.217,.059,.061,.211,.452,.344,.667,.008,.099
301,Nathan Jawai,.991,.631,.243,.081,.036,.009,.388,,.090,.000
401,Nazr Mohammed,1.000,.553,.219,.161,.067,.000,.704,,.140,
330,Nenad Krstić,.991,.300,.098,.125,.468,.009,.821,1.000,.057,.600
241,Nenê,.997,.649,.135,.091,.123,.003,.753,,.198,.000
115,Nick Collison,.987,.650,.142,.058,.136,.013,.652,1.000,.117,.250
596,Nick Young,.695,.149,.084,.145,.317,.305,.512,.942,.014,.365
40,Nicolas Batum,.507,.299,.037,.034,.138,.493,.765,.981,.086,.394
374,O.J. Mayo,.700,.265,.096,.085,.254,.300,.470,.816,.025,.220
442,Oleksiy Pecherov,.723,.229,.080,.106,.309,.277,.603,1.000,.016,.154
331,Oliver Lafayette,.667,.000,.167,.000,.500,.333,.500,1.000,.000,.500
106,Omri Casspi,.698,.274,.201,.057,.167,.302,.564,.920,.048,.271
271,Othello Hunter,1.000,.583,.333,.083,.000,.000,.750,,.083,
302,Othyus Jeffers,1.000,.759,.103,.069,.069,.000,.417,,.172,
423,Patrick O'Bryant,.933,.267,.267,.267,.133,.067,.625,,.067,.000
399,Patty Mills,.833,.292,.083,.125,.333,.167,.375,1.000,.000,.000
184,Pau Gasol,.994,.434,.326,.160,.076,.006,.569,,.090,.200
131,Paul Davis,1.000,.250,.250,.250,.250,.000,.500,,.000,
400,Paul Millsap,.987,.494,.131,.159,.203,.013,.721,.000,.067,.111
446,Paul Pierce,.697,.321,.065,.141,.171,.303,.410,.917,.025,.103
512,Peja Stojaković,.488,.147,.038,.087,.217,.512,.644,.924,.001,.173
25,Player,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,%3PA
389,Pops Mensah-Bonsu,1.000,.848,.061,.091,.000,.000,.846,,.364,
72,Primož Brezec,1.000,.346,.154,.231,.269,.000,.889,,.000,
472,Quentin Richardson,.362,.200,.062,.034,.066,.638,.350,.951,.036,.215
482,Quinton Ross,.811,.243,.045,.036,.486,.189,.889,1.000,.000,.857
7,Rafer Alston,.623,.233,.168,.049,.173,.377,.124,.828,.000,.190
47,Raja Bell,.557,.033,.033,.066,.426,.443,.688,1.000,.000,.407
480,Rajon Rondo,.912,.501,.157,.087,.166,.088,.296,.471,.018,.250
495,Ramon Sessions,.973,.414,.198,.155,.205,.027,.369,1.000,.022,.000
404,Randolph Morris,1.000,.415,.293,.244,.049,.000,.391,,.073,
176,Randy Foye,.706,.107,.118,.092,.389,.294,.166,.587,.002,.143
345,Rashard Lewis,.475,.149,.132,.111,.083,.525,.445,.976,.006,.345
