,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
451,A.J. Price,.508,.172,.105,.102,.130,.492,.106,.767,.000,.213
77,Aaron Brooks,.606,.258,.087,.099,.162,.394,.210,.713,.000,.143
206,Aaron Gray,1.000,.634,.207,.146,.012,.000,.333,,.024,
338,Acie Law,.787,.600,.080,.040,.067,.213,.300,.600,.027,.313
405,Adam Morrison,.753,.118,.200,.165,.271,.247,.704,.600,.000,.381
220,Al Harrington,.603,.343,.073,.072,.116,.397,.380,.943,.029,.213
250,Al Horford,.999,.360,.305,.170,.164,.001,.652,1.000,.105,1.000
303,Al Jefferson,.996,.313,.299,.288,.097,.004,.448,,.038,.000
536,Al Thornton,.954,.374,.095,.161,.324,.046,.621,.636,.056,.065
544,Alando Tucker,.821,.462,.128,.051,.179,.179,.438,1.000,.051,.429
1,Alexis Ajinça,1.000,.400,.200,.100,.300,.000,.800,,.100,
278,Allen Iverson,.921,.199,.114,.199,.408,.079,.425,.889,.000,.040
186,Alonzo Gee,.847,.576,.136,.068,.068,.153,.429,.714,.186,.444
513,Amar'e Stoudemire,.995,.428,.264,.110,.193,.005,.612,1.000,.164,.167
311,Amir Johnson,.988,.659,.225,.024,.081,.012,.678,,.153,.250
553,Anderson Varejão,.989,.645,.176,.079,.090,.011,.763,1.000,.101,.000
58,Andray Blatche,.956,.345,.194,.159,.257,.044,.527,.846,.053,.432
274,Andre Iguodala,.729,.276,.054,.116,.284,.271,.415,.809,.112,.165
396,Andre Miller,.912,.382,.112,.160,.258,.088,.273,.750,.002,.125
34,Andrea Bargnani,.716,.198,.148,.144,.226,.284,.688,.983,.039,.031
327,Andrei Kirilenko,.815,.454,.056,.023,.282,.185,.729,1.000,.156,.169
60,Andrew Bogut,.998,.447,.468,.069,.013,.002,.524,,.076,.000
93,Andrew Bynum,.999,.536,.346,.094,.022,.001,.587,,.186,1.000
52,Andris Biedriņš,1.000,.657,.336,.007,.000,.000,.704,,.190,
420,Andrés Nocioni,.576,.211,.143,.055,.167,.424,.529,.990,.005,.229
298,Antawn Jamison,.762,.277,.216,.079,.189,.238,.697,1.000,.007,.267
103,Anthony Carter,.652,.265,.088,.039,.260,.348,.559,1.000,.006,.381
312,Anthony Johnson,.649,.216,.135,.171,.126,.351,.194,.923,.009,.282
406,Anthony Morrow,.563,.139,.094,.148,.182,.437,.434,.957,.004,.300
438,Anthony Parker,.451,.082,.065,.084,.217,.549,.745,.972,.008,.621
460,Anthony Randolph,.984,.408,.184,.097,.294,.016,.574,1.000,.097,.400
541,Anthony Tolliver,.661,.254,.089,.067,.252,.339,.797,1.000,.060,.296
593,Antoine Wright,.566,.248,.083,.058,.178,.434,.365,.897,.020,.491
13,Antonio Anderson,1.000,.000,.000,.333,.667,.000,1.000,,.000,
376,Antonio McDyess,.995,.229,.035,.173,.558,.005,.854,,.037,.000
0,Arron Afflalo,.574,.258,.056,.079,.181,.426,.543,.972,.012,.562
133,Austin Daye,.678,.261,.058,.146,.214,.322,.583,.931,.041,.432
129,Baron Davis,.708,.330,.089,.090,.200,.292,.188,.402,.008,.105
199,Ben Gordon,.665,.170,.099,.107,.289,.335,.352,.787,.004,.265
560,Ben Wallace,.993,.812,.110,.034,.038,.007,.595,,.202,.000
550,Beno Udrih,.763,.208,.067,.212,.277,.237,.335,.787,.000,.307
78,Bobby Brown,.586,.181,.089,.063,.253,.414,.290,.808,.025,.122
496,Bobby Simmons,.462,.120,.043,.060,.239,.538,.500,1.000,.000,.381
137,Boris Diaw,.734,.387,.129,.049,.168,.266,.691,1.000,.008,.092
