,Player,G,MP,USG%
481,A.J. Price,50,795,22.7
94,Aaron Brooks,59,1284,25.9
258,Aaron Gray,41,531,13.1
369,Acie Law,51,726,15.7
275,Al Harrington,73,1665,22.3
302,Al Horford,77,2704,19.7
327,Al Jefferson,82,2940,24.2
566,Al Thornton,71,1383,17.8
12,Al-Farouq Aminu,81,1452,17.3
3,Alexis Ajinça,34,340,21.1
240,Alonzo Gee,56,1118,14.5
545,Amar'e Stoudemire,78,2870,30.9
335,Amir Johnson,72,1853,15.3
583,Anderson Varejão,31,994,13.3
76,Andray Blatche,64,2172,25.5
310,Andre Iguodala,67,2469,19.2
411,Andre Miller,81,2650,20.6
45,Andrea Bargnani,66,2353,28.2
357,Andrei Kirilenko,64,1999,17.8
79,Andrew Bogut,65,2297,19.6
108,Andrew Bynum,54,1500,17.6
70,Andris Biedriņš,59,1397,10.6
439,Andrés Nocioni,54,931,17.4
495,Andy Rautins,5,24,27.5
323,Antawn Jamison,56,1842,26.0
122,Anthony Carter,33,463,14.3
425,Anthony Morrow,58,1856,18.0
456,Anthony Parker,72,2091,14.6
490,Anthony Randolph,40,590,25.8
573,Anthony Tolliver,65,1362,13.1
638,Antoine Wright,7,31,12.6
161,Antonio Daniels,4,35,9.1
402,Antonio McDyess,73,1387,14.9
336,Armon Johnson,38,277,25.1
1,Arron Afflalo,69,2324,14.8
168,Austin Daye,72,1446,18.6
86,Avery Bradley,31,162,26.1
163,Baron Davis,58,1649,24.4
250,Ben Gordon,82,2131,21.5
582,Ben Uzoh,42,438,20.5
593,Ben Wallace,54,1238,8.2
581,Beno Udrih,79,2734,16.9
267,Blake Griffin,82,3112,27.3
522,Bobby Simmons,2,16,8.6
172,Boris Diaw,82,2778,16.8
412,Brad Miller,60,1015,17.0
639,Brandan Wright,37,379,17.2
51,Brandon Bass,76,1980,19.8
332,Brandon Jennings,63,2169,25.5
509,Brandon Roy,47,1310,22.8
510,Brandon Rush,67,1754,15.9
286,Brendan Haywood,72,1331,12.4
113,Brian Cardinal,56,618,9.5
146,Brian Cook,40,447,20.5
515,Brian Scalabrine,18,88,12.5
523,Brian Skinner,2,6,0.0
382,Brook Lopez,82,2889,27.3
429,Byron Mullens,13,85,22.5
409,C.J. Miles,78,1969,25.1
601,C.J. Watson,82,1091,21.4
366,Carl Landry,76,2008,20.5
32,Carlos Arroyo,64,1185,14.0
82,Carlos Boozer,59,1882,26.9
169,Carlos Delfino,49,1590,17.7
20,Carmelo Anthony,77,2751,32.0
104,Caron Butler,29,867,25.1
392,Cartier Martin,52,542,17.6
223,Channing Frye,77,2541,16.9
64,Charlie Bell,19,171,13.1
585,Charlie Villanueva,76,1666,23.1
103,Chase Budinger,78,1738,19.9
71,Chauncey Billups,72,2310,22.3
14,Chris Andersen,45,732,13.5
83,Chris Bosh,77,2795,23.5
178,Chris Douglas-Roberts,44,884,18.4
185,Chris Duhon,51,774,12.0
337,Chris Johnson,14,138,13.5
354,Chris Kaman,32,838,24.4
459,Chris Paul,80,2880,21.1
488,Chris Quinn,41,292,16.8
614,Chris Wilcox,57,995,18.9
205,Christian Eyenga,44,947,17.5
283,Chuck Hayes,74,2079,13.0
7,Cole Aldrich,18,142,7.9
89,Corey Brewer,69,1510,18.8
387,Corey Maggette,67,1401,27.7
374,Courtney Lee,81,1723,17.9
85,Craig Brackins,3,33,22.3
524,Craig Smith,48,586,19.1
37,D.J. Augustin,82,2757,21.2
312,D.J. Mbenga,41,330,11.3
610,D.J. White,47,685,17.7
547,DaJuan Summers,22,199,21.3
147,Daequan Cook,43,598,15.7
