,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
337,Aaron McKie,.833,.000,.083,.083,.667,.167,.667,,.000,.500
341,Aaron Miles,1.000,.278,.222,.111,.389,.000,.333,,.000,
564,Aaron Williams,1.000,.523,.199,.136,.142,.000,.692,,.170,
175,Adonal Foyle,1.000,.493,.387,.077,.043,.000,.691,,.120,
210,Adrian Griffin,.990,.319,.201,.132,.338,.010,.571,,.015,.000
220,Al Harrington,.843,.325,.120,.169,.229,.157,.491,.985,.040,.340
271,Al Jefferson,.989,.565,.306,.095,.024,.011,.492,,.079,.000
7,Alan Anderson,.680,.370,.083,.044,.182,.320,.569,.875,.066,.621
231,Alan Henderson,1.000,.813,.110,.066,.011,.000,.681,,.099,
1,Alex Acker,.688,.188,.000,.313,.188,.313,.333,.000,.000,.200
460,Alex Scales,,,,,,,,,,
251,Allen Iverson,.878,.295,.130,.190,.262,.122,.199,.667,.002,.139
359,Alonzo Mourning,.997,.549,.340,.067,.041,.003,.622,,.241,.000
567,Alvin Williams,.333,.000,.000,.000,.333,.667,,,.000,.500
489,Amar'e Stoudemire,.963,.370,.296,.111,.185,.037,.333,,.037,1.000
274,Amir Johnson,.700,.600,.000,.100,.000,.300,.600,1.000,.200,1.000
528,Anderson Varejão,.993,.713,.080,.027,.173,.007,.658,,.093,.000
58,Andray Blatche,.806,.299,.090,.090,.328,.194,.435,.667,.060,.538
36,Andre Barrett,.865,.308,.096,.077,.385,.135,.222,.500,.000,.429
248,Andre Iguodala,.770,.480,.113,.080,.097,.230,.622,.929,.206,.570
347,Andre Miller,.969,.396,.114,.202,.258,.031,.316,.600,.001,.111
395,Andre Owens,.784,.297,.054,.041,.392,.216,.625,1.000,.000,.063
295,Andrei Kirilenko,.840,.488,.090,.063,.199,.160,.533,.889,.100,.111
65,Andrew Bogut,.995,.670,.196,.069,.059,.005,.598,,.109,.000
91,Andrew Bynum,1.000,.573,.366,.049,.012,.000,.576,,.110,
54,Andris Biedriņš,1.000,.762,.211,.022,.005,.000,.729,,.216,
376,Andrés Nocioni,.714,.336,.084,.085,.208,.286,.610,1.000,.028,.332
218,Anfernee Hardaway,.929,.143,.000,.214,.571,.071,.500,,.000,1.000
268,Antawn Jamison,.750,.196,.205,.088,.261,.250,.641,.959,.011,.225
98,Anthony Carter,.891,.350,.044,.029,.467,.109,.490,.500,.007,.133
195,Anthony Goldwire,.714,.286,.000,.143,.286,.286,.000,,.000,.000
213,Anthony Grundy,.605,.395,.079,.079,.053,.395,.357,.800,.026,.267
275,Anthony Johnson,.743,.191,.134,.182,.235,.257,.384,.706,.017,.232
442,Anthony Roberson,.677,.226,.000,.097,.355,.323,.556,1.000,.000,.200
537,Antoine Walker,.573,.329,.194,.027,.024,.427,.343,.964,.011,.159
580,Antoine Wright,.815,.506,.062,.074,.173,.185,.786,1.000,.062,.600
86,Antonio Burks,.958,.326,.069,.083,.479,.042,.220,.000,.000,.167
120,Antonio Daniels,.816,.295,.191,.093,.238,.184,.275,.696,.035,.188
122,Antonio Davis,.995,.474,.153,.168,.200,.005,.720,,.105,.000
334,Antonio McDyess,.996,.252,.054,.259,.432,.004,.800,,.066,.500
316,Arvydas Macijauskas,.707,.171,.073,.122,.341,.293,.273,.667,.000,.167
116,Austin Croshere,.509,.242,.060,.039,.168,.491,.692,.981,.060,.207
486,Awvee Storey,.829,.220,.000,.146,.463,.171,.846,1.000,.049,.143
125,Baron Davis,.624,.254,.124,.092,.153,.376,.133,.451,.026,.117
198,Ben Gordon,.668,.167,.080,.095,.326,.332,.375,.693,.003,.280
539,Ben Wallace,.991,.753,.103,.095,.041,.009,.646,,.312,.500
525,Beno Udrih,.700,.335,.099,.120,.146,.300,.537,.917,.000,.357
444,Bernard Robinson,.942,.551,.104,.151,.137,.058,.490,1.000,.044,.190
501,Billy Thomas,.250,.025,.000,.025,.200,.750,.667,1.000,.000,.400
393,Bo Outlaw,1.000,.690,.241,.034,.034,.000,.600,,.034,
254,Bobby Jackson,.556,.229,.067,.056,.205,.444,.210,.853,.000,.334
464,Bobby Simmons,.691,.207,.066,.135,.283,.309,.659,.971,.015,.364
366,Boniface N'Dong,.981,.245,.226,.245,.264,.019,.727,,.075,.000
550,Bonzi Wells,.927,.481,.144,.103,.199,.073,.573,1.000,.073,.711
140,Boris Diaw,.965,.438,.154,.117,.256,.035,.499,1.000,.047,.567
367,Boštjan Nachbar,.545,.224,.064,.058,.199,.455,.514,.947,.038,.310
581,Bracey Wright,.667,.118,.118,.137,.294,.333,.600,1.000,.000,.176
348,Brad Miller,.900,.225,.139,.083,.453,.100,.715,.941,.023,.273
43,Brandon Bass,1.000,.457,.214,.171,.157,.000,.607,,.086,
229,Brendan Haywood,1.000,.549,.368,.072,.012,.000,.505,,.162,
40,Brent Barry,.414,.177,.078,.035,.125,.586,.605,.950,.035,.287
297,Brevin Knight,.983,.259,.093,.153,.478,.017,.318,.333,.000,.077
96,Brian Cardinal,.739,.216,.072,.153,.297,.261,.788,1.000,.000,.310
114,Brian Cook,.836,.249,.057,.131,.399,.164,.764,1.000,.057,.071
205,Brian Grant,1.000,.200,.031,.169,.600,.000,.889,,.015,
459,Brian Scalabrine,.549,.171,.062,.041,.275,.451,.674,.968,.016,.391
466,Brian Skinner,1.000,.456,.388,.081,.075,.000,.500,,.056,
70,Bruce Bowen,.543,.129,.101,.095,.218,.457,.734,.990,.004,.906
454,Bryon Russell,,,,,,,,,,
342,C.J. Miles,.737,.224,.053,.026,.434,.263,.652,1.000,.013,.200
105,Calbert Cheaney,.926,.111,.120,.130,.565,.074,.619,,.009,.375
67,Calvin Booth,.957,.319,.064,.277,.298,.043,.684,1.000,.085,.000
20,Carlos Arroyo,.947,.246,.095,.204,.402,.053,.273,.429,.000,.100
68,Carlos Boozer,1.000,.439,.158,.183,.221,.000,.694,,.073,
134,Carlos Delfino,.735,.345,.018,.075,.296,.265,.648,1.000,.066,.483
13,Carmelo Anthony,.903,.429,.059,.077,.339,.097,.613,.919,.109,.151
88,Caron Butler,.890,.257,.155,.123,.355,.110,.488,.610,.045,.150
182,Channing Frye,.986,.273,.217,.181,.314,.014,.623,1.000,.067,.333
469,Charles Smith,.472,.194,.042,.028,.208,.528,.933,1.000,.014,.395
50,Charlie Bell,.590,.273,.024,.063,.229,.410,.495,.915,.010,.327
530,Charlie Villanueva,.772,.335,.196,.143,.099,.228,.556,.986,.088,.393
55,Chauncey Billups,.580,.192,.041,.134,.213,.420,.268,.484,.001,.144
6,Chris Andersen,1.000,.827,.031,.051,.092,.000,.536,,.245,
69,Chris Bosh,.988,.318,.162,.239,.269,.012,.488,,.074,.154
148,Chris Duhon,.483,.264,.065,.035,.119,.517,.261,.830,.000,.248
290,Chris Kaman,.997,.462,.411,.098,.027,.003,.539,,.054,.000
340,Chris Mihm,1.000,.436,.329,.120,.115,.000,.609,,.087,
406,Chris Paul,.813,.340,.153,.089,.231,.187,.132,.780,.013,.096
496,Chris Taft,1.000,.632,.263,.105,.000,.000,.609,,.132,
548,Chris Webber,.946,.257,.220,.155,.313,.054,.622,.810,.056,.169
556,Chris Wilcox,.996,.480,.307,.191,.018,.004,.767,,.231,.000
227,Chuck Hayes,.990,.848,.114,.010,.019,.010,.593,,.048,.000
23,Chucky Atkins,.522,.187,.072,.038,.225,.478,.217,.742,.000,.164
445,Clifford Robinson,.659,.135,.101,.140,.283,.341,.855,.983,.016,.291
318,Corey Maggette,.811,.269,.075,.107,.360,.189,.664,1.000,.035,.183
574,Corliss Williamson,.981,.369,.340,.136,.136,.019,.537,1.000,.029,1.000
352,Cuttino Mobley,.757,.218,.101,.170,.268,.243,.488,.952,.005,.290
250,D.J. Mbenga,.983,.317,.267,.317,.083,.017,.688,,.067,.000
283,Dahntay Jones,.920,.361,.103,.087,.369,.080,.453,1.000,.049,.952
126,Dale Davis,.958,.542,.042,.292,.083,.042,.556,,.083,1.000
559,Damien Wilkins,.871,.320,.161,.147,.244,.129,.531,1.000,.060,.482
284,Damon Jones,.244,.069,.020,.029,.126,.756,.480,.907,.000,.310
487,Damon Stoudamire,.638,.289,.049,.066,.233,.362,.192,.833,.000,.115
141,Dan Dickau,.565,.239,.022,.087,.217,.435,.286,.600,.000,.400
183,Dan Gadzuric,.997,.644,.217,.120,.016,.003,.813,,.301,.000
164,Daniel Ewing,.694,.247,.039,.078,.329,.306,.560,.818,.012,.218
173,Danny Fortson,1.000,.725,.275,.000,.000,.000,.444,,.000,
204,Danny Granger,.805,.310,.098,.090,.308,.195,.686,.967,.052,.366
343,Darius Miles,.980,.339,.151,.092,.398,.020,.532,1.000,.104,.100
478,Darius Songaila,.990,.332,.132,.134,.391,.010,.803,1.000,.018,.200
344,Darko Miličić,.991,.321,.184,.115,.372,.009,.681,,.077,.000
19,Darrell Armstrong,.625,.227,.070,.047,.281,.375,.375,.818,.000,.333
325,Darrick Martin,.588,.206,.052,.031,.299,.412,.056,.875,.000,.300
223,David Harrison,1.000,.520,.323,.119,.037,.000,.703,,.133,
307,David Lee,1.000,.652,.143,.070,.135,.000,.664,,.209,
552,David Wesley,.517,.160,.043,.046,.267,.483,.559,.929,.000,.317
553,David West,.989,.341,.125,.178,.347,.011,.641,.333,.044,.000
144,DeSagana Diop,.987,.617,.123,.195,.052,.013,.662,1.000,.162,.000
482,DeShawn Stevenson,.981,.410,.052,.078,.440,.019,.655,1.000,.058,.133
554,Delonte West,.681,.314,.058,.064,.244,.319,.390,.905,.023,.385
184,Deng Gai,,,,,,,,,,
276,DerMarr Johnson,.477,.245,.046,.059,.127,.523,.684,.946,.092,.600
8,Derek Anderson,.558,.125,.059,.109,.264,.442,.382,.875,.007,.291
168,Derek Fisher,.667,.145,.095,.080,.347,.333,.364,.838,.001,.305
568,Deron Williams,.728,.239,.066,.086,.338,.272,.472,.725,.010,.078
584,Derrick Zimmerman,1.000,.667,.333,.000,.000,.000,1.000,,.000,
329,Desmond Mason,.991,.394,.288,.171,.138,.009,.540,1.000,.084,.333
191,Devean George,.624,.202,.054,.075,.292,.376,.608,.940,.042,.444
76,Devin Brown,.776,.338,.101,.078,.260,.224,.619,1.000,.013,.297
206,Devin Green,.929,.321,.179,.250,.179,.071,.833,,.036,.500
222,Devin Harris,.948,.521,.094,.141,.193,.052,.378,.600,.022,.095
516,Dijon Thompson,.560,.280,.040,.040,.200,.440,.429,.750,.040,.273
365,Dikembe Mutombo,1.000,.695,.168,.116,.021,.000,.620,,.116,
381,Dirk Nowitzki,.827,.158,.099,.263,.307,.173,.438,.909,.017,.063
497,Donell Taylor,.875,.360,.096,.051,.368,.125,.551,.500,.015,.235
472,Donta Smith,.852,.593,.037,.111,.111,.148,.769,1.000,.185,.500
323,Donyell Marshall,.411,.264,.061,.034,.052,.589,.664,.984,.055,.577
582,Dorell Wright,.860,.186,.116,.093,.465,.140,.588,1.000,.047,.167
108,Doug Christie,.962,.192,.115,.154,.500,.038,1.000,,.000,1.000
197,Drew Gooden,.995,.492,.233,.155,.115,.005,.583,1.000,.118,.667
285,Dwayne Jones,1.000,.700,.300,.000,.000,.000,.500,,.300,
240,Dwight Howard,.998,.613,.294,.068,.023,.002,.530,,.269,.000
534,Dwyane Wade,.946,.386,.142,.132,.287,.054,.334,.692,.115,.237
39,Earl Barron,1.000,.188,.250,.375,.188,.000,.800,,.000,
72,Earl Boykins,.729,.144,.082,.160,.343,.271,.311,.710,.000,.168
545,Earl Watson,.466,.206,.092,.057,.110,.534,.284,.918,.008,.199
42,Eddie Basden,.811,.541,.108,.027,.135,.189,.714,1.000,.000,.429
192,Eddie Gill,.489,.222,.022,.022,.222,.511,.000,.571,.000,.304
212,Eddie Griffin,.778,.303,.108,.132,.235,.222,.561,1.000,.065,.183
239,Eddie House,.584,.075,.026,.037,.445,.416,.609,.886,.000,.237
286,Eddie Jones,.482,.216,.072,.065,.129,.518,.597,.940,.022,.388
117,Eddy Curry,1.000,.709,.273,.017,.002,.000,.688,,.246,
371,Eduardo Nájera,.960,.555,.090,.066,.249,.040,.772,1.000,.073,.500
74,Elton Brand,.998,.245,.242,.346,.166,.002,.595,1.000,.042,.000
386,Emeka Okafor,1.000,.392,.263,.212,.133,.000,.664,,.089,
412,Eric Piatkowski,.459,.197,.016,.033,.213,.541,.800,1.000,.000,.455
476,Eric Snow,.975,.263,.068,.238,.406,.025,.673,1.000,.000,.200
569,Eric Williams,.760,.187,.227,.147,.200,.240,.417,.800,.013,.556
