,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
582,Aaron McKie,0,0.2,0.9,0.1,0.2,1.2,0.8,0.4,0.0,0.1,0.5
575,Aaron Miles,0,0.3,0.9,0.2,0.0,0.7,1.3,0.2,0.1,0.6,0.7
349,Aaron Williams,5,1.9,3.7,1.2,1.3,2.4,0.4,0.4,0.4,0.6,2.9
365,Adonal Foyle,72,2.0,3.9,0.9,1.9,3.6,0.4,0.6,1.6,1.0,2.8
359,Adrian Griffin,45,1.9,3.9,1.0,1.4,2.9,1.7,1.0,0.2,0.8,2.2
39,Al Harrington,76,7.3,16.1,4.6,1.7,5.1,3.1,1.1,0.2,2.6,4.0
231,Al Jefferson,7,3.2,6.4,2.3,1.6,3.4,0.5,0.5,0.8,1.1,2.8
292,Alan Anderson,7,2.1,5.0,1.1,0.6,1.3,0.9,0.3,0.1,0.9,1.3
483,Alan Henderson,3,0.9,1.8,1.0,1.2,1.5,0.2,0.2,0.2,0.4,1.1
525,Alex Acker,0,0.8,3.2,0.0,0.2,0.8,0.8,0.2,0.0,0.8,0.8
589,Alex Scales,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Allen Iverson,72,11.3,25.3,11.5,0.6,2.6,7.4,1.9,0.1,3.4,1.7
236,Alonzo Mourning,20,2.9,4.8,3.4,1.9,3.6,0.2,0.2,2.7,1.2,2.7
565,Alvin Williams,0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
207,Amar'e Stoudemire,3,3.0,9.0,3.0,2.0,3.3,0.7,0.3,1.0,0.3,1.3
269,Amir Johnson,0,2.3,3.3,1.3,1.0,0.3,1.0,0.0,0.7,1.3,2.3
361,Anderson Varejão,4,1.6,3.1,2.5,1.6,3.3,0.4,0.6,0.4,0.6,2.5
498,Andray Blatche,0,0.9,2.3,0.4,0.4,0.9,0.3,0.2,0.2,0.4,1.2
355,Andre Barrett,0,2.0,5.5,0.6,0.5,0.8,2.7,0.5,0.0,0.8,0.7
116,Andre Iguodala,82,4.2,8.4,4.3,1.4,4.4,3.1,1.6,0.3,1.9,2.4
88,Andre Miller,82,4.9,10.6,5.2,1.1,3.2,8.2,1.3,0.2,3.1,2.6
445,Andre Owens,2,1.2,3.2,0.8,0.5,0.4,0.3,0.2,0.0,0.6,1.1
68,Andrei Kirilenko,63,4.9,10.6,7.2,2.3,5.7,4.3,1.5,3.2,2.9,2.3
182,Andrew Bogut,77,3.9,7.4,2.4,2.3,4.7,2.3,0.6,0.8,1.5,3.2
537,Andrew Bynum,0,0.7,1.8,0.6,0.7,1.0,0.2,0.1,0.5,0.4,1.2
385,Andris Biedriņš,2,1.7,2.7,1.1,1.8,2.3,0.4,0.3,0.7,0.5,2.8
99,Andrés Nocioni,43,4.7,10.1,3.0,1.1,5.0,1.4,0.5,0.6,1.5,3.1
481,Anfernee Hardaway,0,1.0,3.5,0.5,0.0,2.5,2.0,0.5,0.0,1.5,1.8
19,Antawn Jamison,80,8.0,18.2,3.6,2.0,7.3,1.9,1.1,0.1,1.7,2.3
421,Anthony Carter,8,1.2,3.0,1.2,0.2,1.2,2.2,0.5,0.2,0.9,1.6
580,Anthony Goldwire,0,0.3,2.3,0.0,0.0,0.3,0.7,0.0,0.0,0.3,0.0
376,Anthony Grundy,0,1.6,3.2,1.2,0.1,1.3,0.8,0.6,0.0,0.8,1.2
193,Anthony Johnson,53,3.6,8.0,1.9,0.4,1.8,4.3,0.8,0.3,1.5,1.8
502,Anthony Roberson,0,0.9,1.9,0.1,0.0,0.4,0.3,0.1,0.0,0.2,0.4
119,Antoine Walker,19,4.8,11.0,1.6,1.3,3.9,2.0,0.6,0.4,1.8,2.3
531,Antoine Wright,0,0.7,2.1,0.6,0.2,0.6,0.3,0.1,0.1,0.5,1.1
516,Antonio Burks,1,0.9,2.5,0.4,0.1,0.6,1.3,0.4,0.0,0.6,0.8
175,Antonio Daniels,17,2.9,6.9,4.2,0.2,1.9,3.6,0.7,0.1,1.1,1.2
330,Antonio Davis,39,1.9,4.3,1.8,2.0,2.7,0.5,0.5,0.2,1.2,2.8
235,Antonio McDyess,0,3.5,6.8,1.5,1.9,3.4,1.1,0.6,0.6,0.9,2.7
490,Arvydas Macijauskas,0,0.7,2.2,0.8,0.2,0.4,0.3,0.4,0.0,0.4,0.5
217,Austin Croshere,26,2.6,5.7,2.0,1.2,4.1,1.2,0.4,0.1,1.0,2.1
535,Awvee Storey,1,0.6,1.6,0.6,0.3,0.6,0.2,0.1,0.0,0.2,0.9
47,Baron Davis,48,6.2,15.9,5.4,0.8,3.5,8.9,1.6,0.3,2.9,3.1
56,Ben Gordon,47,6.1,14.4,3.4,0.5,2.2,3.0,0.9,0.1,2.3,3.0
258,Ben Wallace,82,2.9,5.7,3.6,3.7,7.6,1.9,1.8,2.2,1.1,2.0
321,Beno Udrih,3,2.0,4.3,0.9,0.3,0.6,1.7,0.3,0.0,1.0,1.0
279,Bernard Robinson,18,2.4,5.5,2.0,0.9,2.4,1.2,1.2,0.2,1.1,2.1
504,Billy Thomas,0,0.8,2.4,0.1,0.3,0.5,0.5,0.6,0.1,0.4,1.1
492,Bo Outlaw,0,1.1,1.8,0.3,1.0,1.4,0.4,0.3,0.4,0.5,1.6
