,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
337,Chris Johnson,1.000,.667,.000,.000,.333,.000,.667,,.333,
354,Chris Kaman,1.000,.263,.231,.234,.271,.000,.706,,.029,
459,Chris Paul,.803,.145,.205,.183,.269,.197,.120,.479,.000,.126
488,Chris Quinn,.593,.077,.176,.132,.209,.407,.500,.818,.000,.405
614,Chris Wilcox,.997,.606,.239,.112,.040,.003,.684,,.239,.000
205,Christian Eyenga,.703,.291,.147,.069,.196,.297,.638,.920,.088,.374
283,Chuck Hayes,.996,.644,.333,.019,.000,.004,.607,,.002,.500
7,Cole Aldrich,1.000,.400,.600,.000,.000,.000,.375,,.333,
89,Corey Brewer,.770,.311,.182,.080,.197,.230,.632,1.000,.076,.375
387,Corey Maggette,.860,.267,.093,.091,.410,.140,.604,.964,.020,.346
374,Courtney Lee,.698,.233,.123,.104,.238,.302,.522,.972,.040,.310
85,Craig Brackins,.688,.125,.250,.000,.313,.313,.750,,.000,.200
524,Craig Smith,.973,.473,.287,.048,.165,.027,.606,,.021,.200
37,D.J. Augustin,.652,.312,.109,.045,.187,.348,.236,.676,.000,.120
312,D.J. Mbenga,1.000,.551,.265,.184,.000,.000,.565,,.102,
610,D.J. White,.991,.306,.114,.192,.379,.009,.676,,.068,.000
547,DaJuan Summers,.696,.174,.130,.101,.290,.304,.789,1.000,.058,.571
147,Daequan Cook,.149,.022,.017,.017,.094,.851,.643,.969,.006,.331
349,Dahntay Jones,.818,.220,.196,.131,.271,.182,.291,.929,.023,.795
615,Damien Wilkins,.927,.409,.168,.146,.204,.073,.642,1.000,.080,.500
321,Damion James,.971,.282,.243,.146,.301,.029,.739,,.049,.667
224,Dan Gadzuric,.992,.457,.302,.101,.132,.008,.611,,.116,.000
245,Daniel Gibson,.556,.145,.136,.064,.211,.444,.301,.822,.000,.154
231,Danilo Gallinari,.542,.231,.111,.045,.155,.458,.537,.942,.081,.225
257,Danny Granger,.677,.210,.146,.091,.230,.323,.362,.873,.013,.101
259,Danny Green,.457,.143,.114,.086,.114,.543,.400,.857,.057,.368
155,Dante Cunningham,.972,.225,.123,.142,.483,.028,.843,1.000,.047,.462
534,Darius Songaila,1.000,.200,.133,.200,.467,.000,.714,,.000,
410,Darko Miličić,1.000,.327,.614,.057,.002,.000,.509,,.062,
319,Darnell Jackson,.930,.354,.152,.184,.241,.070,.743,.333,.114,.455
35,Darrell Arthur,.990,.292,.196,.125,.378,.010,.742,,.085,.333
143,Darren Collison,.857,.249,.185,.179,.244,.143,.232,.683,.006,.194
15,David Andersen,.810,.099,.116,.099,.496,.190,.750,1.000,.008,.000
375,David Lee,.997,.354,.236,.120,.287,.003,.675,1.000,.086,.000
606,David West,.991,.201,.329,.213,.249,.009,.599,1.000,.018,.111
353,DeAndre Jordan,.997,.806,.185,.003,.003,.003,.667,,.513,.000
74,DeJuan Blair,.997,.563,.326,.091,.017,.003,.692,,.055,.000
171,DeMar DeRozan,.955,.297,.170,.176,.312,.045,.594,.600,.059,.346
149,DeMarcus Cousins,.982,.304,.349,.116,.214,.018,.375,.667,.061,.167
117,DeMarre Carroll,1.000,.333,.250,.083,.333,.000,.750,,.000,
174,DeSagana Diop,1.000,.333,.250,.208,.208,.000,1.000,,.083,
540,DeShawn Stevenson,.245,.091,.018,.027,.109,.755,.324,.989,.000,.422
607,Delonte West,.725,.183,.125,.208,.208,.275,.163,.750,.000,.242
217,Derek Fisher,.699,.121,.102,.098,.378,.301,.608,.873,.000,.396
