,Player,G,MP,USG%
337,Aaron McKie,14,121,5.6
341,Aaron Miles,19,118,11.6
564,Aaron Williams,48,791,13.7
175,Adonal Foyle,77,1824,10.0
210,Adrian Griffin,52,1245,10.0
220,Al Harrington,76,2782,25.6
271,Al Jefferson,59,1062,21.6
7,Alan Anderson,36,564,18.2
231,Alan Henderson,51,531,11.7
1,Alex Acker,5,35,27.2
460,Alex Scales,1,0,
251,Allen Iverson,72,3103,35.8
359,Alonzo Mourning,65,1302,17.5
567,Alvin Williams,1,10,17.9
489,Amar'e Stoudemire,3,50,28.7
274,Amir Johnson,3,39,19.2
528,Anderson Varejão,48,760,14.0
58,Andray Blatche,29,175,21.5
36,Andre Barrett,19,282,20.3
248,Andre Iguodala,82,3086,14.7
347,Andre Miller,82,2937,20.0
395,Andre Owens,23,210,20.9
295,Andrei Kirilenko,69,2604,20.5
65,Andrew Bogut,82,2348,15.9
91,Andrew Bynum,46,338,15.0
54,Andris Biedriņš,68,1000,11.2
376,Andrés Nocioni,82,2239,21.3
218,Anfernee Hardaway,4,72,13.1
268,Antawn Jamison,82,3288,23.9
98,Anthony Carter,45,589,16.2
195,Anthony Goldwire,3,22,16.8
213,Anthony Grundy,12,108,22.4
275,Anthony Johnson,75,1981,18.3
442,Anthony Roberson,16,88,19.3
537,Antoine Walker,82,2199,23.2
580,Antoine Wright,39,370,14.2
86,Antonio Burks,57,570,16.2
120,Antonio Daniels,80,2283,15.4
122,Antonio Davis,44,940,13.4
334,Antonio McDyess,82,1733,18.9
316,Arvydas Macijauskas,19,135,19.2
116,Austin Croshere,50,1148,15.3
486,Awvee Storey,25,116,20.0
125,Baron Davis,54,1971,25.9
198,Ben Gordon,80,2482,26.3
539,Ben Wallace,82,2890,11.2
525,Beno Udrih,54,586,25.1
444,Bernard Robinson,66,1303,17.0
501,Billy Thomas,17,131,16.0
393,Bo Outlaw,32,355,10.5
254,Bobby Jackson,71,1775,25.0
464,Bobby Simmons,75,2538,18.3
366,Boniface N'Dong,23,152,19.1
550,Bonzi Wells,52,1684,22.4
140,Boris Diaw,81,2874,17.9
367,Boštjan Nachbar,36,502,18.6
581,Bracey Wright,7,135,23.2
348,Brad Miller,79,2923,18.9
43,Brandon Bass,29,268,15.6
229,Brendan Haywood,79,1879,14.9
40,Brent Barry,74,1259,16.0
297,Brevin Knight,69,2351,20.3
96,Brian Cardinal,36,402,18.1
114,Brian Cook,81,1535,18.3
205,Brian Grant,21,248,13.6
459,Brian Scalabrine,71,938,12.7
466,Brian Skinner,65,944,11.4
70,Bruce Bowen,82,2755,11.1
454,Bryon Russell,1,3,0.0
342,C.J. Miles,23,203,21.8
105,Calbert Cheaney,42,448,12.8
67,Calvin Booth,33,250,10.5
20,Carlos Arroyo,77,1194,20.7
68,Carlos Boozer,33,1025,23.9
134,Carlos Delfino,68,726,19.1
13,Carmelo Anthony,80,2941,32.0
