,Player,G,MP,USG%
419,A.J. Price,44,568,17.7
209,Aaron Gray,49,813,13.5
224,Al Harrington,64,1761,24.4
258,Al Horford,11,348,17.9
283,Al Jefferson,61,2075,25.7
10,Al-Farouq Aminu,66,1477,16.2
13,Alan Anderson,17,461,18.6
74,Alec Burks,59,939,22.5
194,Alonzo Gee,63,1827,18.7
479,Amar'e Stoudemire,47,1543,25.4
293,Amir Johnson,64,1553,14.3
516,Anderson Varejão,25,785,16.9
52,Andray Blatche,26,626,21.7
151,Andre Emmett,6,45,12.7
270,Andre Iguodala,62,2209,17.7
368,Andre Miller,66,1809,19.8
32,Andrea Bargnani,31,1032,28.7
55,Andrew Bogut,12,364,20.6
79,Andrew Bynum,60,2112,23.8
207,Andrew Goudelock,40,419,21.9
47,Andris Biedriņš,47,739,5.1
392,Andrés Nocioni,11,56,25.0
282,Antawn Jamison,65,2151,26.2
91,Anthony Carter,24,209,16.8
382,Anthony Morrow,62,1636,21.6
406,Anthony Parker,51,1280,14.1
425,Anthony Randolph,34,517,23.8
501,Anthony Tolliver,51,882,12.2
294,Armon Johnson,9,124,19.1
1,Arron Afflalo,62,2086,19.1
123,Austin Daye,41,603,21.9
62,Avery Bradley,64,1368,17.9
118,Baron Davis,29,595,20.4
204,Ben Gordon,52,1398,23.3
513,Ben Uzoh,18,370,16.1
527,Ben Wallace,62,980,6.6
512,Beno Udrih,59,1080,17.7
49,Bismack Biyombo,63,1455,13.1
2,Blake Ahearn,4,30,28.4
215,Blake Griffin,66,2392,26.6
453,Bobby Simmons,28,418,11.4
130,Boris Diaw,57,1424,15.5
369,Brad Miller,15,146,13.5
564,Brandan Wright,49,791,17.0
35,Brandon Bass,59,1868,19.8
290,Brandon Jennings,66,2331,25.9
322,Brandon Knight,66,2129,21.7
437,Brandon Rush,65,1717,15.4
235,Brendan Haywood,54,1146,12.8
85,Brian Cardinal,44,277,11.0
104,Brian Cook,32,276,18.7
442,Brian Scalabrine,28,122,15.5
456,Brian Skinner,1,4,11.3
338,Brook Lopez,5,136,32.7
384,Byron Mullens,65,1465,22.5
366,C.J. Miles,56,1145,22.7
536,C.J. Watson,49,1159,22.8
325,Carl Landry,41,999,24.0
297,Carldell Johnson,15,119,17.2
58,Carlos Boozer,66,1948,23.8
124,Carlos Delfino,54,1537,15.5
16,Carmelo Anthony,55,1876,31.8
75,Caron Butler,63,1871,20.4
349,Cartier Martin,17,391,17.8
408,Chandler Parsons,63,1804,16.7
184,Channing Frye,64,1669,19.3
288,Charles Jenkins,51,893,19.0
519,Charlie Villanueva,13,180,26.0
73,Chase Budinger,58,1298,19.5
48,Chauncey Billups,20,607,23.4
12,Chris Andersen,32,486,14.8
59,Chris Bosh,57,2007,24.2
140,Chris Duhon,63,1226,11.2
298,Chris Johnson,27,175,17.1
317,Chris Kaman,47,1372,26.6
410,Chris Paul,60,2181,24.3
454,Chris Singleton,66,1431,11.5
544,Chris Wilcox,28,481,15.4
565,Chris Wright,24,186,16.5
157,Christian Eyenga,7,102,14.0
231,Chuck Hayes,54,1039,9.9
4,Cole Aldrich,26,173,14.9
65,Corey Brewer,59,1287,20.0
345,Corey Maggette,32,881,27.4
242,Cory Higgins,38,423,24.6
315,Cory Joseph,29,266,15.4
177,Courtney Fortson,10,95,23.4
327,Courtney Lee,58,1757,17.6
61,Craig Brackins,14,88,20.2
461,Craig Smith,47,464,16.2
22,D.J. Augustin,48,1408,21.3
319,D.J. Kennedy,2,59,12.1
542,D.J. White,58,1098,17.8
481,DaJuan Summers,15,209,17.4
107,Daequan Cook,57,989,14.7
307,Dahntay Jones,65,1052,16.0
545,Damien Wilkins,60,922,12.4
279,Damion James,7,170,14.1
185,Dan Gadzuric,2,13,13.4
196,Daniel Gibson,35,916,15.3
399,Daniel Orton,16,187,12.0
187,Danilo Gallinari,43,1351,20.7
208,Danny Granger,62,2062,25.9
210,Danny Green,66,1522,17.6
111,Dante Cunningham,64,1124,13.6
252,Darington Hobson,5,39,16.9
378,Darius Morris,19,169,17.6
367,Darko Miličić,29,472,16.8
101,Darren Collison,60,1878,17.0
535,Darryl Watkins,5,98,14.4
328,David Lee,57,2121,26.0
539,David West,66,1925,20.9
313,DeAndre Jordan,66,1798,11.9
334,DeAndre Liggins,17,115,17.7
50,DeJuan Blair,64,1363,21.7
129,DeMar DeRozan,63,2206,25.0
108,DeMarcus Cousins,64,1950,29.7
86,DeMarre Carroll,24,348,15.9
134,DeSagana Diop,27,325,9.0
