,Player,G,MP,USG%
188,A.C. Green,82,1411,14.4
191,A.J. Guyton,33,630,16.5
321,Aaron McKie,76,2394,18.9
536,Aaron Williams,82,2336,17.8
257,Adam Keefe,67,836,11.5
165,Adonal Foyle,58,1457,14.0
189,Adrian Griffin,44,377,15.1
201,Al Harrington,78,1892,18.8
211,Alan Henderson,73,1810,22.6
219,Allan Houston,78,2858,25.7
228,Allen Iverson,71,2979,35.9
354,Alonzo Mourning,13,306,30.6
537,Alvin Williams,82,2394,17.4
333,Andre Miller,82,2848,23.2
127,Andrew DeClercq,67,903,13.7
397,Andy Panko,1,1,0.0
196,Anfernee Hardaway,4,112,17.5
241,Antawn Jamison,82,3394,27.9
76,Anthony Carter,72,1630,19.2
183,Anthony Goldwire,20,201,22.7
242,Anthony Johnson,53,511,17.6
306,Anthony Mason,80,3254,20.0
334,Anthony Miller,4,11,12.2
403,Anthony Peeler,75,2126,18.6
522,Antoine Walker,81,3396,29.1
113,Antonio Daniels,79,2060,17.5
117,Antonio Davis,78,2729,19.5
207,Antonio Harvey,12,72,21.7
316,Antonio McDyess,70,2555,26.5
282,Art Long,9,20,15.2
455,Arvydas Sabonis,61,1299,24.0
104,Austin Croshere,81,1874,23.4
245,Avery Johnson,55,1290,14.1
118,Baron Davis,82,3192,19.2
524,Ben Wallace,80,2760,10.4
107,Bill Curley,20,192,15.8
392,Billy Owens,45,793,15.7
95,Bimbo Coles,47,804,18.1
387,Bo Outlaw,80,2534,10.6
497,Bob Sura,53,1684,19.1
229,Bobby Jackson,79,1648,17.9
531,Bonzi Wells,75,1995,23.3
338,Brad Miller,57,1434,18.1
25,Brent Barry,67,1778,13.5
424,Brent Price,6,30,27.5
264,Brevin Knight,53,1457,15.1
74,Brian Cardinal,15,126,16.5
185,Brian Grant,82,2771,23.4
464,Brian Shaw,80,1833,13.1
465,Brian Skinner,39,584,17.3
46,Bruce Bowen,82,2685,13.1
496,Bruno Šundov,11,120,18.0
430,Bryant Reeves,75,1832,17.6
482,Bryant Stith,78,2504,14.4
139,Bryce Drew,48,1305,14.4
454,Bryon Russell,78,2473,17.5
45,Cal Bowdler,44,375,17.0
84,Calbert Cheaney,9,153,10.5
42,Calvin Booth,55,933,16.3
448,Carlos Rogers,39,544,12.7
81,Cedric Ceballos,40,559,23.5
212,Cedric Henderson,55,961,16.2
378,Charles Oakley,78,2767,16.0
527,Charlie Ward,61,1492,16.9
34,Chauncey Billups,77,1790,19.5
398,Cherokee Parks,65,1054,14.6
75,Chris Carr,35,309,23.1
85,Chris Childs,77,1859,13.3
102,Chris Crawford,47,901,18.3
140,Chris Dudley,53,613,8.4
172,Chris Garner,8,149,13.8
177,Chris Gatling,74,1670,25.8
213,Chris Herren,25,408,13.5
331,Chris Mihm,59,1166,20.4
341,Chris Mills,15,493,19.4
355,Chris Mullin,20,374,15.5
419,Chris Porter,51,1147,20.8
529,Chris Webber,70,2836,31.6
535,Chris Whitney,59,1532,18.1
271,Christian Laettner,78,1663,21.1
16,Chucky Atkins,81,2363,21.2
54,Chucky Brown,26,339,15.5
528,Clarence Weatherspoon,82,2774,15.2
439,Clifford Robinson,82,2751,24.8
30,Corey Benjamin,65,857,21.8
293,Corey Maggette,69,1359,24.5
36,Corie Blount,68,1305,13.2
547,Corliss Williamson,69,1686,22.5
3,Cory Alexander,26,227,17.3
4,Courtney Alexander,65,1382,23.2
344,Cuttino Mobley,79,3002,24.3
119,Dale Davis,81,2162,13.4
20,Dalibor Bagarić,35,259,17.6
250,Damon Jones,71,1415,16.6
485,Damon Stoudamire,82,2655,21.3
276,Dan Langhi,33,241,22.9
295,Dan Majerle,53,1306,11.6
313,Dan McClintock,6,58,17.8
24,Dana Barros,60,1079,20.4
