,Player,G,MP,USG%
473,A.J. Price,28,99,23.2
87,Aaron Brooks,72,1557,20.5
242,Aaron Gray,37,355,12.5
555,Adonis Thomas,6,37,18.5
264,Al Harrington,34,511,22.7
292,Al Horford,29,958,24.7
313,Al Jefferson,73,2553,29.3
16,Al-Farouq Aminu,80,2045,14.3
21,Alan Anderson,78,1773,15.9
102,Alec Burks,78,2193,23.9
355,Alex Len,42,362,14.3
516,Alexey Shved,63,664,20.8
8,Alexis Ajinça,56,951,16.3
141,Allen Crabbe,15,100,16.5
228,Alonzo Gee,65,1020,13.4
541,Amar'e Stoudemire,65,1466,23.4
318,Amir Johnson,77,2214,16.4
585,Anderson Varejão,65,1800,14.6
71,Andray Blatche,73,1618,25.6
187,Andre Drummond,81,2619,16.7
297,Andre Iguodala,63,2040,13.3
399,Andre Miller,58,982,14.5
488,Andre Roberson,40,399,10.1
44,Andrea Bargnani,42,1257,22.4
338,Andrei Kirilenko,45,857,14.6
75,Andrew Bogut,67,1769,12.4
109,Andrew Bynum,26,516,24.3
437,Andrew Nicholson,76,1174,19.3
64,Andris Biedriņš,6,45,5.7
309,Antawn Jamison,22,248,19.6
62,Anthony Bennett,52,663,20.3
159,Anthony Davis,67,2358,25.2
418,Anthony Morrow,76,1426,19.4
479,Anthony Randolph,43,527,19.8
571,Anthony Tolliver,64,1298,12.4
235,Archie Goodwin,52,533,19.4
450,Arinze Onuaku,5,30,10.4
420,Arnett Moultrie,12,187,10.7
54,Aron Baynes,53,491,19.2
7,Arron Afflalo,73,2552,23.3
164,Austin Daye,22,148,23.7
487,Austin Rivers,69,1339,21.3
81,Avery Bradley,60,1855,23.2
236,Ben Gordon,19,279,22.9
392,Ben McLemore,82,2187,16.9
581,Beno Udrih,41,643,17.2
305,Bernard James,30,146,11.8
66,Bismack Biyombo,77,1072,9.6
251,Blake Griffin,80,2863,29.0
180,Boris Diaw,79,1974,17.0
59,Bradley Beal,73,2530,24.3
626,Brandan Wright,58,1077,17.4
48,Brandon Bass,82,2266,18.2
158,Brandon Davies,51,575,13.7
316,Brandon Jennings,80,2728,23.4
339,Brandon Knight,72,2400,26.8
496,Brandon Rush,38,418,12.3
489,Brian Roberts,72,1667,20.0
364,Brook Lopez,17,533,27.1
424,Byron Mullens,45,414,20.9
398,C.J. Miles,51,984,22.0
604,C.J. Watson,63,1193,16.6
390,CJ McCollum,38,476,20.9
347,Carl Landry,18,233,14.5
78,Carlos Boozer,76,2141,26.3
25,Carmelo Anthony,77,2982,32.4
103,Caron Butler,56,1419,20.1
206,Carrick Felix,7,38,23.2
374,Cartier Martin,59,870,17.1
603,Casper Ware,9,116,18.1
458,Chandler Parsons,74,2783,19.3
218,Channing Frye,82,2312,17.3
595,Charlie Villanueva,20,180,25.0
99,Chase Budinger,41,751,16.7
65,Chauncey Billups,19,309,15.1
20,Chris Andersen,72,1396,13.8
40,Chris Babb,14,132,11.1
79,Chris Bosh,79,2531,22.6
138,Chris Copeland,41,265,23.7
185,Chris Douglas-Roberts,49,1016,14.7
319,Chris Johnson,40,789,14.3
334,Chris Kaman,39,736,26.7
462,Chris Paul,62,2171,23.7
521,Chris Singleton,25,250,17.2
524,Chris Smith,2,2,0.0
627,Chris Wright,8,126,16.7
274,Chuck Hayes,61,754,10.4
633,Cody Zeller,82,1416,18.9
9,Cole Aldrich,46,330,13.0
83,Corey Brewer,81,2609,16.5
333,Cory Joseph,68,936,16.9
351,Courtney Lee,79,1973,17.0
35,D.J. Augustin,71,1939,22.4
537,D.J. Stephens,3,15,22.4
611,D.J. White,2,10,4.6
361,Damian Lillard,82,2937,25.0
306,Damion James,5,50,9.8
453,Daniel Orton,22,251,13.2
239,Danny Granger,41,847,20.5
245,Danny Green,68,1651,16.7
147,Dante Cunningham,81,1635,15.1
327,Darius Johnson-Odom,3,15,27.9
402,Darius Miller,45,723,12.8
412,Darius Morris,27,313,18.6
33,Darrell Arthur,68,1161,18.1
134,Darren Collison,80,2069,19.7
354,David Lee,69,2288,24.3
608,David West,80,2472,21.9
332,DeAndre Jordan,82,2870,12.4
360,DeAndre Liggins,1,1,47.8
67,DeJuan Blair,78,1214,19.6
179,DeMar DeRozan,79,3017,28.0
139,DeMarcus Cousins,71,2298,32.7
118,DeMarre Carroll,73,2341,15.2
503,Dennis Schröder,49,641,19.0
209,Derek Fisher,81,1428,13.7
613,Deron Williams,64,2059,21.8
205,Derrick Favors,73,2201,20.8
493,Derrick Rose,10,311,31.5
614,Derrick Williams,78,1820,16.2
265,Devin Harris,40,818,20.2
171,Dewayne Dedmon,31,390,13.1
466,Dexter Pittman,2,3,28.5
221,Diante Garrett,71,1048,15.1
599,Dion Waiters,70,2072,26.9
126,Dionte Christmas,31,198,17.4
440,Dirk Nowitzki,80,2628,26.9
523,Donald Sloan,48,392,17.2
419,Donatas Motiejūnas,62,952,17.8
628,Dorell Wright,68,984,16.2
344,Doron Lamb,53,695,13.3
246,Draymond Green,82,1797,14.8
234,Drew Gooden,22,395,19.7
108,Dwight Buycks,14,146,19.3
293,Dwight Howard,71,2396,24.0
598,Dwyane Wade,54,1775,27.9
411,E'Twaun Moore,79,1506,16.4
127,Earl Clark,54,768,17.9
605,Earl Watson,24,161,8.1
160,Ed Davis,63,956,17.8
579,Ekpe Udoh,42,804,11.4
266,Elias Harris,2,11,4.0
617,Elliot Williams,67,1157,16.7
82,Elton Brand,73,1414,13.9
216,Enes Freedom,80,2138,23.3
72,Eric Bledsoe,43,1416,24.9
237,Eric Gordon,64,2057,23.2
382,Eric Maynor,31,327,18.2
