,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
312,Matt Bonner,8,2.6,5.7,0.7,0.8,2.5,1.0,0.5,0.4,0.6,1.7
550,Matt Carroll,0,0.7,2.0,0.2,0.2,0.3,0.2,0.2,0.0,0.3,0.5
355,Maurice Evans,5,2.2,5.0,0.8,0.7,1.2,0.6,0.4,0.2,0.3,1.6
110,Mehmet Okur,73,4.9,10.6,3.3,1.8,5.2,1.6,0.5,1.1,1.7,3.1
154,Metta World Peace,77,4.0,9.6,2.4,1.3,3.0,3.0,1.4,0.3,1.6,2.1
88,Michael Beasley,78,6.0,13.3,3.1,1.6,4.8,1.3,1.0,0.6,1.7,2.8
410,Michael Finley,7,1.8,4.0,0.3,0.1,1.4,0.9,0.2,0.1,0.5,0.7
134,Michael Redd,12,4.2,11.8,3.7,0.6,2.4,2.2,1.1,0.1,0.8,1.3
235,Mickaël Piétrus,24,3.1,7.2,1.5,0.5,2.3,0.7,0.7,0.4,0.9,1.8
220,Mike Bibby,80,3.4,8.1,1.0,0.3,2.1,3.9,0.8,0.0,1.1,2.0
128,Mike Conley,80,4.6,10.4,2.3,0.4,2.0,5.3,1.4,0.2,2.1,2.2
190,Mike Dunleavy,15,3.4,8.3,2.4,0.4,3.1,1.5,0.6,0.2,1.1,1.6
519,Mike Harris,0,0.8,2.3,0.8,0.8,1.1,0.2,0.4,0.1,0.7,1.1
407,Mike James,0,1.5,5.0,2.0,0.3,0.5,1.3,0.8,0.0,1.3,0.8
161,Mike Miller,50,4.0,8.0,1.6,1.0,5.2,3.9,0.7,0.2,2.1,2.4
441,Mike Wilks,0,1.5,3.0,1.0,0.3,0.8,1.0,0.0,0.0,1.0,1.3
380,Mikki Moore,20,2.3,3.9,0.5,1.1,1.9,1.6,0.2,0.6,0.9,2.6
72,Mo Williams,68,5.5,12.4,2.9,0.4,2.6,5.3,1.0,0.3,2.5,2.5
5,Monta Ellis,64,9.9,22.0,6.1,0.7,3.3,5.3,2.2,0.4,3.8,3.0
307,Morris Peterson,39,2.5,6.5,1.2,0.4,2.4,0.9,0.5,0.1,0.6,1.8
177,Nate Robinson,2,3.8,8.8,1.2,0.5,1.5,2.9,0.9,0.1,1.3,2.1
475,Nathan Jawai,2,1.3,2.8,1.0,1.3,1.4,0.6,0.3,0.2,0.7,1.5
270,Nazr Mohammed,29,3.3,5.9,2.2,2.0,3.3,0.5,0.3,0.7,0.9,1.8
247,Nenad Krstić,76,3.7,7.4,1.4,1.8,3.3,0.7,0.4,0.6,0.8,2.3
105,Nenê,82,5.1,8.7,5.1,2.0,5.6,2.5,1.4,1.0,1.5,3.4
351,Nick Collison,5,2.4,4.1,1.4,2.0,3.1,0.5,0.5,0.6,0.8,3.1
240,Nick Young,23,3.1,7.5,1.8,0.3,1.1,0.6,0.4,0.1,0.8,2.0
180,Nicolas Batum,25,3.8,7.2,1.4,0.9,2.9,1.2,0.6,0.7,0.7,2.2
49,O.J. Mayo,82,6.6,14.4,3.2,0.7,3.0,3.0,1.2,0.2,2.1,2.1
408,Oleksiy Pecherov,5,1.8,4.3,0.7,0.7,2.1,0.3,0.2,0.3,0.7,1.3
313,Oliver Lafayette,0,3.0,6.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0
172,Omri Casspi,31,3.9,8.7,2.3,1.0,3.6,1.2,0.7,0.2,1.3,1.6
560,Othello Hunter,0,0.6,1.7,0.6,0.9,0.9,0.0,0.0,0.1,0.4,0.7
496,Othyus Jeffers,0,0.9,2.1,1.4,0.6,0.8,0.1,0.3,0.0,0.4,0.7
559,Patrick O'Bryant,0,0.7,1.4,0.5,0.2,0.8,0.1,0.2,0.4,0.5,1.1
498,Patty Mills,0,1.0,2.4,0.7,0.1,0.1,0.5,0.0,0.0,0.4,0.6
37,Pau Gasol,65,7.0,13.0,5.6,3.7,7.6,3.4,0.6,1.7,2.2,2.3
500,Paul Davis,0,1.0,2.0,1.0,0.0,0.0,1.5,0.0,0.5,0.0,0.0
144,Paul Millsap,8,4.7,8.7,3.2,2.3,4.5,1.6,0.8,1.2,1.4,3.5
39,Paul Pierce,71,5.8,12.2,6.1,0.5,3.8,3.1,1.2,0.4,2.3,2.8
120,Peja Stojaković,55,4.5,11.1,1.7,0.6,3.0,1.5,0.8,0.1,0.9,1.3
20,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
541,Pops Mensah-Bonsu,0,0.7,1.7,1.2,0.8,1.0,0.2,0.2,0.5,0.5,1.0
583,Primož Brezec,0,0.4,1.2,0.3,0.6,0.6,0.0,0.0,0.1,0.1,0.9
225,Quentin Richardson,75,3.2,7.4,0.9,0.8,4.1,1.2,0.9,0.2,0.8,2.2
547,Quinton Ross,7,0.8,2.1,0.3,0.3,0.6,0.2,0.3,0.1,0.2,1.3
252,Rafer Alston,38,3.0,8.6,1.6,0.3,2.2,3.4,1.0,0.2,1.8,2.0
136,Raja Bell,5,4.7,10.2,0.5,0.8,3.0,2.2,0.7,0.3,0.8,2.5
107,Rajon Rondo,81,5.7,11.2,3.5,1.2,3.2,9.8,2.3,0.1,3.0,2.4
259,Ramon Sessions,1,3.1,6.8,2.8,0.7,1.9,3.1,0.7,0.1,1.7,1.7
527,Randolph Morris,0,0.8,1.5,1.0,0.4,1.0,0.1,0.2,0.1,0.4,1.2
181,Randy Foye,38,3.7,8.8,2.1,0.2,1.6,3.3,0.5,0.1,1.3,1.8
95,Rashard Lewis,72,4.9,11.2,2.5,0.9,3.6,1.5,1.1,0.4,1.5,2.5
223,Rasheed Wallace,13,3.4,8.2,1.6,0.5,3.6,1.0,1.0,0.9,0.8,2.8
445,Rasho Nesterović,8,1.9,3.5,0.1,0.9,1.2,0.6,0.2,0.4,0.4,1.3
132,Rasual Butler,64,4.3,10.6,1.8,0.5,2.5,1.4,0.4,0.8,1.0,1.5
67,Ray Allen,80,5.8,12.2,3.2,0.6,2.6,2.6,0.8,0.3,1.6,2.3
127,Raymond Felton,80,4.9,10.6,2.2,0.7,2.9,5.6,1.5,0.3,2.1,2.2
463,Reggie Evans,1,1.2,2.5,2.1,1.1,2.7,0.3,0.5,0.1,0.8,1.6
82,Reggie Williams,10,5.8,11.8,2.6,0.8,3.8,2.8,1.0,0.3,1.2,2.0
575,Renaldo Balkman,1,0.5,1.4,0.5,0.3,1.5,0.5,0.6,0.2,0.5,1.2
42,Richard Hamilton,46,6.4,15.6,5.2,0.7,2.0,4.4,0.7,0.1,2.5,2.5
126,Richard Jefferson,70,4.5,9.6,3.5,0.7,3.7,2.0,0.6,0.5,1.3,2.2
414,Ricky Davis,2,1.7,4.0,0.9,0.3,1.3,1.1,0.3,0.1,0.8,1.1
248,Robin Lopez,31,3.4,5.7,2.5,2.0,2.8,0.1,0.2,1.0,0.8,2.3
400,Rodney Carney,0,1.7,4.1,0.9,0.4,1.6,0.5,0.4,0.3,0.3,1.2
59,Rodney Stuckey,67,6.2,15.2,4.9,0.9,2.9,4.8,1.4,0.2,2.2,2.8
304,Rodrigue Beaubois,16,2.8,5.3,0.9,0.2,1.2,1.3,0.5,0.2,1.0,1.5
337,Roger Mason,5,2.4,6.3,0.4,0.1,1.9,1.7,0.4,0.2,0.7,1.3
479,Roko Ukić,0,1.1,2.3,0.8,0.0,0.2,0.9,0.1,0.0,0.5,0.5
186,Ronald Murray,2,3.6,9.1,2.6,0.4,2.1,1.8,0.6,0.2,1.2,1.7
226,Ronnie Brewer,53,3.6,7.4,2.3,0.8,2.4,2.7,1.6,0.3,0.9,1.4
423,Ronnie Price,4,1.6,4.0,1.0,0.5,0.8,2.1,0.7,0.2,0.9,1.8
382,Ronny Turiaf,20,2.0,3.5,1.9,1.3,3.3,2.1,0.5,1.3,1.2,2.3
143,Roy Hibbert,69,4.8,9.7,2.8,2.2,3.5,2.0,0.4,1.6,1.8,3.5
529,Royal Ivey,0,0.8,1.9,0.3,0.1,0.6,0.6,0.4,0.0,0.3,0.9
262,Rudy Fernández,2,2.6,6.8,1.6,0.6,2.1,2.0,1.0,0.2,1.2,1.4
26,Rudy Gay,80,7.5,16.1,5.0,1.4,4.5,1.9,1.5,0.8,2.1,2.5
69,Russell Westbrook,82,5.9,14.1,5.1,1.7,3.1,8.0,1.3,0.4,3.3,2.5
279,Ryan Anderson,6,2.7,6.2,1.3,1.1,2.1,0.6,0.4,0.2,0.9,1.3
437,Ryan Bowen,0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0
159,Ryan Gomes,64,4.3,9.6,1.7,1.0,3.6,1.6,0.8,0.2,1.3,2.0
345,Ryan Hollins,27,2.3,4.2,2.2,1.1,1.8,0.7,0.3,0.5,1.3,2.7
291,Sam Young,1,2.8,6.2,2.2,1.0,1.6,0.7,0.4,0.3,1.2,1.3
261,Samuel Dalembert,80,3.5,6.4,1.6,2.9,6.6,0.8,0.5,1.8,1.5,3.1
448,Sasha Pavlović,0,1.5,4.2,0.4,0.2,1.5,0.8,0.3,0.1,0.7,1.2
488,Sasha Vujačić,1,1.0,2.4,0.5,0.4,0.8,0.6,0.3,0.1,0.3,1.0
599,Sean Marks,0,0.3,0.6,0.4,1.0,0.6,0.1,0.0,0.2,0.1,1.2
473,Sean May,4,1.4,3.0,0.9,0.5,1.4,0.5,0.3,0.2,0.5,1.2
499,Sean Williams,0,1.1,2.5,1.0,1.1,1.3,0.1,0.4,1.0,1.0,2.1
384,Sebastian Telfair,1,1.9,4.7,0.9,0.1,0.9,2.9,0.6,0.1,1.2,1.7
336,Serge Ibaka,0,2.8,5.1,1.3,1.9,3.5,0.1,0.3,1.3,0.9,2.7
323,Sergio Rodríguez,8,2.5,5.3,1.4,0.4,1.0,3.2,0.8,0.1,1.7,1.3
267,Shane Battier,62,2.7,6.7,1.6,1.1,3.6,2.4,0.8,1.1,1.0,2.1
260,Shannon Brown,7,3.1,7.2,1.5,0.4,1.9,1.3,0.7,0.4,0.8,1.6
131,Shaquille O'Neal,53,4.9,8.7,4.3,1.8,4.9,1.5,0.3,1.2,2.0,3.2
315,Shaun Livingston,18,2.9,5.6,1.3,0.4,1.7,3.6,0.5,0.3,1.6,1.7
513,Shavlik Randolph,0,1.0,3.0,0.3,1.2,1.2,0.2,0.2,0.2,0.5,1.5
130,Shawn Marion,75,5.3,10.4,1.9,2.1,4.3,1.4,0.9,0.8,1.3,1.9
449,Shelden Williams,0,1.2,2.2,1.8,0.9,1.8,0.4,0.2,0.4,0.6,1.6
438,Solomon Jones,2,1.5,3.4,1.4,1.0,1.8,0.6,0.3,0.7,0.8,2.4
287,Sonny Weems,19,3.4,6.6,0.9,0.6,2.2,1.5,0.6,0.4,0.9,1.8
185,Spencer Hawes,59,4.3,9.3,1.5,2.0,4.0,2.2,0.4,1.2,1.8,2.8
48,Stephen Curry,77,6.6,14.3,2.5,0.6,3.9,5.9,1.9,0.2,3.0,3.2
426,Stephen Graham,8,1.7,3.4,0.9,0.3,1.6,0.3,0.3,0.1,0.5,1.3
18,Stephen Jackson,81,7.4,17.5,5.4,1.0,4.0,3.7,1.6,0.5,3.2,2.4
292,Steve Blake,38,2.7,6.5,0.6,0.3,2.1,4.8,0.7,0.1,1.6,1.5
63,Steve Nash,81,6.2,12.2,2.8,0.4,2.9,11.0,0.5,0.1,3.6,1.3
539,Steve Novak,0,0.8,2.0,0.2,0.0,0.6,0.1,0.1,0.0,0.0,0.4
502,Steven Hunter,0,0.8,2.0,1.7,0.9,1.1,0.0,0.0,0.5,0.4,0.5
472,Sundiata Gaines,0,1.2,2.6,1.4,0.2,0.7,1.2,0.4,0.0,0.4,0.5
173,T.J. Ford,32,4.0,8.9,2.9,0.9,2.3,3.8,0.9,0.2,1.9,2.2
222,Taj Gibson,70,3.8,7.7,2.1,2.8,4.7,0.9,0.6,1.3,1.4,3.4
571,Taylor Griffin,0,0.5,1.3,0.5,0.0,0.3,0.1,0.0,0.3,0.1,0.5
111,Tayshaun Prince,49,5.8,11.8,2.0,1.4,3.6,3.3,0.7,0.4,1.2,1.6
249,Terrence Williams,9,3.3,8.3,1.8,0.6,3.9,2.9,0.6,0.1,1.6,1.6
348,Thabo Sefolosha,82,2.4,5.4,1.1,0.9,3.8,1.8,1.2,0.6,1.1,1.9
106,Thaddeus Young,45,5.7,12.1,2.5,1.9,3.3,1.4,1.2,0.2,1.9,2.0
450,Theo Ratliff,29,1.4,3.1,1.0,1.2,2.0,0.5,0.2,1.2,0.8,1.8
45,Tim Duncan,77,7.2,13.9,4.8,2.8,7.3,3.2,0.6,1.5,1.8,1.9
286,Tim Thomas,1,2.7,5.9,1.3,0.7,1.6,0.8,0.6,0.1,0.8,1.7
237,Toney Douglas,12,3.2,7.0,1.2,0.7,1.2,2.0,0.8,0.1,1.0,2.1
343,Tony Allen,8,2.4,4.7,2.2,1.0,1.7,1.3,1.1,0.4,1.2,2.0
507,Tony Battie,0,0.9,2.7,0.7,0.3,1.3,0.2,0.3,0.1,0.2,1.3
70,Tony Parker,50,6.2,12.8,4.4,0.1,2.3,5.7,0.5,0.1,2.7,1.7
255,Tracy McGrady,24,3.0,7.8,2.1,0.7,2.4,3.3,0.5,0.5,1.5,1.3
592,Travis Diener,0,0.2,1.1,0.4,0.0,0.3,0.9,0.4,0.0,0.0,0.2
211,Travis Outlaw,6,3.2,8.3,1.7,1.0,2.6,1.0,0.5,0.5,0.9,1.3
405,Trenton Hassell,31,1.7,4.2,1.3,1.1,1.8,1.0,0.3,0.2,0.9,1.8
87,Trevor Ariza,71,5.5,13.9,3.2,1.1,4.5,3.8,1.8,0.6,2.2,2.3
581,Trey Gilder,0,0.5,0.5,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0
90,Troy Murphy,69,5.3,11.3,2.7,1.8,8.4,2.1,1.0,0.5,1.4,2.4
250,Ty Lawson,8,3.1,6.0,2.2,0.6,1.3,3.1,0.7,0.0,1.3,1.4
243,Tyler Hansbrough,1,2.8,7.8,3.9,2.1,2.7,1.0,0.6,0.3,0.7,2.4
23,Tyreke Evans,72,7.4,16.2,6.5,0.9,4.4,5.8,1.5,0.4,3.0,2.8
203,Tyrus Thomas,3,3.6,7.8,3.2,1.5,4.7,1.0,1.2,1.6,1.7,2.4
329,Tyson Chandler,27,2.1,3.7,3.1,2.2,4.0,0.3,0.3,1.1,1.8,2.7
192,Udonis Haslem,0,4.0,8.1,2.5,2.1,5.9,0.7,0.4,0.3,1.0,2.2
58,Vince Carter,74,5.8,13.5,4.1,0.4,3.5,3.1,0.7,0.2,1.4,2.5
338,Vladimir Radmanović,20,2.5,6.7,0.7,1.2,3.1,1.1,0.7,0.2,1.1,2.4
327,Wayne Ellington,1,2.5,5.9,0.9,0.4,1.7,1.0,0.3,0.1,1.0,0.9
206,Wesley Matthews,48,3.3,6.9,2.4,0.6,1.7,1.5,0.8,0.2,1.1,1.9
184,Will Bynum,20,3.8,8.5,2.8,0.4,1.9,4.5,0.9,0.1,1.8,2.3
573,Will Conroy,0,0.6,2.0,0.4,0.0,0.6,1.4,0.0,0.0,0.8,1.0
234,Willie Green,18,3.4,7.4,1.6,0.3,1.5,2.1,0.4,0.2,0.9,1.8
80,Wilson Chandler,64,6.3,13.2,2.5,1.4,3.9,2.1,0.7,0.8,1.7,2.8
590,Yakhouba Diawara,2,0.3,1.7,0.0,0.2,0.5,0.5,0.2,0.0,0.5,1.3
129,Yi Jianlian,51,4.4,10.8,3.7,2.2,4.9,0.9,0.7,1.0,1.5,3.3
13,Zach Randolph,81,8.0,16.5,5.7,4.1,7.7,1.8,1.0,0.4,2.1,2.8
422,Zaza Pachulia,1,1.5,3.2,1.8,1.5,2.3,0.5,0.5,0.4,0.7,2.4
290,Zydrunas Ilgauskas,6,3.0,6.8,1.6,1.8,3.6,0.8,0.2,0.8,1.0,2.9
