,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
173,A.J. Guyton,.750,.000,.250,.000,.500,.250,,,.000,.000
294,Aaron McKie,.832,.314,.105,.183,.230,.168,.590,1.000,.000,.580
480,Aaron Williams,.998,.483,.273,.134,.107,.002,.623,,.089,.000
181,Adam Harrington,.622,.216,.054,.000,.351,.378,.833,1.000,.027,.143
147,Adonal Foyle,.997,.455,.383,.116,.043,.003,.605,,.128,.000
170,Adrian Griffin,.929,.190,.184,.134,.421,.071,.650,1.000,.012,.542
184,Al Harrington,.949,.310,.126,.287,.225,.051,.532,1.000,.038,.348
195,Alan Henderson,.994,.450,.248,.187,.110,.006,.595,,.076,.000
204,Allan Houston,.693,.066,.084,.213,.330,.307,.397,.848,.003,.236
216,Allen Iverson,.844,.280,.077,.151,.335,.156,.385,.786,.005,.125
139,Alton Ford,1.000,.222,.111,.444,.222,.000,.667,,.000,
481,Alvin Williams,.839,.145,.127,.147,.420,.161,.362,.458,.000,.062
290,Amal McCaskill,1.000,.824,.176,.000,.000,.000,.500,,.118,
427,Amar'e Stoudemire,.988,.558,.320,.089,.020,.012,.554,.500,.193,.300
299,Andre Miller,.884,.260,.208,.250,.166,.116,.268,.783,.003,.083
248,Andrei Kirilenko,.822,.483,.051,.073,.215,.178,.683,.892,.176,.228
115,Andrew DeClercq,1.000,.753,.161,.065,.022,.000,.725,,.147,
178,Anfernee Hardaway,.873,.215,.126,.190,.342,.127,.543,.923,.009,.192
407,Ansu Sesay,1.000,.421,.103,.065,.411,.000,.610,,.112,
228,Antawn Jamison,.858,.173,.300,.141,.243,.142,.669,.985,.024,.373
82,Anthony Carter,.966,.232,.077,.142,.515,.034,.506,,.013,.000
161,Anthony Goldwire,.640,.200,.000,.120,.320,.360,.333,1.000,.000,.222
233,Anthony Johnson,.848,.242,.143,.147,.316,.152,.456,.923,.035,.143
283,Anthony Mason,.997,.336,.280,.308,.074,.003,.586,,.000,1.000
356,Anthony Peeler,.652,.135,.034,.102,.381,.348,.648,.954,.015,.203
383,Antoine Rigaudeau,.857,.229,.000,.114,.514,.143,.857,1.000,.000,.800
458,Antoine Walker,.625,.261,.235,.094,.036,.375,.354,.872,.005,.119
108,Antonio Daniels,.683,.285,.118,.108,.172,.317,.439,.778,.070,.220
109,Antonio Davis,1.000,.317,.167,.303,.214,.000,.655,,.094,
188,Antonio Harvey,1.000,.400,.600,.000,.000,.000,1.000,,.200,
261,Art Long,.960,.413,.240,.133,.173,.040,.692,.500,.040,.000
395,Arvydas Sabonis,.983,.382,.319,.080,.202,.017,.740,1.000,.030,.000
103,Austin Croshere,.670,.225,.077,.124,.244,.330,.610,.889,.043,.290
234,Avery Johnson,.987,.493,.187,.113,.193,.013,.302,,.000,.000
110,Baron Davis,.645,.294,.079,.120,.152,.355,.352,.697,.026,.102
460,Ben Wallace,.986,.620,.126,.117,.124,.014,.632,1.000,.243,.167
94,Bimbo Coles,.810,.095,.077,.238,.399,.190,.571,.571,.000,.406
342,Bo Outlaw,.993,.716,.155,.068,.054,.007,.699,,.068,.500
432,Bob Sura,.741,.412,.171,.043,.116,.259,.514,.893,.024,.247
217,Bobby Jackson,.679,.292,.061,.079,.246,.321,.522,.742,.001,.485
410,Bobby Simmons,.955,.259,.107,.098,.491,.045,.568,,.009,.400
