,Player,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Dunks - %FGA,Corner 3s - %3PA
74,Aaron Brooks,.516,.276,.053,.058,.129,.484,.211,.917,.004,.174
214,Aaron Gray,.995,.574,.270,.118,.034,.005,.505,,.069,.000
585,Aaron Williams,1.000,.436,.309,.164,.091,.000,.556,,.073,
340,Acie Law,.857,.426,.097,.105,.228,.143,.295,.857,.008,.265
178,Adonal Foyle,1.000,.614,.320,.065,.000,.000,.629,,.033,
224,Adrian Griffin,1.000,.382,.171,.263,.184,.000,.433,,.000,
230,Al Harrington,.558,.245,.103,.062,.148,.442,.484,1.000,.049,.221
255,Al Horford,.993,.412,.251,.136,.193,.007,.676,,.108,.000
290,Al Jefferson,.997,.350,.356,.206,.084,.003,.510,,.076,.000
538,Al Thornton,.851,.285,.092,.147,.327,.149,.544,.930,.042,.031
540,Alando Tucker,.818,.591,.000,.091,.136,.182,.571,1.000,.045,.500
294,Alexander Johnson,1.000,.448,.120,.144,.288,.000,.656,,.128,
274,Allen Iverson,.823,.303,.136,.154,.230,.177,.222,.811,.001,.138
391,Alonzo Mourning,1.000,.453,.505,.032,.011,.000,.577,,.232,
517,Amar'e Stoudemire,.974,.453,.229,.123,.169,.026,.701,.400,.182,.290
295,Amir Johnson,1.000,.715,.170,.073,.042,.000,.511,,.182,
546,Anderson Varejão,.993,.529,.197,.129,.139,.007,.640,,.041,.000
55,Andray Blatche,.976,.491,.172,.090,.224,.024,.510,1.000,.076,.462
39,Andre Barrett,.400,.000,.000,.200,.200,.600,1.000,1.000,.000,.000
76,Andre Brown,1.000,.538,.256,.141,.064,.000,.692,,.115,
268,Andre Iguodala,.760,.280,.059,.106,.316,.240,.466,.772,.114,.290
378,Andre Miller,.971,.312,.132,.304,.221,.029,.320,.667,.001,.059
427,Andre Owens,.626,.271,.084,.112,.159,.374,.182,.833,.000,.200
37,Andrea Bargnani,.640,.199,.055,.094,.292,.360,.711,.956,.054,.011
326,Andrei Kirilenko,.787,.426,.059,.042,.259,.213,.710,.909,.108,.250
58,Andrew Bogut,.992,.557,.336,.054,.045,.008,.602,,.116,.000
89,Andrew Bynum,1.000,.700,.246,.044,.010,.000,.556,,.310,
52,Andris Biedriņš,1.000,.805,.190,.006,.000,.000,.715,,.118,
411,Andrés Nocioni,.605,.203,.082,.097,.223,.395,.632,.984,.014,.199
228,Anfernee Hardaway,.683,.150,.133,.150,.250,.317,.429,1.000,.017,.316
288,Antawn Jamison,.750,.238,.222,.101,.190,.250,.552,.950,.007,.178
95,Anthony Carter,.729,.309,.063,.036,.321,.271,.659,.933,.002,.333
297,Anthony Johnson,.738,.231,.110,.141,.256,.262,.540,.881,.020,.323
430,Anthony Parker,.633,.165,.058,.095,.315,.367,.592,.955,.030,.605
556,Antoine Walker,.499,.277,.163,.037,.021,.501,.253,.967,.003,.090
606,Antoine Wright,.666,.377,.046,.061,.182,.334,.663,1.000,.040,.564
123,Antonio Daniels,.834,.333,.143,.152,.206,.166,.314,.706,.036,.108
370,Antonio McDyess,.997,.282,.032,.137,.547,.003,.860,,.058,.000
1,Arron Afflalo,.801,.332,.054,.129,.286,.199,.652,.800,.008,.458
119,Austin Croshere,.555,.285,.066,.073,.131,.445,.538,1.000,.066,.213
512,Awvee Storey,.921,.404,.067,.135,.315,.079,.692,,.056,.286
126,Baron Davis,.656,.307,.125,.085,.140,.344,.199,.468,.011,.118
208,Ben Gordon,.676,.146,.070,.127,.333,.324,.429,.718,.003,.220
557,Ben Wallace,.989,.656,.199,.099,.034,.011,.688,,.196,.250
545,Beno Udrih,.806,.332,.059,.154,.261,.194,.258,.943,.000,.285
529,Billy Thomas,.059,.000,.000,.059,.000,.941,,1.000,.000,.375
