,Player,Fouls Drawn - Shoot
79,Aaron Brooks,56
219,Aaron Gray,27
322,Acie Law,22
389,Adam Morrison,9
189,Adonal Foyle,2
228,Al Harrington,131
256,Al Horford,101
289,Al Jefferson,134
544,Al Thornton,144
546,Alando Tucker,17
0,Alex Acker,5
7,Alexis Ajinça,8
273,Allen Iverson,144
524,Amar'e Stoudemire,177
294,Amir Johnson,18
553,Anderson Varejão,113
60,Andray Blatche,76
80,Andre Brown,1
269,Andre Iguodala,223
372,Andre Miller,160
38,Andrea Bargnani,113
313,Andrei Kirilenko,131
65,Andrew Bogut,45
96,Andrew Bynum,119
55,Andris Biedriņš,102
406,Andrés Nocioni,74
286,Antawn Jamison,209
105,Anthony Carter,24
295,Anthony Johnson,31
392,Anthony Morrow,19
426,Anthony Parker,57
450,Anthony Randolph,57
465,Anthony Roberson,2
545,Anthony Tolliver,3
595,Antoine Wright,47
136,Antonio Daniels,44
360,Antonio McDyess,39
4,Arron Afflalo,25
130,Austin Croshere,5
142,Baron Davis,82
212,Ben Gordon,155
561,Ben Wallace,22
550,Beno Udrih,54
6,Blake Ahearn,0
81,Bobby Brown,19
278,Bobby Jackson,41
498,Bobby Simmons,26
147,Boris Diaw,60
373,Brad Miller,115
596,Brandan Wright,41
41,Brandon Bass,100
476,Brandon Roy,212
478,Brandon Rush,34
240,Brendan Haywood,10
40,Brent Barry,4
315,Brevin Knight,20
100,Brian Cardinal,9
119,Brian Cook,3
487,Brian Scalabrine,8
509,Brian Skinner,21
329,Brook Lopez,108
73,Bruce Bowen,9
369,C.J. Miles,42
566,C.J. Watson,64
68,Calvin Booth,4
321,Carl Landry,92
71,Carlos Boozer,60
20,Carmelo Anthony,196
94,Caron Butler,172
347,Cartier Martin,9
499,Cedric Simmons,7
192,Channing Frye,10
50,Charlie Bell,27
555,Charlie Villanueva,110
56,Chauncey Billups,143
483,Cheikh Samb,2
18,Chris Andersen,72
72,Chris Bosh,285
164,Chris Douglas-Roberts,27
169,Chris Duhon,63
309,Chris Kaman,41
368,Chris Mihm,2
428,Chris Paul,158
446,Chris Quinn,16
578,Chris Wilcox,72
238,Chuck Hayes,10
27,Chucky Atkins,3
76,Corey Brewer,8
339,Corey Maggette,159
323,Courtney Lee,37
502,Courtney Sims,0
510,Craig Smith,126
380,Cuttino Mobley,6
30,D.J. Augustin,79
271,D.J. Mbenga,4
576,D.J. White,8
122,Daequan Cook,14
302,Dahntay Jones,77
581,Damien Wilkins,19
303,Damon Jones,0
193,Dan Gadzuric,30
203,Daniel Gibson,31
195,Danilo Gallinari,9
217,Danny Granger,203
370,Darius Miles,15
519,Darius Songaila,44
371,Darko Miličić,53
279,Darnell Jackson,20
26,Darrell Arthur,27
324,David Lee,163
571,David West,173
308,DeAndre Jordan,48
398,DeMarcus Nelson,6
155,DeSagana Diop,28
522,DeShawn Stevenson,28
84,Dee Brown,3
572,Delonte West,45
401,Demetris Nichols,0
185,Derek Fisher,38
582,Deron Williams,158
471,Derrick Rose,117
180,Desmon Farmer,0
351,Desmond Mason,43
202,Devean George,10
87,Devin Brown,51
231,Devin Harris,268
395,Dikembe Mutombo,2
410,Dirk Nowitzki,212
363,Dominic McGuire,48
290,Dontell Jefferson,4
223,Donté Greene,15
346,Donyell Marshall,3
597,Dorell Wright,2
208,Drew Gooden,73
304,Dwayne Jones,2
258,Dwight Howard,378
558,Dwyane Wade,346
567,Earl Watson,38
205,Eddie Gill,0
257,Eddie House,6
133,Eddy Curry,2
396,Eduardo Nájera,10
75,Elton Brand,56
421,Emeka Okafor,185
213,Eric Gordon,141
135,Erick Dampier,65
535,Etan Thomas,11
418,Fabricio Oberto,13
175,Francisco Elson,17
196,Francisco García,59
305,Fred Jones,38
444,Gabe Pruitt,7
249,George Hill,62
220,Gerald Green,18
562,Gerald Wallace,209
22,Gilbert Arenas,2
143,Glen Davis,89
165,Goran Dragić,28
250,Grant Hill,96
93,Greg Buckner,5
419,Greg Oden,103
565,Hakim Warrick,177
224,Hamed Haddadi,8
3,Hassan Adams,3
548,Hedo Türkoğlu,158
560,Henry Walker,7
25,Hilton Armstrong,47
152,Ike Diogu,24
549,Ime Udoka,19
37,J.J. Barea,40
247,J.J. Hickson,32
204,J.R. Giddens,0
511,J.R. Smith,106
457,JJ Redick,31
361,JaVale McGee,87
554,Jacque Vaughn,9
556,Jake Voskuhl,7
340,Jamaal Magloire,28
123,Jamal Crawford,117
382,Jamario Moon,31
399,Jameer Nelson,29
306,James Jones,12
439,James Posey,53
508,James Singleton,35
577,James White,0
166,Jared Dudley,44
292,Jared Jeffries,39
277,Jarrett Jack,94
112,Jarron Collins,4
239,Jarvis Hayes,19
113,Jason Collins,12
232,Jason Hart,8
310,Jason Kapono,15
311,Jason Kidd,35
353,Jason Maxiell,83
458,Jason Richardson,92
534,Jason Terry,83
543,Jason Thompson,135
127,Javaris Crittenton,43
583,Jawad Williams,0
187,Jeff Foster,66
221,Jeff Green,143
462,Jeremy Richardson,2
414,Jermaine O'Neal,111
141,Jermareo Davidson,6
281,Jerome James,0
521,Jerry Stackhouse,4
46,Jerryd Bayless,42
404,Joakim Noah,86
9,Joe Alexander,38
126,Joe Crawford,1
296,Joe Johnson,121
512,Joe Smith,36
21,Joel Anthony,21
445,Joel Przybilla,72
160,Joey Dorsey,0
215,Joey Graham,76
434,Johan Petro,12
480,John Salmons,163
179,Jordan Farmar,36
67,Josh Boone,37
259,Josh Howard,104
364,Josh McRoberts,6
441,Josh Powell,19
515,Josh Smith,172
98,José Calderón,33
158,Juan Dixon,12
599,Julian Wright,17
260,Juwan Howard,18
479,Kareem Rush,0
62,Keith Bogans,23
31,Kelenna Azubuike,110
431,Kendrick Perkins,76
536,Kenny Thomas,0
348,Kenyon Martin,97
173,Kevin Durant,210
198,Kevin Garnett,57
331,Kevin Love,154
350,Kevin Martin,213
423,Kevin Ollie,36
159,Keyon Dooling,58
252,Kirk Hinrich,27
92,Kobe Bryant,226
317,Kosta Koufos,22
266,Kris Humphries,21
537,Kurt Thomas,18
88,Kwame Brown,57
316,Kyle Korver,15
332,Kyle Lowry,98
568,Kyle Weaver,25
183,Kyrylo Fesenko,9
8,LaMarcus Aldridge,156
420,Lamar Odom,129
263,Larry Hughes,61
282,LeBron James,372
36,Leandro Barbosa,90
440,Leon Powe,130
314,Linas Kleiza,101
267,Lindsey Hunter,2
298,Linton Johnson,0
600,Lorenzen Wright,2
17,Lou Amundson,57
584,Lou Williams,174
356,Luc Mbah a Moute,85
488,Luis Scola,113
464,Luke Ridnour,32
564,Luke Walton,22
146,Luol Deng,83
241,Luther Head,11
42,Maceo Baston,8
10,Malik Allen,8
225,Malik Hairston,4
472,Malik Rose,25
206,Manu Ginóbili,69
199,Marc Gasol,170
214,Marcin Gortat,27
48,Marco Belinelli,18
33,Marcus Banks,5
99,Marcus Camby,81
585,Marcus Williams,3
114,Mardy Collins,21
108,Mario Chalmers,71
574,Mario West,10
61,Mark Blount,6
338,Mark Madsen,1
287,Marko Jarić,18
139,Marquis Daniels,62
520,Marreese Speights,62
569,Martell Webster,0
587,Marvin Williams,115
39,Matt Barnes,56
66,Matt Bonner,9
102,Matt Carroll,9
227,Matt Harpring,25
5,Maurice Ager,4
177,Maurice Evans,35
422,Mehmet Okur,138
176,Melvin Ely,14
594,Metta World Peace,112
47,Michael Beasley,119
184,Michael Finley,16
456,Michael Redd,56
477,Michael Ruffin,1
438,Mickaël Piétrus,50
54,Mike Bibby,45
118,Mike Conley,74
172,Mike Dunleavy,29
283,Mike James,34
377,Mike Miller,57
532,Mike Taylor,34
385,Mikki Moore,25
588,Mo Williams,55
174,Monta Ellis,46
13,Morris Almond,13
433,Morris Peterson,9
492,Mouhamed Sene,4
468,Nate Robinson,119
288,Nathan Jawai,0
381,Nazr Mohammed,16
318,Nenad Krstić,42
248,Nenê,175
117,Nick Collison,64
601,Nick Young,79
45,Nicolas Batum,25
355,O.J. Mayo,91
430,Oleksiy Pecherov,13
268,Othello Hunter,3
411,Patrick O'Bryant,7
200,Pau Gasol,183
144,Paul Davis,17
378,Paul Millsap,156
437,Paul Pierce,222
523,Peja Stojaković,23
24,Player,Shoot
365,Pops Mensah-Bonsu,23
463,Quentin Richardson,57
161,Quincy Douby,8
475,Quinton Ross,16
14,Rafer Alston,66
51,Raja Bell,19
470,Rajon Rondo,103
496,Ramon Sessions,144
388,Randolph Morris,2
188,Randy Foye,109
357,Rashad McCants,53
325,Rashard Lewis,96
563,Rasheed Wallace,42
400,Rasho Nesterović,17
95,Rasual Butler,47
11,Ray Allen,81
181,Raymond Felton,92
178,Reggie Evans,73
32,Renaldo Balkman,33
226,Richard Hamilton,69
291,Richard Jefferson,230
145,Ricky Davis,14
319,Rob Kurz,15
527,Robert Swift,8
330,Robin Lopez,32
101,Rodney Carney,30
525,Rodney Stuckey,146
352,Roger Mason,27
551,Roko Ukić,30
394,Ronald Murray,98
77,Ronnie Brewer,181
442,Ronnie Price,14
547,Ronny Turiaf,58
246,Roy Hibbert,76
276,Royal Ivey,17
182,Rudy Fernández,40
201,Rudy Gay,153
575,Russell Westbrook,181
19,Ryan Anderson,53
74,Ryan Bowen,2
207,Ryan Gomes,80
253,Ryan Hollins,30
134,Samuel Dalembert,50
429,Sasha Pavlović,22
557,Sasha Vujačić,13
345,Sean Marks,21
354,Sean May,11
505,Sean Singletary,7
589,Sean Williams,15
533,Sebastian Telfair,63
469,Sergio Rodríguez,27
44,Shane Battier,25
89,Shannon Brown,16
417,Shaquille O'Neal,248
326,Shaun Livingston,3
451,Shavlik Randolph,2
342,Shawn Marion,71
590,Shawne Williams,4
591,Shelden Williams,29
307,Solomon Jones,38
570,Sonny Weems,3
111,Speedy Claxton,1
237,Spencer Hawes,63
216,Stephen Graham,30
280,Stephen Jackson,141
341,Stephon Marbury,7
59,Steve Blake,15
397,Steve Nash,44
409,Steve Novak,4
251,Steven Hill,0
528,Stromile Swift,12
603,Sun Yue,0
186,T.J. Ford,117
312,Tarence Kinsey,18
443,Tayshaun Prince,99
489,Thabo Sefolosha,28
602,Thaddeus Young,87
455,Theo Ratliff,13
197,Thomas Gardner,2
170,Tim Duncan,238
538,Tim Thomas,57
12,Tony Allen,59
43,Tony Battie,34
427,Tony Parker,165
362,Tracy McGrady,68
151,Travis Diener,3
424,Travis Outlaw,100
236,Trenton Hassell,11
23,Trevor Ariza,80
301,Trey Johnson,2
393,Troy Murphy,79
335,Tyronn Lue,5
542,Tyrus Thomas,137
109,Tyson Chandler,60
235,Udonis Haslem,70
106,Vince Carter,155
447,Vladimir Radmanović,23
559,Von Wafer,57
531,Wally Szczerbiak,34
244,Walter Herrmann,12
497,Walter Sharpe,0
97,Will Bynum,52
516,Will Solomon,9
222,Willie Green,46
110,Wilson Chandler,104
150,Yakhouba Diawara,10
379,Yao Ming,175
293,Yi Jianlian,48
452,Zach Randolph,122
425,Zaza Pachulia,111
270,Zydrunas Ilgauskas,80
