,Player,G,MP,USG%
74,Aaron Brooks,51,608,21.8
214,Aaron Gray,61,613,22.0
585,Aaron Williams,30,297,11.8
340,Acie Law,56,865,16.5
178,Adonal Foyle,82,774,11.8
224,Adrian Griffin,35,307,14.5
230,Al Harrington,81,2190,21.1
255,Al Horford,81,2540,16.0
290,Al Jefferson,82,2919,27.5
538,Al Thornton,79,2158,24.1
540,Alando Tucker,6,48,23.0
294,Alexander Johnson,43,549,17.6
274,Allen Iverson,82,3424,26.7
391,Alonzo Mourning,25,389,18.7
517,Amar'e Stoudemire,79,2677,28.2
295,Amir Johnson,62,764,14.1
546,Anderson Varejão,48,1320,13.4
55,Andray Blatche,82,1675,19.7
39,Andre Barrett,4,25,12.7
76,Andre Brown,33,286,17.7
268,Andre Iguodala,82,3242,23.8
378,Andre Miller,82,3016,22.6
427,Andre Owens,31,392,16.1
37,Andrea Bargnani,78,1861,22.5
326,Andrei Kirilenko,72,2217,16.1
58,Andrew Bogut,78,2720,20.2
89,Andrew Bynum,35,1008,17.5
52,Andris Biedriņš,76,2078,14.4
411,Andrés Nocioni,82,2021,24.5
228,Anfernee Hardaway,16,325,11.2
288,Antawn Jamison,79,3061,25.9
95,Anthony Carter,70,1960,13.8
297,Anthony Johnson,69,1531,13.5
430,Anthony Parker,82,2634,17.4
556,Antoine Walker,46,892,22.8
606,Antoine Wright,56,1232,15.2
123,Antonio Daniels,71,2161,13.5
370,Antonio McDyess,78,2285,15.3
1,Arron Afflalo,75,970,15.2
119,Austin Croshere,44,457,16.0
512,Awvee Storey,26,259,19.4
126,Baron Davis,82,3196,25.6
208,Ben Gordon,72,2291,26.0
557,Ben Wallace,72,2205,10.0
545,Beno Udrih,65,2080,19.8
529,Billy Thomas,11,42,23.7
5,Blake Ahearn,12,177,23.2
425,Bo Outlaw,2,7,26.2
277,Bobby Jackson,72,1389,20.0
305,Bobby Jones,47,531,15.9
490,Bobby Simmons,70,1521,17.9
571,Bonzi Wells,73,1562,22.7
133,Boris Diaw,82,2308,16.6
397,Boštjan Nachbar,75,1660,21.5
379,Brad Miller,72,2513,18.3
609,Brandan Wright,38,376,16.0
42,Brandon Bass,79,1557,19.8
479,Brandon Roy,74,2792,24.9
246,Brendan Haywood,80,2228,17.3
41,Brent Barry,31,554,16.1
329,Brevin Knight,74,1674,12.2
92,Brian Cardinal,37,440,15.9
111,Brian Cook,51,629,20.5
485,Brian Scalabrine,48,512,11.7
495,Brian Skinner,66,844,14.0
64,Bruce Bowen,81,2448,9.9
376,C.J. Miles,60,689,18.6
566,C.J. Watson,32,368,15.1
61,Calvin Booth,31,204,7.8
335,Carl Landry,42,711,18.8
27,Carlos Arroyo,62,1269,17.0
62,Carlos Boozer,81,2827,26.6
131,Carlos Delfino,82,1928,19.0
18,Carmelo Anthony,77,2806,30.2
87,Caron Butler,58,2314,24.0
282,Casey Jacobsen,53,547,11.3
491,Cedric Simmons,14,87,12.6
181,Channing Frye,78,1342,19.6
46,Charlie Bell,68,1628,16.6
548,Charlie Villanueva,76,1829,24.4
53,Chauncey Billups,78,2522,23.0
483,Cheikh Samb,4,31,8.9
16,Chris Andersen,5,34,13.3
63,Chris Bosh,67,2425,27.7
150,Chris Duhon,66,1490,13.4
318,Chris Kaman,56,2083,21.7
375,Chris Mihm,23,278,19.6
436,Chris Paul,80,3006,25.7
456,Chris Quinn,60,1340,16.6
466,Chris Richard,52,556,10.0
569,Chris Webber,9,126,15.8
579,Chris Wilcox,62,1739,21.2
243,Chuck Hayes,79,1575,8.5
28,Chucky Atkins,24,352,16.4
320,Coby Karl,17,71,22.0
68,Corey Brewer,79,1803,15.6
348,Corey Maggette,70,2502,27.6
494,Courtney Sims,3,11,3.9
496,Craig Smith,77,1547,20.6
384,Cuttino Mobley,77,2702,18.5
271,D.J. Mbenga,42,326,13.5
518,D.J. Strawberry,33,270,18.5
114,Daequan Cook,59,1441,19.8
311,Dahntay Jones,25,206,18.5
580,Damien Wilkins,76,1843,19.4
312,Damon Jones,67,1336,14.0
513,Damon Stoudamire,60,1037,19.1
136,Dan Dickau,67,1040,17.2
182,Dan Gadzuric,51,534,18.2
195,Daniel Gibson,58,1765,15.1
212,Danny Granger,80,2876,23.2
507,Darius Songaila,80,1554,17.3
564,Darius Washington,18,146,22.2
377,Darko Miličić,70,1663,17.5
24,Darrell Armstrong,50,549,13.7
362,Darrick Martin,17,141,15.6
565,Darryl Watkins,9,71,15.2
236,David Harrison,55,702,16.7
341,David Lee,81,2356,15.6
574,David West,76,2870,26.3
140,DeSagana Diop,79,1295,9.6
509,DeShawn Stevenson,82,2564,17.4
575,Delonte West,61,1533,18.3
407,Demetris Nichols,14,44,27.4
300,DerMarr Johnson,5,28,25.5
17,Derek Anderson,28,396,19.3
174,Derek Fisher,82,2249,18.6
586,Deron Williams,82,3059,23.1
365,Desmond Mason,59,1702,16.8
194,Devean George,53,821,14.0
77,Devin Brown,78,1762,17.8
232,Devin Harris,64,2022,22.6
396,Dikembe Mutombo,39,619,8.6
414,Dirk Nowitzki,77,2769,28.8
372,Dominic McGuire,70,695,10.4
358,Donyell Marshall,26,340,16.0
610,Dorell Wright,44,1104,15.1
205,Drew Gooden,69,2122,20.3
313,Dwayne Jones,56,472,8.6
258,Dwight Howard,82,3088,24.2
552,Dwyane Wade,51,1954,33.1
40,Earl Barron,46,889,22.0
66,Earl Boykins,36,577,19.0
568,Earl Watson,78,2269,18.8
196,Eddie Gill,14,154,13.0
257,Eddie House,78,1480,19.6
314,Eddie Jones,47,922,10.9
120,Eddy Curry,59,1530,23.5
398,Eduardo Nájera,78,1664,11.9
67,Elton Brand,8,274,25.5
422,Emeka Okafor,82,2718,20.0
444,Eric Piatkowski,16,113,16.1
503,Eric Snow,22,305,8.6
122,Erick Dampier,72,1755,11.2
420,Fabricio Oberto,82,1644,10.9
159,Francisco Elson,63,813,17.0
185,Francisco García,79,2096,20.7
315,Fred Jones,70,1757,14.4
454,Gabe Pruitt,15,95,22.0
215,Gerald Green,30,362,25.1
560,Gerald Wallace,62,2376,24.6
20,Gilbert Arenas,13,425,31.1
127,Glen Davis,69,940,17.4
200,Gordan Giriček,56,831,19.7
252,Grant Hill,70,2222,18.0
86,Greg Buckner,31,520,13.5
