,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
500,A.J. Guyton,0,0.0,2.0,0.0,0.0,0.0,1.0,0.5,0.0,0.5,0.0
163,Aaron McKie,40,3.6,8.3,1.7,0.8,3.6,3.5,1.6,0.1,1.4,2.2
245,Aaron Williams,0,2.5,5.4,1.6,1.7,2.4,1.1,0.3,0.7,1.0,2.5
458,Adam Harrington,0,0.6,1.9,0.2,0.1,0.4,0.6,0.1,0.1,0.1,0.4
281,Adonal Foyle,0,2.3,4.2,1.3,2.1,3.8,0.5,0.5,2.5,0.9,2.6
328,Adrian Griffin,48,2.0,4.6,0.4,1.2,2.4,1.4,1.0,0.1,0.6,2.1
103,Al Harrington,37,4.7,10.9,3.3,1.9,4.3,1.5,0.9,0.4,2.0,3.4
304,Alan Henderson,3,1.9,4.0,1.7,1.9,3.0,0.5,0.4,0.4,0.7,2.0
12,Allan Houston,82,8.0,17.9,4.8,0.3,2.5,2.7,0.7,0.1,2.2,2.3
2,Allen Iverson,82,9.8,23.7,9.0,0.8,3.4,5.5,2.7,0.2,3.5,1.8
495,Alton Ford,0,0.3,0.8,0.3,0.0,0.5,0.1,0.0,0.0,0.2,0.6
89,Alvin Williams,78,5.1,11.6,3.1,0.7,2.4,5.3,1.4,0.3,1.6,2.2
481,Amal McCaskill,0,0.4,1.5,0.4,0.6,1.4,0.5,0.3,0.1,0.2,1.2
85,Amar'e Stoudemire,71,4.8,10.1,5.9,3.0,5.7,1.0,0.8,1.1,2.3,3.3
82,Andre Miller,80,4.7,11.6,4.9,1.1,2.9,6.7,1.2,0.1,2.6,2.5
107,Andrei Kirilenko,11,3.9,8.0,4.6,1.8,3.4,1.7,1.5,2.2,1.7,2.3
308,Andrew DeClercq,21,1.9,3.6,1.4,1.8,2.6,0.7,0.5,0.5,1.1,3.4
124,Anfernee Hardaway,51,4.4,9.9,1.7,1.1,3.3,4.1,1.1,0.4,2.5,2.6
429,Ansu Sesay,4,0.9,2.4,0.5,0.8,0.9,0.5,0.3,0.1,0.6,1.4
14,Antawn Jamison,82,8.4,17.9,5.8,2.4,4.7,1.9,0.9,0.5,2.2,2.4
343,Anthony Carter,26,1.7,4.8,1.0,0.2,1.4,4.1,0.9,0.1,1.7,1.4
452,Anthony Goldwire,0,0.6,1.7,0.5,0.0,0.4,0.3,0.2,0.0,0.4,0.4
345,Anthony Johnson,2,1.6,3.5,1.1,0.2,1.0,1.3,0.6,0.1,0.6,1.4
206,Anthony Mason,58,2.9,6.0,1.8,1.4,5.0,3.2,0.5,0.2,1.2,2.3
195,Anthony Peeler,39,3.1,7.4,0.6,0.5,2.5,3.0,0.9,0.2,1.0,2.0
469,Antoine Rigaudeau,0,0.7,3.2,0.0,0.4,0.4,0.5,0.3,0.0,0.5,1.0
29,Antoine Walker,78,7.7,19.9,3.7,1.3,5.9,4.8,1.5,0.4,3.3,2.8
359,Antonio Daniels,2,1.3,2.8,1.1,0.2,0.9,1.3,0.5,0.1,0.5,0.6
81,Antonio Davis,52,4.9,12.1,5.3,2.5,5.8,2.5,0.4,1.2,2.2,2.8
480,Antonio Harvey,0,0.5,1.3,0.0,0.3,1.3,0.0,0.3,1.0,0.8,1.8
414,Art Long,0,1.1,2.9,0.4,0.8,1.5,0.2,0.2,0.4,0.8,1.3
254,Arvydas Sabonis,1,2.2,4.6,2.1,1.1,3.2,1.8,0.8,0.6,1.0,1.8
288,Austin Croshere,0,1.8,4.3,1.3,0.8,2.3,1.1,0.1,0.3,0.6,1.0
375,Avery Johnson,0,1.3,3.1,0.8,0.2,0.4,1.3,0.3,0.0,0.6,0.5
51,Baron Davis,47,6.6,16.0,2.6,1.1,2.6,6.4,1.8,0.4,2.8,3.0
220,Ben Wallace,73,2.9,6.0,2.6,4.0,11.4,1.6,1.4,3.2,1.2,2.5
322,Bimbo Coles,11,1.6,4.8,1.2,0.3,1.4,2.1,0.5,0.1,0.8,1.7
311,Bo Outlaw,20,1.9,3.5,1.5,1.7,2.9,1.4,0.6,0.9,1.0,2.4
205,Bob Sura,0,2.5,6.0,2.7,1.1,2.0,3.2,0.8,0.0,1.5,2.0
68,Bobby Jackson,26,5.8,12.4,2.5,1.0,2.7,3.1,1.2,0.1,1.8,2.1
378,Bobby Simmons,2,1.2,3.1,1.0,0.9,1.2,0.6,0.3,0.1,0.2,1.4
69,Bonzi Wells,65,5.8,13.2,4.2,1.3,3.9,3.3,1.6,0.2,2.9,2.9
427,Boštjan Nachbar,1,0.8,2.2,0.7,0.2,0.6,0.2,0.1,0.1,0.4,0.9
90,Brad Miller,72,4.5,9.1,4.9,2.5,5.7,2.6,0.9,0.6,1.6,2.8
470,Brandon Armstrong,0,0.5,1.6,0.4,0.0,0.2,0.1,0.2,0.1,0.3,0.5
497,Brandon Williams,0,0.2,1.2,0.0,0.3,0.0,0.0,0.3,0.0,0.5,0.7
243,Brendan Haywood,69,2.1,4.2,3.0,2.4,2.6,0.4,0.4,1.5,0.8,2.8
130,Brent Barry,68,3.5,7.7,2.1,0.6,3.4,5.1,1.5,0.2,1.9,2.7
354,Brevin Knight,4,1.8,4.1,0.7,0.3,1.2,4.2,1.3,0.0,1.7,2.2
492,Brian Cardinal,0,0.2,0.8,0.4,0.6,0.4,0.2,0.0,0.0,0.2,0.0
131,Brian Grant,82,4.2,8.2,2.5,2.9,7.3,1.3,0.8,0.6,1.6,3.7
387,Brian Scalabrine,7,1.2,2.9,0.6,0.7,1.7,0.8,0.3,0.3,0.8,1.3
368,Brian Shaw,0,1.4,3.6,0.2,0.3,1.4,1.4,0.4,0.2,0.8,0.9
256,Brian Skinner,9,2.4,4.3,2.1,1.8,3.0,0.2,0.6,0.7,0.8,2.3
210,Bruce Bowen,82,2.7,5.8,1.1,0.7,2.2,1.4,0.8,0.5,0.9,2.4
