,Player,G,MP,USG%
186,A.J. Guyton,45,607,22.2
311,Aaron McKie,48,1471,19.8
504,Aaron Williams,82,1546,17.4
165,Adonal Foyle,79,1485,14.2
183,Adrian Griffin,58,1383,13.8
197,Al Harrington,44,1313,21.6
208,Alan Henderson,26,422,16.8
216,Allan Houston,77,2914,25.9
225,Allen Iverson,60,2622,37.8
334,Alonzo Mourning,75,2455,24.1
156,Alton Ford,53,452,17.3
251,Alvin Jones,23,126,14.5
505,Alvin Williams,82,2927,18.4
303,Amal McCaskill,27,153,22.6
318,Andre Miller,81,3023,22.6
260,Andrei Kirilenko,82,2151,19.0
127,Andrew DeClercq,61,633,14.5
192,Anfernee Hardaway,80,2462,21.9
432,Ansu Sesay,9,142,17.9
239,Antawn Jamison,82,3033,24.0
89,Anthony Carter,46,1050,15.8
242,Anthony Johnson,34,366,14.8
299,Anthony Mason,82,3143,12.7
375,Anthony Peeler,82,2060,17.3
488,Antoine Walker,81,3406,27.8
120,Antonio Daniels,82,2175,16.6
121,Antonio Davis,77,2978,19.6
201,Antonio Harvey,5,47,15.7
307,Antonio McDyess,10,236,20.8
161,Antonis Fotsis,28,320,19.0
277,Art Long,63,989,16.2
111,Austin Croshere,76,1286,19.9
243,Avery Johnson,68,1352,19.2
122,Baron Davis,82,3318,23.9
490,Ben Wallace,80,2921,10.5
102,Bimbo Coles,47,693,12.8
361,Bo Outlaw,83,1928,10.2
465,Bob Sura,78,1780,20.5
226,Bobby Jackson,81,1750,23.1
434,Bobby Simmons,30,343,16.4
499,Bonzi Wells,74,2348,26.4
319,Brad Miller,76,2263,20.6
19,Brandon Armstrong,35,196,22.3
207,Brendan Haywood,62,1266,12.4
33,Brent Barry,81,3040,16.2
390,Brent Price,20,89,20.9
263,Brevin Knight,53,1151,19.6
88,Brian Cardinal,8,43,15.2
181,Brian Grant,72,2256,16.6
430,Brian Scalabrine,28,290,15.1
433,Brian Shaw,58,631,15.4
436,Brian Skinner,65,1107,9.9
55,Bruce Bowen,59,1699,13.9
464,Bruno Šundov,22,88,23.1
457,Bryant Stith,50,665,16.6
140,Bryce Drew,61,774,13.4
425,Bryon Russell,66,1998,17.1
54,Cal Bowdler,52,585,15.9
94,Calbert Cheaney,68,1631,15.5
52,Calvin Booth,15,279,18.1
21,Carlos Arroyo,37,371,17.2
415,Carlos Rogers,22,168,15.2
209,Cedric Henderson,12,70,25.3
351,Charles Oakley,57,1383,12.1
440,Charles Smith,60,1141,21.0
38,Charlie Bell,7,44,17.2
494,Charlie Ward,63,1058,17.8
47,Chauncey Billups,82,2355,20.4
372,Cherokee Parks,42,234,20.0
10,Chris Andersen,24,262,17.0
96,Chris Childs,69,1576,13.0
106,Chris Crawford,7,131,21.3
142,Chris Dudley,43,327,9.9
174,Chris Gatling,54,809,23.7
316,Chris Mihm,74,1659,19.4
324,Chris Mills,66,1237,18.0
497,Chris Webber,54,2071,29.0
503,Chris Whitney,82,2171,17.4
266,Christian Laettner,57,1441,15.4
24,Chucky Atkins,79,2285,20.0
65,Chucky Brown,18,92,15.6
496,Clarence Weatherspoon,56,1728,15.2
410,Clifford Robinson,80,2855,21.6
286,Corey Maggette,63,1615,21.1
49,Corie Blount,72,1426,10.4
513,Corliss Williamson,78,1701,29.8
4,Courtney Alexander,56,1325,20.4
326,Cuttino Mobley,74,3116,24.9
123,Dale Davis,78,2447,13.7
29,Dalibor Bagarić,50,638,18.4
252,Damon Jones,67,1083,16.1
460,Damon Stoudamire,75,2796,18.8
66,Damone Brown,17,67,22.9
271,Dan Langhi,34,434,14.8
288,Dan Majerle,65,1180,12.9
32,Dana Barros,29,582,19.2
426,Daniel Santiago,3,24,18.7
151,Danny Ferry,50,799,12.5
158,Danny Fortson,77,2216,19.3
290,Danny Manning,41,552,15.4
317,Darius Miles,82,2227,18.5
20,Darrell Armstrong,82,2730,17.9
296,Darrick Martin,3,22,24.4
188,Darvin Ham,70,1208,13.5
411,David Robinson,78,2303,19.2
500,David Wesley,67,2487,20.4
136,DeSagana Diop,18,109,18.2
455,DeShawn Stevenson,67,1134,18.4
169,Dean Garrett,34,183,16.1
355,Dean Oliver,20,139,18.5
