,Player,Fouls Drawn - Shoot
337,Aaron McKie,1
341,Aaron Miles,1
564,Aaron Williams,26
175,Adonal Foyle,34
210,Adrian Griffin,23
220,Al Harrington,150
271,Al Jefferson,71
7,Alan Anderson,20
231,Alan Henderson,23
1,Alex Acker,0
460,Alex Scales,0
251,Allen Iverson,343
359,Alonzo Mourning,96
567,Alvin Williams,1
489,Amar'e Stoudemire,5
274,Amir Johnson,1
528,Anderson Varejão,55
58,Andray Blatche,6
36,Andre Barrett,5
248,Andre Iguodala,151
347,Andre Miller,181
395,Andre Owens,8
295,Andrei Kirilenko,205
65,Andrew Bogut,84
91,Andrew Bynum,16
54,Andris Biedriņš,38
376,Andrés Nocioni,92
218,Anfernee Hardaway,0
268,Antawn Jamison,109
98,Anthony Carter,20
195,Anthony Goldwire,0
213,Anthony Grundy,7
275,Anthony Johnson,42
442,Anthony Roberson,1
537,Antoine Walker,58
580,Antoine Wright,8
86,Antonio Burks,8
120,Antonio Daniels,121
122,Antonio Davis,38
334,Antonio McDyess,53
316,Arvydas Macijauskas,4
116,Austin Croshere,32
486,Awvee Storey,4
125,Baron Davis,114
198,Ben Gordon,99
539,Ben Wallace,111
525,Beno Udrih,17
444,Bernard Robinson,52
501,Billy Thomas,0
393,Bo Outlaw,2
254,Bobby Jackson,62
464,Bobby Simmons,66
366,Boniface N'Dong,5
550,Bonzi Wells,85
140,Boris Diaw,110
367,Boštjan Nachbar,18
581,Bracey Wright,7
348,Brad Miller,141
43,Brandon Bass,8
229,Brendan Haywood,93
40,Brent Barry,22
297,Brevin Knight,109
96,Brian Cardinal,11
114,Brian Cook,46
205,Brian Grant,3
459,Brian Scalabrine,14
466,Brian Skinner,24
70,Bruce Bowen,30
454,Bryon Russell,0
342,C.J. Miles,9
105,Calbert Cheaney,3
67,Calvin Booth,5
20,Carlos Arroyo,50
68,Carlos Boozer,64
134,Carlos Delfino,31
13,Carmelo Anthony,285
88,Caron Butler,137
182,Channing Frye,92
469,Charles Smith,4
50,Charlie Bell,38
530,Charlie Villanueva,73
55,Chauncey Billups,160
6,Chris Andersen,45
69,Chris Bosh,279
148,Chris Duhon,39
290,Chris Kaman,110
340,Chris Mihm,81
406,Chris Paul,150
496,Chris Taft,3
548,Chris Webber,136
556,Chris Wilcox,72
227,Chuck Hayes,21
23,Chucky Atkins,34
445,Clifford Robinson,26
318,Corey Maggette,104
574,Corliss Williamson,21
352,Cuttino Mobley,86
250,D.J. Mbenga,6
283,Dahntay Jones,44
126,Dale Davis,4
559,Damien Wilkins,68
284,Damon Jones,10
487,Damon Stoudamire,11
141,Dan Dickau,2
183,Dan Gadzuric,45
164,Daniel Ewing,17
173,Danny Fortson,20
204,Danny Granger,68
343,Darius Miles,72
478,Darius Songaila,39
344,Darko Miličić,21
19,Darrell Armstrong,9
325,Darrick Martin,5
223,David Harrison,78
307,David Lee,62
552,David Wesley,58
553,David West,98
144,DeSagana Diop,26
482,DeShawn Stevenson,120
554,Delonte West,36
184,Deng Gai,0
276,DerMarr Johnson,17
8,Derek Anderson,29
168,Derek Fisher,82
568,Deron Williams,48
584,Derrick Zimmerman,0
329,Desmond Mason,121
191,Devean George,29
76,Devin Brown,86
206,Devin Green,8
222,Devin Harris,89
516,Dijon Thompson,1
365,Dikembe Mutombo,36
381,Dirk Nowitzki,219
497,Donell Taylor,16
472,Donta Smith,3
323,Donyell Marshall,42
582,Dorell Wright,9
108,Doug Christie,6
197,Drew Gooden,120
285,Dwayne Jones,5
240,Dwight Howard,272
534,Dwyane Wade,336
39,Earl Barron,1
72,Earl Boykins,45
545,Earl Watson,36
42,Eddie Basden,2
192,Eddie Gill,9
212,Eddie Griffin,35
239,Eddie House,12
286,Eddie Jones,79
117,Eddy Curry,242
371,Eduardo Nájera,44
74,Elton Brand,248
386,Emeka Okafor,56
412,Eric Piatkowski,1
476,Eric Snow,35
569,Eric Williams,19
119,Erick Dampier,97
277,Ervin Johnson,1
44,Esteban Batista,22
502,Etan Thomas,51
384,Fabricio Oberto,7
157,Francisco Elson,37
186,Francisco García,34
287,Fred Jones,64
408,Gary Payton,27
169,Gerald Fitch,10
207,Gerald Green,18
540,Gerald Wallace,143
15,Gilbert Arenas,326
194,Gordan Giriček,23
233,Grant Hill,42
83,Greg Buckner,20
392,Greg Ostertag,22
462,Ha Seung-Jin,8
544,Hakim Warrick,55
523,Hedo Türkoğlu,102
153,Howard Eisley,7
143,Ike Diogu,86
524,Ime Udoka,3
375,Ira Newble,4
473,J.R. Smith,45
89,Jackie Butler,33
532,Jackson Vroman,20
529,Jacque Vaughn,33
518,Jake Tsakalidis,42
531,Jake Voskuhl,19
447,Jalen Rose,108
319,Jamaal Magloire,133
517,Jamaal Tinsley,37
115,Jamal Crawford,117
457,Jamal Sampson,0
373,Jameer Nelson,69
288,James Jones,43
418,James Posey,16
465,James Singleton,21
503,James Thomas,4
399,Jannero Pargo,6
273,Jared Jeffries,81
253,Jarrett Jack,64
111,Jarron Collins,77
228,Jarvis Hayes,15
112,Jason Collins,31
224,Jason Hart,18
291,Jason Kapono,8
294,Jason Kidd,66
330,Jason Maxiell,16
439,Jason Richardson,173
500,Jason Terry,74
570,Jason Williams,33
174,Jeff Foster,70
336,Jeff McInnis,12
256,Jermaine Jackson,5
382,Jermaine O'Neal,172
265,Jerome James,22
481,Jerry Stackhouse,76
257,Jim Jackson,4
551,Jiří Welsch,32
278,Joe Johnson,114
474,Joe Smith,50
426,Joel Przybilla,72
199,Joey Graham,66
411,Johan Petro,36
152,John Edwards,5
314,John Lucas III,0
456,John Salmons,91
506,John Thomas,2
41,Jon Barry,9
52,Jonathan Bender,1
106,Josh Childress,89
127,Josh Davis,2
241,Josh Howard,127
422,Josh Powell,22
475,Josh Smith,125
94,José Calderón,31
145,Juan Dixon,69
236,Julius Hodge,2
289,Jumaine Jones,41
436,Justin Reed,54
242,Juwan Howard,86
453,Kareem Rush,26
62,Keith Bogans,77
338,Keith McLeod,44
527,Keith Van Horn,41
101,Kelvin Cato,16
409,Kendrick Perkins,64
511,Kenny Thomas,97
326,Kenyon Martin,86
87,Kevin Burleson,4
188,Kevin Garnett,187
327,Kevin Martin,87
388,Kevin Ollie,20
147,Keyon Dooling,51
235,Kirk Hinrich,111
477,Kirk Snyder,57
82,Kobe Bryant,297
245,Kris Humphries,24
512,Kurt Thomas,41
77,Kwame Brown,112
299,Kyle Korver,19
385,Lamar Odom,131
361,Lamond Murray,19
425,Laron Profit,8
244,Larry Hughes,84
443,Lawrence Roberts,12
266,LeBron James,362
32,Leandro Barbosa,64
370,Lee Nailon,9
296,Linas Kleiza,40
246,Lindsey Hunter,2
279,Linton Johnson,10
47,Lonny Baxter,19
575,Loren Woods,7
583,Lorenzen Wright,60
571,Lou Williams,8
260,Luke Jackson,11
441,Luke Ridnour,59
461,Luke Schenscher,4
543,Luke Walton,23
139,Luol Deng,113
230,Luther Head,46
304,Maciej Lampe,1
2,Malik Allen,13
450,Malik Rose,54
193,Manu Ginóbili,120
261,Marc Jackson,37
29,Marcus Banks,59
95,Marcus Camby,66
170,Marcus Fizer,0
292,Mario Kasun,9
59,Mark Blount,105
317,Mark Madsen,9
269,Marko Jarić,55
121,Marquis Daniels,81
549,Martell Webster,24
12,Martynas Andriuškevičius,0
572,Marvin Williams,120
110,Mateen Cleaves,7
33,Matt Barnes,16
66,Matt Bonner,28
97,Matt Carroll,63
219,Matt Harpring,118
542,Matt Walsh,0
159,Maurice Evans,32
498,Maurice Taylor,34
387,Mehmet Okur,172
158,Melvin Ely,79
458,Melvin Sanders,3
577,Metta World Peace,132
73,Michael Bradley,2
146,Michael Doleac,11
167,Michael Finley,21
389,Michael Olowokandi,22
435,Michael Redd,206
452,Michael Ruffin,26
414,Mickaël Piétrus,57
53,Mike Bibby,118
150,Mike Dunleavy,104
267,Mike James,105
349,Mike Miller,75
490,Mike Sweetney,103
561,Mike Wilks,12
357,Mikki Moore,23
398,Milt Palacio,57
573,Mo Williams,40
156,Monta Ellis,29
377,Moochie Norris,18
410,Morris Peterson,125
446,Nate Robinson,78
353,Nazr Mohammed,72
300,Nenad Krstić,116
232,Nenê,0
113,Nick Collison,52
526,Nick Van Exel,10
519,Nikoloz Tskitishvili,6
165,Noel Felix,3
209,Orien Greene,23
221,Othella Harrington,45
78,P.J. Brown,74
479,Pape Sow,28
85,Pat Burke,10
189,Pat Garrity,8
190,Pau Gasol,243
413,Paul Pierce,332
416,Pavel Podkolzin,2
483,Peja Stojaković,84
28,Player,Shoot
75,Primož Brezec,102
440,Quentin Richardson,44
451,Quinton Ross,35
576,Qyntel Woods,35
302,Raef LaFrentz,30
14,Rafael Araújo,11
5,Rafer Alston,44
51,Raja Bell,46
237,Randy Holcomb,0
312,Randy Livingston,0
332,Rashad McCants,49
311,Rashard Lewis,163
541,Rasheed Wallace,75
374,Rasho Nesterović,13
90,Rasual Butler,46
324,Rawle Marshall,12
3,Ray Allen,125
166,Raymond Felton,93
185,Reece Gaines,2
161,Reggie Evans,84
214,Richard Hamilton,114
272,Richard Jefferson,259
176,Richie Frahm,3
79,Rick Brunson,2
131,Ricky Davis,121
238,Robert Horry,18
491,Robert Swift,42
555,Robert Whaley,2
151,Ronald Dupree,19
362,Ronald Murray,110
423,Ronnie Price,6
522,Ronny Turiaf,9
252,Royal Ivey,9
402,Ruben Patterson,153
71,Ryan Bowen,8
196,Ryan Gomes,68
488,Salim Stoudamire,34
100,Sam Cassell,98
538,Samaki Walker,0
118,Samuel Dalembert,59
407,Sasha Pavlović,23
533,Sasha Vujačić,15
417,Scot Pollard,20
397,Scott Padgett,14
322,Sean Marks,5
331,Sean May,25
499,Sebastian Telfair,79
354,Sergei Monia,8
11,Shandon Anderson,11
46,Shane Battier,81
383,Shaquille O'Neal,204
0,Shareef Abdur-Rahim,117
171,Sharrod Ford,0
313,Shaun Livingston,32
431,Shavlik Randolph,33
321,Shawn Marion,130
400,Smush Parker,69
109,Speedy Claxton,120
26,Stacey Augmon,10
339,Stanislav Medvedenko,0
200,Stephen Graham,6
264,Stephen Jackson,142
320,Stephon Marbury,141
56,Steve Blake,15
179,Steve Francis,165
372,Steve Nash,79
247,Steven Hunter,71
492,Stromile Swift,104
172,T.J. Ford,91
424,Tayshaun Prince,109
358,Terence Morris,1
433,Theo Ratliff,35
149,Tim Duncan,244
513,Tim Thomas,18
301,Toni Kukoč,21
4,Tony Allen,66
45,Tony Battie,58
136,Tony Delk,12
401,Tony Parker,154
335,Tracy McGrady,147
142,Travis Diener,0
394,Travis Outlaw,37
226,Trenton Hassell,89
16,Trevor Ariza,50
243,Troy Hudson,12
360,Troy Murphy,139
315,Tyronn Lue,33
104,Tyson Chandler,92
225,Udonis Haslem,70
293,Viktor Khryapa,43
27,Vin Baker,7
99,Vince Carter,233
419,Vitaly Potapenko,6
427,Vladimir Radmanović,43
536,Von Wafer,3
308,Voshon Lenard,12
493,Wally Szczerbiak,116
333,Walter McCarty,10
463,Wayne Simien,13
92,Will Bynum,6
208,Willie Green,1
350,Yao Ming,182
298,Yaroslav Korolev,4
432,Zach Randolph,146
396,Zaza Pachulia,185
215,Zendon Hamilton,7
415,Zoran Planinić,24
249,Zydrunas Ilgauskas,171
270,Šarūnas Jasikevičius,35
93,Žarko Čabarkapa,38
434,Željko Rebrača,15
