,Player,G,MP,USG%
487,A.J. Price,26,324,22.5
77,Aaron Brooks,82,1885,25.0
231,Aaron Gordon,47,797,15.5
466,Adreian Payne,32,739,17.0
288,Al Horford,76,2318,22.2
304,Al Jefferson,65,1992,26.3
13,Al-Farouq Aminu,74,1366,15.2
18,Alan Anderson,74,1744,14.2
88,Alec Burks,27,899,20.8
340,Alex Kirk,5,14,15.7
359,Alex Len,69,1518,13.7
548,Alexey Shved,42,767,26.3
7,Alexis Ajinça,68,957,21.1
132,Allen Crabbe,51,683,11.5
222,Alonzo Gee,54,662,16.7
581,Amar'e Stoudemire,59,1245,23.8
316,Amir Johnson,75,1979,15.7
618,Anderson Varejão,26,636,18.1
155,Andre Dawkins,4,22,15.0
177,Andre Drummond,82,2502,22.0
294,Andre Iguodala,77,2069,13.3
404,Andre Miller,81,1253,15.3
513,Andre Roberson,67,1286,9.0
37,Andrea Bargnani,29,785,26.4
339,Andrei Kirilenko,7,36,9.8
66,Andrew Bogut,67,1583,13.2
443,Andrew Nicholson,40,492,20.8
641,Andrew Wiggins,82,2969,22.6
54,Anthony Bennett,57,894,17.8
152,Anthony Davis,68,2455,27.8
424,Anthony Morrow,74,1806,16.5
608,Anthony Tolliver,76,1432,14.7
230,Archie Goodwin,41,535,23.4
456,Arinze Onuaku,6,68,12.7
47,Aron Baynes,70,1122,17.8
4,Arron Afflalo,78,2502,19.0
157,Austin Daye,34,344,22.1
510,Austin Rivers,76,1563,17.9
71,Avery Bradley,77,2428,21.0
232,Ben Gordon,56,790,21.8
397,Ben McLemore,82,2670,17.2
616,Beno Udrih,79,1494,19.6
302,Bernard James,16,158,12.2
57,Bismack Biyombo,64,1243,11.6
250,Blake Griffin,67,2356,28.4
65,Bojan Bogdanović,78,1854,17.2
164,Boris Diaw,81,1984,18.3
50,Bradley Beal,63,2107,22.5
662,Brandan Wright,75,1449,13.6
44,Brandon Bass,82,1929,19.5
149,Brandon Davies,27,423,18.9
309,Brandon Jennings,41,1173,26.3
341,Brandon Knight,63,2035,25.9
531,Brandon Rush,33,271,11.2
272,Brendan Haywood,22,119,17.3
514,Brian Roberts,72,1330,18.6
367,Brook Lopez,72,2100,26.3
94,Bruno Caboclo,8,23,31.5
129,Bryce Cotton,15,159,25.6
403,C.J. Miles,70,1841,23.9
633,C.J. Watson,57,1422,18.8
642,C.J. Wilcox,21,101,21.8
388,CJ McCollum,62,973,20.5
34,Cameron Bairstow,18,64,13.5
348,Carl Landry,70,1192,18.1
69,Carlos Boozer,71,1692,23.7
22,Carmelo Anthony,40,1428,32.2
89,Caron Butler,78,1623,12.9
378,Cartier Martin,23,198,13.0
462,Chandler Parsons,66,2186,20.6
212,Channing Frye,75,1870,14.1
620,Charlie Villanueva,64,678,26.7
83,Chase Budinger,67,1286,16.3
17,Chris Andersen,60,1132,12.3
70,Chris Bosh,44,1556,28.4
128,Chris Copeland,50,828,21.3
169,Chris Douglas-Roberts,12,103,10.7
317,Chris Johnson,29,526,15.0
333,Chris Kaman,74,1398,22.5
465,Chris Paul,82,2857,23.7
270,Chuck Hayes,29,255,10.4
182,Cleanthony Early,39,647,19.6
102,Clint Capela,12,90,21.3
673,Cody Zeller,62,1487,15.6
9,Cole Aldrich,61,976,18.3
74,Corey Brewer,80,2087,21.6
