,Player,Fouls Drawn - Shoot
473,A.J. Price,2
87,Aaron Brooks,33
242,Aaron Gray,7
555,Adonis Thomas,1
264,Al Harrington,20
292,Al Horford,36
313,Al Jefferson,144
16,Al-Farouq Aminu,70
21,Alan Anderson,50
102,Alec Burks,158
355,Alex Len,13
516,Alexey Shved,45
8,Alexis Ajinça,31
141,Allen Crabbe,2
228,Alonzo Gee,29
541,Amar'e Stoudemire,97
318,Amir Johnson,68
585,Anderson Varejão,55
71,Andray Blatche,106
187,Andre Drummond,144
297,Andre Iguodala,53
399,Andre Miller,30
488,Andre Roberson,3
44,Andrea Bargnani,49
338,Andrei Kirilenko,52
75,Andrew Bogut,26
109,Andrew Bynum,27
437,Andrew Nicholson,26
64,Andris Biedriņš,0
309,Antawn Jamison,11
62,Anthony Bennett,33
159,Anthony Davis,210
418,Anthony Morrow,25
479,Anthony Randolph,33
571,Anthony Tolliver,17
235,Archie Goodwin,27
450,Arinze Onuaku,0
420,Arnett Moultrie,4
54,Aron Baynes,11
7,Arron Afflalo,136
164,Austin Daye,4
487,Austin Rivers,82
81,Avery Bradley,52
236,Ben Gordon,7
392,Ben McLemore,59
581,Beno Udrih,8
305,Bernard James,8
66,Bismack Biyombo,38
251,Blake Griffin,280
180,Boris Diaw,37
59,Bradley Beal,74
626,Brandan Wright,50
48,Brandon Bass,110
158,Brandon Davies,26
316,Brandon Jennings,114
339,Brandon Knight,124
496,Brandon Rush,4
489,Brian Roberts,46
364,Brook Lopez,56
424,Byron Mullens,6
398,C.J. Miles,34
604,C.J. Watson,28
390,CJ McCollum,15
347,Carl Landry,9
78,Carlos Boozer,96
25,Carmelo Anthony,205
103,Caron Butler,26
206,Carrick Felix,2
374,Cartier Martin,25
603,Casper Ware,1
458,Chandler Parsons,107
218,Channing Frye,29
595,Charlie Villanueva,5
99,Chase Budinger,19
65,Chauncey Billups,3
20,Chris Andersen,65
40,Chris Babb,0
79,Chris Bosh,130
138,Chris Copeland,8
185,Chris Douglas-Roberts,40
319,Chris Johnson,18
334,Chris Kaman,29
462,Chris Paul,67
521,Chris Singleton,14
524,Chris Smith,0
627,Chris Wright,8
274,Chuck Hayes,12
633,Cody Zeller,95
9,Cole Aldrich,13
83,Corey Brewer,109
333,Cory Joseph,41
351,Courtney Lee,36
35,D.J. Augustin,65
537,D.J. Stephens,1
611,D.J. White,0
361,Damian Lillard,168
306,Damion James,1
453,Daniel Orton,12
239,Danny Granger,28
245,Danny Green,25
147,Dante Cunningham,32
327,Darius Johnson-Odom,1
402,Darius Miller,12
412,Darius Morris,8
33,Darrell Arthur,25
134,Darren Collison,99
354,David Lee,151
608,David West,96
332,DeAndre Jordan,113
360,DeAndre Liggins,0
67,DeJuan Blair,64
179,DeMar DeRozan,278
139,DeMarcus Cousins,257
118,DeMarre Carroll,66
503,Dennis Schröder,18
209,Derek Fisher,26
613,Deron Williams,78
205,Derrick Favors,149
493,Derrick Rose,14
614,Derrick Williams,130
265,Devin Harris,57
171,Dewayne Dedmon,16
466,Dexter Pittman,1
221,Diante Garrett,3
599,Dion Waiters,106
126,Dionte Christmas,10
440,Dirk Nowitzki,129
523,Donald Sloan,6
419,Donatas Motiejūnas,39
628,Dorell Wright,29
344,Doron Lamb,10
246,Draymond Green,46
234,Drew Gooden,14
108,Dwight Buycks,6
293,Dwight Howard,227
598,Dwyane Wade,135
411,E'Twaun Moore,27
127,Earl Clark,17
605,Earl Watson,1
160,Ed Davis,47
579,Ekpe Udoh,19
266,Elias Harris,0
617,Elliot Williams,50
82,Elton Brand,44
