,Player,G,MP,USG%
82,Aaron Brooks,32,189,19.9
224,Aaron Gordon,58,1909,24.7
254,Aaron Harrison,9,233,15.5
309,Aaron Jackson,1,35,13.7
465,Abdel Nader,48,522,17.1
508,Adreian Payne,5,43,15.0
290,Al Horford,72,2277,18.4
320,Al Jefferson,36,484,22.5
10,Al-Farouq Aminu,69,2072,14.8
659,Alan Williams,5,70,17.5
95,Alec Burks,64,1059,22.5
519,Alec Peters,20,225,15.5
111,Alex Caruso,37,562,12.9
375,Alex Len,69,1395,17.0
530,Alex Poythress,25,104,12.0
421,Alfonzo McKinnie,14,53,16.0
141,Allen Crabbe,75,2197,19.0
324,Amir Johnson,74,1171,12.8
174,Andre Drummond,78,2625,21.2
297,Andre Iguodala,64,1622,11.5
302,Andre Ingram,2,64,14.1
551,Andre Roberson,39,1037,8.6
65,Andrew Bogut,24,216,8.8
255,Andrew Harrison,56,1326,19.6
651,Andrew White,15,209,17.3
656,Andrew Wiggins,82,2979,23.4
688,Ante Žižić,32,214,18.8
85,Anthony Brown,1,4,11.1
154,Anthony Davis,75,2727,30.0
615,Anthony Tolliver,79,1757,14.8
58,Antonio Blakeney,19,314,23.7
124,Antonius Cleveland,17,123,11.1
39,Aron Baynes,81,1485,16.8
4,Arron Afflalo,53,682,12.5
550,Austin Rivers,61,2057,20.6
74,Avery Bradley,46,1433,23.5
3,Bam Adebayo,69,1368,15.9
422,Ben McLemore,56,1091,19.0
445,Ben Moore,2,9,0.0
577,Ben Simmons,81,2732,22.3
55,Bismack Biyombo,82,1495,14.9
237,Blake Griffin,58,1970,28.9
399,Boban Marjanović,39,337,29.4
86,Bobby Brown,20,115,26.1
526,Bobby Portis,73,1643,26.0
63,Bogdan Bogdanović,78,2175,19.6
64,Bojan Bogdanović,80,2464,19.0
41,Bradley Beal,82,2977,27.6
674,Brandan Wright,28,381,14.7
303,Brandon Ingram,59,1975,22.2
322,Brandon Jennings,14,205,20.8
506,Brandon Paul,64,576,13.6
646,Briante Weber,18,237,11.7
325,Brice Johnson,18,98,22.3
388,Brook Lopez,74,1735,23.5
99,Bruno Caboclo,12,107,15.8
204,Bryn Forbes,80,1517,16.7
273,Buddy Hield,80,2024,24.3
428,C.J. Miles,70,1337,22.3
660,C.J. Williams,38,707,13.7
411,CJ McCollum,81,2923,26.5
597,Caleb Swanigan,27,189,20.0
509,Cameron Payne,25,582,19.3
379,Caris LeVert,71,1864,22.5
16,Carmelo Anthony,78,2501,23.2
494,Cedi Osman,61,672,15.7
503,Chandler Parsons,36,691,18.3
209,Channing Frye,53,695,15.2
136,Charles Cooke,13,38,18.1
163,Cheick Diallo,52,581,17.4
493,Chinanu Onuaku,1,22,16.1
72,Chris Boucher,1,1,43.9
414,Chris McCullough,19,90,24.6
507,Chris Paul,58,1847,24.5
107,Clint Capela,74,2034,19.4
683,Cody Zeller,33,627,15.7
5,Cole Aldrich,21,49,16.8
78,Corey Brewer,72,1208,14.3
348,Cory Joseph,82,2210,14.8
372,Courtney Lee,76,2310,16.9
198,Cristiano Felício,55,977,13.6
561,D'Angelo Russell,48,1234,30.8
26,D.J. Augustin,75,1760,18.6
669,D.J. Wilson,22,71,13.3
328,Dakari Johnson,31,161,13.5
339,Damian Jones,15,89,13.9
383,Damian Lillard,73,2670,30.6
658,Damien Wilkins,19,152,13.4
373,Damion Lee,15,404,19.3
167,Damyean Dotson,44,474,17.3
240,Daniel Hamilton,6,28,19.9
606,Daniel Theis,63,936,15.5
213,Danilo Gallinari,21,671,20.6
232,Danny Green,70,1791,16.6
148,Dante Cunningham,73,1562,11.6
192,Dante Exum,14,235,23.1
291,Danuel House Jr.,23,403,16.2
565,Dario Šarić,78,2310,20.9
429,Darius Miller,82,1944,12.8
21,Darrell Arthur,19,141,19.5
131,Darren Collison,69,2018,17.4
279,Darrun Hilliard,14,95,12.3
481,David Nwaba,70,1646,15.6
594,David Stockton,3,9,28.8
649,David West,73,999,21.7
542,Davon Reed,21,242,16.0
206,De'Aaron Fox,73,2026,23.4
347,DeAndre Jordan,77,2424,15.2
380,DeAndre Liggins,58,724,7.9
49,DeAndre' Bembry,26,455,18.2
162,DeMar DeRozan,80,2711,29.6
139,DeMarcus Cousins,48,1737,31.9
108,DeMarre Carroll,73,2180,19.8
461,Dejounte Murray,81,1743,20.7
677,Delon Wright,69,1433,17.2
310,Demetrius Jackson,15,80,15.8
567,Dennis Schröder,67,2078,30.4
582,Dennis Smith Jr.,69,2049,28.9
623,Denzel Valentine,77,2095,17.5
194,Derrick Favors,77,2153,18.5
340,Derrick Jones Jr.,20,245,12.8
555,Derrick Rose,25,420,25.4
641,Derrick Walton,16,147,9.1
652,Derrick White,17,139,15.4
661,Derrick Williams,2,9,18.9
67,Devin Booker,54,1865,31.7
245,Devin Harris,71,1340,20.2
552,Devin Robinson,1,13,10.2
157,Dewayne Dedmon,62,1542,17.0
155,Deyonta Davis,62,943,15.3
83,Dillon Brooks,82,2350,18.5
636,Dion Waiters,30,918,25.0
478,Dirk Nowitzki,77,1900,20.5
562,Domantas Sabonis,74,1810,22.1
437,Donovan Mitchell,79,2638,29.1
203,Dorian Finney-Smith,21,448,15.1
415,Doug McDermott,81,1768,15.0
50,Dragan Bender,82,2069,12.7
233,Draymond Green,70,2287,17.2
30,Dwayne Bacon,53,713,13.7
97,Dwight Buycks,29,427,26.4
292,Dwight Howard,81,2463,24.2
528,Dwight Powell,79,1672,15.5
633,Dwyane Wade,67,1536,26.2
51,Dāvis Bertāns,77,1086,17.4
446,E'Twaun Moore,82,2586,16.1
156,Ed Davis,78,1471,12.1
596,Edmond Sumner,1,2,22.3
620,Ekpe Udoh,63,810,9.1
510,Elfrid Payton,63,1808,21.9
486,Emeka Okafor,26,353,14.4
454,Emmanuel Mudiay,64,1245,24.4
208,Enes Freedom,71,1830,21.8
59,Eric Bledsoe,74,2322,26.1
226,Eric Gordon,69,2154,24.7
447,Eric Moreland,67,805,9.7
413,Erik McCree,4,8,16.9
298,Ersan İlyasova,69,1729,18.7
205,Evan Fournier,57,1837,23.3
618,Evan Turner,79,2034,15.6
349,Frank Kaminsky,79,1835,20.5
404,Frank Mason III,52,984,22.6
479,Frank Ntilikina,78,1706,16.9
624,Fred VanVleet,76,1520,19.1
358,Furkan Korkmaz,14,80,16.9
603,Garrett Temple,65,1615,16.4
248,Gary Harris,67,2304,20.7
513,Gary Payton II,23,221,16.8
275,George Hill,67,1812,16.3
474,Georges Niang,9,32,20.9
498,Georgios Papagiannis,17,122,18.4
234,Gerald Green,41,929,22.4
123,Gian Clavell,7,64,14.8
15,Giannis Antetokounmpo,75,2756,31.2
553,Glenn Robinson III,23,338,12.5
170,Goran Dragić,75,2378,25.7
263,Gordon Hayward,1,5,17.9
164,Gorgui Dieng,79,1333,16.3
440,Greg Monroe,51,1040,22.4
678,Guerschon Yabusele,33,235,15.7
35,Harrison Barnes,77,2634,25.2
655,Hassan Whiteside,54,1364,24.7
182,Henry Ellenson,38,329,23.8
119,Ian Clark,74,1455,17.2
397,Ian Mahinmi,77,1145,15.6
14,Ike Anigbogu,11,30,20.3
574,Iman Shumpert,14,276,12.9
104,Isaiah Canaan,20,422,18.9
272,Isaiah Hicks,18,240,17.4
599,Isaiah Taylor,67,1167,20.1
607,Isaiah Thomas,32,862,28.8
654,Isaiah Whitehead,16,180,28.5
583,Ish Smith,82,2043,20.8
536,Ivan Rabb,36,516,17.7
689,Ivica Zubac,43,410,17.6
34,J.J. Barea,69,1603,24.9
584,J.R. Smith,80,2244,13.8
541,JJ Redick,70,2116,21.7
563,JaKarr Sampson,22,344,12.5
235,JaMychal Green,55,1542,17.8
418,JaVale McGee,65,615,19.2
54,Jabari Bird,13,115,15.4
501,Jabari Parker,31,743,24.4
137,Jack Cooley,7,87,19.8
532,Jacob Pullen,3,6,21.3
657,Jacob Wiley,5,33,6.4
145,Jae Crowder,80,2090,17.3
488,Jahlil Okafor,28,353,21.0
370,Jake Layman,35,160,14.6
523,Jakob Poeltl,82,1524,14.8
343,Jalen Jones,16,181,20.9
143,Jamal Crawford,80,1653,23.7
463,Jamal Murray,81,2565,22.8
642,Jameel Warney,3,27,25.6
470,Jameer Nelson,50,1013,13.7
22,Jamel Artis,15,279,14.5
185,James Ennis III,72,1604,13.7
242,James Harden,72,2551,36.1
329,James Johnson,73,1943,19.1
408,James Michael McAdoo,3,18,21.0
645,James Webb III,10,120,10.1
679,James Young,6,61,12.3
670,Jamil Wilson,15,274,14.3
176,Jared Dudley,48,686,10.2
179,Jarell Eddie,3,9,9.8
403,Jarell Martin,73,1661,17.1
7,Jarrett Allen,72,1441,16.3
308,Jarrett Jack,62,1548,16.7
585,Jason Smith,33,285,21.7
605,Jason Terry,51,814,10.1
189,Jawun Evans,48,778,17.7
87,Jaylen Brown,70,2152,21.4
448,Jaylen Morris,6,98,16.9
598,Jayson Tatum,80,2443,19.4
236,Jeff Green,78,1828,19.3
600,Jeff Teague,70,2311,20.6
672,Jeff Withey,10,39,22.0
229,Jerami Grant,81,1647,16.0
190,Jeremy Evans,1,5,17.5
366,Jeremy Lamb,80,1967,22.4
384,Jeremy Lin,1,25,31.3
230,Jerian Grant,74,1686,17.4
38,Jerryd Bayless,39,925,15.1
96,Jimmy Butler,59,2164,24.9
475,Joakim Noah,7,40,17.2
424,Jodie Meeks,77,1119,19.0
249,Joe Harris,78,1975,16.6
301,Joe Ingles,82,2578,15.9
330,Joe Johnson,55,1205,15.9
680,Joe Young,53,558,18.0
66,Joel Bolomboy,6,38,12.6
184,Joel Embiid,63,1912,33.4
368,Joffrey Lauvergne,55,534,20.4
128,John Collins,74,1785,17.9
266,John Henson,76,1970,15.0
283,John Holland,24,174,18.5
638,John Wall,41,1410,29.1
452,Johnathan Motley,11,176,24.9
482,Johnny O'Bryant,36,379,22.5
378,Jon Leuer,8,136,16.1
323,Jonas Jerebko,74,1134,15.6
622,Jonas Valančiūnas,77,1727,22.7
220,Jonathan Gibson,4,40,29.0
306,Jonathan Isaac,27,536,15.0
578,Jonathon Simmons,69,2029,22.0
48,Jordan Bell,57,809,13.9
120,Jordan Clarkson,81,1888,26.5
144,Jordan Crawford,5,53,26.5
426,Jordan Mickey,23,284,17.1
231,Josh Gray,5,86,26.1
257,Josh Hart,63,1461,13.5
293,Josh Huestis,69,982,9.5
313,Josh Jackson,77,1959,26.0
396,Josh Magette,18,216,11.8
423,Josh McRoberts,2,6,7.6
546,Josh Richardson,81,2689,18.2
586,Josh Smith,3,12,14.4
102,José Calderón,57,914,11.6
281,Jrue Holiday,81,2927,23.1
267,Juancho Hernangómez,25,277,14.0
538,Julius Randle,82,2190,25.3
595,Julyan Stone,23,175,5.2
11,Justin Anderson,38,519,19.3
282,Justin Holiday,72,2265,18.2
314,Justin Jackson,68,1506,14.2
505,Justin Patton,1,4,22.1
671,Justise Winslow,68,1680,16.3
480,Jusuf Nurkić,79,2088,26.4
8,Kadeem Allen,18,107,14.6
