,Player,GS,FG,FGA,FTA,ORB,DRB,AST,STL,BLK,TOV,PF
280,Aaron Brooks,0,2.7,6.8,0.9,0.3,1.2,2.6,0.4,0.1,1.2,1.9
199,Aaron Gordon,37,3.5,7.4,2.5,2.0,4.5,1.6,0.8,0.7,0.8,2.0
598,Aaron Harrison,0,0.2,0.9,0.6,0.2,0.5,0.1,0.3,0.0,0.2,0.5
532,Adreian Payne,2,1.0,2.8,0.5,0.4,1.8,0.6,0.3,0.2,0.7,1.5
65,Al Horford,82,6.5,12.8,1.6,1.8,5.5,3.2,0.8,1.5,1.3,2.0
122,Al Jefferson,18,5.2,10.7,2.4,1.2,5.2,1.5,0.6,0.9,0.7,2.5
168,Al-Farouq Aminu,82,3.6,8.8,1.9,1.2,4.9,1.7,0.9,0.6,1.5,2.1
393,Alan Anderson,0,1.6,4.5,1.2,0.1,2.0,1.1,0.3,0.1,0.2,1.9
510,Alan Williams,0,1.0,2.4,1.4,1.4,2.4,0.5,0.4,0.5,0.6,1.5
91,Alec Burks,3,4.4,10.8,4.5,0.5,3.0,2.0,0.6,0.1,1.6,2.3
205,Alex Len,46,3.4,8.0,3.1,2.3,5.3,1.2,0.5,0.8,1.9,2.9
511,Alex Stepheson,0,1.1,3.4,1.5,2.4,1.1,0.3,0.1,0.6,0.0,1.5
338,Alexis Ajinça,17,2.5,5.3,1.1,1.3,3.3,0.5,0.3,0.6,0.9,2.3
163,Allen Crabbe,8,3.8,8.4,1.4,0.3,2.3,1.2,0.8,0.2,0.8,2.4
415,Alonzo Gee,38,1.8,3.5,0.9,0.8,2.5,1.0,0.9,0.2,0.8,2.3
357,Amar'e Stoudemire,36,2.4,4.3,1.3,1.3,3.0,0.5,0.3,0.8,0.9,1.8
264,Amir Johnson,76,3.2,5.4,1.5,2.3,4.1,1.7,0.7,1.1,1.2,2.7
527,Anderson Varejão,0,1.0,2.3,0.9,0.7,2.0,0.7,0.3,0.2,0.4,1.3
