,Player,G,MP,USG%
258,Rashard Lewis,77,3044,22.2
462,Rasheed Wallace,74,2684,23.3
326,Rasho Nesterović,77,2337,17.5
75,Rasual Butler,72,1514,21.6
4,Ray Allen,76,2880,27.8
134,Reggie Evans,67,1365,8.9
304,Reggie Miller,70,2117,17.2
412,Reggie Slater,26,141,25.3
176,Richard Hamilton,82,2640,31.3
231,Richard Jefferson,80,2879,19.7
65,Rick Brunson,17,196,16.4
146,Rick Fox,76,2181,15.7
114,Ricky Davis,79,3131,27.1
15,Robert Archibald,12,72,21.8
202,Robert Horry,80,2343,12.2
345,Robert Pack,28,440,20.0
445,Robert Traylor,69,851,17.6
430,Rod Strickland,47,956,19.0
388,Rodney Rogers,68,1303,20.3
472,Rodney White,72,1563,24.2
287,Roger Mason,17,113,14.5
296,Ron Mercer,72,1671,18.6
316,Ronald Murray,14,62,32.0
45,Ruben Boumtje-Boumtje,2,5,9.2
352,Ruben Patterson,78,1655,20.4
497,Rubén Wolkowyski,7,24,13.1
48,Ryan Bowen,62,996,11.5
209,Ryan Humphrey,48,444,16.2
84,Sam Cassell,78,2700,26.5
459,Samaki Walker,67,1243,13.4
363,Scot Pollard,23,325,16.1
346,Scott Padgett,82,1321,18.8
489,Scott Williams,69,872,17.6
362,Scottie Pippen,64,1911,20.0
255,Sean Lampley,35,487,18.4
277,Sean Marks,23,223,16.8
389,Sean Rooks,70,1344,13.1
490,Shammond Williams,78,1881,17.9
14,Shandon Anderson,82,1731,19.6
31,Shane Battier,78,2383,13.2
331,Shaquille O'Neal,67,2535,30.2
1,Shareef Abdur-Rahim,81,3087,24.2
51,Shawn Bradley,81,1731,13.6
245,Shawn Kemp,79,1633,18.5
276,Shawn Marion,81,3373,23.3
349,Smush Parker,66,1103,20.6
397,Soumaila Samake,13,77,15.5
91,Speedy Claxton,30,471,20.2
21,Stacey Augmon,70,862,13.9
295,Stanislav Medvedenko,58,620,22.5
224,Stephen Jackson,80,2254,22.1
275,Stephon Marbury,81,3240,27.7
148,Steve Francis,81,3318,26.1
246,Steve Kerr,75,952,14.9
325,Steve Nash,82,2711,24.4
416,Steve Smith,53,1032,17.3
213,Steven Hunter,33,447,13.7
433,Stromile Swift,67,1478,21.2
413,Tamar Slay,36,274,21.0
0,Tariq Abdul-Wahad,14,204,15.0
369,Tayshaun Prince,42,435,16.2
314,Terence Morris,49,632,15.4
374,Theo Ratliff,81,2518,15.0
64,Tierre Brown,15,168,22.5
128,Tim Duncan,81,3181,28.0
179,Tim Hardaway,10,127,22.0
442,Tim Thomas,80,2358,22.6
268,Tito Maddox,9,35,24.4
267,Todd MacCulloch,42,812,17.0
172,Tom Gugliotta,27,447,16.8
252,Toni Kukoč,63,1704,21.4
30,Tony Battie,67,1683,12.9
116,Tony Delk,67,1873,16.6
288,Tony Massenburg,58,792,18.5
350,Tony Parker,82,2774,22.9
292,Tracy McGrady,75,2954,35.2
319,Tracy Murray,31,193,20.4
36,Travis Best,72,1807,19.4
251,Travis Knight,32,287,13.0
145,Tremaine Fowlkes,37,573,13.7
191,Trenton Hassell,82,1999,11.1
206,Troy Hudson,79,2600,21.6
315,Troy Murphy,79,2510,16.7
198,Tyrone Hill,56,1351,13.3
265,Tyronn Lue,75,1986,16.5
86,Tyson Chandler,75,1827,18.1
23,Vin Baker,52,942,15.5
83,Vince Carter,43,1471,28.1
502,Vincent Yarbrough,59,1381,17.3
368,Vitaly Potapenko,26,403,15.2
121,Vlade Divac,80,2384,17.0
371,Vladimir Radmanović,72,1910,20.0
420,Vladimir Stepania,79,1594,16.4
257,Voshon Lenard,63,1929,23.6
434,Wally Szczerbiak,52,1836,22.0
493,Walt Williams,66,1161,15.6
289,Walter McCarty,82,1949,12.6
503,Wang Zhizhi,41,412,24.0
358,Wesley Person,66,1941,16.2
306,Yao Ming,82,2382,22.1
373,Zach Randolph,77,1301,23.0
177,Zendon Hamilton,3,12,26.2
214,Zydrunas Ilgauskas,81,2432,27.8
444,Óscar Torres,17,109,20.6
375,Željko Rebrača,30,488,19.2
