,Player,G,MP,USG%
451,A.J. Price,56,865,22.7
77,Aaron Brooks,82,2919,25.7
206,Aaron Gray,32,311,16.4
338,Acie Law,26,234,21.7
405,Adam Morrison,31,241,18.3
220,Al Harrington,72,2195,26.8
250,Al Horford,81,2845,17.6
303,Al Jefferson,76,2463,24.3
536,Al Thornton,75,2079,19.0
544,Alando Tucker,15,96,24.4
1,Alexis Ajinça,6,30,19.3
278,Allen Iverson,28,865,23.0
186,Alonzo Gee,11,182,20.4
513,Amar'e Stoudemire,82,2838,27.3
311,Amir Johnson,82,1453,14.5
553,Anderson Varejão,76,2166,13.1
58,Andray Blatche,81,2256,25.8
274,Andre Iguodala,82,3193,21.8
396,Andre Miller,82,2500,23.8
34,Andrea Bargnani,80,2799,22.3
327,Andrei Kirilenko,58,1681,17.7
60,Andrew Bogut,69,2229,23.3
93,Andrew Bynum,65,1977,20.8
52,Andris Biedriņš,33,763,10.1
420,Andrés Nocioni,75,1477,20.9
298,Antawn Jamison,66,2406,23.9
103,Anthony Carter,54,859,12.6
312,Anthony Johnson,31,406,16.7
406,Anthony Morrow,69,2018,17.8
438,Anthony Parker,81,2289,12.0
460,Anthony Randolph,33,749,23.9
541,Anthony Tolliver,46,1427,16.6
593,Antoine Wright,67,1392,16.1
13,Antonio Anderson,1,15,12.0
376,Antonio McDyess,77,1617,15.1
0,Arron Afflalo,82,2221,14.0
133,Austin Daye,69,915,18.5
129,Baron Davis,75,2523,24.3
199,Ben Gordon,62,1730,24.5
560,Ben Wallace,69,1975,10.0
550,Beno Udrih,79,2477,18.6
78,Bobby Brown,45,519,25.4
496,Bobby Simmons,23,395,16.8
137,Boris Diaw,82,2906,16.2
397,Brad Miller,82,1950,18.1
37,Brandon Bass,50,648,20.9
308,Brandon Jennings,82,2671,26.1
485,Brandon Roy,65,2419,26.7
486,Brandon Rush,82,2491,14.8
234,Brendan Haywood,77,2355,13.5
99,Brian Cardinal,29,267,8.3
118,Brian Cook,15,44,32.2
491,Brian Scalabrine,52,472,10.4
500,Brian Skinner,16,123,13.1
349,Brook Lopez,82,3027,23.6
407,Byron Mullens,13,54,19.1
392,C.J. Miles,63,1497,20.5
567,C.J. Watson,65,1788,16.0
332,Carl Landry,80,2469,22.5
23,Carlos Arroyo,72,1585,13.9
63,Carlos Boozer,78,2673,24.8
134,Carlos Delfino,75,2279,18.0
15,Carmelo Anthony,69,2634,33.4
89,Caron Butler,74,2783,22.1
359,Cartier Martin,18,390,18.8
285,Cedric Jackson,12,74,22.4
177,Channing Frye,81,2190,16.7
45,Charlie Bell,71,1611,14.8
554,Charlie Villanueva,78,1848,23.9
88,Chase Budinger,74,1488,19.4
53,Chauncey Billups,73,2490,24.3
11,Chris Andersen,76,1695,10.8
64,Chris Bosh,70,2526,28.7
148,Chris Douglas-Roberts,67,1730,19.6
152,Chris Duhon,67,2072,13.1
269,Chris Hunter,60,783,15.2
321,Chris Kaman,76,2608,27.1
440,Chris Paul,45,1712,22.2
455,Chris Quinn,25,223,14.1
470,Chris Richard,18,224,9.6
578,Chris Wilcox,34,441,18.9
232,Chuck Hayes,82,1773,10.8
26,Chucky Atkins,40,644,14.4
323,Coby Karl,7,113,17.0
68,Corey Brewer,82,2482,21.5
354,Corey Maggette,70,2081,26.7
343,Courtney Lee,71,2375,17.7
501,Craig Smith,75,1232,21.2
27,D.J. Augustin,80,1472,17.9
276,D.J. Mbenga,49,355,16.0
577,D.J. White,12,102,21.3
515,DaJuan Summers,44,405,18.5
119,Daequan Cook,45,691,19.6
315,Dahntay Jones,76,1892,20.1
579,Damien Wilkins,80,1585,14.1
178,Dan Gadzuric,32,314,16.6
188,Daniel Gibson,56,1068,14.2
180,Danilo Gallinari,81,2747,19.3
205,Danny Granger,62,2278,28.7
209,Danny Green,20,115,18.9
121,Dante Cunningham,63,707,16.8
506,Darius Songaila,75,1410,19.5
393,Darko Miličić,32,685,16.0
289,Darnell Jackson,28,123,17.2
24,Darrell Arthur,32,457,17.4
114,Darren Collison,76,2109,23.1
12,David Andersen,63,891,20.2
344,David Lee,81,3019,23.8
572,David West,81,2949,24.0
320,DeAndre Jordan,70,1137,14.7
54,DeJuan Blair,82,1494,20.8
136,DeMar DeRozan,77,1664,18.1
101,DeMarre Carroll,71,795,14.8
142,DeSagana Diop,27,262,8.0
509,DeShawn Stevenson,64,883,10.7
573,Delonte West,60,1500,18.3
171,Derek Fisher,82,2227,14.0
581,Deron Williams,76,2802,23.8
81,Derrick Brown,57,535,17.2
481,Derrick Rose,78,2871,27.2
366,Desmond Mason,5,66,11.9
187,Devean George,45,761,13.0
82,Devin Brown,50,1060,19.8
221,Devin Harris,64,2221,25.5
422,Dirk Nowitzki,81,3039,28.8
382,Dominic McGuire,51,307,10.6
212,Donté Greene,76,1630,19.2
594,Dorell Wright,72,1496,15.8
196,Drew Gooden,70,1755,21.0
316,Dwayne Jones,2,7,0.0
255,Dwight Howard,82,2843,23.9
556,Dwyane Wade,77,2792,34.9
36,Earl Barron,7,232,17.9
66,Earl Boykins,67,1117,20.7
110,Earl Clark,51,383,21.9
568,Earl Watson,79,2322,14.7
251,Eddie House,68,1217,20.0
122,Eddy Curry,7,62,30.2
413,Eduardo Nájera,46,685,12.2
67,Elton Brand,76,2297,21.7
429,Emeka Okafor,82,2370,17.1
201,Eric Gordon,62,2229,21.5
371,Eric Maynor,81,1269,17.1
127,Erick Dampier,55,1280,11.4
277,Ersan İlyasova,81,1898,20.8
528,Etan Thomas,23,321,13.4
426,Fabricio Oberto,57,650,6.9
158,Francisco Elson,12,66,12.5
181,Francisco García,25,575,15.7
522,Garrett Temple,27,334,20.3
242,George Hill,78,2276,19.0
238,Gerald Henderson,43,355,18.2
561,Gerald Wallace,76,3119,20.3
17,Gilbert Arenas,32,1169,31.9
130,Glen Davis,54,933,19.7
149,Goran Dragić,80,1442,21.1
243,Grant Hill,81,2430,16.8
427,Greg Oden,21,502,20.7
564,Hakim Warrick,76,1557,21.8
214,Hamed Haddadi,36,240,16.5
