,Player,G,MP,USG%
321,Aaron McKie,10,131,8.6
515,Aaron Williams,38,374,10.0
341,Adam Morrison,78,2326,22.4
153,Adonal Foyle,48,475,10.7
181,Adrian Griffin,54,585,13.3
187,Al Harrington,78,2563,23.1
251,Al Jefferson,69,2319,22.4
11,Alan Anderson,17,256,20.1
203,Alan Henderson,38,418,11.0
254,Alexander Johnson,59,753,16.1
407,Allan Ray,47,710,20.8
229,Allen Iverson,65,2761,29.3
342,Alonzo Mourning,77,1572,20.8
516,Alvin Williams,2,10,31.2
462,Amar'e Stoudemire,82,2689,25.8
255,Amir Johnson,8,124,18.5
486,Anderson Varejão,81,1932,13.7
48,Andray Blatche,56,682,17.2
30,Andre Barrett,6,29,18.4
65,Andre Brown,38,271,18.4
224,Andre Iguodala,76,3062,22.6
329,Andre Miller,80,2966,19.2
28,Andrea Bargnani,65,1629,22.6
170,Andreas Glyniadakis,13,81,15.1
281,Andrei Kirilenko,70,2049,14.4
51,Andrew Bogut,66,2258,17.3
78,Andrew Bynum,82,1793,16.3
41,Andris Biedriņš,82,2382,13.8
354,Andrés Nocioni,53,1406,23.8
246,Antawn Jamison,70,2662,22.8
84,Anthony Carter,2,37,16.2
256,Anthony Johnson,67,1301,15.8
375,Anthony Parker,73,2437,15.7
418,Anthony Roberson,20,227,22.2
496,Antoine Walker,78,1818,22.3
534,Antoine Wright,63,1137,13.4
106,Antonio Daniels,80,1761,14.2
317,Antonio McDyess,82,1729,18.6
102,Austin Croshere,61,727,17.8
108,Baron Davis,63,2221,26.5
173,Ben Gordon,82,2704,29.3
497,Ben Wallace,77,2697,10.6
485,Beno Udrih,73,948,21.3
420,Bernard Robinson,31,278,14.7
368,Bo Outlaw,41,460,8.2
235,Bobby Jackson,56,1330,23.0
263,Bobby Jones,44,336,17.7
507,Bonzi Wells,28,590,23.7
115,Boris Diaw,73,2268,15.4
348,Boštjan Nachbar,76,1532,19.3
535,Bracey Wright,19,190,18.1
332,Brad Miller,63,1783,16.8
33,Brandon Bass,21,162,17.2
431,Brandon Roy,57,2015,23.0
201,Brendan Haywood,77,1740,13.6
32,Brent Barry,75,1631,15.6
283,Brevin Knight,45,1273,18.4
81,Brian Cardinal,28,313,17.3
100,Brian Cook,65,1018,21.2
435,Brian Scalabrine,54,1027,10.8
442,Brian Skinner,67,1523,10.8
57,Bruce Bowen,82,2464,10.9
327,C.J. Miles,37,373,18.5
54,Calvin Booth,44,380,9.2
19,Carlos Arroyo,72,1304,22.8
55,Carlos Boozer,74,2557,26.5
113,Carlos Delfino,82,1372,16.5
13,Carmelo Anthony,65,2486,33.4
75,Caron Butler,63,2474,23.1
61,Cedric Bozeman,23,199,11.7
440,Cedric Simmons,43,534,14.4
156,Channing Frye,72,1896,20.0
38,Charlie Bell,82,2848,18.3
488,Charlie Villanueva,39,984,21.8
42,Chauncey Billups,70,2533,21.5
56,Chris Bosh,69,2658,26.7
129,Chris Duhon,78,1906,14.8
276,Chris Kaman,75,2176,19.0
316,Chris McCray,5,12,18.8
380,Chris Paul,64,2353,23.1
401,Chris Quinn,42,408,19.6
503,Chris Webber,61,1821,21.1
512,Chris Wilcox,82,2586,19.3
199,Chuck Hayes,78,1714,11.9
20,Chucky Atkins,75,2064,21.4
423,Clifford Robinson,50,955,12.9
298,Corey Maggette,75,2291,26.0
531,Corliss Williamson,68,1337,21.9
444,Craig Smith,82,1537,18.7
337,Cuttino Mobley,78,2841,18.4
227,D.J. Mbenga,21,79,14.5
