,Player,G,MP,TS%,3PAr,FTr,USG%
222,Aaron Gordon,68,2055,.617,.227,.413,21.1
577,Admiral Schofield,37,451,.587,.607,.189,14.1
515,Aleksej Pokusevski,34,701,.522,.418,.141,18.3
321,Alize Johnson,4,30,.509,.333,.333,15.0
301,Andre Iguodala,8,113,.521,.600,.200,9.4
218,Anthony Gill,59,624,.604,.220,.508,12.3
520,Bobby Portis,70,1818,.575,.320,.156,21.7
65,Bojan Bogdanović,59,1893,.627,.400,.344,25.9
66,Bol Bol,70,1505,.603,.236,.226,18.2
125,Brandon Clarke,56,1090,.682,.017,.393,17.7
322,Cameron Johnson,42,1199,.617,.538,.253,20.6
436,Chimezie Metu,66,689,.639,.174,.333,17.6
70,Chris Boucher,76,1523,.590,.357,.318,18.0
588,Chris Silva,1,3,1.000,.000,.000,30.1
573,Dario Šarić,37,533,.545,.388,.247,18.7
555,David Roddy,70,1258,.519,.505,.155,16.7
647,Dean Wade,44,891,.550,.718,.130,10.2
101,Deonte Burton,2,6,.000,.500,.000,14.3
335,Derrick Jones Jr.,64,893,.597,.348,.365,14.5
32,Dominick Barlow,28,408,.567,.047,.291,11.3
196,Dorian Finney-Smith,66,2009,.523,.675,.118,13.2
235,Draymond Green,73,2297,.592,.276,.228,13.2
50,Dāvis Bertāns,45,492,.618,.881,.094,16.2
444,Evan Mobley,79,2715,.591,.108,.321,20.2
472,Georges Niang,78,1512,.610,.765,.090,17.0
12,Giannis Antetokounmpo,63,2024,.605,.134,.604,38.8
679,Grant Williams,79,2045,.605,.611,.256,13.1
87,Greg Brown III,16,93,.421,.250,.429,18.4
33,Harrison Barnes,82,2662,.632,.446,.522,17.1
277,Haywood Highsmith,54,969,.517,.505,.130,12.5
336,Herbert Jones,66,1951,.567,.333,.321,14.5
389,Isaiah Livers,52,1199,.567,.705,.135,11.9
445,Isaiah Mobley,12,84,.521,.286,.143,16.4
554,Isaiah Roby,42,474,.497,.387,.265,17.8
627,Isaiah Todd,6,61,.226,.526,.105,15.6
622,JT Thor,69,969,.506,.517,.197,13.1
237,JaMychal Green,57,797,.650,.440,.266,17.5
600,Jabari Smith Jr.,79,2451,.514,.438,.231,18.4
140,Jae Crowder,18,340,.624,.585,.128,13.2
373,Jake LaRavia,35,414,.531,.747,.095,11.7
105,Jamal Cain,18,240,.647,.303,.333,15.1
326,James Johnson,18,162,.486,.306,.163,15.7
639,Jarred Vanderbilt,78,1879,.604,.200,.308,13.6
77,Jarrell Brantley,4,39,.739,.643,.143,18.1
239,Jeff Green,56,1091,.576,.317,.357,17.0
229,Jerami Grant,63,2246,.606,.393,.375,22.8
553,Jeremiah Robinson-Earl,43,814,.548,.448,.169,14.6
603,Jeremy Sochan,56,1458,.509,.243,.210,19.8
103,Jimmy Butler,64,2138,.647,.116,.625,25.6
129,John Collins,71,2130,.593,.339,.252,17.1
307,Jonathan Isaac,11,124,.483,.283,.170,21.1
367,Jonathan Kuminga,67,1394,.597,.294,.278,19.6
216,Josh Giddey,76,2367,.533,.209,.130,24.6
273,Juancho Hernangómez,42,614,.504,.588,.140,9.4
534,Julius Randle,77,2737,.581,.444,.371,29.5
692,Justise Winslow,29,776,.466,.227,.141,14.2
493,KZ Okpala,35,248,.554,.553,.211,8.4
632,Karl-Anthony Towns,29,957,.618,.383,.315,25.6
40,Keita Bates-Diop,67,1452,.609,.305,.323,16.7
390,Kenneth Lofton Jr.,24,176,.572,.183,.290,27.6
684,Kenrich Williams,53,1206,.585,.387,.113,13.7
180,Kevin Durant,47,1672,.677,.267,.387,30.7
361,Kevin Knox,21,359,.540,.458,.176,22.1
394,Kevin Love,62,1240,.548,.698,.215,19.2
11,Kyle Anderson,69,1957,.583,.212,.275,14.4
368,Kyle Kuzma,64,2239,.544,.421,.208,27.9
407,Lauri Markkanen,66,2273,.640,.446,.348,26.6
317,LeBron James,55,1954,.583,.309,.268,33.3
355,Louis King,1,29,.744,.615,.077,23.8
571,Luka Šamanić,7,161,.550,.544,.228,18.9
453,Marcus Morris,65,1825,.534,.479,.135,17.6
454,Markieff Morris,35,355,.553,.617,.087,17.2
