,Player,G,MP,TS%,3PAr,FTr,USG%
357,Maxi Kleber,37,930,.592,.663,.225,10.3
345,Mfiondu Kabengele,4,36,.381,.429,.286,10.8
522,Micah Potter,7,52,.800,.467,.000,13.7
203,Michael Foster Jr.,1,1,,,,0.0
41,Nicolas Batum,78,1709,.594,.832,.126,11.5
342,Nikola Jović,15,204,.530,.507,.275,19.0
628,Obi Toppin,67,1050,.565,.589,.112,19.5
82,Oshae Brissett,65,1083,.520,.486,.455,16.1
161,Ousmane Dieng,39,569,.505,.541,.127,15.9
634,P.J. Tucker,75,1920,.566,.622,.102,6.5
659,P.J. Washington,73,2380,.542,.438,.178,20.6
29,Paolo Banchero,72,2430,.529,.254,.476,27.5
587,Pascal Siakam,71,2652,.565,.219,.361,27.2
686,Patrick Williams,82,2323,.576,.409,.155,15.7
230,RaiQuan Gray,1,35,.621,.417,.167,21.4
138,Robert Covington,48,779,.584,.594,.175,15.6
256,Ron Harper Jr.,9,48,.608,.563,.063,14.6
212,Rudy Gay,56,816,.475,.453,.171,17.7
245,Rui Hachimura,63,1466,.556,.274,.204,20.2
4,Santi Aldama,77,1682,.591,.507,.274,16.0
656,T.J. Warren,26,490,.576,.240,.165,20.9
184,Tari Eason,82,1767,.525,.261,.220,19.3
527,Taurean Prince,54,1192,.597,.512,.203,17.3
614,Terry Taylor,31,264,.557,.253,.147,14.2
700,Thaddeus Young,54,795,.573,.172,.131,13.5
13,Thanasis Antetokounmpo,37,206,.458,.174,.478,13.8
139,Torrey Craig,79,1948,.566,.506,.090,13.0
664,Trendon Watford,62,1182,.625,.198,.310,16.1
399,Trey Lyles,74,1247,.607,.588,.304,18.1
108,Vlatko Čančar,60,889,.606,.507,.181,13.8
137,Xavier Cooks,10,126,.586,.036,.357,13.9
475,Zeke Nnaji,53,728,.620,.332,.316,15.2
690,Zion Williamson,29,956,.652,.041,.529,30.4
