,Player,G,MP,TS%,3PAr,FTr,USG%
264,Al Harrington,34,511,.506,.483,.169,22.7
318,Amir Johnson,77,2214,.592,.108,.234,16.4
71,Andray Blatche,73,1618,.532,.080,.328,25.6
338,Andrei Kirilenko,45,857,.532,.031,.744,14.6
437,Andrew Nicholson,76,1174,.489,.212,.136,19.3
309,Antawn Jamison,22,248,.408,.446,.272,19.6
62,Anthony Bennett,52,663,.425,.236,.307,20.3
159,Anthony Davis,67,2358,.582,.009,.438,25.2
479,Anthony Randolph,43,527,.499,.347,.392,19.8
571,Anthony Tolliver,64,1298,.605,.805,.134,12.4
450,Arinze Onuaku,5,30,.255,.000,.400,10.4
420,Arnett Moultrie,12,187,.448,.000,.132,10.7
251,Blake Griffin,80,2863,.583,.032,.496,29.0
180,Boris Diaw,79,1974,.578,.193,.159,17.0
48,Brandon Bass,82,2266,.549,.008,.330,18.2
158,Brandon Davies,51,575,.476,.078,.414,13.7
347,Carl Landry,18,233,.563,.000,.283,14.5
78,Carlos Boozer,76,2141,.489,.002,.197,26.3
25,Carmelo Anthony,77,2982,.561,.253,.329,32.4
218,Channing Frye,82,2312,.555,.555,.122,17.3
595,Charlie Villanueva,20,180,.469,.609,.152,25.0
611,D.J. White,2,10,.000,.000,.000,4.6
147,Dante Cunningham,81,1635,.474,.010,.132,15.1
354,David Lee,69,2288,.566,.001,.302,24.3
608,David West,80,2472,.533,.016,.267,21.9
67,DeJuan Blair,78,1214,.557,.005,.308,19.6
205,Derrick Favors,73,2201,.556,.001,.380,20.8
615,Derrick Williams,11,162,.442,.278,.296,17.6
440,Dirk Nowitzki,80,2628,.603,.258,.295,26.9
419,Donatas Motiejūnas,62,952,.504,.284,.324,17.8
127,Earl Clark,54,768,.466,.467,.130,17.9
160,Ed Davis,63,956,.542,.000,.307,17.8
579,Ekpe Udoh,42,804,.440,.000,.329,11.4
298,Ersan İlyasova,55,1478,.486,.226,.225,21.3
161,Glen Davis,68,1662,.491,.019,.231,19.9
410,Greg Monroe,82,2690,.531,.001,.362,21.4
283,J.J. Hickson,69,1859,.521,.012,.443,20.8
592,Jan Veselý,54,776,.498,.000,.324,13.2
543,Jared Sullinger,74,2041,.497,.231,.226,24.1
586,Jarvis Varnado,24,339,.597,.000,.867,11.6
381,Jason Maxiell,34,488,.459,.000,.295,12.4
529,Jason Smith,31,830,.495,.000,.177,18.2
564,Jason Thompson,82,2007,.523,.000,.292,14.4
4,Jeff Adrien,53,961,.553,.000,.433,17.3
39,Jeff Ayres,73,952,.605,.000,.316,12.4
444,Jermaine O'Neal,44,883,.570,.000,.532,17.8
281,John Henson,70,1856,.543,.002,.277,20.3
358,Jon Leuer,49,642,.566,.199,.191,21.1
317,Jonas Jerebko,64,741,.577,.356,.284,16.0
286,Jordan Hill,72,1500,.579,.002,.347,19.7
393,Josh McRoberts,78,2360,.548,.514,.150,13.4
471,Josh Powell,1,19,.333,.000,.000,16.1
202,Kenneth Faried,80,2178,.573,.004,.379,21.3
377,Kenyon Martin,32,633,.521,.008,.154,11.6
366,Kevin Love,77,2797,.591,.355,.445,28.8
295,Kris Humphries,69,1376,.552,.004,.312,19.0
10,LaMarcus Aldridge,69,2498,.507,.011,.253,29.8
11,Lavoy Allen,65,1072,.470,.043,.167,14.6
307,LeBron James,77,2902,.649,.226,.432,31.0
17,Lou Amundson,19,185,.446,.000,.750,13.9
388,Luc Mbah a Moute,55,807,.498,.087,.335,11.6
504,Luis Scola,82,1399,.505,.013,.243,23.8
41,Luke Babbitt,27,473,.525,.617,.117,17.0
560,Malcolm Thomas,8,63,.444,.250,.125,18.7
417,Markieff Morris,81,2153,.564,.128,.387,23.2
619,Marvin Williams,66,1674,.540,.445,.139,16.7
76,Matt Bonner,61,690,.582,.598,.073,12.1
268,Mike Harris,20,225,.576,.033,.443,17.1
429,Mike Muscala,20,215,.480,.041,.192,19.3
505,Mike Scott,80,1482,.559,.318,.210,23.5
284,Nenê,53,1560,.530,.008,.448,24.0
135,Nick Collison,81,1353,.599,.071,.386,11.6
121,Omri Casspi,71,1283,.528,.429,.298,18.3
459,Patrick Patterson,65,1533,.533,.309,.145,17.2
406,Paul Millsap,74,2482,.545,.202,.373,25.7
329,Perry Jones,62,764,.541,.337,.232,12.8
404,Quincy Miller,52,789,.459,.367,.215,17.7
197,Reggie Evans,54,899,.516,.000,.867,13.4
612,Royce White,3,9,.000,.000,.000,4.9
23,Ryan Anderson,22,795,.572,.463,.175,22.9
290,Ryan Hollins,61,482,.730,.000,.778,11.5
336,Ryan Kelly,59,1312,.548,.383,.364,15.9
296,Serge Ibaka,81,2666,.576,.061,.203,19.8
480,Shavlik Randolph,14,95,.531,.000,.786,11.0
622,Shawne Williams,36,751,.503,.672,.104,12.9
330,Solomon Jones,11,85,.373,.000,.235,11.1
439,Steve Novak,54,540,.599,.836,.041,12.9
230,Taj Gibson,82,2351,.524,.008,.314,23.0
331,Terrence Jones,76,2078,.577,.142,.274,18.3
631,Thaddeus Young,79,2718,.512,.228,.178,24.1
491,Thomas Robinson,70,873,.502,.003,.345,19.7
269,Tobias Harris,61,1850,.542,.176,.341,22.2
407,Tony Mitchell,21,79,.540,.083,1.583,13.2
77,Trevor Booker,72,1553,.563,.005,.189,14.4
566,Tristan Thompson,82,2594,.528,.001,.445,17.5
259,Tyler Hansbrough,64,978,.562,.010,.944,15.1
270,Udonis Haslem,46,653,.523,.000,.301,13.9
481,Zach Randolph,79,2705,.510,.017,.281,26.1
