,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
264,Al Harrington,34,511,.396,15.1,.517,.304,.106,.043,.063,.483,.449,.587,.227,.333,.231,.340,.646,1.000,.240,.458
318,Amir Johnson,77,2214,.562,7.8,.892,.436,.297,.047,.111,.108,.593,.712,.478,.586,.441,.303,.710,.950,.242,.188
71,Andray Blatche,73,1618,.476,10.2,.920,.393,.160,.102,.264,.080,.494,.660,.389,.377,.354,.278,.539,.933,.259,.357
338,Andrei Kirilenko,45,857,.513,5.8,.969,.606,.200,.019,.144,.031,.523,.670,.375,.333,.130,.200,.691,1.000,.400,.000
437,Andrew Nicholson,76,1174,.429,14.5,.788,.131,.240,.090,.326,.212,.459,.727,.386,.368,.431,.315,.586,.964,.910,.321
309,Antawn Jamison,22,248,.315,15.7,.554,.250,.109,.065,.130,.446,.412,.609,.300,.167,.250,.195,.762,1.000,.268,.091
62,Anthony Bennett,52,663,.356,13.3,.764,.293,.111,.071,.289,.236,.390,.606,.200,.250,.277,.245,.612,1.000,.208,.273
159,Anthony Davis,67,2358,.519,8.3,.991,.396,.207,.180,.208,.009,.522,.704,.409,.431,.368,.222,.667,1.000,.667,.333
479,Anthony Randolph,43,527,.386,14.4,.653,.267,.125,.045,.210,.347,.435,.638,.318,.375,.270,.295,.560,1.000,.426,.346
571,Anthony Tolliver,64,1298,.420,21.7,.195,.085,.036,.020,.055,.805,.450,.692,.182,.500,.235,.413,.741,1.000,.332,.390
450,Arinze Onuaku,5,30,.200,2.0,1.000,.800,.200,.000,.000,.000,.200,.250,.000,,,,.000,,,
420,Arnett Moultrie,12,187,.421,10.3,1.000,.342,.105,.211,.342,.000,.421,.615,.000,.250,.462,,.750,,,
251,Blake Griffin,80,2863,.528,8.8,.968,.407,.218,.076,.267,.032,.537,.743,.402,.398,.372,.273,.649,.833,.364,.438
180,Boris Diaw,79,1974,.521,10.8,.807,.324,.267,.066,.150,.193,.549,.686,.523,.421,.356,.402,.584,1.000,.188,.333
48,Brandon Bass,82,2266,.486,9.3,.992,.348,.171,.233,.240,.008,.487,.603,.290,.562,.385,.333,.603,.500,.333,.000
158,Brandon Davies,51,575,.422,7.5,.922,.461,.227,.094,.141,.078,.441,.576,.379,.250,.222,.200,.731,1.000,.100,.000
347,Carl Landry,18,233,.517,10.6,1.000,.217,.267,.150,.367,.000,.517,.769,.375,.333,.545,,.742,,,
78,Carlos Boozer,76,2141,.456,9.5,.998,.334,.161,.236,.267,.002,.457,.615,.367,.377,.385,.000,.711,,.000,
25,Carmelo Anthony,77,2982,.452,15.2,.747,.191,.078,.199,.279,.253,.469,.589,.320,.443,.447,.402,.292,.713,.080,.364
218,Channing Frye,82,2312,.432,19.0,.445,.117,.093,.068,.166,.555,.509,.615,.458,.547,.450,.370,.477,.981,.095,.293
595,Charlie Villanueva,20,180,.380,17.8,.391,.163,.152,.054,.022,.609,.583,.800,.500,.400,.000,.250,.667,1.000,.071,.000
611,D.J. White,2,10,.000,15.8,1.000,.000,.000,1.000,.000,.000,.000,,,.000,,,,,,
147,Dante Cunningham,81,1635,.464,13.9,.990,.226,.075,.108,.582,.010,.468,.704,.421,.436,.392,.000,.847,,.000,
354,David Lee,69,2288,.523,5.7,.999,.466,.355,.078,.100,.001,.523,.670,.408,.390,.357,.000,.682,,.000,
608,David West,80,2472,.488,10.6,.984,.201,.294,.178,.311,.016,.491,.614,.435,.395,.521,.267,.665,1.000,.400,.000
67,DeJuan Blair,78,1214,.534,5.1,.995,.481,.387,.115,.013,.005,.537,.640,.474,.333,.400,.000,.733,,.000,
205,Derrick Favors,73,2201,.522,6.1,.999,.479,.262,.181,.076,.001,.523,.696,.388,.370,.263,.000,.628,,.000,
615,Derrick Williams,11,162,.352,12.3,.722,.370,.130,.111,.111,.278,.436,.550,.286,.333,.333,.133,.706,1.000,.267,.000
440,Dirk Nowitzki,80,2628,.497,16.7,.742,.064,.071,.322,.285,.258,.532,.778,.578,.485,.518,.398,.500,.947,.027,.111
419,Donatas Motiejūnas,62,952,.443,11.1,.716,.304,.351,.034,.027,.284,.519,.589,.471,.600,.250,.250,.727,1.000,.333,.357
127,Earl Clark,54,768,.372,17.4,.533,.161,.088,.077,.207,.467,.403,.524,.435,.300,.333,.336,.643,1.000,.279,.235
160,Ed Davis,63,956,.534,5.3,1.000,.517,.252,.186,.045,.000,.534,.680,.342,.444,.308,,.703,,,
579,Ekpe Udoh,42,804,.399,6.9,1.000,.343,.371,.140,.147,.000,.399,.469,.321,.650,.190,,.737,,,
298,Ersan İlyasova,55,1478,.409,13.5,.774,.299,.092,.102,.282,.226,.446,.549,.302,.339,.423,.282,.775,1.000,.107,.214
161,Glen Davis,68,1662,.457,11.1,.981,.278,.187,.157,.359,.019,.459,.612,.360,.409,.413,.364,.682,.750,.091,1.000
410,Greg Monroe,82,2690,.497,5.0,.999,.524,.321,.060,.094,.001,.497,.632,.368,.410,.242,.000,.558,,.000,
283,J.J. Hickson,69,1859,.508,6.2,.988,.480,.278,.128,.101,.012,.514,.697,.357,.381,.242,.000,.693,,.125,.000
592,Jan Veselý,54,776,.514,4.0,1.000,.624,.283,.035,.058,.000,.514,.639,.347,.000,.300,,.730,,,
543,Jared Sullinger,74,2041,.427,11.4,.769,.310,.245,.099,.115,.231,.475,.599,.377,.348,.456,.269,.473,1.000,.096,.300
586,Jarvis Varnado,24,339,.600,6.8,1.000,.467,.183,.217,.133,.000,.600,.714,.364,.462,.750,,.806,,,
381,Jason Maxiell,34,488,.448,8.8,1.000,.248,.362,.190,.200,.000,.448,.462,.605,.350,.238,,.702,,,
529,Jason Smith,31,830,.465,14.0,1.000,.170,.092,.124,.613,.000,.465,.563,.385,.343,.474,,.847,,,
564,Jason Thompson,82,2007,.506,7.8,1.000,.335,.377,.097,.192,.000,.506,.699,.433,.313,.411,,.598,,,
4,Jeff Adrien,53,961,.520,5.5,1.000,.560,.222,.098,.120,.000,.520,.617,.426,.333,.394,,.643,,,
39,Jeff Ayres,73,952,.580,4.8,1.000,.644,.167,.109,.080,.000,.580,.714,.345,.421,.214,,.792,,,
444,Jermaine O'Neal,44,883,.504,5.8,1.000,.379,.448,.133,.040,.000,.504,.691,.387,.424,.300,,.592,,,
281,John Henson,70,1856,.538,5.1,.998,.443,.424,.072,.059,.002,.539,.682,.461,.304,.316,.000,.654,,.000,
358,Jon Leuer,49,642,.492,12.4,.801,.248,.195,.154,.203,.199,.497,.656,.479,.421,.380,.469,.694,1.000,.061,.000
317,Jonas Jerebko,64,741,.471,13.2,.644,.337,.139,.053,.115,.356,.500,.657,.310,.273,.375,.419,.701,.968,.297,.682
286,Jordan Hill,72,1500,.549,6.4,.998,.411,.363,.111,.113,.002,.550,.687,.487,.414,.390,.000,.584,,.000,
393,Josh McRoberts,78,2360,.436,16.5,.486,.251,.097,.034,.104,.514,.516,.634,.400,.632,.305,.361,.683,.981,.082,.250
471,Josh Powell,1,19,.333,8.0,1.000,.000,1.000,.000,.000,.000,.333,,.333,,,,1.000,,,
202,Kenneth Faried,80,2178,.545,5.0,.996,.517,.338,.082,.060,.004,.547,.691,.419,.388,.245,.000,.667,,.000,
377,Kenyon Martin,32,633,.512,6.6,.992,.528,.187,.081,.195,.008,.516,.708,.217,.300,.375,.000,.683,,.000,
366,Kevin Love,77,2797,.457,14.3,.645,.253,.167,.091,.134,.355,.502,.669,.412,.354,.400,.376,.572,.858,.095,.396
295,Kris Humphries,69,1376,.501,11.2,.996,.286,.108,.234,.367,.004,.503,.636,.400,.426,.479,.000,.727,,.500,.000
10,LaMarcus Aldridge,69,2498,.458,12.5,.989,.186,.162,.226,.415,.011,.461,.675,.364,.388,.442,.200,.599,.667,.067,.000
11,Lavoy Allen,65,1072,.447,9.7,.957,.290,.270,.140,.257,.043,.460,.563,.531,.286,.364,.154,.697,1.000,.000,
307,LeBron James,77,2902,.567,11.4,.774,.399,.123,.084,.168,.226,.622,.796,.554,.404,.366,.379,.395,.534,.144,.568
17,Lou Amundson,19,185,.500,4.1,1.000,.625,.281,.063,.031,.000,.500,.650,.333,.000,.000,,.750,,,
388,Luc Mbah a Moute,55,807,.447,8.3,.913,.578,.068,.025,.242,.087,.469,.570,.455,.000,.282,.214,.667,1.000,.786,.273
504,Luis Scola,82,1399,.470,12.2,.988,.229,.175,.102,.482,.013,.474,.594,.388,.439,.456,.143,.763,1.000,.571,.250
41,Luke Babbitt,27,473,.390,19.4,.383,.065,.136,.117,.065,.617,.407,.600,.381,.333,.400,.379,.375,1.000,.137,.462
560,Malcolm Thomas,8,63,.438,11.0,.750,.375,.188,.000,.188,.250,.500,1.000,.000,,.000,.250,.333,1.000,.000,
417,Markieff Morris,81,2153,.486,11.4,.872,.288,.174,.220,.191,.128,.512,.658,.401,.478,.429,.315,.528,.882,.111,.333
619,Marvin Williams,66,1674,.439,16.6,.555,.194,.122,.061,.179,.445,.503,.725,.406,.344,.383,.359,.605,.988,.226,.358
76,Matt Bonner,61,690,.445,18.9,.402,.043,.213,.061,.085,.598,.470,.714,.429,.200,.643,.429,.774,.976,.194,.579
268,Mike Harris,20,225,.475,12.2,.967,.213,.164,.148,.443,.033,.492,.923,.400,.444,.333,.000,.690,,.500,.000
429,Mike Muscala,20,215,.425,10.8,.959,.301,.178,.123,.356,.041,.443,.500,.308,.333,.500,.000,.839,,.333,.000
505,Mike Scott,80,1482,.479,12.8,.682,.293,.196,.091,.102,.318,.558,.712,.455,.368,.484,.310,.858,1.000,.240,.292
284,Nenê,53,1560,.503,8.5,.992,.375,.190,.224,.202,.008,.506,.677,.336,.398,.467,.200,.617,1.000,.400,.000
135,Nick Collison,81,1353,.556,7.4,.929,.577,.120,.025,.207,.071,.580,.655,.552,.500,.400,.235,.700,1.000,.882,.200
121,Omri Casspi,71,1283,.422,14.2,.571,.222,.239,.049,.059,.429,.479,.692,.388,.250,.250,.347,.696,.902,.222,.359
459,Patrick Patterson,65,1533,.460,14.4,.691,.194,.168,.147,.182,.309,.503,.632,.500,.458,.404,.364,.729,.982,.397,.383
406,Paul Millsap,74,2482,.461,10.4,.798,.345,.239,.104,.110,.202,.487,.620,.428,.385,.296,.358,.641,.974,.193,.366
329,Perry Jones,62,764,.459,13.5,.663,.260,.171,.077,.155,.337,.508,.660,.548,.286,.321,.361,.721,1.000,.623,.421
404,Quincy Miller,52,789,.367,14.0,.633,.289,.109,.078,.156,.367,.395,.527,.393,.150,.275,.319,.453,.933,.447,.310
197,Reggie Evans,54,899,.473,3.5,1.000,.587,.373,.013,.027,.000,.473,.591,.339,.000,.000,,.606,,,
612,Royce White,3,9,.000,14.1,1.000,.000,.000,1.000,.000,.000,.000,,,.000,,,,,,
23,Ryan Anderson,22,795,.438,16.8,.537,.198,.093,.090,.155,.463,.463,.529,.333,.344,.527,.409,.420,.985,.128,.476
290,Ryan Hollins,61,482,.736,3.2,1.000,.653,.306,.028,.014,.000,.736,.872,.455,.500,1.000,,.717,,,
336,Ryan Kelly,59,1312,.423,14.7,.617,.208,.164,.127,.119,.383,.476,.649,.393,.319,.455,.338,.624,.917,.225,.344
296,Serge Ibaka,81,2666,.536,10.6,.939,.327,.150,.152,.309,.061,.546,.731,.381,.490,.457,.383,.790,.957,.817,.347
480,Shavlik Randolph,14,95,.500,3.7,1.000,.500,.500,.000,.000,.000,.500,.714,.286,,,,.571,,,
622,Shawne Williams,36,751,.380,19.4,.328,.151,.042,.016,.120,.672,.492,.483,.250,.667,.565,.326,.742,.952,.395,.353
330,Solomon Jones,11,85,.353,11.5,1.000,.353,.000,.176,.471,.000,.353,.333,,.333,.375,,.833,,,
439,Steve Novak,54,540,.411,23.8,.164,.007,.014,.007,.137,.836,.333,.000,.000,.000,.400,.426,.500,.923,.287,.400
230,Taj Gibson,82,2351,.479,8.5,.992,.383,.194,.221,.194,.008,.483,.638,.356,.399,.397,.000,.669,,.286,.000
331,Terrence Jones,76,2078,.542,7.1,.858,.508,.271,.032,.046,.142,.581,.724,.389,.391,.273,.307,.648,.903,.327,.333
631,Thaddeus Young,79,2718,.454,10.3,.772,.377,.223,.060,.112,.228,.496,.645,.374,.338,.326,.308,.559,.922,.188,.309
491,Thomas Robinson,70,873,.481,6.6,.997,.570,.133,.075,.218,.003,.483,.641,.179,.273,.328,.000,.617,,1.000,.000
