,Player,Team,Height,Season
2088,Nikoloz Tskitishvili,GSW,7-0,2005
2089,Obinna Ekezie,ATL,6-9,2005
2090,Omar Cook,TOR,6-1,2005
2091,Othella Harrington,CHI,6-9,2005
2092,P.J. Brown,NOH,6-11,2005
2093,Pape Sow,TOR,6-10,2005
2094,Pat Garrity,ORL,6-9,2005
2095,Pau Gasol,MEM,7-0,2005
2096,Paul Pierce,BOS,6-6,2005
2097,Paul Shirley,PHX,6-10,2005
2098,Pavel Podkolzin,DAL,7-5,2005
2099,Peja Stojakovic,SAC,6-10,2005
2100,Peter John Ramos,WAS,7-3,2005
2101,Predrag Drobnjak,ATL,6-11,2005
2102,Primoz Brezec,CHA,7-1,2005
2103,Quentin Richardson,PHX,6-6,2005
2104,Quinton Ross,LAC,6-6,2005
2105,Qyntel Woods,MIA,6-8,2005
2106,Raef LaFrentz,BOS,6-11,2005
2107,Rafael Araujo,TOR,6-11,2005
2108,Rafer Alston,TOR,6-2,2005
2109,Raja Bell,UTA,6-5,2005
2110,Randy Livingston,UTA,6-4,2005
2111,Rashard Lewis,SEA,6-10,2005
2112,Rasheed Wallace,DET,6-11,2005
2113,Rasho Nesterovic,SAS,7-0,2005
2114,Rasual Butler,MIA,6-7,2005
2115,Raul Lopez,UTA,6-0,2005
2116,Ray Allen,SEA,6-5,2005
2117,Reece Gaines,MIL,6-6,2005
2118,Reggie Evans,SEA,6-8,2005
2119,Reggie Miller,IND,6-7,2005
2120,Richard Hamilton,DET,6-7,2005
2121,Richard Jefferson,NJN,6-7,2005
2122,Richie Frahm,POR,6-5,2005
2123,Rick Brunson,LAC,6-4,2005
2124,Ricky Davis,BOS,6-7,2005
2125,Robert Horry,SAS,6-10,2005
2126,Robert Swift,SEA,7-0,2005
2127,Robert Traylor,CLE,6-8,2005
2128,Rod Strickland,HOU,6-3,2005
2129,Rodney Buford,NJN,6-5,2005
2130,Rodney Rogers,PHI,6-7,2005
2131,Rodney White,GSW,6-9,2005
2132,Ron Mercer,NJN,6-7,2005
2133,Ronald Dupree,DET,6-7,2005
2134,Royal Ivey,ATL,6-3,2005
2135,Ruben Patterson,POR,6-5,2005
2136,Ryan Bowen,HOU,6-9,2005
2137,Ryan Humphrey,MEM,6-8,2005
2138,Sam Cassell,MIN,6-3,2005
2139,Samaki Walker,WAS,6-9,2005
2140,Samuel Dalembert,PHI,6-11,2005
2141,Sasha Pavlovic,CLE,6-7,2005
2142,Sasha Vujacic,LAL,6-7,2005
2143,Scot Pollard,IND,6-11,2005
2144,Scott Padgett,HOU,6-9,2005
2145,Scott Williams,CLE,6-10,2005
2146,Sean Marks,SAS,6-10,2005
2147,Sebastian Telfair,POR,6-0,2005
2148,Shandon Anderson,MIA,6-6,2005
2149,Shane Battier,MEM,6-8,2005
2150,Shaquille O'Neal,MIA,7-1,2005
2151,Shareef Abdur-Rahim,POR,6-9,2005
2152,Shaun Livingston,LAC,6-7,2005
2153,Shawn Bradley,DAL,7-6,2005
2154,Shawn Marion,PHX,6-7,2005
2155,Slava Medvedenko,LAL,6-10,2005
2156,Smush Parker,PHX,6-4,2005
2157,Speedy Claxton,NOH,5-11,2005
2158,Stacey Augmon,ORL,6-8,2005
2159,Stephen Jackson,IND,6-8,2005
2160,Stephon Marbury,NYK,6-2,2005
2161,Steve Blake,WAS,6-3,2005
2162,Steve Francis,ORL,6-3,2005
2163,Steve Nash,PHX,6-3,2005
2164,Steven Hunter,PHX,7-0,2005
2165,Steven Smith,MIA,6-8,2005
2166,Stromile Swift,MEM,6-9,2005
2167,Tamar Slay,CHA,6-8,2005
2168,Tayshaun Prince,DET,6-9,2005
2169,Theo Ratliff,POR,6-10,2005
2170,Theron Smith,CHA,6-8,2005
2171,Tierre Brown,LAL,6-2,2005
2172,Tim Duncan,SAS,6-11,2005
2173,Tim Thomas,NYK,6-10,2005
2174,Tom Gugliotta,ATL,6-10,2005
2175,Toni Kukoc,MIL,6-11,2005
2176,Tony Allen,BOS,6-4,2005
2177,Tony Battie,ORL,6-11,2005
2178,Tony Bobbitt,LAL,6-4,2005
2179,Tony Delk,ATL,6-2,2005
2180,Tony Massenburg,SAS,6-9,2005
2181,Tony Parker,SAS,6-2,2005
2182,Torraye Braggs,HOU,6-8,2005
2183,Tracy McGrady,HOU,6-8,2005
2184,Travis Best,NJN,5-11,2005
2185,Travis Outlaw,POR,6-9,2005
2186,Tremaine Fowlkes,IND,6-8,2005
2187,Trenton Hassell,MIN,6-5,2005
2188,Trevor Ariza,NYK,6-8,2005
2189,Troy Hudson,MIN,6-1,2005
2190,Troy Murphy,GSW,6-11,2005
2191,Tyronn Lue,ATL,6-0,2005
2192,Tyson Chandler,CHI,7-1,2005
2193,Udonis Haslem,MIA,6-8,2005
2194,Viktor Khryapa,POR,6-9,2005
2195,Vin Baker,HOU,6-11,2005
2196,Vince Carter,NJN,6-6,2005
2197,Vitaly Potapenko,SEA,6-10,2005
2198,Vlade Divac,LAL,7-1,2005
2199,Vladimir Radmanovic,SEA,6-10,2005
2200,Voshon Lenard,DEN,6-4,2005
2201,Wally Szczerbiak,MIN,6-7,2005
2202,Walter McCarty,PHX,6-10,2005
2203,Wang Zhi-zhi,MIA,7-1,2005
2204,Wesley Person,DEN,6-6,2005
2205,Willie Green,PHI,6-2,2005
2206,Yao Ming,HOU,7-6,2005
2207,Yuta Tabuse,PHX,5-9,2005
2208,Zach Randolph,POR,6-9,2005
2209,Zarko Cabarkapa,GSW,6-11,2005
2210,Zaza Pachulia,MIL,6-11,2005
2211,Zeljko Rebraca,LAC,7-0,2005
2212,Zendon Hamilton,MIL,6-11,2005
2213,Zoran Planinic,NJN,6-7,2005
2214,Zydrunas Ilgauskas,CLE,7-3,2005
2215,Aaron McKie,LAL,6-5,2006
2216,Aaron Miles,GSW,6-1,2006
2217,Aaron Williams,NOK,6-9,2006
2218,Adonal Foyle,GSW,6-10,2006
2219,Adrian Griffin,DAL,6-5,2006
2220,Al Harrington,ATL,6-9,2006
2221,Al Jefferson,BOS,6-10,2006
2222,Alan Anderson,CHA,6-6,2006
2223,Alan Henderson,CLE,6-9,2006
2224,Alex Acker,DET,6-5,2006
2225,Alex Scales,SAS,6-4,2006
2226,Allen Iverson,PHI,6-0,2006
2227,Alonzo Mourning,MIA,6-10,2006
2228,Alvin Williams,TOR,6-5,2006
2229,Amar'e Stoudemire,PHX,6-10,2006
2230,Amir Johnson,DET,6-9,2006
2231,Anderson Varejao,CLE,6-10,2006
2232,Andray Blatche,WAS,6-11,2006
2233,Andre Barrett,TOR,5-10,2006
2234,Andre Iguodala,PHI,6-6,2006
2235,Andre Miller,DEN,6-2,2006
2236,Andre Owens,UTA,6-4,2006
2237,Andrei Kirilenko,UTA,6-9,2006
2238,Andres Nocioni,CHI,6-7,2006
2239,Andrew Bogut,MIL,7-0,2006
2240,Andrew Bynum,LAL,7-0,2006
2241,Andris Biedrins,GSW,6-11,2006
2242,Anfernee Hardaway,NYK,6-7,2006
2243,Antawn Jamison,WAS,6-9,2006
2244,Anthony Carter,MIN,6-2,2006
2245,Anthony Goldwire,LAC,6-2,2006
2246,Anthony Grundy,ATL,6-3,2006
2247,Anthony Johnson,IND,6-3,2006
2248,Anthony Roberson,MEM,6-2,2006
2249,Antoine Walker,MIA,6-9,2006
2250,Antoine Wright,NJN,6-7,2006
2251,Antonio Burks,MEM,6-0,2006
2252,Antonio Daniels,WAS,6-4,2006
2253,Antonio Davis,TOR,6-9,2006
2254,Antonio McDyess,DET,6-9,2006
2255,Arvydas Macijauskas,NOK,6-4,2006
2256,Austin Croshere,IND,6-10,2006
2257,Awvee Storey,WAS,6-6,2006
2258,Baron Davis,GSW,6-3,2006
2259,Ben Gordon,CHI,6-3,2006
2260,Ben Wallace,DET,6-9,2006
2261,Beno Udrih,SAS,6-3,2006
2262,Bernard Robinson,CHA,6-6,2006
2263,Billy Thomas,WAS,6-5,2006
2264,Bo Outlaw,ORL,6-8,2006
2265,Bobby Jackson,MEM,6-1,2006
2266,Bobby Simmons,MIL,6-6,2006
2267,Boniface Ndong,LAC,7-0,2006
2268,Bonzi Wells,SAC,6-5,2006
2269,Boris Diaw,PHX,6-8,2006
2270,Bostjan Nachbar,NJN,6-9,2006
2271,Bracey Wright,MIN,6-3,2006
2272,Brad Miller,SAC,7-0,2006
2273,Brandon Bass,NOK,6-8,2006
2274,Brendan Haywood,WAS,7-0,2006
2275,Brent Barry,SAS,6-7,2006
2276,Brevin Knight,CHA,5-10,2006
2277,Brian Cardinal,MEM,6-8,2006
2278,Brian Cook,LAL,6-9,2006
2279,Brian Grant,PHX,6-9,2006
2280,Brian Scalabrine,BOS,6-9,2006
2281,Brian Skinner,POR,6-9,2006
2282,Bruce Bowen,SAS,6-7,2006
2283,Bryon Russell,DEN,6-7,2006
2284,CJ Miles,UTA,6-6,2006
2285,Calbert Cheaney,GSW,6-7,2006
2286,Calvin Booth,WAS,6-11,2006
2287,Carlos Arroyo,ORL,6-2,2006
2288,Carlos Boozer,UTA,6-9,2006
2289,Carlos Delfino,DET,6-6,2006
2290,Carmelo Anthony,DEN,6-8,2006
2291,Caron Butler,WAS,6-7,2006
2292,Channing Frye,NYK,6-11,2006
2293,Charles Smith,DEN,6-4,2006
2294,Charlie Bell,MIL,6-3,2006
2295,Charlie Villanueva,TOR,6-11,2006
2296,Chauncey Billups,DET,6-3,2006
2297,Chris Andersen,NOK,6-10,2006
2298,Chris Bosh,TOR,6-10,2006
2299,Chris Duhon,CHI,6-1,2006
2300,Chris Kaman,LAC,7-0,2006
2301,Chris Mihm,LAL,7-0,2006
2302,Chris Paul,NOK,6-0,2006
2303,Chris Taft,GSW,6-10,2006
2304,Chris Webber,PHI,6-10,2006
2305,Chris Wilcox,SEA,6-10,2006
2306,Chuck Hayes,HOU,6-6,2006
2307,Chucky Atkins,MEM,5-11,2006
2308,Clifford Robinson,NJN,6-10,2006
2309,Corey Maggette,LAC,6-6,2006
2310,Corliss Williamson,SAC,6-7,2006
2311,Cuttino Mobley,LAC,6-4,2006
2312,DJ Mbenga,DAL,7-0,2006
2313,Dahntay Jones,MEM,6-6,2006
2314,Dale Davis,DET,6-11,2006
2315,Damien Wilkins,SEA,6-6,2006
2316,Damon Jones,CLE,6-3,2006
2317,Damon Stoudamire,MEM,5-10,2006
2318,Dan Dickau,BOS,6-0,2006
2319,Dan Gadzuric,MIL,6-11,2006
2320,Daniel Ewing,LAC,6-3,2006
2321,Danny Fortson,SEA,6-8,2006
2322,Danny Granger,IND,6-9,2006
2323,Darius Miles,POR,6-9,2006
2324,Darius Songaila,CHI,6-8,2006
2325,Darko Milicic,ORL,7-0,2006
2326,Darrell Armstrong,DAL,6-1,2006
2327,Darrick Martin,TOR,5-11,2006
2328,David Harrison,IND,7-0,2006
2329,David Lee,NYK,6-9,2006
2330,David Wesley,HOU,6-1,2006
2331,David West,NOK,6-9,2006
2332,DeSagana Diop,DAL,7-0,2006
2333,DeShawn Stevenson,ORL,6-5,2006
2334,Delonte West,BOS,6-4,2006
2335,Deng Gai,PHI,6-9,2006
2336,DerMarr Johnson,DEN,6-9,2006
2337,Derek Anderson,MIA,6-5,2006
2338,Derek Fisher,GSW,6-1,2006
2339,Deron Williams,UTA,6-3,2006
2340,Derrick Zimmerman,NJN,6-3,2006
2341,Desmond Mason,NOK,6-5,2006
2342,Devean George,LAL,6-8,2006
2343,Devin Brown,UTA,6-5,2006
2344,Devin Green,LAL,6-7,2006
2345,Devin Harris,DAL,6-3,2006
2346,Dijon Thompson,PHX,6-7,2006
2347,Dikembe Mutombo,HOU,7-2,2006
2348,Dirk Nowitzki,DAL,7-0,2006
2349,Donell Taylor,WAS,6-5,2006
2350,Donta Smith,ATL,6-7,2006
2351,Donyell Marshall,CLE,6-9,2006
2352,Dorell Wright,MIA,6-8,2006
2353,Doug Christie,DAL,6-6,2006
2354,Drew Gooden,CLE,6-10,2006
2355,Dwayne Jones,BOS,6-11,2006
2356,Dwight Howard,ORL,6-11,2006
2357,Dwyane Wade,MIA,6-4,2006
2358,Earl Barron,MIA,7-0,2006
2359,Earl Boykins,DEN,5-5,2006
2360,Earl Watson,SEA,6-1,2006
2361,Eddie Basden,CHI,6-5,2006
2362,Eddie Gill,IND,6-0,2006
2363,Eddie Griffin,MIN,6-10,2006
2364,Eddie House,PHX,6-1,2006
2365,Eddie Jones,MEM,6-6,2006
2366,Eddy Curry,NYK,6-11,2006
2367,Eduardo Najera,DEN,6-8,2006
2368,Elton Brand,LAC,6-8,2006
2369,Emeka Okafor,CHA,6-10,2006
2370,Eric Piatkowski,CHI,6-7,2006
2371,Eric Snow,CLE,6-3,2006
2372,Eric Williams,TOR,6-8,2006
2373,Erick Dampier,DAL,6-11,2006
2374,Ervin Johnson,MIL,6-11,2006
2375,Esteban Batista,ATL,6-10,2006
2376,Etan Thomas,WAS,6-10,2006
2377,Fabricio Oberto,SAS,6-10,2006
2378,Flip Murray,CLE,6-3,2006
2379,Francisco Elson,DEN,7-0,2006
2380,Francisco Garcia,SAC,6-7,2006
2381,Fred Jones,IND,6-2,2006
2382,Gary Payton,MIA,6-4,2006
2383,Gerald Fitch,MIA,6-3,2006
2384,Gerald Green,BOS,6-8,2006
2385,Gerald Wallace,CHA,6-7,2006
2386,Gilbert Arenas,WAS,6-4,2006
2387,Gordan Giricek,UTA,6-5,2006
2388,Grant Hill,ORL,6-8,2006
2389,Greg Buckner,DEN,6-4,2006
2390,Greg Ostertag,UTA,7-2,2006
2391,Ha Ha,POR,7-3,2006
2392,Hakim Warrick,MEM,6-9,2006
2393,Hedo Turkoglu,ORL,6-10,2006
2394,Howard Eisley,DEN,6-2,2006
2395,Ike Diogu,GSW,6-8,2006
2396,Ime Udoka,NYK,6-5,2006
2397,Ira Newble,CLE,6-7,2006
2398,JR Smith,NOK,6-6,2006
2399,Jackie Butler,NYK,6-10,2006
2400,Jackson Vroman,NOK,6-10,2006
2401,Jacque Vaughn,NJN,6-1,2006
2402,Jake Tsakalidis,MEM,7-2,2006
2403,Jake Voskuhl,CHA,6-11,2006
2404,Jalen Rose,NYK,6-8,2006
2405,Jamaal Magloire,MIL,6-11,2006
2406,Jamaal Tinsley,IND,6-3,2006
2407,Jamal Crawford,NYK,6-5,2006
2408,Jamal Sampson,SAC,6-11,2006
2409,Jameer Nelson,ORL,6-0,2006
2410,James Jones,PHX,6-8,2006
2411,James Posey,MIA,6-8,2006
2412,James Singleton,LAC,6-8,2006
2413,James Thomas,CHI,6-9,2006
2414,Jannero Pargo,CHI,6-1,2006
2415,Jared Jeffries,WAS,6-11,2006
2416,Jarrett Jack,POR,6-3,2006
2417,Jarron Collins,UTA,6-11,2006
2418,Jarvis Hayes,WAS,6-8,2006
2419,Jason Collins,NJN,7-0,2006
2420,Jason Hart,SAC,6-3,2006
2421,Jason Kapono,MIA,6-8,2006
2422,Jason Kidd,NJN,6-4,2006
2423,Jason Maxiell,DET,6-7,2006
2424,Jason Richardson,GSW,6-6,2006
2425,Jason Terry,DAL,6-2,2006
2426,Jason Williams,MIA,6-1,2006
2427,Jeff Foster,IND,6-11,2006
2428,Jeff McInnis,NJN,6-4,2006
2429,Jermaine Jackson,MIL,6-5,2006
2430,Jermaine O'Neal,IND,6-11,2006
2431,Jerome James,NYK,7-1,2006
2432,Jerry Stackhouse,DAL,6-6,2006
2433,Jim Jackson,LAL,6-6,2006
2434,Jiri Welsch,MIL,6-7,2006
2435,Joe Johnson,ATL,6-7,2006
2436,Joe Smith,MIL,6-10,2006
2437,Joel Przybilla,POR,7-1,2006
2438,Joey Graham,TOR,6-7,2006
2439,Johan Petro,SEA,7-0,2006
2440,John Edwards,ATL,7-0,2006
2441,John Lucas III,HOU,5-11,2006
2442,John Salmons,PHI,6-6,2006
2443,John Thomas,NJN,6-9,2006
2444,Jon Barry,HOU,6-5,2006
2445,Jonathan Bender,IND,7-0,2006
2446,Jose Calderon,TOR,6-3,2006
2447,Josh Childress,ATL,6-8,2006
2448,Josh Davis,PHX,6-8,2006
2449,Josh Howard,DAL,6-7,2006
2450,Josh Powell,DAL,6-9,2006
2451,Josh Smith,ATL,6-9,2006
2452,Juan Dixon,POR,6-3,2006
2453,Julius Hodge,DEN,6-7,2006
2454,Jumaine Jones,CHA,6-8,2006
2455,Justin Reed,MIN,6-8,2006
2456,Juwan Howard,HOU,6-9,2006
2457,Kareem Rush,CHA,6-6,2006
2458,Keith Bogans,HOU,6-5,2006
2459,Keith McLeod,UTA,6-2,2006
2460,Keith Van Horn,DAL,6-10,2006
2461,Kelvin Cato,DET,6-11,2006
2462,Kendrick Perkins,BOS,6-10,2006
2463,Kenny Thomas,SAC,6-7,2006
2464,Kenyon Martin,DEN,6-9,2006
2465,Kevin Burleson,CHA,6-3,2006
2466,Kevin Garnett,MIN,6-11,2006
2467,Kevin Martin,SAC,6-7,2006
2468,Kevin Ollie,PHI,6-2,2006
2469,Keyon Dooling,ORL,6-3,2006
2470,Kirk Hinrich,CHI,6-3,2006
2471,Kirk Snyder,NOK,6-6,2006
2472,Kobe Bryant,LAL,6-6,2006
2473,Kris Humphries,UTA,6-9,2006
2474,Kurt Thomas,PHX,6-9,2006
2475,Kwame Brown,LAL,6-11,2006
2476,Kyle Korver,PHI,6-6,2006
2477,Lamar Odom,LAL,6-10,2006
2478,Lamond Murray,NJN,6-7,2006
2479,Laron Profit,LAL,6-5,2006
2480,Larry Hughes,CLE,6-5,2006
2481,Lawrence Roberts,MEM,6-9,2006
2482,LeBron James,CLE,6-8,2006
2483,Leandro Barbosa,PHX,6-3,2006
2484,Lee Nailon,PHI,6-9,2006
2485,Linas Kleiza,DEN,6-8,2006
2486,Lindsey Hunter,DET,6-2,2006
2487,Linton Johnson,NOK,6-8,2006
2488,Lonny Baxter,CHA,6-8,2006
2489,Loren Woods,TOR,7-2,2006
2490,Lorenzen Wright,MEM,6-11,2006
2491,Lou Williams,PHI,6-1,2006
2492,Luke Jackson,CLE,6-7,2006
2493,Luke Ridnour,SEA,6-1,2006
2494,Luke Schenscher,CHI,7-1,2006
2495,Luke Walton,LAL,6-8,2006
2496,Luol Deng,CHI,6-9,2006
2497,Luther Head,HOU,6-3,2006
2498,Maciej Lampe,HOU,6-11,2006
2499,Malik Allen,CHI,6-10,2006
2500,Malik Rose,NYK,6-7,2006
2501,Manu Ginobili,SAS,6-6,2006
2502,Marc Jackson,NOK,6-10,2006
2503,Marcus Banks,MIN,6-2,2006
2504,Marcus Camby,DEN,6-11,2006
2505,Marcus Fizer,NOK,6-8,2006
2506,Mario Kasun,ORL,7-1,2006
2507,Mark Blount,MIN,7-0,2006
2508,Mark Madsen,MIN,6-9,2006
2509,Marko Jaric,MIN,6-7,2006
2510,Marquis Daniels,DAL,6-6,2006
2511,Martell Webster,POR,6-7,2006
2512,Martynas Andriuskevicius,CLE,7-2,2006
2513,Marvin Williams,ATL,6-9,2006
2514,Mateen Cleaves,SEA,6-2,2006
2515,Matt Barnes,PHI,6-7,2006
2516,Matt Bonner,TOR,6-10,2006
2517,Matt Carroll,CHA,6-6,2006
2518,Matt Harpring,UTA,6-7,2006
2519,Matt Walsh,MIA,6-6,2006
2520,Maurice Evans,DET,6-5,2006
2521,Maurice Taylor,NYK,6-9,2006
2522,Mehmet Okur,UTA,6-11,2006
2523,Melvin Ely,CHA,6-10,2006
2524,Melvin Sanders,SAS,6-5,2006
2525,Metta World Peace,SAC,6-7,2006
2526,Michael Bradley,PHI,6-10,2006
2527,Michael Doleac,MIA,6-11,2006
2528,Michael Finley,SAS,6-7,2006
2529,Michael Olowokandi,BOS,7-0,2006
2530,Michael Redd,MIL,6-6,2006
2531,Michael Ruffin,WAS,6-8,2006
2532,Michael Sweetney,CHI,6-8,2006
2533,Mickael Pietrus,GSW,6-6,2006
2534,Mike Bibby,SAC,6-2,2006
2535,Mike Dunleavy,GSW,6-9,2006
2536,Mike James,TOR,6-2,2006
2537,Mike Miller,MEM,6-8,2006
2538,Mike Wilks,SEA,5-10,2006
2539,Mikki Moore,SEA,7-0,2006
2540,Milt Palacio,UTA,6-4,2006
2541,Mo Williams,MIL,6-1,2006
2542,Monta Ellis,GSW,6-3,2006
2543,Moochie Norris,NOK,6-1,2006
2544,Morris Peterson,TOR,6-7,2006
2545,Nate Robinson,NYK,5-9,2006
2546,Nazr Mohammed,SAS,6-10,2006
2547,Nenad Krstic,NJN,7-0,2006
2548,Nene,DEN,6-11,2006
2549,Nick Collison,SEA,6-9,2006
2550,Nick Van Exel,SAS,6-1,2006
2551,Nikoloz Tskitishvili,PHX,7-0,2006
2552,Noel Felix,SEA,6-9,2006
2553,Orien Greene,BOS,6-4,2006
2554,Othella Harrington,CHI,6-9,2006
2555,P.J. Brown,NOK,6-11,2006
2556,Pape Sow,TOR,6-10,2006
2557,Pat Burke,PHX,6-11,2006
2558,Pat Garrity,ORL,6-9,2006
2559,Pau Gasol,MEM,7-0,2006
2560,Paul Pierce,BOS,6-6,2006
2561,Pavel Podkolzin,DAL,7-5,2006
2562,Peja Stojakovic,IND,6-10,2006
2563,Primoz Brezec,CHA,7-1,2006
2564,Quentin Richardson,NYK,6-6,2006
2565,Quinton Ross,LAC,6-6,2006
2566,Qyntel Woods,NYK,6-8,2006
2567,Raef LaFrentz,BOS,6-11,2006
2568,Rafael Araujo,TOR,6-11,2006
2569,Rafer Alston,HOU,6-2,2006
2570,Raja Bell,PHX,6-5,2006
2571,Randy Holcomb,CHI,6-9,2006
2572,Randy Livingston,CHI,6-4,2006
2573,Rashad McCants,MIN,6-4,2006
2574,Rashard Lewis,SEA,6-10,2006
2575,Rasheed Wallace,DET,6-11,2006
2576,Rasho Nesterovic,SAS,7-0,2006
2577,Rasual Butler,NOK,6-7,2006
2578,Rawle Marshall,DAL,6-7,2006
2579,Ray Allen,SEA,6-5,2006
2580,Raymond Felton,CHA,6-1,2006
2581,Reece Gaines,MIL,6-6,2006
2582,Reggie Evans,DEN,6-8,2006
2583,Richard Hamilton,DET,6-7,2006
2584,Richard Jefferson,NJN,6-7,2006
2585,Richie Frahm,HOU,6-5,2006
2586,Rick Brunson,HOU,6-4,2006
2587,Ricky Davis,MIN,6-7,2006
2588,Robert Horry,SAS,6-10,2006
2589,Robert Swift,SEA,7-0,2006
2590,Robert Whaley,UTA,6-10,2006
2591,Ronald Dupree,MIN,6-7,2006
2592,Ronnie Price,SAC,6-2,2006
2593,Ronny Turiaf,LAL,6-10,2006
2594,Royal Ivey,ATL,6-3,2006
2595,Ruben Patterson,DEN,6-5,2006
2596,Ryan Bowen,HOU,6-9,2006
2597,Ryan Gomes,BOS,6-7,2006
2598,Salim Stoudamire,ATL,6-1,2006
2599,Sam Cassell,LAC,6-3,2006
2600,Samaki Walker,IND,6-9,2006
2601,Samuel Dalembert,PHI,6-11,2006
2602,Sarunas Jasikevicius,IND,6-4,2006
2603,Sasha Pavlovic,CLE,6-7,2006
2604,Sasha Vujacic,LAL,6-7,2006
2605,Scot Pollard,IND,6-11,2006
2606,Scott Padgett,NJN,6-9,2006
2607,Sean Marks,SAS,6-10,2006
2608,Sean May,CHA,6-9,2006
2609,Sebastian Telfair,POR,6-0,2006
2610,Sergei Monia,SAC,6-8,2006
2611,Shandon Anderson,MIA,6-6,2006
2612,Shane Battier,MEM,6-8,2006
2613,Shaquille O'Neal,MIA,7-1,2006
2614,Shareef Abdur-Rahim,SAC,6-9,2006
2615,Sharrod Ford,PHX,6-9,2006
2616,Shaun Livingston,LAC,6-7,2006
2617,Shavlik Randolph,PHI,6-10,2006
2618,Shawn Marion,PHX,6-7,2006
2619,Slava Medvedenko,LAL,6-10,2006
2620,Smush Parker,LAL,6-4,2006
2621,Speedy Claxton,NOK,5-11,2006
2622,Stacey Augmon,ORL,6-8,2006
2623,Stephen Graham,CLE,6-6,2006
2624,Stephen Jackson,IND,6-8,2006
2625,Stephon Marbury,NYK,6-2,2006
2626,Steve Blake,POR,6-3,2006
2627,Steve Francis,NYK,6-3,2006
2628,Steve Nash,PHX,6-3,2006
2629,Steven Hunter,PHI,7-0,2006
2630,Stromile Swift,HOU,6-9,2006
2631,T.J. Ford,MIL,6-0,2006
2632,Tayshaun Prince,DET,6-9,2006
2633,Terence Morris,ORL,6-9,2006
2634,Theo Ratliff,POR,6-10,2006
2635,Tim Duncan,SAS,6-11,2006
2636,Tim Thomas,PHX,6-10,2006
2637,Toni Kukoc,MIL,6-11,2006
2638,Tony Allen,BOS,6-4,2006
2639,Tony Battie,ORL,6-11,2006
2640,Tony Delk,DET,6-2,2006
2641,Tony Parker,SAS,6-2,2006
2642,Tracy McGrady,HOU,6-8,2006
2643,Travis Diener,ORL,6-1,2006
2644,Travis Outlaw,POR,6-8,2006
2645,Trenton Hassell,MIN,6-5,2006
2646,Trevor Ariza,ORL,6-8,2006
2647,Troy Hudson,MIN,6-1,2006
2648,Troy Murphy,GSW,6-11,2006
2649,Tyronn Lue,ATL,6-0,2006
2650,Tyson Chandler,CHI,7-1,2006
2651,Udonis Haslem,MIA,6-8,2006
2652,Viktor Khryapa,POR,6-9,2006
2653,Vin Baker,LAC,6-11,2006
2654,Vince Carter,NJN,6-6,2006
2655,Vitaly Potapenko,SAC,6-10,2006
2656,Vladimir Radmanovic,LAC,6-10,2006
2657,Von Wafer,LAL,6-5,2006
2658,Voshon Lenard,POR,6-4,2006
2659,Wally Szczerbiak,BOS,6-7,2006
2660,Walter McCarty,LAC,6-10,2006
2661,Wayne Simien,MIA,6-9,2006
2662,Will Bynum,GSW,6-0,2006
2663,Willie Green,PHI,6-2,2006
2664,Yao Ming,HOU,7-6,2006
2665,Yaroslav Korolev,LAC,6-9,2006
2666,Zach Randolph,POR,6-9,2006
2667,Zarko Cabarkapa,GSW,6-11,2006
2668,Zaza Pachulia,ATL,6-11,2006
2669,Zeljko Rebraca,LAC,7-0,2006
2670,Zendon Hamilton,PHI,6-11,2006
2671,Zoran Planinic,NJN,6-7,2006
2672,Zydrunas Ilgauskas,CLE,7-3,2006
2673,Aaron McKie,LAL,6-5,2007
2674,Aaron Williams,LAC,6-9,2007
2675,Adam Morrison,CHA,6-8,2007
2676,Adonal Foyle,GSW,6-10,2007
2677,Adrian Griffin,CHI,6-5,2007
2678,Al Harrington,GSW,6-9,2007
2679,Al Jefferson,BOS,6-10,2007
2680,Alan Anderson,CHA,6-6,2007
2681,Alan Henderson,PHI,6-9,2007
2682,Alexander Johnson,MEM,6-9,2007
2683,Allan Ray,BOS,6-2,2007
2684,Allen Iverson,DEN,6-0,2007
2685,Alonzo Mourning,MIA,6-10,2007
2686,Alvin Williams,LAC,6-5,2007
2687,Amar'e Stoudemire,PHX,6-10,2007
2688,Amir Johnson,DET,6-9,2007
2689,Anderson Varejao,CLE,6-10,2007
2690,Andray Blatche,WAS,6-11,2007
2691,Andre Barrett,CHI,5-10,2007
2692,Andre Brown,SEA,6-9,2007
2693,Andre Iguodala,PHI,6-6,2007
2694,Andre Miller,PHI,6-2,2007
2695,Andrea Bargnani,TOR,7-0,2007
2696,Andreas Glyniadakis,SEA,7-1,2007
2697,Andrei Kirilenko,UTA,6-9,2007
2698,Andres Nocioni,CHI,6-7,2007
2699,Andrew Bogut,MIL,7-0,2007
2700,Andrew Bynum,LAL,7-0,2007
2701,Andris Biedrins,GSW,6-11,2007
2702,Antawn Jamison,WAS,6-9,2007
2703,Anthony Carter,DEN,6-2,2007
2704,Anthony Johnson,ATL,6-3,2007
2705,Anthony Parker,TOR,6-6,2007
2706,Anthony Roberson,GSW,6-2,2007
2707,Antoine Walker,MIA,6-9,2007
2708,Antoine Wright,NJN,6-7,2007
2709,Antonio Daniels,WAS,6-4,2007
2710,Antonio McDyess,DET,6-9,2007
2711,Austin Croshere,DAL,6-10,2007
2712,Baron Davis,GSW,6-3,2007
