,Player,Team,Height,Season
132,Donyell Marshall,UTA,6-9,2001
133,Doug Christie,SAC,6-6,2001
134,Doug Overton,NJN,6-3,2001
135,Doug West,VAN,,2001
136,Dragan Tarlac,CHI,6-11,2001
137,Duane Causwell,MIA,7-0,2001
138,Earl Boykins,LAC,5-5,2001
139,Eddie Gill,NJN,6-0,2001
140,Eddie House,MIA,6-1,2001
141,Eddie Jones,MIA,6-7,2001
142,Eddie Robinson,CHH,6-9,2001
143,Eduardo Najera,DAL,6-8,2001
144,Elden Campbell,CHH,7-0,2001
145,Eldridge Recasner,CHH,6-4,2001
146,Elliot Perry,PHX,6-0,2001
147,Elton Brand,CHI,6-8,2001
148,Emanual Davis,SEA,6-5,2001
149,Eric Montross,TOR,7-0,2001
150,Eric Piatkowski,LAC,6-6,2001
151,Eric Snow,PHI,6-3,2001
152,Eric Williams,BOS,6-8,2001
153,Erick Barkley,POR,6-1,2001
154,Erick Dampier,GSW,6-11,2001
155,Erick Strickland,VAN,6-3,2001
156,Ervin Johnson,MIL,6-11,2001
157,Etdrick Bohannon,CLE,,2001
158,Evan Eschmeyer,NJN,6-11,2001
159,Felipe Lopez,MIN,6-5,2001
160,Felton Spencer,NYK,7-0,2001
161,Fred Hoiberg,CHI,6-5,2001
162,Garth Joseph,DEN,7-2,2001
163,Gary Grant,POR,,2001
164,Gary Payton,SEA,6-4,2001
165,Gary Trent,DAL,6-8,2001
166,George Lynch,PHI,6-8,2001
167,George McCloud,DEN,6-8,2001
168,Gerard King,WAS,,2001
169,Glen Rice,NYK,6-8,2001
170,Glenn Robinson,MIL,6-7,2001
171,Grant Hill,ORL,6-8,2001
172,Grant Long,VAN,6-9,2001
173,Greg Anthony,POR,6-1,2001
174,Greg Buckner,DAL,6-4,2001
175,Greg Foster,LAL,6-11,2001
176,Greg Ostertag,UTA,7-2,2001
177,Hakeem Olajuwon,HOU,7-0,2001
178,Hanno Mottola,ATL,6-11,2001
179,Hedo Turkoglu,SAC,6-8,2001
180,Hersey Hawkins,CHH,6-3,2001
181,Horace Grant,LAL,6-10,2001
182,Howard Eisley,DAL,6-2,2001
183,Hubert Davis,WAS,6-5,2001
184,Ike Austin,VAN,6-10,2001
185,Ira Bowman,ATL,,2001
186,Ira Newble,SAS,6-7,2001
187,Isaiah Rider,LAL,,2001
188,J.R. Reid,CLE,,2001
189,Jabari Smith,SAC,6-11,2001
190,Jacque Vaughn,UTA,6-1,2001
191,Jahidi White,WAS,6-9,2001
192,Jake Tsakalidis,PHX,7-2,2001
193,Jake Voskuhl,CHI,6-11,2001
194,Jalen Rose,IND,6-8,2001
195,Jamaal Magloire,CHH,6-10,2001
196,Jamal Crawford,CHI,6-5,2001
197,Jamal Mashburn,CHH,6-8,2001
198,Jamal Robinson,MIA,,2001
199,Jamel Thomas,NJN,6-6,2001
200,James Posey,DEN,6-8,2001
201,James Robinson,ORL,,2001
202,Jamie Feick,NJN,,2001
203,Jaren Jackson,SAS,,2001
204,Jason Caffey,MIL,6-8,2001
205,Jason Collier,HOU,7-0,2001
206,Jason Hart,MIL,6-2,2001
207,Jason Kidd,PHX,6-4,2001
208,Jason Terry,ATL,6-2,2001
209,Jason Williams,SAC,6-1,2001
210,Jeff Foster,IND,6-11,2001
211,Jeff McInnis,LAC,6-4,2001
212,Jelani McCoy,SEA,6-10,2001
213,Jermaine O'Neal,IND,6-11,2001
214,Jerome Kersey,MIL,,2001
215,Jerome Moiso,BOS,6-10,2001
216,Jerome Williams,TOR,6-9,2001
217,Jerry Stackhouse,DET,6-6,2001
218,Jim Jackson,CLE,6-6,2001
219,Jim McIlvaine,NJN,,2001
220,Joe Smith,DET,6-10,2001
221,Joel Przybilla,MIL,7-1,2001
222,John Amaechi,ORL,6-10,2001
223,John Coker,GSW,,2001
224,John Crotty,UTA,6-2,2001
225,John Starks,UTA,6-5,2001
226,John Stockton,UTA,6-1,2001
227,John Wallace,DET,6-9,2001
228,Johnny Newman,NJN,6-7,2001
229,Jon Barry,SAC,6-5,2001
230,Jonathan Bender,IND,6-11,2001
231,Jud Buechler,DET,6-6,2001
232,Jumaine Jones,PHI,6-8,2001
233,Juwan Howard,DAL,6-9,2001
234,Karl Malone,UTA,6-9,2001
235,Keith Van Horn,NJN,6-10,2001
236,Kelvin Cato,HOU,6-11,2001
237,Kendall Gill,NJN,6-5,2001
238,Kenny Anderson,BOS,6-1,2001
239,Kenny Thomas,HOU,6-8,2001
240,Kenyon Martin,NJN,6-9,2001
241,Keon Clark,TOR,6-11,2001
242,Kevin Edwards,VAN,6-3,2001
243,Kevin Garnett,MIN,6-11,2001
244,Kevin Ollie,PHI,6-2,2001
245,Kevin Willis,DEN,7-0,2001
246,Keyon Dooling,LAC,6-5,2001
247,Khalid El-Amin,CHI,,2001
248,Kobe Bryant,LAL,6-7,2001
249,Kornel David,DET,6-9,2001
250,Kurt Thomas,NYK,6-9,2001
251,LaPhonso Ellis,MIN,6-8,2001
252,Lamar Odom,LAC,6-10,2001
253,Lamond Murray,CLE,6-7,2001
254,Lari Ketner,IND,,2001
255,Laron Profit,WAS,6-5,2001
256,Larry Hughes,GSW,6-5,2001
257,Larry Johnson,NYK,6-7,2001
258,Larry Robinson,ATL,,2001
259,Latrell Sprewell,NYK,6-5,2001
260,Lavor Postell,NYK,6-5,2001
261,Lawrence Funderburke,SAC,6-9,2001
262,Lee Nailon,CHH,6-8,2001
263,Lindsey Hunter,MIL,6-2,2001
264,Lorenzen Wright,ATL,6-11,2001
265,Loy Vaught,WAS,6-9,2001
266,Luc Longley,NYK,,2001
267,Lucious Harris,NJN,6-5,2001
268,Mahmoud Abdul-Rauf,VAN,6-1,2001
269,Malik Rose,SAS,6-7,2001
270,Mamadou N'diaye,TOR,7-0,2001
271,Marc Jackson,GSW,6-10,2001
272,Marcus Camby,NYK,6-11,2001
273,Marcus Fizer,CHI,6-9,2001
274,Mario Elie,PHX,6-5,2001
275,Mark Blount,BOS,7-0,2001
276,Mark Bryant,DAL,6-9,2001
277,Mark Jackson,NYK,6-3,2001
278,Mark Madsen,LAL,6-9,2001
279,Mark Pope,MIL,6-10,2001
280,Mark Strickland,NJN,6-10,2001
281,Mateen Cleaves,DET,6-2,2001
282,Matt Bullard,HOU,6-10,2001
283,Matt Geiger,PHI,7-1,2001
284,Matt Harpring,CLE,6-7,2001
285,Matt Maloney,ATL,6-3,2001
286,Maurice Taylor,HOU,6-9,2001
287,Metta World Peace,CHI,6-7,2001
288,Michael Curry,DET,6-5,2001
289,Michael Dickerson,VAN,6-4,2001
290,Michael Doleac,ORL,6-11,2001
291,Michael Finley,DAL,6-7,2001
292,Michael Hawkins,CLE,,2001
293,Michael Olowokandi,LAC,7-0,2001
294,Michael Redd,MIL,6-6,2001
295,Michael Ruffin,CHI,6-8,2001
296,Michael Smith,WAS,6-8,2001
297,Michael Stewart,TOR,6-10,2001
298,Mike Bibby,VAN,6-1,2001
299,Mike Miller,ORL,6-8,2001
300,Mike Penberthy,LAL,6-3,2001
301,Mike Smith,WAS,6-8,2001
302,Mikki Moore,DET,7-0,2001
303,Milt Palacio,BOS,6-3,2001
304,Mitch Richmond,WAS,,2001
305,Monty Williams,ORL,6-8,2001
306,Moochie Norris,HOU,6-1,2001
307,Mookie Blaylock,GSW,6-1,2001
308,Morris Peterson,TOR,6-7,2001
309,Muggsy Bogues,TOR,,2001
310,Nazr Mohammed,ATL,6-10,2001
311,Nick Anderson,SAC,6-6,2001
312,Nick Van Exel,DEN,6-1,2001
313,Obinna Ekezie,DAL,6-9,2001
314,Olden Polynice,UTA,7-0,2001
315,Olumide Oyedeji,SEA,6-10,2001
316,Othella Harrington,NYK,6-9,2001
317,Otis Thorpe,CHH,6-10,2001
318,P.J. Brown,CHH,6-11,2001
319,Pat Garrity,ORL,6-9,2001
320,Patrick Ewing,SEA,7-0,2001
321,Paul McPherson,GSW,6-4,2001
322,Paul Pierce,BOS,6-6,2001
323,Peja Stojakovic,SAC,6-9,2001
324,Pepe Sanchez,PHI,,2001
325,Pervis Ellison,SEA,,2001
326,Popeye Jones,WAS,6-8,2001
327,Quentin Richardson,LAC,6-6,2001
328,Quincy Lewis,UTA,6-7,2001
329,Raef LaFrentz,DEN,6-11,2001
330,Rafer Alston,MIL,6-2,2001
331,Raja Bell,PHI,6-5,2001
332,Randy Brown,BOS,6-2,2001
333,Randy Livingston,GSW,6-4,2001
334,Rashard Lewis,SEA,6-10,2001
335,Rasheed Wallace,POR,6-11,2001
336,Rasho Nesterovic,MIN,7-0,2001
337,Ray Allen,MIL,6-5,2001
338,Reggie Miller,IND,6-7,2001
339,Reggie Slater,MIN,6-7,2001
340,Richard Hamilton,WAS,6-6,2001
341,Rick Brunson,NYK,6-4,2001
342,Rick Fox,LAL,6-7,2001
343,Ricky Davis,MIA,6-7,2001
344,Robert Horry,LAL,6-10,2001
345,Robert Pack,DEN,6-2,2001
346,Robert Traylor,CLE,6-8,2001
347,Rod Strickland,POR,6-3,2001
348,Rodney Buford,PHI,6-5,2001
349,Rodney Rogers,PHX,6-7,2001
350,Ron Harper,LAL,6-6,2001
351,Ron Mercer,CHI,6-7,2001
352,Roshown McLeod,PHI,,2001
353,Ruben Garces,GSW,,2001
354,Ruben Patterson,SEA,6-5,2001
355,Ruben Wolkowyski,SEA,6-10,2001
356,Ryan Bowen,DEN,6-7,2001
357,Sam Cassell,MIL,6-3,2001
358,Sam Jacobson,MIN,,2001
359,Sam Mitchell,MIN,6-7,2001
360,Sam Perkins,IND,6-9,2001
361,Samaki Walker,SAS,6-9,2001
362,Scot Pollard,SAC,6-11,2001
363,Scott Burrell,CHH,6-7,2001
364,Scott Padgett,UTA,6-9,2001
365,Scott Williams,MIL,6-10,2001
366,Scottie Pippen,POR,6-7,2001
367,Sean Colson,HOU,6-0,2001
368,Sean Elliott,SAS,6-8,2001
369,Sean Rooks,LAC,6-10,2001
370,Shammond Williams,SEA,6-1,2001
371,Shandon Anderson,HOU,6-6,2001
372,Shaquille O'Neal,LAL,7-1,2001
373,Shareef Abdur-Rahim,VAN,6-9,2001
374,Shawn Bradley,DAL,7-6,2001
375,Shawn Kemp,POR,6-10,2001
376,Shawn Marion,PHX,6-7,2001
377,Shawnelle Scott,SAS,6-11,2001
378,Sherman Douglas,NJN,,2001
379,Slava Medvedenko,LAL,6-10,2001
380,Soumaila Samake,NJN,7-0,2001
381,Stacey Augmon,POR,6-8,2001
382,Stephen Jackson,NJN,6-8,2001
383,Stephon Marbury,NJN,6-2,2001
384,Steve Francis,HOU,6-3,2001
385,Steve Goodrich,CHI,6-10,2001
386,Steve Kerr,SAS,6-3,2001
387,Steve Nash,DAL,6-3,2001
388,Steven Smith,POR,6-8,2001
389,Stromile Swift,VAN,6-9,2001
390,Tariq Abdul-Wahad,DEN,6-6,2001
391,Terrance Roberson,CHH,,2001
392,Terrell Brandon,MIN,5-11,2001
393,Terry Davis,DEN,6-10,2001
394,Terry Mills,IND,,2001
395,Terry Porter,SAS,6-3,2001
396,Theo Ratliff,PHI,6-10,2001
397,Tim Duncan,SAS,7-0,2001
398,Tim Hardaway,MIA,6-0,2001
399,Tim James,CHH,,2001
400,Tim Thomas,MIL,6-10,2001
401,Todd Day,MIN,,2001
402,Todd Fuller,MIA,,2001
403,Todd MacCulloch,PHI,7-0,2001
404,Tom Gugliotta,PHX,6-10,2001
405,Tom Hammonds,MIN,,2001
406,Toni Kukoc,ATL,6-11,2001
407,Tony Battie,BOS,6-11,2001
408,Tony Delk,PHX,6-2,2001
409,Tony Massenburg,VAN,6-9,2001
410,Tony Smith,ATL,,2001
411,Tracy McGrady,ORL,6-8,2001
412,Tracy Murray,TOR,6-7,2001
413,Trajan Langdon,CLE,6-3,2001
414,Travis Best,IND,5-11,2001
415,Travis Knight,NYK,7-0,2001
416,Troy Hudson,ORL,6-1,2001
417,Tyrone Corbin,TOR,,2001
418,Tyrone Hill,PHI,6-9,2001
419,Tyrone Nesby,WAS,6-6,2001
420,Tyronn Lue,LAL,6-0,2001
421,Tyus Edney,IND,5-10,2001
422,Vernon Maxwell,DAL,6-4,2001
423,Vin Baker,SEA,6-11,2001
424,Vince Carter,TOR,6-6,2001
425,Vinny Del Negro,PHX,6-4,2001
426,Vitaly Potapenko,BOS,6-10,2001
427,Vlade Divac,SAC,7-1,2001
428,Vladimir Stepania,NJN,7-0,2001
429,Vonteego Cummings,GSW,6-3,2001
430,Voshon Lenard,DEN,6-4,2001
431,Wally Szczerbiak,MIN,6-7,2001
432,Walt Williams,HOU,6-8,2001
433,Walter McCarty,BOS,6-10,2001
434,Wang Zhi-zhi,DAL,7-1,2001
435,Wesley Person,CLE,6-6,2001
436,Will Perdue,POR,7-0,2001
437,William Avery,MIN,6-2,2001
438,Zan Tabak,IND,7-0,2001
439,Zendon Hamilton,LAC,6-11,2001
440,Zydrunas Ilgauskas,CLE,7-3,2001
441,A.J. Guyton,CHI,6-1,2002
442,Aaron McKie,PHI,6-5,2002
443,Aaron Williams,NJN,6-9,2002
444,Adonal Foyle,GSW,6-10,2002
445,Adrian Griffin,DAL,6-5,2002
446,Al Harrington,IND,6-9,2002
447,Alan Henderson,ATL,6-9,2002
448,Allan Houston,NYK,6-6,2002
449,Allen Iverson,PHI,6-0,2002
450,Alonzo Mourning,MIA,6-10,2002
451,Alton Ford,PHX,6-9,2002
452,Alvin Jones,PHI,6-11,2002
453,Alvin Williams,TOR,6-5,2002
454,Amal McCaskill,SAS,6-11,2002
455,Andre Miller,CLE,6-2,2002
456,Andrei Kirilenko,UTA,6-9,2002
457,Andrew DeClercq,ORL,6-10,2002
458,Anfernee Hardaway,PHX,6-7,2002
459,Ansu Sesay,SEA,6-9,2002
460,Antawn Jamison,GSW,6-9,2002
461,Anthony Carter,MIA,6-2,2002
462,Anthony Johnson,NJN,6-3,2002
463,Anthony Mason,MIL,6-8,2002
464,Anthony Peeler,MIN,6-4,2002
465,Antoine Walker,BOS,6-9,2002
466,Antonio Daniels,SAS,6-4,2002
467,Antonio Davis,TOR,6-9,2002
468,Antonio Harvey,SEA,,2002
469,Antonio McDyess,DEN,6-9,2002
470,Antonis Fotsis,MEM,6-10,2002
471,Art Long,SEA,6-9,2002
472,Austin Croshere,IND,6-10,2002
473,Avery Johnson,DAL,5-11,2002
474,Baron Davis,CHH,6-3,2002
475,Ben Wallace,DET,6-9,2002
476,Bimbo Coles,CLE,6-2,2002
477,Bo Outlaw,PHX,6-8,2002
478,Bob Sura,GSW,6-5,2002
479,Bobby Jackson,SAC,6-1,2002
480,Bobby Simmons,WAS,6-6,2002
481,Bonzi Wells,POR,6-5,2002
482,Brad Miller,IND,7-0,2002
483,Brandon Armstrong,NJN,6-5,2002
484,Brendan Haywood,WAS,7-0,2002
485,Brent Barry,SEA,6-6,2002
486,Brent Price,SAC,6-1,2002
487,Brevin Knight,MEM,5-10,2002
488,Brian Cardinal,DET,6-8,2002
489,Brian Grant,MIA,6-9,2002
490,Brian Scalabrine,NJN,6-9,2002
491,Brian Shaw,LAL,6-6,2002
492,Brian Skinner,CLE,6-9,2002
493,Bruce Bowen,SAS,6-7,2002
494,Bruno Sundov,IND,7-2,2002
495,Bryant Stith,CLE,6-5,2002
496,Bryce Drew,CHH,6-3,2002
497,Bryon Russell,UTA,6-7,2002
498,Cal Bowdler,ATL,6-10,2002
499,Calbert Cheaney,DEN,6-7,2002
500,Calvin Booth,SEA,6-11,2002
501,Carlos Arroyo,DEN,6-2,2002
502,Carlos Rogers,IND,6-11,2002
503,Cedric Henderson,GSW,6-7,2002
504,Charles Oakley,CHI,6-9,2002
505,Charles Smith,SAS,6-4,2002
506,Charlie Bell,DAL,6-3,2002
507,Charlie Ward,NYK,6-2,2002
508,Chauncey Billups,MIN,6-3,2002
509,Cherokee Parks,SAS,6-11,2002
510,Chris Andersen,DEN,6-10,2002
511,Chris Childs,TOR,6-3,2002
512,Chris Crawford,ATL,6-9,2002
513,Chris Dudley,POR,6-11,2002
514,Chris Gatling,MIA,,2002
515,Chris Mihm,CLE,7-0,2002
516,Chris Mills,GSW,6-7,2002
517,Chris Webber,SAC,6-10,2002
518,Chris Whitney,WAS,6-0,2002
519,Christian Laettner,WAS,6-11,2002
520,Chucky Atkins,DET,5-11,2002
521,Chucky Brown,SAC,6-8,2002
522,Clar. Weatherspoon,NYK,6-7,2002
523,Clifford Robinson,DET,6-10,2002
524,Corey Maggette,LAC,6-6,2002
525,Corie Blount,PHI,6-10,2002
526,Corliss Williamson,DET,6-7,2002
527,Courtney Alexander,WAS,6-6,2002
528,Cuttino Mobley,HOU,6-4,2002
529,Dale Davis,POR,6-11,2002
530,Dalibor Bagaric,CHI,7-1,2002
531,Damon Jones,DET,6-3,2002
532,Damon Stoudamire,POR,5-10,2002
533,Damone Brown,PHI,6-8,2002
534,Dan Langhi,HOU,6-11,2002
535,Dan Majerle,PHX,6-6,2002
536,Dana Barros,DET,5-11,2002
537,Daniel Santiago,PHX,7-1,2002
538,Danny Ferry,SAS,6-10,2002
539,Danny Fortson,GSW,6-8,2002
540,Danny Manning,DAL,6-10,2002
541,Darius Miles,LAC,6-9,2002
542,Darrell Armstrong,ORL,6-1,2002
