Season,Player,G,MP,USG%,FGA,Personal Fouls Committed,BLK,STL,DRB,ORB,TOV,AST,% of FG Ast'd - 3P,% of FG Ast'd - 2P,FTr,Shooting Fouls Drawn,Corner 3s - %3PA,% of FGA by Distance - 3P,% of FGA by Distance - 16-3P,% of FGA by Distance - 10-16,% of FGA by Distance - 3-10,% of FGA by Distance - 0-3,Dunks - %FGA
2001,Corie Blount,68.0,1305.0,13.2,26.89971832474567,15.01379627427665,1.8767245342845813,3.7534490685691626,20.018395032368876,16.890520808561238,6.8813232923768,5.630173602853746,1.0,0.656,0.282,,0.375,0.027,0.201,0.17,0.228,0.374,0.099
2001,Danny Fortson,6.0,203.0,17.4,16.70594287655609,7.447227547380427,0.0,0.6038292605984128,23.146788322939162,9.661268169574605,3.4216991433910064,1.6102113615957676,0.0,0.379,1.08,,0.0,0.0,0.06,0.24,0.28,0.42,0.04
2001,Danny Manning,82.0,1305.0,23.2,55.490545118245485,24.56138882282997,3.6387242700488835,5.458086405073326,16.37425921521998,7.277448540097767,10.916172810146652,10.00649174263443,1.0,0.692,0.28,,0.036,0.056,0.276,0.184,0.228,0.256,0.006
2001,Derek Strong,28.0,491.0,14.6,31.469137758678624,8.241917032034879,0.0,3.7463259236522166,19.48089480299153,8.99118221676532,5.994121477843547,2.24779555419133,0.0,0.644,0.316,,0.0,0.009,0.316,0.179,0.145,0.35,0.017
2001,Derrick Coleman,34.0,683.0,22.8,42.82133126397406,9.135217336314469,3.425706501117925,1.7128532505589624,23.40899442430582,7.99331516927516,6.85141300223585,6.280461918716197,1.0,0.688,0.361,,0.196,0.2,0.149,0.231,0.212,0.208,0.035
2001,Dirk Nowitzki,82.0,3125.0,23.8,24.113137582079993,4.759171891199999,1.9036687564800001,1.5863906304,12.215207854079999,2.3795859455999997,3.014142197759999,3.3314203238400006,0.947,0.602,0.431,,0.29,0.313,0.212,0.166,0.098,0.212,0.036
2001,Don Reid,65.0,764.0,13.1,36.689783723033905,48.363805816726504,13.341739535648692,6.670869767824346,40.025218606946076,21.680326745429127,11.674022093692606,5.0031523258682595,0.0,0.659,0.517,,0.0,0.0,0.014,0.048,0.269,0.669,0.172
2001,Donnell Harvey,18.0,65.0,19.6,141.3483550295858,141.3483550295858,17.668544378698225,35.33708875739645,141.3483550295858,53.00563313609467,70.6741775147929,17.668544378698225,0.0,0.375,1.143,,0.0,0.0,0.071,0.214,0.357,0.357,0.071
2001,Eduardo Nájera,40.0,431.0,15.0,55.56559234715574,23.813825291638178,3.968970881939696,5.9534563229095445,27.78279617357787,19.84485440969848,7.937941763879392,13.891398086788936,0.0,0.561,0.297,,0.333,0.027,0.081,0.108,0.198,0.586,0.063
2001,Elden Campbell,78.0,2337.0,22.8,27.46237119772725,9.239676290824121,4.619838145412061,2.053261397960916,14.88614513521664,5.133153494902289,4.619838145412061,3.3365497716864887,0.0,0.728,0.487,,0.0,0.007,0.104,0.283,0.324,0.282,0.078
2001,Elton Brand,74.0,2906.0,26.3,24.50183113088282,4.930246508043494,2.390422549354422,1.4940140933465134,9.262887378748385,5.826654964051403,4.482042280039541,4.780845098708844,0.0,0.666,0.388,,1.0,0.002,0.086,0.287,0.315,0.31,0.042
2001,Etdrick Bohannon,6.0,19.0,16.1,160.8332409972299,160.8332409972299,68.92853185595568,0.0,160.8332409972299,114.88088642659281,45.95235457063713,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2001,Gary Trent,33.0,319.0,23.9,96.15980975029727,39.45017835909633,4.931272294887041,9.862544589774082,39.45017835909633,29.587633769322235,17.259453032104638,7.396908442330559,0.0,0.632,0.277,,0.0,0.008,0.023,0.115,0.423,0.431,0.046
2001,Grant Long,66.0,1507.0,13.6,21.212169002077896,10.606084501038948,0.8838403750865791,4.861122062976184,13.257605626298686,5.303042250519474,3.9772816878896053,5.744962438062764,1.0,0.721,0.492,,0.333,0.047,0.517,0.097,0.107,0.232,0.031
2001,Horace Grant,77.0,2390.0,12.9,17.69700782549325,5.739570105565379,1.9131900351884599,1.6740412807899023,10.044247684739412,6.935313877558167,1.4348925263913448,3.8263800703769197,0.0,0.768,0.297,,0.0,0.005,0.404,0.146,0.09,0.355,0.037
2001,J.R. Reid,6.0,39.0,11.0,43.62603550295859,38.17278106508875,10.906508875739647,16.359763313609463,27.266272189349113,43.62603550295859,10.906508875739647,10.906508875739647,0.0,0.5,1.6,,0.0,0.0,0.6,0.2,0.0,0.2,0.0
2001,Jason Caffey,70.0,1460.0,16.6,27.540776881215987,13.770388440607993,2.118521298555076,2.648151623193845,16.418540063801842,10.06297616813661,5.825933571026459,4.237042597110152,0.0,0.665,0.575,,0.0,0.0,0.022,0.207,0.232,0.54,0.084
2001,Jerome Williams,59.0,1182.0,15.4,28.702620526166605,12.055100620989975,1.7221572315699962,5.7405241052333205,24.11020124197995,13.203205442036637,6.314576515756654,4.592419284186658,0.0,0.61,0.459,,0.0,0.01,0.146,0.153,0.143,0.548,0.054
2001,Joe Smith,69.0,1941.0,21.9,32.31860184563638,10.772867281878794,2.0381100263013936,2.0381100263013936,13.975611608923838,6.696647229276007,3.785061477416874,3.202744327045047,0.0,0.63,0.375,,0.4,0.007,0.348,0.175,0.226,0.244,0.027
2001,Juwan Howard,81.0,2974.0,24.6,25.636683582304197,6.152804059753009,0.8545561194101399,1.5382010149382523,8.5455611941014,3.5891357015225887,5.12733671646084,4.785514268696784,0.0,0.628,0.314,,0.333,0.002,0.071,0.306,0.398,0.222,0.049
2001,Karl Malone,81.0,2895.0,30.0,29.94080442427985,4.86988987623829,1.442930333700234,1.9840292088378213,12.445274128164513,2.525128083975409,5.410988751375875,8.116483127063816,1.0,0.822,0.503,,0.0,0.004,0.347,0.209,0.114,0.326,0.023
2001,Kenny Thomas,74.0,1820.0,16.1,23.99626711749789,9.14143509238015,2.2853587730950373,1.9044656442458643,15.235725153966914,6.094290061586766,6.094290061586766,3.8089312884917286,1.0,0.575,0.271,,0.098,0.198,0.112,0.06,0.198,0.432,0.067
2001,Kenyon Martin,68.0,2272.0,19.9,23.528188851418367,8.461892481650464,3.5085895655623878,2.2702638365403685,11.144931561198176,4.127752430073397,4.127752430073397,3.9213648085697272,1.0,0.696,0.247,,0.182,0.014,0.292,0.221,0.203,0.269,0.095
2001,Keon Clark,81.0,1720.0,18.6,32.702096268253115,15.329107625743648,9.708434829637643,2.0438810167658197,18.905899405083833,8.686494321254733,5.620672796106005,4.598732287723094,0.0,0.655,0.462,,0.0,0.002,0.077,0.158,0.243,0.52,0.125
2001,Kevin Garnett,81.0,3202.0,27.0,26.833742340144212,3.685953618151678,2.653886605069208,2.0641340261649397,12.827118591167839,3.980829907603812,4.128268052329879,7.371907236303356,0.895,0.638,0.317,,0.167,0.045,0.265,0.196,0.26,0.235,0.05
2001,Kurt Thomas,77.0,2125.0,18.5,24.201152221453288,11.193032902422143,2.7226296249134947,2.4201152221453284,13.613148124567473,6.655316860899655,3.932687235986159,2.4201152221453284,1.0,0.735,0.342,,0.333,0.005,0.083,0.189,0.301,0.422,0.021
2001,LaPhonso Ellis,82.0,1948.0,19.6,31.843945878255585,14.288950073576224,3.6743014474910294,3.2660457311031377,14.697205789964118,9.798137193309412,5.307324313042597,4.490812880266812,1.0,0.619,0.333,,0.364,0.034,0.262,0.139,0.224,0.341,0.065
2001,Lamar Odom,76.0,2836.0,24.1,22.833700100063457,5.1293094427678785,2.647385518847937,1.6546159492799606,10.424080480463752,2.316462328991945,5.791155822479863,8.604002936255796,0.713,0.409,0.369,,0.043,0.242,0.154,0.104,0.222,0.278,0.017
2001,Lari Ketner,3.0,7.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,296.2285714285714,126.95510204081631,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001,Larry Johnson,65.0,2105.0,17.4,20.21123329252261,7.029994188703517,0.8787492735879396,1.3181239103819093,9.226867372673366,3.075622457557788,3.295309775954773,4.3937463679396975,0.941,0.456,0.214,,0.387,0.273,0.052,0.177,0.164,0.334,0.013
2001,Lawrence Funderburke,59.0,698.0,19.5,67.49312074613508,11.523215737145014,3.2923473534700043,3.2923473534700043,34.56964721143505,21.400257797555028,8.23086838367501,4.938521030205006,0.0,0.642,0.318,,0.0,0.0,0.227,0.132,0.194,0.446,0.103
2001,Loy Vaught,51.0,549.0,16.4,65.61332975006718,29.824240795485082,1.9882827196990054,7.9531308787960215,47.718785272776124,19.882827196990053,9.941413598495027,9.941413598495027,0.0,0.725,0.059,,0.0,0.0,0.396,0.213,0.112,0.278,0.024
2001,Malik Rose,57.0,1219.0,19.8,32.74448252679579,13.097793010718316,3.5263288875010845,5.037612696430121,18.63916697679145,8.563941583931205,6.548896505359158,4.030090157144097,1.0,0.694,0.435,,0.412,0.046,0.174,0.177,0.204,0.399,0.068
2001,Marcus Fizer,72.0,1580.0,24.7,43.06017625380549,11.482713667681463,1.4353392084601828,1.913785611280244,15.788731293062009,5.2629104310206705,8.133588847941036,5.2629104310206705,0.8,0.638,0.249,,0.103,0.06,0.138,0.263,0.218,0.32,0.037
2001,Mark Bryant,18.0,101.0,12.2,80.4965787667876,117.08593275169105,7.31787079698069,7.31787079698069,65.8608371728262,14.63574159396138,21.953612390942066,14.63574159396138,0.0,0.625,0.25,,0.0,0.0,0.15,0.25,0.45,0.15,0.05
2001,Mark Madsen,70.0,641.0,10.9,43.962509826446116,43.962509826446116,2.7476568641528822,2.7476568641528822,30.224225505681698,30.224225505681698,10.990627456611529,8.242970592458645,1.0,0.593,0.327,,1.0,0.009,0.035,0.071,0.204,0.681,0.159
2001,Mark Pope,63.0,942.0,8.4,23.702251612641483,22.67171893383099,4.122130715241998,3.091598036431498,14.427457503346991,9.274794109294495,3.091598036431498,6.183196072862996,1.0,0.719,0.246,,0.667,0.169,0.239,0.077,0.07,0.444,0.056
2001,Matt Bullard,61.0,1000.0,14.9,42.86592000000001,10.287820800000002,0.8573184000000003,1.7146368000000005,15.431731200000003,3.429273600000001,1.7146368000000005,6.001228800000001,0.953,0.721,0.046,,0.188,0.698,0.203,0.036,0.026,0.036,0.003
2001,Michael Ruffin,45.0,879.0,9.0,12.077018951880628,17.511677480226908,4.830807580752251,4.226956633158219,21.738634113385128,13.284720847068689,6.038509475940314,5.434658528346282,0.0,0.625,0.856,,0.0,0.0,0.022,0.044,0.144,0.789,0.2
2001,Michael Smith,79.0,1610.0,9.6,15.532556305698083,11.094683075498633,2.7736707688746582,3.883139076424521,27.181973534971654,12.204151383048496,4.437873230199452,7.211543999074111,0.0,0.594,0.706,,0.0,0.005,0.018,0.083,0.289,0.606,0.06
2001,Obinna Ekezie,33.0,281.0,18.8,79.43972340775825,47.66383404465495,6.35517787262066,6.35517787262066,44.486245108344626,28.59830042679297,12.71035574524132,9.53276680893099,0.0,0.625,0.654,,0.0,0.0,0.111,0.235,0.321,0.333,0.049
2001,Otis Thorpe,49.0,647.0,12.4,35.68041012018375,29.072926764594172,1.3214966711179166,2.642993342235833,25.10843675124042,13.214966711179168,9.250476697825416,7.9289800267074995,0.0,0.712,0.183,,0.0,0.0,0.282,0.16,0.176,0.382,0.053
2001,Popeye Jones,45.0,638.0,13.8,38.97131514037795,24.070518174939323,2.2924303023751733,4.584860604750347,34.3864545356276,20.63187272137656,5.731075755937933,8.023506058313107,1.0,0.627,0.359,,0.5,0.039,0.209,0.209,0.222,0.32,0.0
2001,Rashard Lewis,78.0,2720.0,18.4,21.59925259515572,4.547211072664361,1.1368027681660902,2.2736055363321803,9.662823529411764,3.4104083044982696,3.220941176470588,3.0314740484429072,0.992,0.723,0.24,,0.225,0.321,0.15,0.11,0.174,0.245,0.067
2001,Rasheed Wallace,77.0,2940.0,23.4,24.180244897959188,4.267102040816326,2.8447346938775513,1.8964897959183675,9.324408163265307,3.002775510204082,3.3188571428571434,4.425142857142857,0.981,0.727,0.272,,0.185,0.138,0.226,0.18,0.205,0.252,0.086
2001,Reggie Slater,55.0,686.0,17.6,47.39249802378261,34.06335795459375,2.962031126486413,4.443046689729619,29.620311264864135,20.734217885404888,11.848124505945652,7.405077816216034,0.0,0.644,0.629,,0.0,0.0,0.097,0.04,0.286,0.577,0.08
2001,Robert Horry,79.0,1587.0,14.0,27.404636204130206,15.41510786482324,3.996509446435655,3.996509446435655,14.844177943903864,6.8511590510325515,5.709299209193793,9.13487873471007,0.852,0.484,0.218,,0.25,0.411,0.174,0.126,0.097,0.192,0.029
2001,Rubén Garcés,13.0,73.0,18.4,124.21452430099458,80.37410395946708,14.613473447175833,14.613473447175833,73.06736723587916,87.68084068305498,29.226946894351666,29.226946894351666,0.0,0.571,0.364,,0.0,0.0,0.091,0.045,0.227,0.636,0.0
2001,Rubén Wolkowyski,34.0,305.0,15.7,65.85192367643106,31.494398280032254,14.31563558183284,5.726254232733137,28.63127116366568,11.452508465466273,11.452508465466273,2.8631271163665684,0.0,0.8,0.43,,0.0,0.025,0.19,0.139,0.291,0.354,0.051
2001,Sam Perkins,64.0,999.0,12.2,33.096303510717924,9.45608671734798,2.8368260152043936,4.72804335867399,19.857782106430754,4.72804335867399,2.8368260152043936,5.673652030408787,0.974,0.688,0.168,,0.345,0.487,0.217,0.049,0.168,0.08,0.0
2001,Samaki Walker,61.0,963.0,18.3,37.90298618996321,15.715872322667673,6.471241544627865,1.8489261556079617,26.809429256315443,10.16909385584379,10.16909385584379,4.622315389019905,0.0,0.617,0.492,,0.0,0.012,0.155,0.226,0.29,0.317,0.107
2001,Scott Padgett,27.0,127.0,22.4,166.6182404364809,83.30912021824045,10.413640027280056,20.827280054560113,72.89548019096038,72.89548019096038,41.654560109120226,20.827280054560113,1.0,0.462,0.465,,0.0,0.209,0.233,0.047,0.07,0.442,0.0
2001,Shawn Kemp,68.0,1083.0,24.5,55.408095395216435,24.524894683128586,2.724988298125398,6.358306028959262,26.341553548545512,8.174964894376195,13.624941490626993,9.083294327084658,0.75,0.744,0.317,,0.364,0.027,0.53,0.087,0.109,0.247,0.024
2001,Stanislav Medvedenko,7.0,39.0,38.2,267.20946745562134,96.49230769230772,7.422485207100593,7.422485207100593,81.64733727810653,7.422485207100593,29.68994082840237,22.267455621301778,1.0,0.727,0.48,,0.0,0.04,0.32,0.12,0.12,0.4,0.12
2001,Steve Goodrich,12.0,133.0,10.2,28.134094635083947,22.507275708067155,1.8756063090055966,3.751212618011193,22.507275708067155,11.253637854033578,13.129244163039175,9.378031545027984,1.0,0.667,0.389,,0.333,0.167,0.167,0.056,0.0,0.611,0.0
2001,Stromile Swift,80.0,1312.0,16.2,35.97858417608566,17.132659131469367,8.566329565734684,6.853063652587746,18.84592504461631,11.992861392028557,6.853063652587746,3.426531826293873,0.0,0.732,0.416,,0.0,0.012,0.094,0.139,0.316,0.44,0.198
2001,Terry Davis,19.0,228.0,7.8,20.8,28.799999999999997,1.6,1.6,24.0,20.8,4.8,6.4,0.0,0.417,0.88,,0.0,0.0,0.12,0.04,0.16,0.68,0.0
2001,Terry Mills,14.0,113.0,18.2,84.87756284752135,49.511911661054114,3.536565118646723,7.073130237293446,42.43878142376067,10.609695355940168,24.755955830527057,14.146260474586892,1.0,0.75,0.0,,0.235,0.5,0.206,0.147,0.059,0.088,0.0
2001,Tim Duncan,82.0,3174.0,28.7,26.29616675183408,4.613362588041065,3.5369113174981504,1.3840087764123197,13.840087764123195,4.920920093910469,4.613362588041065,4.613362588041065,0.857,0.528,0.471,,0.111,0.019,0.127,0.262,0.341,0.25,0.052
2001,Tim Thomas,76.0,2086.0,21.3,30.583068054481828,7.951597694165276,1.8349840832689095,3.0583068054481832,9.480751096889367,3.0583068054481832,4.587460208172275,5.504952249806729,0.972,0.621,0.334,,0.327,0.343,0.124,0.173,0.109,0.251,0.061
2001,Tom Gugliotta,57.0,1159.0,17.9,37.337059930126316,10.588121472722387,2.2290782047836606,4.458156409567321,17.275356087073373,7.244504165546898,5.0154259607632365,5.572695511959152,1.0,0.726,0.203,,0.5,0.032,0.382,0.192,0.126,0.268,0.018
2001,Tom Hammonds,7.0,30.0,20.9,175.61599999999999,137.98400000000004,0.0,0.0,37.632,37.632,50.176,12.544,0.0,0.667,0.2,,0.0,0.0,0.1,0.2,0.3,0.4,0.0
2001,Tony Massenburg,52.0,823.0,15.4,34.952085028103035,21.155209359115,4.598958556329347,1.8395834225317387,23.914584492912603,12.87708395772217,8.278125401392824,1.8395834225317387,0.0,0.728,0.352,,0.0,0.0,0.07,0.151,0.387,0.392,0.09
2001,Tyrone Hill,76.0,2363.0,16.0,18.35155802469622,7.626621516756873,0.9533276895946091,1.1916596119932614,14.061583421520485,7.38828959435822,4.051642680777088,1.4299915343919134,0.0,0.712,0.465,,0.0,0.002,0.053,0.225,0.327,0.394,0.043
2001,Vin Baker,76.0,2129.0,23.8,31.708966847363378,10.276054070904799,2.936015448829943,1.4680077244149714,9.68885098113881,7.046437077191861,6.165632442542879,3.5232185385959305,0.0,0.633,0.391,,0.0,0.019,0.209,0.107,0.294,0.37,0.029
2001,Walter McCarty,60.0,478.0,15.0,76.23395948950474,50.82263965966982,3.6301885471192734,7.260377094238547,36.30188547119273,14.520754188477094,10.890565641357819,25.41131982983491,0.895,0.538,0.222,,0.286,0.444,0.206,0.143,0.056,0.151,0.016
2002,Aaron Williams,82.0,1546.0,17.4,35.00136328111271,16.852508246461674,5.8335605468521186,2.59269357637872,17.500681640556355,9.074427517325518,6.481733940946798,5.8335605468521186,0.0,0.727,0.424,,0.0,0.005,0.055,0.146,0.33,0.465,0.153
2002,Al Harrington,44.0,1313.0,21.6,28.461059334593607,9.83200231558688,1.2936845152088001,2.328632127375841,10.608213024712162,5.692211866918721,4.657264254751682,3.10484283650112,1.0,0.541,0.298,,0.333,0.006,0.182,0.271,0.233,0.308,0.079
2002,Alan Henderson,26.0,422.0,16.8,39.356528379865686,13.118842793288563,5.247537117315424,3.4983580782102828,21.86473798881427,10.495074234630849,6.9967161564205655,3.4983580782102828,1.0,0.672,0.388,,0.0,0.009,0.034,0.121,0.25,0.586,0.095
2002,Alton Ford,53.0,452.0,17.3,69.69153418435272,60.18814315921371,3.1677970083796687,3.1677970083796687,44.34915811731536,19.006782050278012,19.006782050278012,3.1677970083796687,0.0,0.721,0.483,,0.0,0.0,0.042,0.169,0.246,0.542,0.085
2002,Anthony Mason,82.0,3143.0,12.7,11.918867992333615,3.6070258397851727,0.47048163127632686,1.0977904729780963,10.036941467228308,2.3524081563816344,2.509235366807077,6.586742837868577,1.0,0.53,0.353,,0.0,0.002,0.042,0.236,0.337,0.383,0.005
2002,Antoine Walker,81.0,3406.0,27.8,27.233879489374736,3.778863661205107,0.6515282174491563,1.954584652347469,9.121395044288189,2.4758072263067943,4.039474948184769,6.5152821744915626,0.91,0.345,0.192,,0.118,0.382,0.081,0.076,0.167,0.294,0.017
2002,Antonio Davis,77.0,2978.0,19.6,19.254158884427145,4.466964861187098,1.6943659818295893,1.0782328975279203,9.704096077751283,5.083097945488766,3.234698692583761,3.0806654215083435,0.0,0.637,0.372,,0.0,0.001,0.162,0.353,0.154,0.33,0.087
2002,Antonio Harvey,5.0,47.0,15.7,62.58035310095065,41.72023540063377,15.645088275237663,5.215029425079221,20.860117700316884,26.075147125396107,15.645088275237663,26.075147125396107,0.0,0.5,0.167,,0.0,0.0,0.25,0.083,0.333,0.333,0.0
2002,Antonio McDyess,10.0,236.0,20.8,31.025567365699505,8.273484630853202,3.309393852341281,4.136742315426601,15.305946567078422,7.446136167767882,8.273484630853202,7.446136167767882,0.0,0.884,0.44,,0.0,0.0,0.293,0.173,0.093,0.44,0.093
2002,Antonis Fotsis,28.0,320.0,19.0,65.26799999999999,14.112000000000002,7.056000000000001,5.292,22.932000000000002,15.876,14.112000000000002,7.056000000000001,1.0,0.429,0.192,,0.217,0.221,0.279,0.048,0.077,0.375,0.048
2002,Art Long,63.0,989.0,16.2,36.46158951704339,27.11246399985278,3.739650206876246,2.8047376551571843,21.502988689538412,15.893513379224046,9.349125517190613,6.544387862033428,0.0,0.642,0.348,,0.0,0.0,0.029,0.139,0.299,0.533,0.16
2002,Austin Croshere,76.0,1286.0,19.9,47.47661356056007,11.265637116065099,3.218753461732886,2.414065096299664,23.33596259756342,8.046883654332214,7.2421952888989924,8.046883654332214,0.98,0.596,0.254,,0.359,0.324,0.234,0.109,0.103,0.23,0.054
2002,Bo Outlaw,83.0,1928.0,10.2,15.371884092904736,10.67491950896162,4.696964583943114,3.415974242867719,11.101916289320089,7.685942046452368,5.123961364301579,6.404951705376972,1.0,0.8,0.341,,0.0,0.007,0.02,0.033,0.11,0.829,0.14
2002,Brian Cardinal,8.0,43.0,15.2,127.5984856679286,47.84943212547323,0.0,7.9749053542455375,39.87452677122769,23.924716062736614,0.0,23.924716062736614,1.0,0.667,0.154,,0.571,0.538,0.385,0.077,0.0,0.0,0.0
2002,Brian Grant,72.0,2256.0,16.6,19.947487550928024,7.744318696242644,0.9387052965142599,1.6427342688999547,13.376550475328203,5.397555454956994,3.989497510185605,4.458850158442734,0.0,0.762,0.195,,0.5,0.003,0.375,0.169,0.174,0.279,0.057
