,Player,G,MP,TS%,3PAr,FTr,USG%
53,Jerrelle Benimon,2,3,,,,15.3
167,Joey Dorsey,69,854,.507,.007,.572,11.3
452,Johnny O'Bryant,34,368,.379,.000,.225,19.2
363,Jon Leuer,63,824,.478,.106,.216,18.6
310,Jonas Jerebko,75,1230,.549,.369,.174,16.2
399,Josh McRoberts,17,296,.613,.358,.245,12.8
566,Josh Smith,83,2300,.467,.231,.258,24.8
500,Julius Randle,1,14,.258,.000,.667,15.5
195,Kenneth Faried,75,2086,.548,.011,.391,20.3
379,Kenyon Martin,11,104,.437,.000,.091,11.2
216,Kevin Garnett,47,952,.496,.023,.147,17.8
369,Kevin Love,75,2532,.562,.412,.337,21.7
292,Kris Humphries,64,1345,.512,.016,.262,18.3
453,Kyle O'Quinn,51,824,.550,.178,.236,17.7
10,LaMarcus Aldridge,71,2512,.528,.074,.256,30.2
597,Lance Thomas,40,1040,.478,.066,.209,17.8
14,Lou Amundson,53,937,.442,.004,.341,17.4
385,Luc Mbah a Moute,67,1916,.466,.318,.256,18.3
538,Luis Scola,81,1659,.515,.031,.352,22.8
598,Malcolm Thomas,17,194,.492,.175,.325,13.2
422,Marcus Morris,81,2045,.520,.410,.148,19.0
423,Markieff Morris,82,2581,.523,.163,.211,23.3
649,Marvin Williams,78,2035,.541,.535,.176,13.3
67,Matt Bonner,72,935,.536,.548,.161,12.5
51,Michael Beasley,24,505,.474,.160,.123,24.2
433,Mike Muscala,40,502,.608,.146,.166,16.7
539,Mike Scott,68,1123,.543,.424,.170,21.4
588,Mirza Teletović,40,892,.500,.605,.144,20.1
393,Mitch McGary,32,485,.550,.012,.242,19.0
278,Nenê,67,1693,.534,.008,.336,21.8
124,Nick Collison,66,1101,.485,.237,.257,12.8
416,Nikola Mirotić,82,1654,.556,.502,.455,22.8
621,Noah Vonleh,25,259,.475,.171,.342,17.3
463,Patrick Patterson,81,2156,.568,.529,.150,13.1
220,Pau Gasol,78,2681,.550,.023,.317,24.7
415,Paul Millsap,73,2390,.565,.232,.362,23.8
0,Quincy Acy,68,1287,.533,.181,.293,15.5
410,Quincy Miller,10,119,.338,.474,.289,17.8
191,Reggie Evans,47,764,.490,.015,.708,13.0
20,Ryan Anderson,61,1675,.524,.492,.207,23.4
335,Ryan Kelly,52,1233,.473,.434,.307,14.0
293,Serge Ibaka,64,2116,.549,.261,.140,18.9
501,Shavlik Randolph,21,126,.298,.143,.343,15.1
640,Shayne Whittington,20,108,.547,.143,.548,23.9
269,Spencer Hawes,73,1274,.478,.424,.164,17.9
449,Steve Novak,13,88,.357,.714,.000,11.3
226,Taj Gibson,62,1692,.545,.000,.364,17.6
329,Terrence Jones,33,889,.567,.124,.314,18.4
670,Thaddeus Young,76,2434,.507,.119,.207,21.5
521,Thomas Robinson,54,798,.502,.008,.408,20.2
68,Trevor Booker,79,1564,.536,.181,.319,18.1
604,Tristan Thompson,82,2194,.580,.000,.508,14.0
259,Tyler Hansbrough,74,1058,.597,.042,.842,10.5
599,Tyrus Thomas,2,7,1.064,.000,2.000,12.3
268,Udonis Haslem,62,995,.488,.042,.268,14.6
504,Zach Randolph,71,2304,.538,.021,.320,24.3
