,Player,G,MP,TS%,3PAr,FTr,USG%
231,Aaron Gordon,47,797,.517,.231,.293,15.5
466,Adreian Payne,32,739,.443,.041,.209,17.0
581,Amar'e Stoudemire,59,1245,.595,.008,.380,23.8
316,Amir Johnson,75,1979,.603,.089,.249,15.7
443,Andrew Nicholson,40,492,.483,.216,.132,20.8
54,Anthony Bennett,57,894,.458,.077,.215,17.8
152,Anthony Davis,68,2455,.591,.010,.384,27.8
608,Anthony Tolliver,76,1432,.569,.738,.176,14.7
250,Blake Griffin,67,2356,.551,.022,.373,28.4
164,Boris Diaw,81,1984,.526,.267,.147,18.3
662,Brandan Wright,75,1449,.660,.008,.309,13.6
44,Brandon Bass,82,1929,.557,.047,.313,19.5
149,Brandon Davies,27,423,.463,.248,.270,18.9
34,Cameron Bairstow,18,64,.309,.000,.357,13.5
348,Carl Landry,70,1192,.578,.000,.407,18.1
69,Carlos Boozer,71,1692,.517,.000,.202,23.7
212,Channing Frye,75,1870,.546,.710,.072,14.1
620,Charlie Villanueva,64,678,.534,.610,.097,26.7
305,Cory Jefferson,50,531,.480,.090,.323,18.1
137,Dante Cunningham,66,1652,.473,.029,.139,10.9
27,Darrell Arthur,58,988,.466,.286,.154,20.0
357,David Lee,49,904,.541,.006,.332,19.6
634,David Wear,2,7,.000,.500,.000,12.6
637,David West,66,1895,.508,.029,.235,21.0
61,DeJuan Blair,29,180,.469,.000,.105,18.3
197,Derrick Favors,74,2280,.558,.007,.362,23.8
644,Derrick Williams,74,1462,.540,.322,.404,18.9
450,Dirk Nowitzki,77,2282,.560,.258,.272,24.9
425,Donatas Motiejūnas,71,2037,.553,.190,.237,19.1
240,Draymond Green,79,2490,.540,.430,.261,17.2
229,Drew Gooden,51,864,.469,.214,.159,17.0
233,Drew Gordon,9,71,.428,.158,.105,17.1
483,Dwight Powell,29,236,.552,.164,.493,17.5
114,Earl Clark,10,93,.425,.467,.133,18.5
153,Ed Davis,79,1840,.594,.000,.403,14.8
615,Ekpe Udoh,33,128,.519,.000,.375,12.3
420,Eric Moreland,3,2,1.000,.000,.000,22.0
295,Ersan İlyasova,58,1319,.554,.341,.192,22.1
8,Furkan Aldemir,41,540,.517,.064,.346,8.6
154,Glen Davis,74,904,.495,.016,.373,16.7
313,Grant Jerrett,8,51,.303,.577,.038,25.4
418,Greg Monroe,69,2137,.549,.000,.394,23.9
558,Greg Smith,42,363,.605,.000,.796,9.5
243,JaMychal Green,24,164,.603,.128,.213,18.3
460,Jabari Parker,25,738,.527,.061,.251,20.7
321,James Johnson,70,1370,.617,.126,.252,17.4
386,James Michael McAdoo,15,137,.564,.000,.568,19.4
585,Jared Sullinger,58,1566,.503,.260,.182,23.6
580,Jarnell Stokes,19,126,.578,.000,.757,20.5
383,Jason Maxiell,61,878,.455,.000,.370,13.1
602,Jason Thompson,81,1991,.500,.002,.334,12.7
3,Jeff Adrien,17,215,.494,.000,.864,14.3
32,Jeff Ayres,51,383,.618,.000,.379,16.3
