,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
224,Aaron Gordon,58,1909,.434,14.1,.605,.275,.109,.106,.114,.395,.497,.718,.287,.380,.273,.336,.488,.835,.199,.368
508,Adreian Payne,5,43,.700,16.2,.700,.100,.200,.000,.400,.300,.714,1.000,1.000,,.500,.667,.800,1.000,.333,1.000
10,Al-Farouq Aminu,69,2072,.395,16.5,.418,.215,.120,.026,.057,.582,.432,.608,.314,.133,.152,.369,.486,.960,.280,.474
659,Alan Williams,5,70,.389,5.1,1.000,.333,.500,.167,.000,.000,.389,.667,.333,.000,,,.857,,,
519,Alec Peters,20,225,.378,20.2,.216,.135,.027,.014,.041,.784,.625,.600,1.000,.000,.667,.310,.800,1.000,.259,.200
530,Alex Poythress,25,104,.423,12.2,.577,.462,.077,.000,.038,.423,.467,.583,.000,,.000,.364,.714,1.000,.364,.500
154,Anthony Davis,75,2727,.534,9.2,.889,.374,.201,.157,.157,.111,.558,.744,.483,.428,.339,.340,.701,.909,.093,.400
615,Anthony Tolliver,79,1757,.464,20.1,.227,.138,.059,.017,.013,.773,.561,.708,.286,.375,.500,.436,.733,1.000,.247,.411
445,Ben Moore,2,9,,,,,,,,,,,,,,,,,,
237,Blake Griffin,58,1970,.438,12.5,.677,.284,.224,.060,.109,.323,.482,.682,.377,.250,.303,.345,.378,.694,.112,.417
526,Bobby Portis,73,1643,.471,11.9,.725,.296,.191,.105,.132,.275,.514,.588,.458,.541,.411,.359,.540,1.000,.112,.360
674,Brandan Wright,28,381,.578,3.2,1.000,.696,.167,.118,.020,.000,.578,.690,.294,.333,.500,,.814,,,
325,Brice Johnson,18,98,.476,9.0,.976,.333,.262,.095,.286,.024,.488,.714,.364,.750,.250,.000,.650,,.000,
597,Caleb Swanigan,27,189,.400,7.5,.867,.500,.233,.033,.100,.133,.442,.533,.357,.500,.167,.125,.696,1.000,.125,.000
16,Carmelo Anthony,78,2501,.404,17.1,.594,.120,.063,.184,.228,.406,.437,.571,.329,.456,.380,.357,.376,.876,.116,.327
163,Cheick Diallo,52,581,.580,5.9,1.000,.477,.239,.176,.108,.000,.580,.750,.452,.484,.263,,.824,,,
72,Chris Boucher,1,1,.000,22.0,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,1.000,.000
414,Chris McCullough,19,90,.429,10.4,.810,.357,.167,.190,.095,.190,.500,.733,.000,.625,.250,.125,.882,1.000,.000,
669,D.J. Wilson,22,71,.563,12.4,.688,.313,.188,.063,.125,.313,.636,.800,1.000,.000,.000,.400,.714,1.000,.200,1.000
565,Dario Šarić,78,2310,.453,15.0,.552,.252,.142,.046,.111,.448,.501,.661,.405,.317,.343,.393,.663,1.000,.100,.375
21,Darrell Arthur,19,141,.468,17.8,.511,.128,.064,.149,.170,.489,.583,1.000,.000,.286,.750,.348,.929,1.000,.174,.250
108,DeMarre Carroll,73,2180,.414,15.1,.502,.210,.175,.066,.051,.498,.457,.606,.365,.346,.300,.371,.461,.931,.251,.408
661,Derrick Williams,2,9,.250,12.8,.500,.250,.250,.000,.000,.500,.500,1.000,.000,,,.000,1.000,,1.000,.000
203,Dorian Finney-Smith,21,448,.380,16.4,.446,.207,.107,.041,.091,.554,.481,.720,.308,.000,.364,.299,.615,.950,.343,.391
50,Dragan Bender,82,2069,.386,17.8,.335,.180,.099,.025,.031,.665,.426,.575,.313,.167,.133,.366,.507,.992,.255,.378
233,Draymond Green,70,2287,.454,13.4,.586,.355,.111,.076,.044,.414,.562,.695,.391,.362,.259,.301,.716,.909,.066,.118
51,Dāvis Bertāns,77,1086,.440,19.7,.311,.137,.068,.057,.049,.689,.588,.800,.440,.524,.278,.373,.836,1.000,.143,.500
447,Eric Moreland,67,805,.541,3.6,1.000,.574,.311,.090,.025,.000,.541,.671,.395,.364,.000,,.712,,,
298,Ersan İlyasova,69,1729,.452,13.9,.587,.299,.104,.085,.100,.413,.517,.623,.375,.385,.459,.360,.753,.967,.269,.485
349,Frank Kaminsky,79,1835,.429,14.2,.617,.170,.251,.130,.066,.383,.459,.672,.378,.430,.277,.380,.517,.990,.077,.286
474,Georges Niang,9,32,.364,11.9,.636,.182,.364,.091,.000,.364,.571,.500,.750,.000,,.000,.250,,.750,.000
15,Giannis Antetokounmpo,75,2756,.529,8.4,.900,.454,.173,.114,.160,.100,.554,.756,.355,.350,.339,.307,.429,.907,.107,.333
678,Guerschon Yabusele,33,235,.426,17.7,.393,.213,.066,.016,.098,.607,.583,.769,.250,1.000,.333,.324,.786,1.000,.108,.250
35,Harrison Barnes,77,2634,.445,13.2,.724,.210,.205,.136,.172,.276,.478,.630,.440,.354,.438,.357,.366,.832,.255,.412
182,Henry Ellenson,38,329,.363,14.6,.589,.164,.253,.089,.082,.411,.384,.750,.243,.231,.250,.333,.455,1.000,.217,.308
272,Isaiah Hicks,18,240,.458,7.3,.875,.514,.181,.111,.069,.125,.492,.649,.154,.500,.200,.222,.806,1.000,.333,.333
536,Ivan Rabb,36,516,.566,7.5,1.000,.461,.145,.151,.243,.000,.566,.686,.409,.478,.486,,.686,,,
235,JaMychal Green,55,1542,.457,10.5,.740,.447,.086,.064,.143,.260,.499,.624,.214,.226,.400,.339,.583,.977,.417,.358
501,Jabari Parker,31,743,.482,11.8,.756,.349,.145,.108,.154,.244,.514,.621,.375,.444,.451,.383,.581,.968,.173,.500
137,Jack Cooley,7,87,.481,4.7,1.000,.481,.333,.148,.037,.000,.481,.615,.444,.250,.000,,.615,,,
657,Jacob Wiley,5,33,.250,16.3,.500,.250,.000,.000,.250,.500,.000,.000,,,.000,.500,,1.000,1.000,.500
