,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
253,Aaron Gordon,73,2297,.556,7.4,.807,.554,.183,.053,.017,.193,.619,.738,.382,.263,.417,.290,.642,.850,.391,.352
602,Adama Sanogo,9,66,.519,3.1,1.000,.556,.407,.037,.000,.000,.519,.667,.273,1.000,,,.500,,,
607,Admiral Schofield,23,84,.385,18.2,.385,.192,.115,.000,.077,.615,.400,.600,.000,,.500,.375,.500,1.000,.250,.500
545,Aleksej Pokusevski,28,405,.405,15.0,.545,.231,.207,.033,.074,.455,.470,.786,.280,.500,.000,.327,.774,1.000,.291,.188
244,Anthony Gill,50,466,.469,9.5,.744,.356,.338,.044,.006,.256,.546,.667,.426,.429,1.000,.244,.692,1.000,.293,.083
553,Bobby Portis,82,2008,.508,12.9,.732,.215,.218,.198,.101,.268,.545,.731,.485,.478,.409,.407,.552,.980,.419,.408
77,Bojan Bogdanović,28,921,.468,16.6,.513,.111,.200,.141,.061,.487,.518,.723,.447,.500,.423,.415,.584,.860,.232,.438
79,Bol Bol,43,469,.616,13.4,.656,.185,.272,.146,.053,.344,.717,.929,.683,.591,.500,.423,.789,1.000,.596,.419
136,Brandon Clarke,6,134,.559,9.2,.898,.254,.373,.186,.085,.102,.604,.600,.682,.545,.400,.167,.781,1.000,.667,.250
346,Cameron Johnson,58,1599,.446,17.5,.430,.170,.126,.073,.061,.570,.519,.724,.410,.378,.342,.391,.601,.957,.331,.462
85,Chris Boucher,50,705,.507,12.4,.567,.373,.166,.009,.018,.433,.642,.765,.417,.500,.250,.330,.595,1.000,.415,.256
752,Christian Wood,50,872,.466,13.8,.568,.261,.223,.042,.042,.432,.587,.812,.424,.455,.182,.307,.761,.971,.228,.346
744,D.J. Wilson,2,15,.667,10.3,.667,.333,.333,.000,.000,.333,.500,1.000,.000,,,1.000,1.000,1.000,.500,1.000
225,Daniel Gafford,29,623,.780,2.2,1.000,.720,.274,.005,.000,.000,.780,.866,.569,.000,,,.807,,,
227,Danilo Gallinari,26,385,.435,18.3,.511,.122,.115,.153,.122,.489,.552,.875,.400,.550,.375,.313,.486,.850,.031,.500
52,Darius Bazley,9,152,.600,9.9,.733,.333,.333,.067,.000,.267,.727,.900,.600,.500,,.250,.500,1.000,.625,.400
585,David Roddy,65,1177,.403,12.7,.599,.291,.247,.049,.012,.401,.478,.639,.356,.250,.000,.293,.598,.979,.311,.373
694,Dean Wade,54,1108,.414,22.6,.129,.073,.013,.017,.026,.871,.567,.765,.000,.500,.333,.391,.647,.987,.351,.408
38,Dominick Barlow,33,420,.496,7.4,.920,.398,.257,.221,.044,.080,.510,.578,.483,.480,.200,.333,.698,1.000,.889,.375
200,Dorian Finney-Smith,68,1934,.421,17.6,.342,.225,.096,.012,.010,.658,.560,.687,.306,.667,.000,.348,.745,.974,.348,.350
261,Draymond Green,55,1490,.497,11.6,.653,.293,.296,.056,.008,.347,.551,.670,.500,.143,1.000,.395,.769,.941,.310,.425
534,Drew Peterson,3,23,.667,21.3,.167,.167,.000,.000,.000,.833,1.000,1.000,,,,.600,1.000,1.000,.200,.000
60,Dāvis Bertāns,43,674,.393,23.7,.145,.064,.038,.004,.038,.855,.471,.600,.444,.000,.333,.380,.938,.961,.225,.333
391,E.J. Liddell,8,23,.167,22.1,.167,.167,.000,.000,.000,.833,1.000,1.000,,,,.000,1.000,,.000,
472,Evan Mobley,50,1532,.580,6.5,.893,.464,.337,.065,.027,.107,.604,.770,.462,.361,.133,.373,.725,1.000,.424,.360
330,GG Jackson II,48,1233,.428,15.7,.492,.263,.149,.039,.041,.508,.502,.676,.333,.227,.261,.357,.576,.863,.224,.484
502,Georges Niang,82,1831,.449,17.9,.373,.120,.196,.049,.008,.627,.572,.684,.524,.548,.200,.376,.741,.973,.354,.343
14,Giannis Antetokounmpo,73,2567,.611,6.7,.909,.519,.251,.068,.072,.091,.645,.818,.452,.323,.374,.274,.509,.500,.024,.000
729,Grant Williams,76,2130,.456,16.5,.445,.183,.165,.079,.017,.555,.558,.793,.400,.375,.400,.375,.740,.952,.318,.346
104,Greg Brown III,6,40,.455,8.5,.727,.636,.091,.000,.000,.273,.500,.571,.000,,,.333,.750,1.000,.000,
603,Gui Santos,23,192,.509,13.9,.509,.345,.164,.000,.000,.491,.643,.737,.444,,,.370,.667,.900,.296,.500
39,Harrison Barnes,82,2381,.474,15.9,.474,.182,.223,.052,.018,.526,.571,.684,.515,.421,.538,.387,.631,.966,.421,.420
301,Haywood Highsmith,66,1366,.465,16.6,.416,.191,.179,.027,.018,.584,.562,.667,.475,.667,.167,.396,.636,.987,.417,.438
683,Hunter Tyson,18,48,.400,20.9,.300,.100,.050,.050,.100,.700,.667,.500,1.000,.000,1.000,.286,1.000,1.000,.071,1.000
396,Isaiah Livers,23,469,.345,19.2,.336,.155,.086,.017,.078,.664,.462,.667,.300,.000,.333,.286,.778,1.000,.364,.286
473,Isaiah Mobley,10,72,.417,12.3,.583,.375,.167,.042,.000,.417,.500,.778,.000,.000,,.300,.429,1.000,.400,.250
648,Isaiah Stewart,46,1423,.487,13.5,.542,.301,.212,.018,.010,.458,.575,.635,.519,.429,.250,.383,.723,1.000,.349,.361
667,JT Thor,63,781,.437,13.6,.557,.344,.109,.060,.044,.443,.510,.651,.200,.364,.375,.346,.712,1.000,.519,.333
635,Jabari Smith Jr.,76,2424,.454,16.1,.544,.187,.140,.142,.074,.456,.530,.686,.479,.458,.371,.363,.617,.949,.182,.464
152,Jae Crowder,50,1156,.422,18.6,.385,.104,.148,.059,.074,.615,.538,.714,.475,.500,.450,.349,.893,.966,.452,.400
379,Jake LaRavia,35,806,.389,15.7,.485,.218,.218,.023,.026,.515,.442,.591,.303,.571,.250,.340,.569,.887,.167,.462
732,Jalen Williams,71,2223,.540,11.9,.757,.261,.241,.171,.085,.243,.576,.730,.473,.529,.488,.427,.404,.748,.104,.520
745,Jalen Wilson,43,664,.425,14.0,.587,.229,.251,.084,.022,.413,.495,.683,.356,.400,.500,.324,.615,1.000,.392,.379
122,Jamal Cain,26,259,.430,13.2,.608,.215,.253,.101,.038,.392,.479,.647,.350,.375,.667,.355,.652,.727,.581,.278
348,James Johnson,9,47,.300,11.1,.800,.200,.400,.200,.000,.200,.375,1.000,.250,.000,,.000,.333,,.000,
701,Jarace Walker,33,340,.409,17.4,.500,.164,.136,.082,.118,.500,.418,.500,.267,.556,.385,.400,.565,.818,.182,.300
686,Jarred Vanderbilt,29,581,.518,8.1,.763,.474,.272,.018,.000,.237,.586,.685,.452,.000,,.296,.706,1.000,.704,.316
654,Jayson Tatum,74,2645,.471,15.4,.573,.222,.167,.092,.092,.427,.542,.741,.441,.389,.397,.376,.357,.485,.059,.361
264,Jeff Green,78,1307,.456,14.5,.563,.199,.260,.077,.027,.437,.553,.767,.453,.500,.100,.331,.737,.943,.450,.347
257,Jerami Grant,54,1830,.451,13.2,.675,.214,.255,.096,.109,.325,.474,.599,.406,.415,.441,.402,.445,.973,.333,.467
584,Jeremiah Robinson-Earl,39,334,.474,13.0,.589,.284,.211,.063,.032,.411,.571,.630,.500,.833,.000,.333,.750,1.000,.513,.400
639,Jeremy Sochan,74,2193,.438,11.0,.707,.332,.256,.084,.035,.293,.492,.659,.362,.292,.333,.308,.596,.986,.317,.319
121,Jimmy Butler,60,2042,.499,9.7,.817,.267,.356,.139,.055,.183,.519,.679,.465,.391,.409,.414,.452,.800,.483,.443
142,John Collins,68,1901,.532,11.0,.689,.303,.304,.043,.039,.311,.605,.783,.493,.438,.276,.371,.730,.988,.431,.370
326,Jonathan Isaac,58,914,.510,12.6,.608,.395,.091,.056,.066,.392,.598,.717,.385,.375,.368,.375,.654,.976,.491,.455
376,Jonathan Kuminga,74,1949,.529,9.4,.809,.296,.364,.109,.039,.191,.578,.749,.519,.394,.353,.321,.615,.906,.279,.435
550,Jontay Porter,26,360,.385,16.8,.423,.231,.096,.077,.019,.577,.455,.542,.600,.000,.500,.333,.650,1.000,.083,.600
571,Julius Randle,46,1630,.472,11.7,.708,.266,.291,.115,.037,.292,.539,.689,.469,.406,.419,.311,.423,.868,.148,.528
676,Karl-Anthony Towns,62,2026,.504,12.7,.656,.258,.290,.063,.045,.344,.550,.690,.471,.450,.395,.416,.641,.971,.089,.414
398,Kenneth Lofton Jr.,21,199,.462,13.5,.692,.192,.256,.128,.115,.308,.537,.800,.500,.300,.444,.292,.517,1.000,.167,.250
735,Kenrich Williams,69,1029,.468,15.4,.496,.296,.104,.039,.057,.504,.540,.699,.379,.182,.250,.397,.733,.964,.312,.409
186,Kevin Durant,75,2791,.523,15.0,.717,.125,.153,.279,.160,.283,.567,.827,.530,.491,.530,.413,.511,.815,.165,.463
405,Kevin Love,55,924,.440,19.4,.320,.139,.142,.011,.028,.680,.643,.780,.569,.750,.300,.344,.622,.988,.135,.273
107,Kobe Brown,44,394,.411,15.5,.467,.289,.111,.056,.011,.533,.548,.654,.400,.200,1.000,.292,.652,1.000,.292,.214
13,Kyle Anderson,79,1782,.460,9.0,.889,.192,.480,.189,.028,.111,.488,.627,.438,.476,.500,.229,.511,1.000,.688,.303
377,Kyle Kuzma,70,2281,.463,13.7,.657,.206,.272,.117,.062,.343,.530,.789,.451,.357,.341,.336,.538,.788,.222,.410
645,Lamar Stevens,38,559,.450,10.5,.808,.308,.242,.188,.071,.192,.485,.622,.414,.400,.353,.304,.543,1.000,.565,.231
420,Lauri Markkanen,55,1820,.480,15.7,.507,.175,.240,.061,.030,.493,.559,.724,.500,.389,.407,.399,.742,.983,.178,.436
337,LeBron James,71,2504,.540,11.6,.714,.345,.217,.078,.073,.286,.592,.772,.482,.313,.366,.410,.435,.685,.096,.457
600,Luka Šamanić,43,404,.380,12.5,.595,.215,.373,.006,.000,.405,.500,.735,.356,1.000,,.203,.681,1.000,.359,.261
167,Mamadi Diakite,6,24,.667,7.8,.833,.500,.333,.000,.000,.167,.800,.667,1.000,,,.000,1.000,,.000,
480,Marcus Morris,49,817,.439,18.1,.549,.072,.121,.178,.178,.451,.469,.684,.375,.511,.404,.403,.471,.938,.294,.429
483,Markieff Morris,26,216,.338,20.4,.382,.044,.103,.118,.118,.618,.308,.333,.429,.250,.250,.357,.500,.867,.238,.500
321,Matthew Hurt,8,113,.353,19.5,.412,.088,.118,.029,.176,.588,.500,.667,.500,.000,.500,.250,.571,1.000,.250,.400
555,Micah Potter,16,186,.475,14.4,.475,.200,.275,.000,.000,.525,.526,.625,.455,,,.429,.600,1.000,.667,.571
270,Mouhamadou Gueye,11,120,.289,6.0,.921,.395,.474,.026,.026,.079,.314,.467,.222,.000,.000,.000,.727,,.000,
271,Mouhamed Gueye,6,73,.348,11.6,.609,.348,.217,.043,.000,.391,.357,.500,.200,.000,,.333,1.000,1.000,.444,.000
49,Nicolas Batum,60,1529,.453,19.0,.277,.191,.043,.027,.016,.723,.606,.653,.636,.429,.250,.395,.628,1.000,.535,.434
363,Nikola Jović,46,896,.452,16.7,.420,.178,.196,.032,.014,.580,.525,.600,.509,.222,.500,.399,.694,.892,.288,.468
139,Noah Clowney,23,370,.538,10.5,.645,.419,.215,.011,.000,.355,.633,.795,.300,1.000,,.364,.763,1.000,.606,.450
674,Obi Toppin,82,1730,.573,12.7,.563,.378,.157,.026,.002,.437,.706,.808,.516,.400,.000,.403,.796,.990,.368,.398
562,Olivier-Maxence Prosper,40,336,.385,12.8,.567,.356,.135,.038,.038,.433,.458,.595,.214,.000,.500,.289,.704,1.000,.533,.250
678,Oscar Tshiebwe,8,42,.500,5.0,1.000,.350,.550,.000,.100,.000,.500,.571,.455,,.500,,.800,,,
172,Ousmane Dieng,33,365,.422,17.5,.397,.190,.129,.043,.034,.603,.609,.818,.333,.400,.750,.300,.857,1.000,.314,.500
679,P.J. Tucker,31,486,.360,18.2,.300,.140,.100,.020,.040,.700,.333,.571,.000,.000,.500,.371,.600,1.000,.971,.382
706,P.J. Washington,73,2221,.436,15.4,.491,.200,.239,.039,.012,.509,.558,.722,.454,.438,.300,.320,.797,.955,.266,.245
