Season,Player,USG%,FGA,Personal Fouls Committed,BLK,STL,DRB,ORB,TOV,AST,% of FG Ast'd - 3P,% of FG Ast'd - 2P,FTr,Shooting Fouls Drawn,Corner 3s - %3PA,% of FGA by Distance - 3P,% of FGA by Distance - 16-3P,% of FGA by Distance - 10-16,% of FGA by Distance - 3-10,% of FGA by Distance - 0-3,Dunks - %FGA
2001,A.C. Green,14.4,11.158043940467753,4.184266477675408,0.27895109851169386,1.1158043940467754,6.973777462792346,3.6263642806520204,1.394755492558469,1.394755492558469,0.0,0.764,0.343,1.4968107725017719,0.167,0.019,0.438,0.164,0.102,0.278,0.012
2001,Aaron Williams,17.8,13.31095890410959,6.571232876712328,2.358904109589041,1.1794520547945204,7.750684931506849,4.38082191780822,2.6958904109589046,1.8534246575342468,0.0,0.623,0.477,2.691780821917808,0.0,0.003,0.103,0.131,0.262,0.502,0.129
2001,Adam Keefe,11.5,9.232535885167465,5.770334928229666,1.1540669856459331,1.5387559808612439,6.924401913875599,5.000956937799044,2.3081339712918663,1.923444976076555,1.0,0.683,0.396,1.4354066985645935,0.333,0.019,0.258,0.17,0.176,0.377,0.038
2001,Al Harrington,18.8,13.852008456659618,5.738689217758985,0.3957716701902748,1.5830866807610993,6.728118393234672,2.968287526427061,3.7598308668076106,3.364059196617336,0.0,0.675,0.289,1.6490486257928119,0.143,0.013,0.21,0.193,0.25,0.333,0.068
2001,Alan Henderson,22.6,17.81038674033149,4.259005524861879,0.7743646408839779,1.3551381215469613,6.001325966850828,4.839779005524862,3.291049723756906,1.3551381215469613,0.0,0.537,0.404,3.2883977900552486,0.0,0.001,0.051,0.21,0.304,0.434,0.046
2001,Anthony Mason,20.0,14.04302397049785,3.422249539028888,0.3540258143822987,1.1800860479409958,8.850645359557468,2.4781807006760914,2.5961893054701908,3.658266748617087,0.0,0.483,0.497,2.625691456668716,0.0,0.0,0.083,0.269,0.321,0.327,0.01
2001,Anthony Miller,12.2,8.727272727272727,5.236363636363636,0.0,0.0,8.727272727272727,0.0,5.236363636363636,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0
2001,Antoine Walker,29.1,24.27137809187279,3.5491166077738514,0.6869257950530036,1.9462897526501768,8.014134275618375,2.1752650176678445,4.236042402826856,6.296819787985866,0.932,0.353,0.202,2.1060070671378095,0.09,0.351,0.082,0.063,0.191,0.313,0.011
2001,Antonio Harvey,21.7,18.4,6.4,4.0,0.8,6.4,3.2,2.4,2.4,0.0,0.692,0.214,0.6666666666666666,0.0,0.0,0.321,0.179,0.179,0.321,0.107
2001,Antonio McDyess,26.5,21.83013698630137,4.076712328767123,1.9726027397260273,0.7890410958904108,11.30958904109589,4.471232876712328,3.024657534246575,2.7616438356164386,0.0,0.778,0.373,2.818003913894325,0.0,0.0,0.234,0.282,0.142,0.342,0.11
2001,Art Long,15.2,8.64,12.959999999999997,6.479999999999999,0.0,15.119999999999997,4.32,4.32,2.16,0.0,0.0,0.5,0.0,0.0,0.0,0.25,0.0,0.5,0.25,0.25
2001,Austin Croshere,23.4,18.049946638207043,4.564354322305229,1.2448239060832442,0.8298826040554963,6.846531483457843,3.1120597652081106,3.527001067235859,2.2821771611526147,0.943,0.529,0.33,2.5101387406616857,0.353,0.295,0.154,0.11,0.171,0.27,0.046
2001,Bill Curley,15.8,12.0,11.5,2.5,2.0,4.0,5.5,4.0,1.0,1.0,0.625,0.404,2.0,0.5,0.043,0.149,0.17,0.319,0.319,0.021
2001,Billy Owens,15.7,13.891551071878938,5.720050441361916,0.8171500630517023,1.906683480453972,7.354350567465321,5.175283732660781,2.451450189155107,3.2686002522068094,1.0,0.482,0.174,1.0290037831021437,0.5,0.087,0.252,0.104,0.13,0.426,0.009
2001,Bo Outlaw,10.6,6.970797158642462,4.546172059984214,2.5761641673243885,1.9700078926598263,7.7284925019731645,3.9400157853196527,2.727703235990529,4.2430939226519335,0.0,0.702,0.611,1.7048145224940803,0.0,0.005,0.008,0.038,0.193,0.755,0.147
2001,Brian Cardinal,16.5,12.0,10.285714285714285,0.5714285714285714,2.8571428571428568,5.7142857142857135,2.8571428571428568,3.4285714285714284,1.1428571428571428,0.0,0.9,0.581,3.047619047619047,0.6,0.161,0.29,0.065,0.065,0.419,0.032
2001,Brian Skinner,17.3,13.142465753424656,5.1287671232876715,0.9616438356164383,1.2821917808219179,9.295890410958904,4.487671232876712,2.5643835616438357,1.6027397260273974,0.0,0.594,0.366,2.054794520547945,0.0,0.0,0.056,0.124,0.404,0.416,0.099
2001,Charles Oakley,16.0,13.666208890495124,4.465196964221178,0.8118539934947597,1.3530899891579329,10.418792916516084,2.4355619804842794,2.4355619804842794,4.600505963136972,0.909,0.864,0.193,0.6245030719190459,0.122,0.062,0.723,0.093,0.017,0.106,0.0
2001,Chris Crawford,18.3,14.272142064372918,6.259711431742508,0.7511653718091009,1.0015538290788013,4.256603773584906,1.5023307436182018,3.255049944506104,2.0031076581576026,1.0,0.612,0.307,2.1309655937846834,0.182,0.081,0.211,0.211,0.2,0.296,0.074
2001,Chris Gatling,25.8,21.05676646706587,5.317365269461078,0.8507784431137725,1.4888622754491017,8.295089820359282,2.7650299401197604,3.40311377245509,1.701556886227545,1.0,0.618,0.311,2.7880239520958083,0.511,0.126,0.229,0.157,0.229,0.259,0.019
