,Player,G,MP,TS%,3PAr,FTr,USG%
258,Aaron Gordon,78,2633,.538,.332,.242,21.8
12,Al-Farouq Aminu,81,2292,.568,.472,.292,13.7
705,Alan Williams,5,26,.610,.077,.308,25.5
570,Alex Poythress,21,305,.571,.284,.358,14.2
354,Alize Johnson,14,64,.333,.125,.500,13.3
348,Amile Jefferson,12,68,.692,.000,.500,13.1
670,Anthony Tolliver,65,1079,.571,.830,.232,12.5
274,Blake Griffin,75,2622,.581,.389,.410,30.2
565,Bobby Portis,50,1299,.529,.304,.154,24.6
109,Bruno Caboclo,34,800,.571,.578,.222,15.9
650,Caleb Swanigan,21,178,.377,.132,.170,17.7
21,Carmelo Anthony,10,294,.513,.529,.182,20.5
182,Cheick Diallo,64,896,.644,.015,.247,16.0
473,Chimezie Metu,29,145,.389,.034,.293,24.4
72,Chris Boucher,28,163,.563,.487,.197,23.6
716,Christian Wood,21,251,.607,.222,.479,26.1
713,D.J. Wilson,48,882,.515,.506,.187,14.4
163,Dante Cunningham,64,928,.585,.411,.114,8.9
599,Dario Šarić,81,2023,.563,.464,.216,17.8
117,DeMarre Carroll,67,1703,.546,.539,.421,18.6
522,Dirk Nowitzki,51,795,.469,.545,.133,22.5
504,Donatas Motiejūnas,3,13,.436,.000,.333,33.5
55,Dragan Bender,46,826,.521,.513,.274,13.4
267,Draymond Green,66,2065,.526,.391,.216,13.1
211,Drew Eubanks,23,113,.646,.000,.500,15.5
57,Dāvis Bertāns,76,1632,.632,.746,.132,14.1
660,Emanuel Terry,3,23,.571,.000,.571,20.1
494,Eric Moreland,5,43,.500,.143,.000,12.0
332,Ersan İlyasova,67,1231,.548,.420,.194,15.7
141,Gary Clark,51,641,.480,.914,.046,10.9
519,Georges Niang,59,516,.613,.580,.133,17.8
19,Giannis Antetokounmpo,72,2358,.644,.163,.550,32.3
297,Gordon Hayward,72,1863,.575,.364,.294,19.1
722,Guerschon Yabusele,41,251,.542,.364,.286,17.5
40,Harrison Barnes,49,1584,.538,.434,.276,23.7
254,Harry Giles,58,820,.526,.017,.261,23.2
201,Henry Ellenson,19,259,.538,.400,.263,19.0
295,Isaiah Hartenstein,28,221,.562,.146,.341,11.8
303,Isaiah Hicks,3,32,.588,.000,.625,15.0
573,Ivan Rabb,49,721,.586,.071,.325,17.2
270,JaMychal Green,65,1371,.587,.370,.212,19.4
543,Jabari Parker,64,1724,.560,.260,.246,24.6
359,James Johnson,55,1164,.522,.393,.185,17.8
196,Jared Dudley,59,1220,.554,.632,.192,10.4
