,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
240,Aaron Gordon,62,2017,.437,12.9,.691,.326,.126,.150,.089,.309,.494,.704,.361,.348,.162,.308,.500,.890,.177,.333
561,Admiral Schofield,33,368,.380,18.6,.337,.152,.109,.054,.022,.663,.516,.571,.400,.600,.500,.311,.688,1.000,.295,.500
8,Al-Farouq Aminu,18,380,.291,13.3,.581,.267,.244,.000,.070,.419,.320,.435,.190,,.333,.250,.438,.889,.222,.375
336,Alize Johnson,17,118,.414,9.5,.724,.448,.207,.069,.000,.276,.429,.615,.167,.000,,.375,.667,1.000,.500,.500
333,Amile Jefferson,18,74,.357,6.1,1.000,.286,.500,.143,.071,.000,.357,.250,.429,.500,.000,,.400,,,
168,Anthony Davis,62,2131,.503,11.1,.801,.343,.172,.155,.130,.199,.546,.758,.413,.412,.322,.330,.578,.986,.170,.432
600,Anthony Tolliver,55,872,.357,21.3,.203,.110,.060,.011,.022,.797,.432,.400,.364,.500,.750,.338,.875,.980,.228,.424
1,Bam Adebayo,72,2417,.557,5.8,.982,.481,.301,.144,.056,.018,.564,.726,.445,.404,.227,.143,.715,.500,.571,.125
257,Blake Griffin,18,512,.352,13.8,.556,.276,.212,.036,.032,.444,.439,.565,.358,.222,.125,.243,.393,.593,.216,.167
522,Bobby Portis,66,1393,.450,13.9,.683,.212,.211,.114,.146,.317,.493,.616,.484,.388,.407,.358,.566,.985,.193,.417
63,Bol Bol,7,87,.500,12.1,.679,.321,.143,.179,.036,.321,.526,.778,.500,.200,.000,.444,.500,1.000,.222,.000
134,Brandon Clarke,58,1300,.618,7.6,.866,.470,.215,.148,.033,.134,.658,.773,.524,.549,.375,.359,.813,1.000,.422,.296
320,Brandon Ingram,62,2104,.463,14.2,.650,.248,.128,.167,.107,.350,.501,.654,.371,.421,.427,.391,.317,.887,.260,.440
586,Caleb Swanigan,20,265,.605,5.2,.953,.628,.186,.116,.023,.047,.634,.741,.375,.400,1.000,.000,.731,,.500,.000
338,Cameron Johnson,57,1255,.435,18.7,.328,.188,.044,.054,.042,.672,.526,.711,.167,.364,.294,.390,.743,.991,.397,.417
15,Carmelo Anthony,58,1902,.430,14.5,.711,.193,.105,.238,.175,.289,.448,.530,.476,.419,.380,.385,.390,.943,.212,.563
502,Chandler Parsons,5,54,.278,22.3,.222,.056,.111,.000,.056,.778,.250,.000,.500,,.000,.286,.000,1.000,.143,.500
570,Chris Silva,44,346,.615,4.0,.962,.679,.205,.051,.026,.038,.640,.755,.313,.500,.500,.000,.667,,.667,.000
668,Christian Wood,62,1325,.567,10.1,.724,.409,.234,.041,.039,.276,.636,.793,.445,.381,.400,.386,.714,.926,.279,.385
79,Corey Brewer,5,33,.500,7.5,.750,.500,.250,.000,.000,.250,.667,1.000,.000,,,.000,1.000,,1.000,.000
665,D.J. Wilson,37,363,.394,16.7,.447,.227,.106,.053,.061,.553,.576,.767,.357,.286,.500,.247,.853,.944,.247,.556
229,Danilo Gallinari,62,1834,.438,18.5,.463,.152,.097,.081,.133,.537,.476,.645,.278,.424,.459,.405,.494,.860,.098,.372
558,Dario Šarić,66,1632,.476,14.0,.563,.320,.141,.037,.065,.437,.568,.669,.395,.500,.486,.357,.669,.976,.166,.231
40,Darius Bazley,61,1130,.394,13.7,.555,.287,.196,.038,.035,.445,.432,.604,.226,.250,.364,.348,.618,.898,.333,.298
627,Dean Wade,12,71,.692,8.5,.692,.615,.077,.000,.000,.308,.778,.750,1.000,,,.500,.714,1.000,.500,.500
555,Domantas Sabonis,62,2159,.540,7.2,.921,.511,.225,.047,.138,.079,.565,.686,.382,.350,.487,.254,.651,1.000,.090,.167
263,Donta Hall,4,48,.250,1.4,1.000,1.000,.000,.000,.000,.000,.250,.250,,,,,.000,,,
215,Dorian Finney-Smith,71,2120,.466,15.5,.420,.326,.069,.006,.019,.580,.589,.659,.361,.333,.300,.376,.636,.965,.492,.436
421,Doug McDermott,69,1372,.488,16.8,.463,.258,.086,.038,.080,.537,.549,.681,.511,.286,.295,.435,.856,1.000,.241,.437
52,Dragan Bender,9,195,.437,14.6,.521,.211,.310,.000,.000,.479,.541,.733,.409,,,.324,.800,1.000,.206,.286
251,Draymond Green,43,1222,.389,15.0,.592,.231,.184,.092,.085,.408,.465,.685,.310,.414,.259,.279,.724,1.000,.093,.333
54,Dāvis Bertāns,54,1583,.434,22.2,.226,.097,.059,.034,.036,.774,.471,.644,.306,.429,.318,.424,.754,.915,.078,.568
503,Eric Paschall,60,1654,.497,11.2,.798,.330,.220,.100,.148,.202,.550,.725,.411,.422,.453,.287,.569,.973,.256,.303
317,Ersan İlyasova,63,986,.466,14.1,.562,.300,.163,.061,.038,.438,.545,.649,.373,.474,.583,.365,.802,.980,.234,.313
132,Gary Clark,18,212,.390,22.2,.136,.102,.017,.017,.000,.864,.625,.833,.000,.000,,.353,.800,1.000,.314,.438
473,Georges Niang,66,923,.438,19.1,.301,.106,.134,.050,.012,.699,.526,.765,.442,.375,.000,.400,.412,.989,.369,.458
12,Giannis Antetokounmpo,63,1917,.553,9.8,.763,.482,.160,.073,.048,.237,.631,.779,.343,.433,.400,.304,.438,.551,.034,.500
655,Grant Williams,69,1043,.412,14.2,.545,.265,.190,.071,.019,.455,.548,.661,.550,.267,.000,.250,.619,.875,.427,.293
29,Harrison Barnes,72,2482,.460,11.8,.662,.294,.285,.058,.025,.338,.501,.691,.363,.304,.300,.381,.525,.873,.336,.356
546,Isaiah Roby,3,11,.000,3.9,1.000,.000,1.000,.000,.000,.000,.000,,.000,,,,,,,
557,JaKarr Sampson,34,471,.591,6.6,.887,.574,.165,.104,.043,.113,.647,.773,.526,.250,.400,.154,.788,1.000,.769,.100
252,JaMychal Green,63,1307,.429,18.4,.324,.205,.085,.014,.020,.676,.518,.611,.333,.600,.286,.387,.576,1.000,.231,.400
499,Jabari Parker,38,917,.510,10.4,.723,.438,.175,.058,.051,.277,.603,.729,.467,.360,.273,.269,.594,.969,.319,.316
160,Jae Crowder,20,553,.482,20.9,.220,.146,.030,.012,.030,.780,.611,.667,.600,1.000,.200,.445,.818,.895,.313,.475
340,James Johnson,18,281,.448,15.0,.483,.310,.161,.011,.000,.517,.548,.741,.143,1.000,,.356,.609,.938,.244,.364
193,Jared Dudley,45,364,.400,19.5,.300,.167,.067,.000,.067,.700,.333,.300,.500,,.250,.429,.833,1.000,.262,.545
618,Jarred Vanderbilt,11,46,.625,4.0,.875,.875,.000,.000,.000,.125,.714,.714,,,,.000,.600,,1.000,.000
77,Jarrell Brantley,9,96,.357,13.6,.536,.286,.214,.036,.000,.464,.467,.750,.167,.000,,.231,.429,1.000,.462,.333
613,Jarrod Uthoff,7,53,.389,18.1,.500,.111,.111,.111,.167,.500,.444,.500,.000,1.000,.333,.333,1.000,1.000,.222,.500
300,Jaylen Hoard,13,103,.469,5.6,.906,.625,.156,.094,.031,.094,.517,.750,.000,.000,.000,.000,.467,,.000,
587,Jayson Tatum,66,2265,.450,14.4,.617,.248,.155,.126,.089,.383,.480,.618,.374,.396,.394,.403,.433,.545,.171,.413
255,Jeff Green,30,553,.385,16.8,.467,.200,.200,.041,.026,.533,.451,.564,.410,.250,.200,.327,.610,.941,.375,.410
247,Jerami Grant,71,1892,.478,13.5,.603,.306,.164,.069,.063,.397,.537,.686,.413,.409,.275,.389,.766,1.000,.294,.338
318,Joe Ingles,72,2137,.445,18.3,.362,.130,.156,.056,.020,.638,.525,.736,.384,.484,.364,.399,.371,.652,.210,.365
142,John Collins,41,1363,.583,9.4,.757,.469,.185,.068,.035,.243,.642,.768,.473,.293,.524,.401,.748,.966,.129,.368
457,Johnathan Motley,13,41,.733,3.8,.933,.733,.200,.000,.000,.067,.714,.909,.000,,,1.000,.700,1.000,.000,
