,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
240,Aaron Gordon,50,1384,.463,13.5,.647,.283,.166,.132,.066,.353,.533,.709,.398,.439,.303,.335,.494,.831,.188,.333
13,Al-Farouq Aminu,23,434,.384,13.2,.626,.273,.242,.030,.081,.374,.484,.519,.417,.000,.750,.216,.467,.875,.216,.500
543,Aleksej Pokusevski,45,1090,.341,17.5,.493,.137,.147,.120,.088,.507,.403,.554,.333,.408,.278,.280,.432,.914,.193,.325
617,Alen Smailagić,15,84,.407,11.9,.630,.370,.259,.000,.000,.370,.412,.500,.286,,,.400,.429,1.000,.300,.333
348,Alize Johnson,18,189,.588,6.3,.912,.397,.412,.103,.000,.088,.629,.815,.429,.714,,.167,.615,1.000,.333,.000
706,Andrew Wiggins,71,2364,.477,14.2,.652,.218,.197,.108,.129,.348,.529,.706,.500,.404,.380,.380,.479,.829,.247,.418
158,Anthony Davis,36,1162,.491,11.7,.837,.243,.204,.232,.158,.163,.536,.785,.536,.415,.330,.260,.575,.962,.160,.625
235,Anthony Gill,26,218,.500,12.4,.600,.267,.317,.000,.017,.400,.639,.813,.526,,.000,.292,.783,.857,.375,.111
658,Anthony Tolliver,11,99,.235,23.0,.176,.059,.059,.000,.059,.824,.000,.000,.000,,.000,.286,,1.000,.214,.667
254,Blake Griffin,46,1186,.423,15.1,.501,.265,.175,.029,.032,.499,.505,.633,.431,.167,.154,.341,.500,.757,.180,.270
69,Bol Bol,32,160,.431,16.1,.586,.172,.172,.121,.121,.414,.471,.900,.300,.286,.286,.375,.625,.667,.125,.333
133,Brandon Clarke,59,1415,.517,8.0,.844,.412,.279,.131,.022,.156,.565,.725,.428,.385,.364,.260,.814,1.000,.597,.261
111,Bruno Caboclo,6,36,.471,9.6,.706,.353,.353,.000,.000,.294,.667,1.000,.333,,,.000,.625,,.400,.000
349,Cameron Johnson,60,1437,.420,19.5,.306,.143,.066,.054,.043,.694,.581,.754,.500,.346,.429,.349,.837,.983,.379,.425
20,Carmelo Anthony,69,1690,.421,18.1,.582,.062,.080,.236,.205,.418,.429,.500,.403,.448,.396,.409,.278,.782,.197,.438
611,Chris Silva,15,92,.625,6.8,.938,.500,.250,.125,.063,.063,.600,.750,.500,.500,.000,1.000,.778,1.000,.000,
504,Chuma Okeke,45,1133,.417,16.9,.565,.154,.157,.117,.136,.435,.470,.680,.333,.447,.409,.348,.407,.980,.149,.381
715,D.J. Wilson,35,433,.405,16.9,.482,.202,.119,.083,.077,.518,.469,.529,.450,.429,.385,.345,.763,.933,.287,.360
226,Danilo Gallinari,51,1222,.434,19.4,.465,.084,.088,.152,.141,.535,.466,.650,.405,.472,.388,.406,.515,.932,.094,.333
45,Darius Bazley,55,1714,.396,13.3,.586,.306,.197,.039,.043,.414,.470,.621,.287,.370,.333,.290,.500,.831,.217,.242
167,DeMar DeRozan,61,2056,.495,11.0,.920,.191,.268,.282,.178,.080,.515,.636,.510,.459,.482,.257,.248,.947,.324,.292
683,Dean Wade,63,1212,.431,18.7,.315,.209,.048,.032,.026,.685,.571,.662,.333,.500,.375,.366,.696,.974,.235,.500
112,Devontae Cacok,20,98,.586,3.1,1.000,.586,.379,.034,.000,.000,.586,.706,.455,.000,,,.706,,,
599,Domantas Sabonis,62,2231,.535,8.8,.821,.431,.259,.076,.054,.179,.582,.746,.427,.362,.327,.321,.606,.962,.049,.625
261,Donta Hall,13,179,.714,3.0,1.000,.686,.229,.057,.029,.000,.714,.833,.375,1.000,.000,,.720,,,
208,Dorian Finney-Smith,60,1921,.472,17.2,.352,.234,.086,.013,.019,.648,.616,.752,.375,.500,.111,.394,.614,.966,.440,.368
447,Doug McDermott,66,1619,.532,12.8,.570,.397,.141,.018,.014,.430,.641,.716,.500,.417,.222,.388,.774,1.000,.231,.424
247,Draymond Green,63,1982,.447,12.2,.668,.347,.218,.050,.053,.332,.535,.667,.458,.211,.300,.270,.618,.971,.127,.375
53,Dāvis Bertāns,57,1464,.404,24.8,.105,.036,.040,.013,.017,.895,.480,.706,.474,.167,.250,.395,.750,.970,.143,.443
525,Eric Paschall,40,695,.497,11.3,.819,.265,.265,.104,.185,.181,.533,.671,.443,.452,.509,.333,.562,.944,.204,.364
326,Ersan İlyasova,17,148,.389,21.6,.241,.093,.019,.056,.074,.759,.231,.400,.000,.000,.250,.439,.667,1.000,.220,.222
236,Freddie Gillespie,20,392,.524,4.5,1.000,.476,.405,.119,.000,.000,.524,.675,.412,.300,,,.682,,,
164,Gabriel Deck,10,212,.478,12.0,.776,.284,.269,.104,.119,.224,.577,.632,.500,.429,.750,.133,.400,1.000,.467,.143
131,Gary Clark,2,13,.000,22.2,1.000,.000,.000,.000,1.000,.000,.000,,,,.000,,,,,
491,Georges Niang,72,1154,.437,19.8,.279,.067,.128,.072,.012,.721,.469,.593,.538,.276,.200,.425,.698,.992,.360,.419
17,Giannis Antetokounmpo,61,2013,.569,9.5,.799,.451,.193,.094,.062,.201,.636,.837,.401,.359,.324,.303,.428,.299,.045,.300
707,Grant Williams,63,1138,.437,15.4,.478,.202,.202,.053,.020,.522,.508,.600,.500,.231,.400,.372,.683,1.000,.434,.446
705,Greg Whittington,4,12,.000,21.4,.333,.000,.000,.333,.000,.667,.000,,,.000,,.000,,,.500,.000
38,Harrison Barnes,58,2102,.497,12.5,.601,.307,.248,.044,.003,.399,.567,.721,.415,.393,.000,.391,.584,.880,.223,.491
194,Henry Ellenson,2,38,.357,17.6,.357,.357,.000,.000,.000,.643,.600,.600,,,,.222,.333,1.000,.333,.000
587,Isaiah Roby,61,1425,.483,9.5,.746,.424,.254,.051,.016,.254,.547,.643,.422,.409,.429,.294,.554,.906,.174,.474
601,JaKarr Sampson,29,316,.496,6.8,.867,.478,.327,.027,.035,.133,.541,.519,.541,.667,.750,.200,.698,1.000,.600,.000
248,JaMychal Green,58,1120,.463,15.5,.471,.249,.158,.027,.037,.529,.534,.688,.407,.200,.286,.399,.585,1.000,.273,.444
522,Jabari Parker,13,165,.545,11.0,.800,.309,.218,.109,.164,.200,.636,.941,.500,.333,.444,.182,.643,1.000,.182,.000
445,Jaden McDaniels,63,1511,.447,16.0,.460,.229,.139,.049,.044,.540,.544,.690,.412,.500,.250,.364,.707,.972,.338,.403
153,Jae Crowder,60,1648,.404,21.9,.228,.075,.049,.030,.073,.772,.455,.649,.417,.267,.361,.389,.804,.959,.255,.402
624,Jalen Smith,27,156,.440,11.1,.660,.420,.120,.120,.000,.340,.545,.667,.500,.167,,.235,.778,1.000,.353,.500
350,James Johnson,51,1043,.446,11.7,.633,.364,.205,.049,.015,.367,.556,.672,.403,.313,.600,.258,.557,.935,.433,.231
187,Jared Dudley,12,81,.222,21.5,.333,.000,.111,.111,.111,.667,.000,,.000,.000,.000,.333,,.500,.000,
673,Jarred Vanderbilt,64,1139,.606,2.6,.979,.780,.182,.017,.000,.021,.615,.717,.233,.000,,.200,.711,1.000,.600,.333
83,Jarrell Brantley,28,138,.481,15.5,.462,.212,.212,.019,.019,.538,.542,.818,.364,.000,.000,.429,.308,.917,.536,.467
252,Jeff Green,68,1835,.492,14.4,.528,.281,.149,.072,.026,.472,.564,.725,.329,.526,.286,.412,.728,.951,.420,.438
137,John Collins,63,1848,.556,10.9,.730,.345,.204,.132,.049,.270,.615,.752,.459,.549,.474,.399,.723,.988,.255,.396
545,Jontay Porter,11,54,.533,18.5,.467,.200,.067,.067,.133,.533,.714,.667,1.000,1.000,.500,.375,.600,1.000,.000,
293,Juancho Hernangómez,52,900,.435,15.2,.438,.334,.097,.007,.000,.562,.573,.690,.207,.000,,.327,.747,.982,.226,.447
565,Julius Randle,71,2667,.456,14.5,.706,.162,.176,.201,.167,.294,.474,.659,.408,.434,.414,.411,.342,.794,.219,.412
475,Juwan Morgan,29,147,.467,12.3,.567,.433,.100,.033,.000,.433,.588,.692,.333,.000,,.308,.700,1.000,.231,.333
509,KZ Okpala,37,447,.375,14.5,.479,.302,.146,.010,.021,.521,.522,.655,.357,.000,.000,.240,.667,1.000,.520,.269
517,Kelly Olynyk,27,840,.545,12.6,.611,.355,.196,.037,.022,.389,.643,.798,.444,.333,.429,.392,.651,.878,.104,.538
708,Kenrich Williams,66,1426,.533,11.8,.715,.324,.207,.102,.083,.285,.568,.729,.447,.429,.412,.444,.473,.904,.333,.590
189,Kevin Durant,35,1157,.537,14.9,.687,.149,.154,.254,.129,.313,.577,.833,.473,.536,.487,.450,.477,.647,.074,.643
417,Kevin Love,25,622,.409,19.4,.381,.115,.123,.079,.063,.619,.479,.621,.484,.400,.313,.365,.609,.895,.103,.438
18,Kostas Antetokounmpo,15,56,.300,4.1,1.000,.400,.600,.000,.000,.000,.300,.750,.000,,,,.333,,,
16,Kyle Anderson,69,1887,.468,14.8,.603,.158,.220,.149,.076,.397,.539,.654,.497,.541,.420,.360,.449,.862,.425,.369
628,Lamar Stevens,40,499,.456,10.4,.816,.368,.147,.243,.059,.184,.523,.700,.350,.394,.375,.160,.655,1.000,.320,.250
488,Larry Nance Jr.,35,1091,.471,13.5,.581,.313,.162,.059,.048,.419,.551,.682,.432,.250,.462,.360,.747,.951,.281,.344
428,Lauri Markkanen,51,1317,.480,16.2,.432,.240,.146,.033,.013,.568,.582,.672,.553,.235,.143,.402,.725,.992,.213,.540
600,Luka Šamanić,33,308,.448,12.9,.590,.324,.210,.029,.029,.410,.565,.735,.364,.000,.667,.279,.571,1.000,.093,.000
209,Malik Fitts,3,11,.333,17.6,.333,.333,.000,.000,.000,.667,.000,.000,,,,.500,,1.000,.500,.000
168,Mamadi Diakite,14,141,.400,10.8,.800,.375,.175,.125,.125,.200,.469,.667,.286,.200,.400,.125,.667,1.000,.250,.000
476,Marcus Morris,57,1502,.473,18.4,.493,.082,.098,.200,.113,.507,.472,.604,.316,.504,.455,.473,.456,.936,.318,.564
477,Markieff Morris,61,1200,.405,17.6,.447,.132,.138,.119,.058,.553,.521,.700,.500,.444,.318,.311,.545,1.000,.330,.333
127,Marquese Chriss,2,27,.357,11.0,.643,.500,.143,.000,.000,.357,.444,.571,.000,,,.200,.250,1.000,.200,.000
33,Marvin Bagley III,43,1112,.504,8.8,.780,.373,.341,.041,.024,.220,.550,.727,.383,.550,.167,.343,.624,.919,.426,.413
273,Maurice Harkless,26,648,.421,14.3,.520,.336,.118,.013,.053,.480,.582,.686,.333,.500,.500,.247,.717,.889,.411,.300
378,Maxi Kleber,50,1341,.422,20.9,.229,.102,.047,.055,.025,.771,.460,.643,.154,.467,.286,.410,.793,1.000,.316,.418
372,Mfiondu Kabengele,39,280,.371,16.1,.438,.270,.090,.056,.022,.562,.513,.667,.375,.200,.000,.260,.500,.923,.260,.231
605,Mike Scott,51,852,.360,21.0,.265,.085,.076,.052,.052,.735,.411,.500,.500,.273,.273,.342,.739,1.000,.277,.465
89,Miles Bridges,66,1932,.503,14.0,.534,.338,.141,.019,.035,.466,.593,.729,.420,.167,.227,.400,.716,.819,.324,.436
411,Nassir Little,48,640,.467,15.6,.521,.269,.114,.054,.084,.479,.575,.689,.526,.444,.357,.350,.560,.821,.163,.385
379,Nathan Knight,33,279,.370,10.1,.670,.410,.210,.040,.010,.330,.463,.561,.381,.000,.000,.182,.774,1.000,.515,.176
62,Nemanja Bjelica,37,595,.454,13.7,.566,.311,.219,.015,.020,.434,.559,.689,.395,.333,.500,.318,.645,.889,.153,.385
575,Nick Richards,18,63,.444,5.2,.889,.667,.222,.000,.000,.111,.500,.500,.500,,,.000,1.000,,.000,
458,Nicolò Melli,45,566,.326,18.3,.397,.149,.099,.078,.071,.603,.411,.476,.214,.545,.400,.271,.478,1.000,.224,.263
659,Obi Toppin,62,683,.498,12.5,.593,.392,.129,.043,.029,.407,.629,.695,.481,.444,.667,.306,.641,.962,.412,.286
550,Otto Porter Jr.,3,66,.360,15.8,.640,.200,.160,.120,.160,.360,.500,.800,.250,.333,.500,.111,.750,.000,.000,
666,P.J. Tucker,52,1356,.373,17.2,.328,.186,.096,.034,.011,.672,.448,.515,.412,.167,.500,.336,.808,1.000,.849,.347
695,P.J. Washington,64,1954,.440,13.4,.577,.283,.233,.036,.025,.423,.480,.613,.375,.280,.235,.386,.805,.946,.224,.415
610,Pascal Siakam,56,2006,.455,11.6,.744,.241,.324,.091,.088,.256,.509,.690,.424,.425,.412,.297,.341,.836,.215,.283
527,Patrick Patterson,38,582,.436,18.6,.321,.182,.079,.042,.018,.679,.604,.700,.462,.571,.333,.357,.656,.975,.446,.340
712,Patrick Williams,71,1983,.483,12.2,.739,.290,.178,.133,.138,.261,.515,.673,.394,.443,.411,.391,.736,.981,.413,.421
468,Paul Millsap,56,1162,.476,12.5,.643,.244,.309,.080,.010,.357,.550,.694,.500,.375,.000,.343,.613,.980,.196,.464
570,Paul Reed,26,177,.538,6.2,.923,.551,.244,.051,.077,.077,.583,.721,.316,.500,.500,.000,.667,,.333,.000
0,Precious Achiuwa,61,737,.544,3.3,.996,.667,.263,.039,.026,.004,.546,.645,.367,.333,.167,.000,.734,,.000,
538,Reggie Perry,26,211,.410,8.9,.731,.551,.141,.026,.013,.269,.491,.628,.000,.500,.000,.190,.643,1.000,.190,.000
149,Robert Covington,70,2243,.401,19.6,.301,.181,.075,.016,.029,.699,.451,.587,.211,.125,.400,.379,.652,.948,.126,.244
218,Robert Franks,7,101,.464,16.4,.464,.214,.143,.036,.071,.536,.615,1.000,.500,.000,.000,.333,.250,1.000,.200,.333
388,Rodions Kurucs,5,16,.333,23.6,.333,.000,.000,.000,.333,.667,.000,,,,.000,.500,,1.000,.500,1.000
307,Rondae Hollis-Jefferson,11,107,.500,4.6,.944,.556,.333,.056,.000,.056,.529,.500,.500,1.000,,.000,.444,,1.000,.000
230,Rudy Gay,63,1358,.420,17.1,.557,.121,.139,.172,.126,.443,.451,.605,.448,.407,.367,.381,.405,.896,.183,.314
258,Rui Hachimura,57,1797,.478,12.3,.789,.221,.238,.154,.176,.211,.519,.748,.442,.430,.412,.328,.740,1.000,.307,.286
181,Sekou Doumbouya,56,869,.379,12.3,.592,.376,.167,.039,.011,.408,.485,.642,.277,.000,.000,.226,.667,1.000,.304,.257
502,Semi Ojeleye,56,950,.403,19.7,.285,.100,.109,.054,.023,.715,.492,.636,.542,.250,.200,.367,.613,.983,.462,.342
301,Solomon Hill,71,1513,.359,19.0,.289,.164,.081,.017,.027,.711,.453,.571,.333,.200,.250,.321,.590,1.000,.392,.301
355,Stanley Johnson,61,1006,.382,17.1,.412,.193,.159,.043,.017,.588,.458,.489,.486,.400,.000,.328,.318,.956,.314,.349
397,T.J. Leaf,7,35,.500,2.9,1.000,.700,.200,.100,.000,.000,.500,.571,.500,.000,,,.600,,,
557,Taurean Prince,41,905,.401,15.9,.526,.183,.180,.104,.058,.474,.401,.550,.271,.382,.368,.400,.536,.855,.284,.523
727,Thaddeus Young,68,1652,.559,5.7,.932,.446,.424,.044,.018,.068,.580,.678,.505,.414,.333,.267,.570,1.000,.489,.318
281,Tobias Harris,62,2014,.512,11.7,.775,.220,.313,.144,.098,.225,.546,.709,.474,.511,.462,.394,.358,.817,.202,.452
420,Trey Lyles,23,358,.478,14.5,.556,.311,.100,.111,.033,.444,.580,.750,.556,.300,.000,.350,.690,1.000,.175,.714
144,Tyler Cook,4,17,.333,0.9,1.000,1.000,.000,.000,.000,.000,.333,.333,,,,,1.000,,,
115,Vlatko Čančar,41,281,.458,14.1,.542,.319,.167,.042,.014,.458,.615,.696,.500,.333,1.000,.273,.750,1.000,.273,.667
222,Wenyen Gabriel,21,241,.400,15.0,.467,.350,.083,.033,.000,.533,.393,.429,.200,.500,,.406,.364,1.000,.313,.500
657,Xavier Tillman Sr.,59,1085,.559,9.8,.783,.348,.254,.157,.023,.217,.620,.731,.526,.574,.286,.338,.828,1.000,.523,.353
492,Zeke Nnaji,42,397,.481,16.3,.433,.212,.135,.058,.029,.567,.578,.864,.214,.500,.333,.407,.769,.958,.407,.458
714,Zion Williamson,61,2026,.611,3.4,.967,.696,.257,.012,.002,.033,.622,.701,.419,.500,.000,.294,.553,1.000,.029,1.000
