,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
231,Aaron Gordon,47,797,.447,9.1,.769,.462,.149,.096,.063,.231,.500,.635,.419,.100,.308,.271,.488,.923,.542,.346
466,Adreian Payne,32,739,.414,10.1,.959,.264,.250,.145,.300,.041,.427,.517,.400,.344,.409,.111,.633,1.000,.111,.000
581,Amar'e Stoudemire,59,1245,.557,5.3,.992,.514,.278,.073,.127,.008,.562,.687,.485,.389,.323,.000,.469,,.000,
316,Amir Johnson,75,1979,.574,5.5,.911,.489,.353,.025,.044,.089,.590,.701,.464,.385,.478,.413,.685,1.000,.196,.333
443,Andrew Nicholson,40,492,.437,14.0,.784,.147,.221,.116,.300,.216,.470,.750,.357,.364,.456,.317,.743,.923,.317,.231
54,Anthony Bennett,57,894,.421,12.3,.923,.313,.067,.074,.468,.077,.431,.677,.200,.227,.331,.304,.754,1.000,.261,.500
152,Anthony Davis,68,2455,.535,9.1,.990,.352,.173,.177,.289,.010,.540,.737,.430,.453,.419,.083,.715,1.000,.333,.000
608,Anthony Tolliver,76,1432,.410,19.5,.262,.153,.043,.013,.053,.738,.534,.650,.353,.600,.333,.366,.764,1.000,.369,.421
250,Blake Griffin,67,2356,.502,10.0,.978,.332,.185,.082,.378,.022,.504,.708,.396,.383,.404,.400,.672,.800,.240,.500
164,Boris Diaw,81,1984,.460,11.1,.733,.291,.282,.071,.089,.267,.512,.598,.494,.400,.375,.320,.540,.963,.124,.143
662,Brandan Wright,75,1449,.642,3.4,.992,.592,.325,.058,.017,.008,.647,.781,.449,.429,.500,.000,.738,,.333,.000
44,Brandon Bass,82,1929,.504,9.2,.953,.369,.129,.183,.272,.047,.515,.679,.330,.400,.457,.281,.690,1.000,.875,.321
149,Brandon Davies,27,423,.401,11.1,.752,.336,.182,.109,.124,.248,.456,.478,.320,.533,.529,.235,.660,.875,.059,.000
34,Cameron Bairstow,18,64,.214,9.9,1.000,.357,.143,.071,.429,.000,.214,.200,.000,.000,.333,,.667,,,
348,Carl Landry,70,1192,.515,8.8,1.000,.352,.203,.125,.320,.000,.515,.700,.320,.565,.415,,.716,,,
69,Carlos Boozer,71,1692,.499,8.1,1.000,.376,.179,.214,.231,.000,.499,.674,.338,.472,.366,,.663,,,
212,Channing Frye,75,1870,.392,21.4,.290,.051,.055,.033,.150,.710,.390,.360,.407,.313,.411,.393,.636,.978,.095,.333
620,Charlie Villanueva,64,678,.414,17.3,.390,.157,.122,.058,.052,.610,.475,.526,.432,.381,.526,.376,.672,.988,.249,.345
305,Cory Jefferson,50,531,.449,9.5,.910,.347,.216,.162,.186,.090,.480,.586,.389,.519,.355,.133,.534,1.000,.333,.400
137,Dante Cunningham,66,1652,.457,13.3,.971,.245,.094,.071,.560,.029,.468,.663,.281,.375,.426,.100,.929,1.000,.300,.000
27,Darrell Arthur,58,988,.404,16.3,.714,.138,.063,.138,.375,.286,.471,.623,.458,.434,.431,.236,.791,.962,.173,.158
357,David Lee,49,904,.511,5.6,.994,.482,.326,.080,.105,.006,.514,.689,.314,.560,.303,.000,.706,,.000,
634,David Wear,2,7,.000,12.0,.500,.500,.000,.000,.000,.500,.000,.000,,,,.000,,,.000,
637,David West,66,1895,.471,12.3,.971,.159,.198,.157,.456,.029,.479,.642,.419,.324,.502,.200,.740,1.000,.150,.333
61,DeJuan Blair,29,180,.456,4.7,1.000,.386,.474,.123,.018,.000,.456,.545,.481,.143,.000,,.692,,,
197,Derrick Favors,74,2280,.525,6.8,.993,.442,.214,.204,.134,.007,.527,.739,.327,.401,.341,.167,.680,1.000,.333,.500
644,Derrick Williams,74,1462,.447,11.9,.678,.342,.142,.060,.134,.322,.511,.687,.304,.345,.354,.314,.685,.918,.308,.396
450,Dirk Nowitzki,77,2282,.459,16.4,.742,.066,.070,.283,.323,.258,.486,.700,.365,.478,.475,.380,.640,.981,.040,.364
