,Player,Team,Season
184,Michael Curry,DET,2001
185,Corliss Williamson,DET,2001
186,Mateen Cleaves,DET,2001
187,Mikki Moore,DET,2001
188,Jerome Williams,DET,2001
189,Michael Finley,DAL,2001
190,Dirk Nowitzki,DAL,2001
191,Steve Nash,DAL,2001
192,Howard Eisley,DAL,2001
193,Juwan Howard,DAL,2001
194,Shawn Bradley,DAL,2001
195,Hubert Davis,DAL,2001
196,Greg Buckner,DAL,2001
197,Christian Laettner,DAL,2001
198,Gary Payton,SEA,2001
199,Rashard Lewis,SEA,2001
200,Vin Baker,SEA,2001
201,Patrick Ewing,SEA,2001
202,Ruben Patterson,SEA,2001
203,Brent Barry,SEA,2001
204,Desmond Mason,SEA,2001
205,Emanual Davis,SEA,2001
206,Shammond Williams,SEA,2001
207,Shareef Abdur-Rahim,VAN,2001
208,Mike Bibby,VAN,2001
209,Michael Dickerson,VAN,2001
210,Bryant Reeves,VAN,2001
211,Othella Harrington,VAN,2001
212,Grant Long,VAN,2001
213,Damon Jones,VAN,2001
214,Stromile Swift,VAN,2001
215,Isaac Austin,VAN,2001
216,Kobe Bryant,LAL,2001
217,Shaquille O'Neal,LAL,2001
218,Horace Grant,LAL,2001
219,Rick Fox,LAL,2001
220,Brian Shaw,LAL,2001
221,Derek Fisher,LAL,2001
222,Robert Horry,LAL,2001
223,Ron Harper,LAL,2001
224,Isaiah Rider,LAL,2001
225,Lamar Odom,LAC,2001
226,Jeff McInnis,LAC,2001
227,Eric Piatkowski,LAC,2001
228,Darius Miles,LAC,2001
229,Michael Olowokandi,LAC,2001
230,Sean Rooks,LAC,2001
231,Corey Maggette,LAC,2001
232,Quentin Richardson,LAC,2001
233,Keyon Dooling,LAC,2001
234,Karl Malone,UTA,2001
235,Bryon Russell,UTA,2001
236,John Stockton,UTA,2001
237,Donyell Marshall,UTA,2001
238,John Starks,UTA,2001
239,Olden Polynice,UTA,2001
240,Jacque Vaughn,UTA,2001
241,Greg Ostertag,UTA,2001
242,Danny Manning,UTA,2001
243,Richard Hamilton,WAS,2001
244,Juwan Howard,WAS,2001
245,Mitch Richmond,WAS,2001
246,Courtney Alexander,WAS,2001
247,Chris Whitney,WAS,2001
248,Jahidi White,WAS,2001
249,Rod Strickland,WAS,2001
250,Michael Smith,WAS,2001
251,Tyrone Nesby,WAS,2001
252,Ray Allen,MIL,2001
253,Glenn Robinson,MIL,2001
254,Sam Cassell,MIL,2001
255,Tim Thomas,MIL,2001
256,Lindsey Hunter,MIL,2001
257,Ervin Johnson,MIL,2001
258,Jason Caffey,MIL,2001
259,Scott Williams,MIL,2001
260,Mark Pope,MIL,2001
261,Eddie Jones,MIA,2002
262,Alonzo Mourning,MIA,2002
263,Brian Grant,MIA,2002
264,Rod Strickland,MIA,2002
265,Jim Jackson,MIA,2002
266,LaPhonso Ellis,MIA,2002
267,Kendall Gill,MIA,2002
268,Eddie House,MIA,2002
269,Anthony Carter,MIA,2002
270,Jalen Rose,CHI,2002
271,Ron Mercer,CHI,2002
272,Trenton Hassell,CHI,2002
273,Marcus Fizer,CHI,2002
274,Brad Miller,CHI,2002
275,Charles Oakley,CHI,2002
276,Metta World Peace,CHI,2002
277,Fred Hoiberg,CHI,2002
278,Tyson Chandler,CHI,2002
279,Allen Iverson,PHI,2002
280,Dikembe Mutombo,PHI,2002
281,Eric Snow,PHI,2002
282,Matt Harpring,PHI,2002
283,Derrick Coleman,PHI,2002
284,Aaron McKie,PHI,2002
285,Speedy Claxton,PHI,2002
286,Corie Blount,PHI,2002
287,Raja Bell,PHI,2002
288,Jason Kidd,NJN,2002
289,Kenyon Martin,NJN,2002
290,Kerry Kittles,NJN,2002
291,Keith Van Horn,NJN,2002
292,Richard Jefferson,NJN,2002
293,Todd MacCulloch,NJN,2002
294,Lucious Harris,NJN,2002
295,Aaron Williams,NJN,2002
