,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
607,Brandan Wright,28,447,.615,3.9,.993,.630,.252,.096,.015,.007,.619,.729,.441,.385,.500,.000,.892,,.000,
37,Brandon Bass,52,577,.575,6.8,.984,.532,.118,.237,.097,.016,.579,.687,.500,.477,.333,.333,.679,1.000,.333,.000
290,Brice Johnson,3,9,.286,5.7,1.000,.429,.429,.143,.000,.000,.286,.667,.000,.000,,,.500,,,
136,Cheick Diallo,17,199,.474,10.3,1.000,.276,.158,.289,.263,.000,.474,.810,.417,.318,.350,,.667,,,.000
363,Chris McCullough,16,80,.500,10.8,.781,.438,.063,.125,.156,.219,.600,.571,.500,1.000,.400,.143,.667,1.000,.286,.000
605,Christian Wood,13,107,.522,7.2,.783,.652,.087,.043,.000,.217,.667,.800,.000,.000,,.000,.500,,.200,.000
122,Dante Cunningham,66,1649,.485,15.4,.496,.284,.084,.028,.100,.504,.579,.676,.467,.300,.472,.392,.777,1.000,.691,.400
497,Dario Šarić,81,2129,.411,14.2,.632,.283,.146,.056,.149,.368,.469,.599,.437,.404,.275,.311,.513,.925,.082,.357
23,Darrell Arthur,41,639,.442,18.8,.456,.140,.033,.079,.205,.544,.429,.600,.000,.471,.364,.453,.786,.981,.231,.481
328,David Lee,79,1477,.590,4.7,1.000,.600,.245,.081,.074,.000,.590,.706,.417,.471,.355,,.698,,,
165,Derrick Favors,50,1186,.487,8.4,.976,.391,.201,.177,.206,.024,.491,.607,.476,.432,.337,.300,.795,1.000,.300,.333
591,Derrick Williams,50,804,.443,13.6,.602,.369,.053,.057,.119,.398,.531,.589,.308,.500,.483,.309,.705,.967,.423,.317
419,Dirk Nowitzki,54,1424,.437,18.0,.692,.062,.053,.217,.360,.308,.463,.571,.444,.476,.439,.378,.770,1.000,.057,.417
495,Domantas Sabonis,81,1632,.399,12.7,.669,.283,.206,.067,.114,.331,.438,.551,.333,.219,.473,.321,.624,1.000,.289,.283
395,Donatas Motiejūnas,34,479,.413,12.4,.659,.188,.399,.065,.007,.341,.505,.692,.436,.444,.000,.234,.739,1.000,.170,.375
172,Dorian Finney-Smith,81,1642,.372,16.6,.426,.261,.075,.024,.069,.574,.479,.609,.280,.125,.304,.293,.647,.964,.419,.263
48,Dragan Bender,43,574,.354,18.3,.373,.205,.062,.019,.087,.627,.483,.576,.500,.667,.214,.277,.552,1.000,.287,.345
211,Draymond Green,76,2471,.418,12.8,.595,.394,.138,.035,.031,.405,.494,.637,.211,.174,.250,.308,.712,.975,.068,.389
51,Dāvis Bertāns,67,808,.440,20.4,.261,.150,.030,.026,.056,.739,.557,.714,.286,.167,.462,.399,.765,.957,.202,.486
129,Ed Davis,46,789,.528,2.5,1.000,.718,.275,.007,.000,.000,.528,.578,.385,1.000,,,.667,,,
269,Ersan İlyasova,82,2142,.431,15.7,.548,.245,.098,.081,.124,.452,.496,.601,.368,.375,.473,.353,.736,.930,.204,.427
409,Georges Niang,23,93,.250,12.0,.667,.306,.250,.083,.028,.333,.333,.455,.333,.000,.000,.083,.625,1.000,.250,.333
138,Gorgui Dieng,82,2653,.502,10.4,.935,.337,.177,.135,.286,.065,.511,.641,.436,.449,.434,.372,.782,.938,.721,.452
32,Harrison Barnes,79,2803,.468,13.1,.827,.183,.186,.194,.265,.173,.492,.679,.483,.452,.398,.351,.434,.949,.284,.317
151,Henry Ellenson,19,146,.359,17.6,.453,.219,.047,.047,.156,.547,.448,.643,.333,.000,.300,.286,.615,1.000,.171,.167
213,JaMychal Green,77,2101,.500,11.3,.710,.434,.084,.058,.136,.290,.549,.608,.310,.414,.559,.379,.600,.982,.552,.425
438,Jabari Parker,51,1728,.490,10.6,.781,.416,.146,.069,.150,.219,.525,.673,.361,.286,.385,.365,.599,.985,.309,.436
291,James Johnson,76,2085,.479,12.4,.667,.354,.159,.083,.073,.333,.548,.632,.451,.469,.429,.340,.306,.931,.336,.384
359,James Michael McAdoo,52,457,.530,5.9,.932,.590,.188,.077,.085,.068,.550,.667,.364,.444,.200,.250,.850,1.000,.250,.500
143,Jared Dudley,64,1362,.454,19.3,.413,.147,.032,.061,.173,.587,.559,.706,.364,.524,.483,.379,.613,1.000,.197,.225
528,Jared Sullinger,11,118,.319,15.6,.617,.255,.149,.085,.149,.383,.414,.583,.143,.500,.286,.167,.833,.667,.056,1.000
356,Jarell Martin,42,558,.384,9.7,.834,.517,.099,.040,.179,.166,.389,.423,.200,.500,.370,.360,.633,1.000,.600,.467
559,Jarrod Uthoff,9,115,.421,11.9,.763,.237,.211,.184,.132,.237,.448,.556,.500,.429,.200,.333,.615,.667,.556,.600
214,Jeff Green,69,1534,.394,14.8,.654,.233,.174,.111,.136,.346,.458,.562,.433,.419,.342,.275,.437,.943,.176,.324
206,Jerami Grant,80,1531,.463,12.0,.646,.375,.131,.049,.091,.354,.514,.642,.395,.250,.300,.371,.651,.977,.552,.438
63,Joel Bolomboy,12,53,.563,8.6,.750,.500,.188,.000,.063,.250,.667,.750,.667,,.000,.250,.750,1.000,.250,.000
322,Joffrey Lauvergne,50,739,.455,11.4,.680,.365,.205,.033,.078,.320,.506,.607,.380,.625,.316,.346,.690,1.000,.282,.455
424,Johnny O'Bryant,11,80,.500,11.3,.800,.300,.167,.200,.133,.200,.500,.667,.400,.500,.250,.500,.833,1.000,.000,
333,Jon Leuer,75,1944,.480,12.9,.741,.263,.150,.181,.149,.259,.545,.788,.423,.453,.354,.293,.739,1.000,.228,.289
288,Jonas Jerebko,78,1232,.435,15.4,.504,.248,.164,.031,.061,.496,.523,.646,.349,.250,.625,.346,.580,1.000,.408,.358
379,Jordan Mickey,25,141,.441,5.3,.971,.676,.147,.000,.147,.029,.455,.522,.200,,.400,.000,.733,,1.000,.000
262,Josh Huestis,2,31,.545,12.5,.636,.364,.091,.000,.182,.364,.571,.750,.000,,.500,.500,.750,1.000,.250,1.000
376,Josh McRoberts,22,381,.373,12.7,.737,.288,.144,.144,.153,.263,.356,.588,.059,.176,.389,.419,.516,.923,.129,.250
238,Juancho Hernangómez,62,842,.451,14.1,.496,.353,.098,.018,.031,.504,.495,.595,.318,.000,.143,.407,.618,1.000,.257,.517
472,Julius Randle,74,2132,.488,7.1,.918,.437,.335,.062,.085,.082,.507,.651,.367,.500,.318,.270,.489,.941,.063,.500
221,Justin Harper,3,31,.417,18.5,.417,.083,.167,.083,.083,.583,.600,1.000,.000,1.000,1.000,.286,1.000,1.000,.000,
163,Kenneth Faried,61,1296,.548,3.9,.986,.639,.281,.038,.026,.014,.556,.654,.393,.438,.091,.000,.627,,.000,
148,Kevin Durant,62,2070,.537,13.8,.696,.268,.116,.161,.151,.304,.608,.796,.487,.430,.555,.375,.565,.803,.125,.436
345,Kevin Love,60,1885,.427,15.3,.551,.212,.156,.099,.084,.449,.471,.560,.415,.430,.397,.373,.551,.986,.355,.413
506,Kevin Séraphin,49,559,.551,8.9,.990,.263,.338,.192,.197,.010,.556,.712,.582,.342,.513,.000,.661,,.000,
263,Kris Humphries,56,689,.407,11.9,.748,.374,.079,.168,.131,.252,.425,.538,.059,.333,.429,.352,.676,1.000,.204,.364
462,Kristaps Porziņģis,66,2164,.450,14.1,.681,.207,.162,.196,.116,.319,.493,.701,.338,.482,.360,.357,.668,.982,.111,.429
602,Kyle Wiltjer,14,44,.286,25.7,.071,.000,.000,.000,.071,.929,.000,,,,.000,.308,,.750,.000,
8,LaMarcus Aldridge,72,2335,.477,11.8,.947,.222,.194,.202,.328,.053,.480,.700,.422,.387,.424,.411,.577,.957,.411,.435
539,Lance Thomas,46,968,.398,15.1,.652,.217,.152,.061,.221,.348,.371,.415,.351,.333,.352,.447,.441,.974,.471,.450
402,Larry Nance Jr.,63,1442,.526,9.3,.900,.416,.186,.114,.191,.100,.554,.700,.478,.317,.435,.278,.756,1.000,.306,.182
9,Lavoy Allen,61,871,.458,8.9,.994,.357,.256,.060,.321,.006,.461,.583,.465,.200,.370,.000,.740,,.000,
500,Luis Scola,36,461,.470,11.6,.669,.384,.199,.053,.040,.331,.535,.672,.400,.375,.000,.340,.407,.941,.360,.389
391,Markieff Morris,76,2374,.457,11.9,.780,.287,.181,.154,.157,.220,.483,.612,.422,.401,.400,.362,.597,.972,.332,.323
100,Marquese Chriss,82,1743,.449,11.8,.646,.411,.111,.046,.076,.354,.520,.615,.386,.310,.333,.321,.656,.986,.438,.347
597,Marvin Williams,76,2295,.422,15.7,.497,.230,.143,.070,.055,.503,.494,.611,.416,.367,.359,.350,.717,.976,.246,.368
405,Maurice Ndour,32,331,.453,8.6,.919,.384,.163,.198,.151,.081,.481,.727,.286,.353,.308,.143,.737,1.000,.286,.500
332,Meyers Leonard,74,1222,.386,18.9,.437,.090,.103,.085,.159,.563,.436,.706,.385,.313,.383,.347,.764,.986,.117,.480
44,Michael Beasley,56,935,.532,10.2,.894,.303,.246,.167,.175,.106,.545,.699,.490,.456,.451,.419,.545,1.000,.488,.333
501,Mike Scott,18,195,.288,16.1,.542,.119,.169,.169,.068,.458,.406,.571,.400,.300,.500,.148,.769,.750,.222,.000
535,Mirza Teletović,70,1133,.373,21.0,.270,.115,.055,.045,.055,.730,.460,.542,.435,.316,.435,.341,.750,.971,.200,.344
54,Nemanja Bjelica,65,1190,.424,14.8,.503,.264,.177,.034,.028,.497,.531,.638,.444,.250,.400,.316,.526,.964,.209,.378
108,Nick Collison,20,128,.609,5.3,.957,.565,.304,.043,.043,.043,.636,.769,.429,.000,1.000,.000,.643,,.000,
387,Nikola Mirotić,70,1679,.413,17.9,.397,.206,.070,.059,.059,.603,.520,.643,.409,.459,.297,.342,.690,.969,.231,.460
567,Noah Vonleh,74,1265,.481,7.1,.926,.515,.211,.033,.167,.074,.492,.561,.386,.222,.467,.350,.585,.857,.250,.000
581,Okaro White,35,471,.379,13.4,.609,.322,.126,.080,.080,.391,.396,.500,.182,.571,.143,.353,.714,1.000,.471,.375
93,Omri Casspi,36,643,.470,9.1,.738,.433,.287,.018,.006,.262,.512,.620,.383,.000,.000,.349,.726,1.000,.209,.333
510,Pascal Siakam,55,859,.502,7.0,.966,.463,.249,.112,.141,.034,.515,.600,.490,.304,.448,.143,.667,1.000,.571,.000
442,Patrick Patterson,65,1599,.401,18.6,.341,.128,.112,.070,.031,.659,.458,.551,.419,.444,.250,.372,.517,.979,.383,.412
386,Paul Millsap,69,2343,.442,12.2,.752,.254,.216,.184,.098,.248,.486,.611,.395,.475,.379,.311,.558,.947,.166,.450
1,Quincy Acy,38,558,.412,16.2,.471,.265,.065,.076,.059,.529,.413,.489,.273,.308,.400,.411,.727,.973,.278,.360
101,Rakeem Christmas,29,219,.442,3.6,1.000,.628,.256,.047,.047,.000,.442,.556,.364,.000,.000,,.737,,,
18,Ryan Anderson,72,2116,.418,19.9,.345,.144,.074,.035,.092,.655,.446,.568,.351,.444,.338,.403,.378,.975,.142,.542
309,Ryan Kelly,16,110,.286,15.2,.643,.179,.179,.071,.214,.357,.222,.400,.000,.500,.167,.400,1.000,1.000,.400,.750
131,Sam Dekker,77,1419,.473,12.6,.564,.436,.098,.012,.023,.436,.591,.647,.357,.400,.500,.321,.727,.967,.353,.394
265,Serge Ibaka,79,2422,.480,15.1,.677,.146,.189,.177,.165,.323,.522,.727,.457,.466,.475,.391,.666,.984,.057,.167
318,Skal Labissière,33,612,.537,8.9,.963,.289,.275,.220,.174,.037,.543,.683,.400,.521,.579,.375,.605,1.000,.000,
232,Spencer Hawes,54,797,.484,12.0,.708,.336,.170,.119,.083,.292,.556,.688,.511,.424,.304,.309,.817,1.000,.136,.455
418,Steve Novak,8,22,.286,23.3,.143,.000,.143,.000,.000,.857,1.000,,1.000,,,.167,1.000,1.000,.167,1.000
193,Taj Gibson,78,1989,.515,6.9,.982,.423,.283,.142,.131,.018,.520,.677,.448,.376,.333,.231,.657,.667,.846,.182
301,Terrence Jones,54,1270,.470,8.6,.848,.396,.307,.055,.085,.152,.508,.677,.364,.370,.357,.253,.642,1.000,.093,.000
613,Thaddeus Young,74,2237,.527,8.3,.828,.438,.281,.044,.067,.172,.557,.651,.482,.400,.348,.381,.729,.978,.492,.345
483,Thomas Robinson,48,560,.536,4.3,.995,.643,.209,.097,.046,.005,.538,.643,.463,.158,.222,.000,.467,,.000,
228,Tobias Harris,82,2567,.481,13.3,.705,.207,.220,.169,.108,.295,.537,.705,.474,.444,.487,.347,.502,.991,.258,.346
65,Trevor Booker,71,1754,.516,7.8,.868,.450,.281,.058,.080,.132,.546,.658,.476,.324,.319,.321,.450,.840,.295,.261
349,Trey Lyles,71,1158,.362,15.6,.535,.182,.180,.080,.093,.465,.400,.538,.329,.286,.366,.319,.404,.954,.299,.361
473,Zach Randolph,73,1786,.449,10.3,.902,.293,.283,.111,.214,.098,.474,.610,.447,.421,.354,.223,.478,1.000,.138,.308
