,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
444,Adreian Payne,18,135,.426,12.6,.722,.315,.148,.074,.185,.278,.513,.471,.500,.750,.500,.200,.650,1.000,.133,.000
11,Al-Farouq Aminu,61,1773,.393,14.0,.545,.320,.135,.030,.060,.455,.445,.530,.302,.357,.357,.330,.460,1.000,.358,.355
465,Alex Poythress,6,157,.463,10.8,.648,.500,.074,.074,.000,.352,.543,.556,.750,.250,,.316,.579,1.000,.316,.500
289,Amir Johnson,80,1608,.576,7.0,.822,.524,.268,.014,.014,.178,.612,.716,.434,.400,.400,.409,.758,1.000,.288,.316
410,Andrew Nicholson,38,342,.387,12.1,.757,.216,.297,.180,.063,.243,.452,.708,.364,.250,.571,.185,.658,1.000,.222,.000
49,Anthony Bennett,23,264,.413,13.9,.478,.370,.087,.011,.011,.522,.568,.676,.250,.000,.000,.271,.440,.923,.375,.167
547,Anthony Tolliver,65,1477,.442,18.5,.345,.151,.103,.040,.054,.655,.537,.660,.528,.214,.421,.391,.646,1.000,.278,.406
50,Ben Bentil,3,10,.000,15.6,.667,.000,.333,.000,.333,.333,.000,,.000,,.000,.000,,,1.000,.000
215,Blake Griffin,61,2076,.493,10.7,.884,.348,.192,.061,.283,.116,.514,.669,.409,.322,.436,.336,.499,.974,.239,.481
461,Bobby Portis,64,1000,.488,13.1,.744,.267,.160,.115,.203,.256,.541,.690,.550,.302,.474,.333,.642,1.000,.458,.364
137,Boris Diaw,73,1283,.446,11.6,.752,.373,.156,.076,.147,.248,.512,.664,.431,.440,.250,.247,.373,.950,.259,.429
