,Player,G,MP,FG%,Avg FG Distance,% of FGA by Distance - 2P,% of FGA by Distance - 0-3,% of FGA by Distance - 3-10,% of FGA by Distance - 10-16,% of FGA by Distance - 16-3P,% of FGA by Distance - 3P,FG% by Distance - 2P,FG% by Distance - 0-3,FG% by Distance - 3-10,FG% by Distance - 10-16,FG% by Distance - 16-3P,FG% by Distance - 3P,% of FG Ast'd - 2P,% of FG Ast'd - 3P,Corner 3s - %3PA,Corner 3s - 3P%
31,Marvin Bagley III,62,1567,.504,8.7,.864,.363,.310,.126,.065,.136,.534,.691,.434,.393,.413,.313,.515,.900,.219,.190
710,Marvin Williams,75,2133,.422,17.2,.414,.158,.186,.041,.029,.586,.500,.641,.421,.370,.421,.366,.763,.993,.309,.432
385,Maxi Kleber,71,1502,.453,16.3,.435,.241,.104,.060,.031,.565,.583,.699,.475,.391,.417,.353,.724,1.000,.317,.304
51,Michael Beasley,26,277,.490,7.6,.889,.366,.353,.118,.052,.111,.529,.714,.426,.333,.375,.176,.472,1.000,.471,.250
383,Michael Kidd-Gilchrist,64,1179,.476,9.0,.858,.431,.238,.087,.102,.142,.498,.601,.405,.345,.412,.340,.669,1.000,.596,.429
509,Mike Muscala,64,1306,.402,20.2,.291,.144,.061,.047,.039,.709,.533,.596,.455,.529,.429,.348,.768,1.000,.191,.306
605,Mike Scott,79,1395,.400,18.5,.400,.126,.138,.067,.069,.600,.399,.547,.241,.464,.379,.401,.627,.980,.262,.424
61,Nemanja Bjelica,77,1788,.479,13.5,.567,.319,.199,.022,.027,.433,.539,.635,.441,.231,.375,.401,.591,.961,.187,.292
483,Nikola Mirotić,46,1245,.439,18.4,.413,.194,.081,.050,.089,.587,.545,.657,.568,.333,.396,.365,.746,.914,.151,.438
685,Noah Vonleh,68,1722,.470,11.0,.689,.373,.255,.023,.039,.311,.531,.598,.473,.300,.412,.336,.354,.978,.124,.353
702,Okaro White,3,6,.000,24.9,.000,.000,.000,.000,.000,1.000,,,,,,.000,,,.500,.000
643,Omari Spellman,46,805,.402,14.6,.475,.336,.086,.033,.020,.525,.466,.561,.143,.125,.800,.344,.685,1.000,.344,.432
675,P.J. Tucker,82,2802,.396,18.9,.260,.141,.096,.015,.008,.740,.449,.527,.340,.500,.250,.377,.705,1.000,.703,.393
619,Pascal Siakam,80,2548,.549,8.7,.774,.403,.302,.050,.019,.226,.602,.722,.474,.468,.444,.369,.493,.975,.682,.411
548,Patrick Patterson,63,861,.374,17.9,.374,.160,.100,.091,.023,.626,.439,.571,.273,.400,.400,.336,.722,1.000,.314,.302
481,Paul Millsap,70,1895,.484,10.0,.761,.340,.295,.111,.015,.239,.522,.668,.408,.419,.200,.365,.564,1.000,.208,.424
1,Quincy Acy,10,123,.222,21.7,.167,.111,.000,.056,.000,.833,.667,1.000,,.000,,.133,1.000,1.000,.333,.200
639,Ray Spalding,14,148,.532,4.7,.936,.617,.255,.064,.000,.064,.568,.621,.417,.667,,.000,.640,,.333,.000
251,Rudy Gay,69,1842,.504,13.2,.753,.193,.225,.185,.150,.247,.537,.639,.446,.572,.500,.402,.394,.892,.315,.483
15,Ryan Anderson,25,322,.304,19.4,.420,.203,.000,.101,.116,.580,.414,.500,,.143,.500,.225,.500,1.000,.175,.143
172,Sam Dekker,47,788,.469,9.6,.758,.516,.129,.047,.066,.242,.521,.674,.121,.250,.294,.306,.723,.947,.226,.357
532,Semi Ojeleye,56,594,.424,16.7,.437,.272,.076,.044,.044,.563,.565,.721,.417,.143,.286,.315,.692,.929,.360,.344
