,Player,G,MP,TS%,3PAr,FTr,USG%
269,Aaron Gordon,75,2376,.602,.312,.276,19.7
616,Aleksej Pokusevski,61,1233,.485,.432,.110,20.0
386,Alize Johnson,23,167,.463,.103,.308,14.8
264,Anthony Gill,44,463,.682,.239,.477,14.4
68,Bojan Bogdanović,69,2131,.599,.504,.280,23.7
69,Bol Bol,14,81,.565,.148,.185,18.0
136,Brandon Clarke,64,1246,.660,.049,.291,17.7
392,Cameron Johnson,66,1730,.625,.644,.188,17.5
17,Carmelo Anthony,69,1793,.579,.549,.220,20.4
693,Chris Silva,10,91,.641,.000,.800,13.8
584,Chuma Okeke,70,1749,.501,.645,.113,16.4
820,D.J. Wilson,4,54,.773,.133,.667,17.0
251,Danilo Gallinari,66,1672,.579,.492,.261,18.4
48,Darius Bazley,69,1924,.515,.414,.262,18.3
690,Day'Ron Sharpe,32,391,.593,.047,.275,21.7
173,DeMar DeRozan,76,2743,.590,.093,.386,31.8
779,Dean Wade,51,980,.584,.654,.138,11.1
410,Derrick Jones Jr.,51,899,.633,.313,.359,12.5
111,Devontae Cacok,15,121,.675,.000,.226,12.9
671,Domantas Sabonis,62,2136,.637,.162,.429,22.3
227,Dorian Finney-Smith,80,2644,.604,.629,.120,13.8
514,Doug McDermott,51,1223,.593,.551,.110,18.3
276,Draymond Green,46,1329,.582,.210,.354,14.3
56,Dāvis Bertāns,56,806,.531,.836,.145,17.3
737,Emanuel Terry,3,18,.000,.000,.000,23.9
602,Eric Paschall,58,737,.612,.460,.366,17.7
535,Evan Mobley,69,2331,.549,.111,.304,20.4
265,Freddie Gillespie,9,119,.419,.045,.318,10.9
169,Gabriel Deck,7,56,.643,.286,.000,12.3
135,Gary Clark,38,378,.547,.795,.114,11.6
571,Georges Niang,76,1736,.594,.687,.105,16.8
15,Giannis Antetokounmpo,67,2204,.633,.194,.615,34.9
814,Grant Williams,77,1875,.635,.597,.220,12.6
39,Harrison Barnes,77,2580,.623,.432,.495,18.8
411,Herbert Jones,78,2335,.573,.293,.283,13.7
660,Isaiah Roby,45,948,.607,.307,.359,19.0
760,Isaiah Todd,12,74,.349,.615,.231,19.6
783,Ish Wainright,45,359,.494,.567,.115,14.7
755,JT Thor,33,262,.525,.491,.364,12.0
278,JaMychal Green,67,1085,.587,.379,.284,17.2
601,Jabari Parker,12,112,.632,.421,.237,19.6
512,Jaden McDaniels,70,1803,.553,.455,.128,15.3
158,Jae Crowder,67,1886,.541,.671,.165,14.6
733,Jae'Sean Tate,78,2056,.567,.277,.252,19.6
394,Jalen Johnson,22,120,.590,.317,.171,19.3
709,Jalen Smith,51,924,.595,.349,.291,20.3
395,James Johnson,62,1191,.513,.277,.179,13.7
612,Jamorko Pickett,13,176,.491,.780,.040,13.6
373,Jaren Jackson Jr.,78,2126,.535,.387,.333,25.4
774,Jarred Vanderbilt,74,1880,.612,.039,.363,10.9
280,Jeff Green,75,1849,.627,.318,.374,16.3
273,Jerami Grant,47,1500,.556,.363,.371,25.7
699,Jericho Sims,41,555,.674,.000,.537,6.9
140,John Collins,54,1663,.610,.273,.262,20.5
315,Juancho Hernangómez,40,445,.542,.651,.321,13.4
640,Julius Randle,72,2544,.509,.313,.322,28.7
822,Justise Winslow,48,775,.479,.257,.257,18.9
546,Juwan Morgan,2,31,.833,.667,.000,4.1
589,KZ Okpala,21,244,.521,.377,.159,14.4
205,Kevin Durant,55,2047,.634,.269,.367,31.2
623,Kristaps Porziņģis,51,1481,.577,.329,.373,29.5
14,Kyle Anderson,69,1484,.506,.232,.224,16.2
448,Kyle Kuzma,66,2204,.547,.401,.234,24.2
726,Lamar Stevens,63,1015,.544,.204,.235,17.1
566,Larry Nance Jr.,9,182,.628,.163,.163,14.7
228,Malik Fitts,15,63,.553,.526,.000,14.6
174,Mamadi Diakite,13,188,.540,.106,.234,13.5
550,Marcus Morris,54,1564,.549,.398,.214,23.2
551,Markieff Morris,17,298,.547,.342,.079,20.6
133,Marquese Chriss,34,346,.518,.187,.246,21.5
30,Marvin Bagley III,48,1153,.551,.217,.226,19.8
433,Maxi Kleber,59,1450,.537,.720,.184,13.3
81,Miles Bridges,80,2837,.593,.383,.274,22.6
830,Moses Wright,4,15,.470,.250,.750,17.1
435,Nathan Knight,37,267,.603,.148,.682,20.7
46,Nicolas Batum,59,1463,.608,.698,.098,13.3
761,Obi Toppin,72,1230,.614,.357,.262,20.8
621,Otto Porter Jr.,63,1396,.581,.519,.147,15.0
765,P.J. Tucker,71,1981,.593,.451,.143,11.7
692,Pascal Siakam,68,2578,.565,.181,.314,25.8
817,Patrick Williams,17,422,.637,.284,.402,14.2
260,Paul George,31,1077,.538,.404,.233,33.7
147,Petr Cornelie,13,38,.418,.533,.267,24.0
609,Reggie Perry,10,187,.537,.203,.190,22.4
151,Robert Covington,71,1939,.572,.681,.139,13.5
342,Rodney Hood,39,581,.470,.611,.107,10.6
259,Rudy Gay,55,1038,.539,.536,.208,19.3
285,Rui Hachimura,42,943,.579,.323,.173,20.9
171,Sam Dekker,1,1,,,,0.0
486,Sandro Mamukelashvili,41,407,.618,.452,.191,14.6
3,Santi Aldama,32,360,.452,.364,.242,18.4
40,Scottie Barnes,74,2617,.552,.207,.231,19.0
190,Sekou Doumbouya,2,16,.717,.250,.500,31.6
581,Semi Ojeleye,30,406,.438,.505,.293,12.8
401,Stanley Johnson,48,1094,.564,.418,.295,12.5
634,Taurean Prince,69,1177,.589,.587,.210,17.0
735,Terry Taylor,33,714,.656,.173,.232,15.9
835,Thaddeus Young,52,845,.548,.176,.180,17.4
303,Tobias Harris,73,2543,.566,.269,.198,21.7
482,Trey Lyles,75,1536,.588,.372,.432,20.7
145,Tyler Cook,20,200,.643,.000,.842,13.0
257,Usman Garuba,24,240,.510,.455,.159,9.4
114,Vlatko Čančar,15,176,.657,.293,.341,14.0
123,Wendell Carter Jr.,62,1852,.601,.313,.303,20.9
245,Wenyen Gabriel,26,359,.549,.255,.382,17.4
759,Xavier Tillman Sr.,53,701,.510,.227,.329,16.4
573,Zeke Nnaji,41,698,.629,.430,.349,14.9
